,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,现金及存放中央银行款项,2143716000000.00,2050717000000.00,2134760000000.00,2026533000000.00,2407808000000.00,2498410000000.00,2210835000000.00,2273754000000.00,2303020000000.00,2351084000000.00,2595717000000.00,2540457000000.00,2349188000000.00,2329505000000.00,2362124000000.00,2246584000000.00,2269434000000.00,2278906000000.00,2248752000000.00,2530394000000.00,2391211000000.00,2560566000000.00,2387651000000.00,2336792000000.00,2114340000000.00,2094204000000.00,2027328000000.00,1972629000000.00,2006772000000.00,2103978000000.00,2248531000000.00,2438127000000.00,1981484000000.00,2106073000000.00,1891640000000.00,2014443000000.00,1623144000000.00,1367356000000.00,1271999000000.00,1299633000000.00,1086037000000.00,1019798000000.00,1005197000000.00,1202720000000.00,1097471000000.00,961350000000.00,821095000000.00,933330000000.00,822565000000.00,537175000000.00,525551000000.00,446528000000.00,419443000000.00,378170000000.00,370462000000.00,345585000000.00,312940000000.00,292907000000.00,214507000000.00,155277000000.00,163347000000.00,162465000000.00,121465000000.00,135676000000.00,0.0
3,存放同业款项,500560000000.00,392296000000.00,407392000000.00,437008000000.00,363176000000.00,325675000000.00,346489000000.00,499043000000.00,485057000000.00,554613000000.00,573557000000.00,557025000000.00,582434000000.00,665697000000.00,696941000000.00,476899000000.00,581007000000.00,552453000000.00,652431000000.00,618513000000.00,727931000000.00,794897000000.00,804527000000.00,680708000000.00,620245000000.00,641239000000.00,590459000000.00,673695000000.00,703099000000.00,655204000000.00,747751000000.00,628350000000.00,529131000000.00,537040000000.00,681934000000.00,608131000000.00,586904000000.00,539169000000.00,508080000000.00,527126000000.00,394755000000.00,39591000000.00,73904000000.00,18499000000.00,37044000000.00,3879000000.00,24774000000.00,0,0,0,0,0,407840000000.00,328902000000.00,0,344537000000.00,7187000000.00,0,444337000000.00,566223000000.00,770505000000.00,639290000000.00,735462000000.00,684486000000.00,0.0
4,拆出资金,744572000000.00,857118000000.00,767486000000.00,690716000000.00,781761000000.00,571234000000.00,586147000000.00,593713000000.00,486559000000.00,538005000000.00,501996000000.00,507328000000.00,483929000000.00,448725000000.00,424861000000.00,390564000000.00,350218000000.00,477925000000.00,400323000000.00,347100000000.00,299111000000.00,255409000000.00,291826000000.00,426418000000.00,402001000000.00,445686000000.00,473239000000.00,360551000000.00,349251000000.00,267019000000.00,360814000000.00,470577000000.00,454668000000.00,302079000000.00,271617000000.00,218495000000.00,136984000000.00,121314000000.00,133419000000.00,113228000000.00,138933000000.00,366893000000.00,425577000000.00,436075000000.00,385748000000.00,254174000000.00,237023000000.00,371941000000.00,386648000000.00,459228000000.00,438614000000.00,396192000000.00,399138000000.00,0,300114000000.00,344537000000.00,340192000000.00,433500000000.00,0,0,0,0,0,0,0.0
5,贵金属,206210000000.00,226517000000.00,202358000000.00,189996000000.00,181203000000.00,168477000000.00,161183000000.00,160461000000.00,172763000000.00,166835000000.00,150996000000.00,173995000000.00,161417000000.00,169128000000.00,180712000000.00,188705000000.00,176753000000.00,191198000000.00,203070000000.00,191632000000.00,194531000000.00,182685000000.00,215406000000.00,216623000000.00,193208000000.00,171436000000.00,138838000000.00,152445000000.00,150534000000.00,136139000000.00,118339000000.00,102195000000.00,95907000000.00,73238000000.00,77720000000.00,76408000000.00,86218000000.00,69586000000.00,66476000000.00,65983000000.00,59655000000.00,50425000000.00,50482000000.00,48039000000.00,42479000000.00,47420000000.00,47799000000.00,44532000000.00,44412000000.00,39254000000.00,39575000000.00,40138000000.00,42083000000.00,42209000000.00,40649000000.00,30314000000.00,29271000000.00,30231000000.00,0,0,0,0,0,0,0.0
6,交易性金融资产,518250000000.00,470056000000.00,443792000000.00,417254000000.00,370491000000.00,304848000000.00,302908000000.00,312012000000.00,193611000000.00,163891000000.00,162880000000.00,138411000000.00,124090000000.00,133588000000.00,145782000000.00,122476000000.00,119062000000.00,121165000000.00,119531000000.00,111237000000.00,104528000000.00,92924000000.00,87240000000.00,87691000000.00,75200000000.00,74497000000.00,72317000000.00,80834000000.00,71590000000.00,90670000000.00,76891000000.00,69804000000.00,73807000000.00,67992000000.00,71564000000.00,69417000000.00,81237000000.00,83845000000.00,81793000000.00,70433000000.00,61897000000.00,59686000000.00,61009000000.00,85858000000.00,87814000000.00,80596000000.00,90857000000.00,108325000000.00,124665000000.00,150186000000.00,153854000000.00,130841000000.00,115828000000.00,102704000000.00,110602000000.00,107271000000.00,91012000000.00,114557000000.00,0,0,662056000000.00,0,0,0,0.0
7,衍生金融工具资产,93335000000.00,137521000000.00,86982000000.00,92872000000.00,124126000000.00,151306000000.00,122341000000.00,138360000000.00,94912000000.00,91755000000.00,73643000000.00,84065000000.00,130549000000.00,63614000000.00,91037000000.00,69514000000.00,82236000000.00,60371000000.00,55618000000.00,60017000000.00,47967000000.00,42242000000.00,42976000000.00,41907000000.00,40823000000.00,43755000000.00,47805000000.00,38115000000.00,40188000000.00,40645000000.00,40690000000.00,38035000000.00,42757000000.00,48092000000.00,46017000000.00,41702000000.00,39974000000.00,42259000000.00,35313000000.00,28247000000.00,28514000000.00,27882000000.00,37643000000.00,70043000000.00,76124000000.00,77708000000.00,72996000000.00,71885000000.00,45839000000.00,35156000000.00,33523000000.00,26139000000.00,24837000000.00,21695000000.00,21540000000.00,16808000000.00,16076000000.00,13162000000.00,0,0,0,0,0,0,0.0
8,买入返售金融资产,154387000000.00,228300000000.00,402614000000.00,309692000000.00,260597000000.00,193658000000.00,268069000000.00,228460000000.00,88840000000.00,84843000000.00,120490000000.00,120998000000.00,110119000000.00,45726000000.00,70737000000.00,25836000000.00,76630000000.00,59578000000.00,210775000000.00,285517000000.00,103169000000.00,330027000000.00,514463000000.00,720335000000.00,358048000000.00,203348000000.00,110286000000.00,248945000000.00,98048000000.00,97108000000.00,228460000000.00,325721000000.00,163698000000.00,122662000000.00,137417000000.00,157036000000.00,76732000000.00,149680000000.00,142144000000.00,227071000000.00,149422000000.00,186396000000.00,262624000000.00,403875000000.00,248348000000.00,265976000000.00,248627000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,应收利息,0,0,0,0,0,98790000000.00,97410000000.00,107874000000.00,96919000000.00,89689000000.00,86192000000.00,90702000000.00,79836000000.00,77574000000.00,77425000000.00,84834000000.00,77354000000.00,82026000000.00,81501000000.00,81929000000.00,76814000000.00,78882000000.00,77972000000.00,72883000000.00,62820000000.00,62630000000.00,60357000000.00,60056000000.00,54188000000.00,62318000000.00,62887000000.00,62565000000.00,54817000000.00,51865000000.00,48963000000.00,46098000000.00,42025000000.00,40978000000.00,39329000000.00,39083000000.00,34390000000.00,34993000000.00,33225000000.00,35826000000.00,34690000000.00,35472000000.00,35517000000.00,0,0,0,0,0,24306000000.00,25430000000.00,23187000000.00,20408000000.00,15101000000.00,19387000000.00,29693000000.00,40880000000.00,0,0,0,0,0.0
10,发放贷款及垫款,13068785000000.00,12888490000000.00,12569734000000.00,12260376000000.00,11819272000000.00,11697773000000.00,11403241000000.00,11130549000000.00,10896558000000.00,10808135000000.00,10650703000000.00,10364753000000.00,9973362000000.00,9875808000000.00,9728275000000.00,9474727000000.00,9135860000000.00,9035590000000.00,8897154000000.00,8802394000000.00,8483275000000.00,8444403000000.00,8424595000000.00,8158329000000.00,7607791000000.00,7535374000000.00,7439633000000.00,7326252000000.00,6864696000000.00,6918410000000.00,6753664000000.00,6589820000000.00,6342814000000.00,6248328000000.00,6216524000000.00,5956696000000.00,5660621000000.00,5555171000000.00,5391879000000.00,5312596000000.00,4910358000000.00,4602897000000.00,4313474000000.00,3807276000000.00,3296146000000.00,3186875000000.00,3242840000000.00,3078168000000.00,2850561000000.00,2741743000000.00,2671130000000.00,0,2432019000000.00,2441619000000.00,2405536000000.00,2235046000000.00,2146462000000.00,2157473000000.00,1735810000000.00,1586937000000.00,1377755000000.00,0,0,0,0.0
11,代理业务资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,可供出售金融资产,0,0,0,0,0,0,0,0,1857222000000.00,1759595000000.00,1711207000000.00,1675784000000.00,1609830000000.00,1550270000000.00,1302966000000.00,1130748000000.00,1078533000000.00,980582000000.00,923071000000.00,829435000000.00,750685000000.00,749358000000.00,682646000000.00,646271000000.00,701196000000.00,684525000000.00,680154000000.00,672951000000.00,686400000000.00,693787000000.00,607136000000.00,606445000000.00,553318000000.00,500899000000.00,506250000000.00,515153000000.00,656738000000.00,644570000000.00,597020000000.00,601884000000.00,622307000000.00,805125000000.00,850911000000.00,846115000000.00,752602000000.00,659469000000.00,721258000000.00,685963000000.00,682995000000.00,810207000000.00,915470000000.00,894210000000.00,815178000000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
13,持有至到期投资,0,0,0,0,0,0,0,0,2089864000000.00,2083531000000.00,2060889000000.00,1957147000000.00,1843043000000.00,1814401000000.00,1789746000000.00,1750263000000.00,1790790000000.00,1691177000000.00,1614981000000.00,1466085000000.00,1424463000000.00,1371457000000.00,1300033000000.00,1244576000000.00,1210531000000.00,1187814000000.00,1135720000000.00,1173855000000.00,1183080000000.00,1200997000000.00,1084736000000.00,1082300000000.00,1074116000000.00,1037102000000.00,1090748000000.00,1100040000000.00,1039386000000.00,1050980000000.00,918288000000.00,922152000000.00,744693000000.00,520811000000.00,624524000000.00,445613000000.00,365838000000.00,397217000000.00,377941000000.00,412641000000.00,446647000000.00,522678000000.00,445150000000.00,445379000000.00,461140000000.00,1849650000000.00,1877669000000.00,1562320000000.00,1218467000000.00,977630000000.00,0.00,0,0,0,0,0,0.0
14,长期股权投资,23210000000.00,23654000000.00,23384000000.00,22683000000.00,23369000000.00,17347000000.00,18434000000.00,17082000000.00,17180000000.00,16137000000.00,16142000000.00,15707000000.00,14059000000.00,13325000000.00,12441000000.00,11632000000.00,10843000000.00,18123000000.00,17579000000.00,16161000000.00,14379000000.00,14149000000.00,14003000000.00,13747000000.00,13368000000.00,13066000000.00,12582000000.00,12573000000.00,12382000000.00,13200000000.00,12604000000.00,13889000000.00,13293000000.00,11883000000.00,12316000000.00,12693000000.00,12631000000.00,11506000000.00,11032000000.00,11010000000.00,10668000000.00,9160000000.00,7639000000.00,7657000000.00,7376000000.00,7068000000.00,7070000000.00,6844000000.00,6779000000.00,6706000000.00,6406000000.00,6275000000.00,5931000000.00,14590000000.00,14775000000.00,15393000000.00,8074000000.00,8017000000.00,987263000000.00,841645000000.00,2962000000.00,5724000000.00,4986000000.00,0,0.0
15,应收投资款项,0,0,0,0,0,0,0,0,414025000000.00,416638000000.00,415969000000.00,397967000000.00,395921000000.00,432501000000.00,478874000000.00,590365000000.00,606710000000.00,667490000000.00,630799000000.00,468639000000.00,430699000000.00,319585000000.00,418059000000.00,264247000000.00,269543000000.00,278285000000.00,276613000000.00,276185000000.00,269454000000.00,292344000000.00,294916000000.00,295755000000.00,299518000000.00,276952000000.00,271907000000.00,270351000000.00,277963000000.00,275668000000.00,369554000000.00,373046000000.00,387782000000.00,392634000000.00,354336000000.00,430856000000.00,439954000000.00,425847000000.00,473144000000.00,499789000000.00,458620000000.00,0,0,516305000000.00,500336000000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
16,固定资产合计,244540000000.00,238839000000.00,232579000000.00,226599000000.00,227394000000.00,218173000000.00,209786000000.00,201247000000.00,205614000000.00,194571000000.00,197499000000.00,196073000000.00,194897000000.00,180725000000.00,181946000000.00,180319000000.00,182031000000.00,174303000000.00,170112000000.00,168754000000.00,172197000000.00,161566000000.00,161281000000.00,160156000000.00,158968000000.00,151624000000.00,150603000000.00,151578000000.00,150324000000.00,139795000000.00,138577000000.00,138144000000.00,138234000000.00,127091000000.00,127146000000.00,124394000000.00,123568000000.00,112971000000.00,111569000000.00,111515000000.00,109954000000.00,98641000000.00,96428000000.00,90739000000.00,88898000000.00,81724000000.00,81965000000.00,80782000000.00,81108000000.00,78563000000.00,79138000000.00,79948000000.00,81823000000.00,74064000000.00,75148000000.00,76320000000.00,79302000000.00,84074000000.00,75236000000.00,79601000000.00,52411000000.00,42624000000.00,36959000000.00,31847000000.00,0.0
