,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1574962120.30,1485741385.31,2144500004.61,1664635460.43,1364263998.76,1474898162.38,1908203671.55,2169078839.89,1273417745.75,1539334339.18,1735285832.41,1300840633.98,1663118266.08,1897673299.42,811847823.97,723560042.93,677668653.57,567154928.82,537574609.74,765526093.19,572076336.40,459412728.59,689905214.80,540040619.89,670406505.95,429865799.37,428393103.97,332528821.36,533524292.79,532997121.70,501294432.36,823224819.27,737068636.65,327443290.44,514126540.62,554375028.90,388602000.91,495153590.07,339949704.44,576553141.03,220088273.95,262842181.27,308324130.82,366829331.54,289184596.33,243266351.03,310440152.47,312847802.55,251412761.51,145375782.77,133121816.26,152935527.94,243250341.06,217589765.56,213333585.51,253805448.06,245426910.05,211110679.14,190888426.71,195402227.31,279330285.46,163748363.37,216421940.64,205489834.12,269883788.27,150417688.43,130042111.68,102474965.00,113023334.54,175190348.58,123788433.43,165457736.62,145584962.56,126189918.12,163853987.78,196311198.37,88763155.73,73360730.04,119873578.23,65857766.78,88996721.87,0,55324144.08,0,66479088.44,0,40936060.00,0,60928043.58,14149264.94,26545451.16,0,0.0
3,交易性金融资产,620000000.00,0,0,0,0,0,0,0,0,0,0,0,14630.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,0,0,1462000.00,1000000.00,1000000.00,1000000.00,1000000.00,1201208.00,1201208.00,201208.00,201208.00,7466447.48,543371.95,495371.35,495371.35,2811518.28,2811518.28,6424808.20,2424808.20,4466386.00,31170000.00,15932448.64,0,0,0,0,0,0,200000.00,0,8452166.25,0,5509480.00,0,609478.25,2000000.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,146381178.14,97223406.07,102308919.10,85304141.60,163229521.56,163166173.40,123274640.82,196862685.91,179945018.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,122752.99,353891.45,924794.03,662000.00,0,0,0,0,0,0,0,415928.07,515928.07,450000.00,0,532474.27,453740.00,0,353750.00,200000.00,0,50000.00,200000.00,200000.00,100000.00,100000.00,0,250000.00,0,0,0,0,100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130000.00,0,2674000.00,0,7704000.00,0,0,0,1838500.00,0,0,0,0.0
7,应收账款,146381178.14,97100653.08,101955027.65,84379347.57,162567521.56,163166173.40,123274640.82,196862685.91,179945018.15,238026859.98,145908845.30,234524037.22,187759002.35,180738543.24,154005474.32,198184259.09,177745500.78,224673659.63,166807567.66,148555223.88,186955501.09,174906270.94,155079120.40,179056499.53,172244644.54,173871021.13,142725195.21,143712080.01,171337136.42,157277588.49,118426202.87,124549934.27,144517509.79,133054373.88,103684066.02,128333134.42,126057848.13,142245926.24,108316397.12,134324196.94,130832412.98,122784795.37,105599928.42,112724808.93,86197072.40,115383105.62,108315704.34,100063068.77,78493919.68,28375666.84,28400332.46,30807708.34,54504794.01,53311641.47,45979756.61,49410682.87,21435488.32,42076076.02,30831319.57,27835412.16,23483352.45,29909506.18,20619433.41,41075320.72,26130968.53,21748130.44,20999784.11,19723556.73,17518686.72,21220105.66,19862778.94,15409205.27,15197362.89,26705321.98,32878637.16,10329396.43,8197637.20,8240759.94,10378799.18,8174043.98,11737292.61,0,11852047.61,0,1904661.74,0,0,0,4685046.14,530793.02,291073.53,13154311.02,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
