,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,90348999.23,65742800.16,83443413.81,139824220.07,111427189.36,118317713.65,111415440.80,133431721.28,139948533.28,118751075.24,130187877.55,115643309.94,129125322.65,116415960.00,128869173.39,99867654.58,94555396.60,94068299.14,124933086.55,85108940.17,85416726.70,91751100.93,100669347.99,60294116.32,116307243.69,103612407.86,134696082.19,57176047.94,119132009.36,138147249.36,147496442.11,119983704.05,136198890.92,124483526.58,156285722.02,113951236.06,89556300.14,89423269.04,64014133.05,74968358.74,102623484.26,110223482.03,53021858.51,17465712.82,132521515.97,47642852.50,120208753.01,18468330.44,285460694.73,271668729.73,172454327.04,123500860.47,153515133.88,131811506.41,85628722.49,57959371.82,53188207.50,47154065.83,82652243.79,55981432.57,90379260.52,139872033.03,144854956.60,113757975.47,15596368.06,10108449.20,28014670.63,79646426.73,46814495.02,27943492.29,963905.24,26609502.97,46578299.91,7141248.61,10264510.85,2544656.69,612589.97,512385.18,2428811.66,0,0.0
10,其他应收款(合计),97005977.87,205066702.63,110772836.80,188919515.21,56876957.97,123531016.64,28095582.29,77768240.39,0,122390019.46,0,71918484.23,0,36357538.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,243812.97,427858.44,1132357.77,1783273.92,0,3072315.05,3104118.32,3200766.91,3202028.40,3154594.88,3102722.28,3230101.23,3205288.58,1456.62,10387.86,249.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253281.36,73790.63,618245.84,434766.43,5242881.36,73790.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391905.00,0,838875.00,0,0,0,0,0.0
12,应收股利,0,89101138.79,16311181.02,11383.88,0,45037432.55,62879.95,18310.69,37028.07,15331245.57,2019.50,251200.74,0,15275000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,115537705.40,0,187124857.41,56876957.97,75421269.04,24928584.02,74549162.79,123172477.15,103904179.01,50230093.62,68437182.26,1662749.39,21081081.49,2086349.81,1728587.41,1841158.77,1125589.33,248284.88,580937.07,480731.56,435342.90,434283.86,381362.12,426198.04,11353387.02,404346.25,361367.00,360161.02,522196.03,222830.61,270072.71,124276.71,350889.07,568067.09,199731.26,246125.97,196601.76,358327.65,317426.41,453744.59,1102752.79,728698.95,393257.07,429928.54,460586.51,3509826.37,439865.27,527437.64,508129.29,487561.30,945500.00,333913.32,120414.83,188139.67,320145.61,602072.99,807109.23,265039.71,607750.51,446118.08,188767.13,738246.81,882981.94,539085.23,272164.67,242525.49,549436.54,445591.82,473591.26,114331604.23,1400458.91,9102919.44,535083.57,405418.69,660238.65,520681.64,2370279.72,18075847.91,319253.23,0.0
14,买入返售金融资产,0,0,0,28700375.00,21100247.00,56000604.00,13192199.60,4883096.32,9200182.00,59833998.82,31700314.00,21514147.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,185477158.06,382623303.01,496947383.29,239687878.65,303894106.78,356533307.32,306761283.83,144355238.62,228848005.10,214240277.28,331629568.74,146040959.17,240624341.72,359344705.81,422883287.03,413364944.36,440782090.39,432236059.88,466752017.18,476607084.64,308317344.92,235953078.20,372886291.03,238715458.18,316412430.70,269877439.37,334422866.89,257461399.75,258116269.17,330425518.76,365957089.66,189094087.85,492138453.62,568074837.12,1007448389.22,622097622.27,750054453.95,693510321.87,881598544.53,460305284.49,528222432.54,312401602.26,336405802.22,357073840.24,511895413.82,530849835.08,659802180.96,562896647.19,465328068.60,503349005.10,358731617.64,382698703.83,394007003.18,397072566.95,429576634.91,411062139.28,444256970.11,367860445.05,456950054.28,271275565.13,299160259.84,274216820.73,242374421.04,169937803.62,231679202.67,237572823.00,198086534.38,137257283.17,201209661.20,194173045.89,156206594.12,118107554.29,178232426.61,84147588.64,72212169.81,65418963.96,79517674.22,65201535.44,78337332.90,67321757.31,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054412.08,1934868.91,2931098.54,2082245.73,1895740.16,506856.70,904775.88,926703.50,247919.76,1015976.72,1489516.89,1318392.29,365728.69,842998.51,1538942.01,1498492.36,378906.77,790464.37,999889.64,828305.97,255201.21,725370.85,138756.66,622295.42,0,290400.24,0,30050.00,1077622.00,0.0
