,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2247507.86,5607064.53,6267554.30,17722544.66,21168648.74,35720860.95,69526368.31,240278527.28,89431189.23,61209828.63,67230624.03,89024996.49,56142261.63,26814105.43,30984786.72,52537903.47,66178169.16,48386184.06,21174931.76,6659676.00,67705318.37,45922070.78,43181252.93,10056644.14,28580265.05,18151142.30,64682468.06,103104101.11,22636562.95,87771371.79,84038510.26,55261563.21,66782606.55,96158106.33,91141540.12,109765601.58,68397338.29,64826325.43,133492643.67,147043124.24,128263480.27,214435695.11,225307511.91,165090207.99,191770653.00,136167873.00,154972789.48,215173879.49,101040772.27,96940569.17,13747953.02,39736056.77,7647490.88,12811284.43,16160627.26,62436943.59,13890815.69,12677621.11,73400695.66,88903032.75,40069453.88,31282971.74,21743118.27,32780106.34,46619220.17,63649732.60,79299651.24,107176793.61,67030481.46,46735601.04,0,114262503.88,75383033.56,110078920.93,34154476.56,48919277.20,58368580.73,78440220.45,28673734.08,6991791.31,6750577.60,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000.00,600000.00,487554.00,487554.00,382250.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,3000000.00,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,26189321.68,28820487.40,32825982.22,29600728.84,149498986.31,157060020.23,84349955.94,84740073.62,0,0,65167155.82,72356902.57,0,0,0,256136104.10,0,0,0,219409612.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0.00,0,0,0,200000.00,200000.00,0,0,200000.00,200000.00,1250000.00,1835605.66,3372853.66,2836537.85,15592456.85,24062500.00,25090211.20,27053206.85,34437095.49,22067095.49,73910000.00,124400650.00,112216288.00,48755117.31,123013097.04,108185233.65,29995967.05,46521081.20,61050000.00,81881297.51,93361463.34,90539763.34,27206000.00,107105342.71,31845651.96,110322383.95,110738069.10,112994503.28,32433403.42,152183400.14,93967239.70,95022285.39,110959437.10,47431283.65,27576255.90,71183566.90,48422000.00,20112560.00,16765190.00,11885190.00,3200000.00,3800000.00,300000.00,2000000.00,1892600.00,3903000.00,0,100000.00,100000.00,9495389.98,100000.00,100000.00,336000.00,1436000.00,0,80000.00,430000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,26189321.68,28820487.40,32825982.22,29600728.84,149498986.31,156860020.23,84149955.94,84740073.62,62660256.83,66695330.92,64967155.82,71106902.57,250067103.21,265708836.70,232067296.13,240543647.25,260931071.28,244968233.86,239841986.55,184972517.00,163400028.68,189915887.74,162710351.13,134038713.20,131877396.41,134945858.59,156747822.97,119825045.05,132335832.84,104163408.64,83407041.63,101582080.70,60667368.81,49503729.47,25914302.91,30043551.07,28419276.89,58266701.60,65532351.21,66128571.72,55886114.49,84168964.07,95027038.86,70630523.29,90262757.27,53604440.69,51940565.76,25596723.80,48566959.63,61184463.11,53728681.42,63657901.62,36287630.34,43160472.15,73056369.99,78137270.18,46410310.53,4824292.76,34811760.28,47156446.62,128778341.77,84287583.32,100214828.56,101639819.14,97540231.02,113907299.57,108142054.26,105251525.03,123346135.09,144482411.40,122730100.00,115371638.06,113722429.80,95542805.71,76215293.64,60875198.15,41516405.49,34889652.49,28310046.22,16311783.22,9416178.74,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
