,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1825128009.94,2003921602.41,1651188584.04,1552802386.96,1433301580.67,1249080432.92,1295114027.94,1127410595.12,301737336.76,171717872.65,546140188.51,517551527.66,660283721.27,409870704.42,567371163.25,753413371.35,528596342.55,818845831.92,1039398294.53,1035668077.15,969595808.64,548001732.79,380540280.72,555105140.20,896370473.24,751689133.46,414690662.37,444027014.22,456479010.00,354633478.91,311017561.11,285975500.82,174112872.41,443269487.29,116243489.82,122625992.46,67458864.57,112396326.62,55132394.98,148147620.70,63664303.26,117093545.17,82727500.93,51938630.89,117056323.72,41471696.14,21111076.35,235550211.10,67642968.68,61516645.72,52615665.58,81502437.60,59771146.48,74271340.54,157339942.67,91890008.81,107099536.67,127391767.91,134524090.98,162072233.18,76137263.40,50857670.54,143177733.77,24912196.55,26646363.20,25190485.22,0.0
3,交易性金融资产,108108.00,108108.00,108108.00,108108.00,108108.00,19265637.80,48620175.43,43967102.03,63840322.59,64169100.03,71385688.99,38775809.79,48289171.32,42899075.44,44998997.68,54636343.44,42707411.88,73310001.48,45223970.60,18721377.12,13479605.00,11463054.84,12580646.12,12437345.20,17793355.60,14409713.20,15672071.48,14954344.76,13583611.80,14610991.80,13434995.84,12417507.72,14979465.16,19235210.16,20867762.74,21628795.68,46370542.78,38007642.14,35159514.00,10383590.00,33477439.80,39101686.58,19557369.03,12767858.85,13538671.76,19215880.70,21066752.89,0,32251192.90,8879118.00,13164280.00,0,11221688.44,25643186.81,5714854.35,4727686.37,4744311.29,4511624.00,4465114.00,5324370.00,6013776.72,4321407.99,2861480.00,2717032.00,1864995.80,2013765.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,161021467.45,519431574.83,567239625.34,620641287.41,205275731.85,415560051.26,403520263.88,493856205.24,0,84005803.87,0,37567150.77,0,12092934.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,150000.00,0,8520000.00,0,0,6074000.50,4174000.50,0,0,0,0,1495825.87,3070000.00,0,0,0,0,0,21620000.00,21620000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,160871467.45,519431574.83,558719625.34,620641287.41,205275731.85,409486050.76,399346263.38,493856205.24,39581747.86,84005803.87,18916655.72,36071324.90,42941634.32,12092934.01,7923677.08,9352024.88,15275121.41,47561704.33,44108132.64,19255171.71,7436698.69,10624454.66,19414955.00,10166979.00,6654940.38,6977174.04,17243701.52,5439140.51,54296761.29,5325955.50,8432339.58,4491528.60,11854065.24,6784867.59,19210294.36,7385030.63,11056800.34,43355709.17,9940789.29,13746164.41,24727353.03,8842882.48,7922725.29,46119554.25,8893261.16,8981908.09,9417876.96,235982349.26,13024525.81,28528110.14,10584556.51,14133741.92,23476589.51,18764047.62,9462168.12,31403693.39,5182356.29,5209499.72,6744295.73,11003058.17,6957179.10,9492345.75,3705596.00,2690069.82,2573616.37,9547872.77,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
