,报表日期,20191231,20181231,20180630,20171231,20161231,20151231,19700101
0,单位,元,元,元,元,元,元,
1,流动资产,,,,,,,
2,货币资金,157046746.03,115579490.29,37894157.67,176999385.44,276731650.50,171874476.18,0.0
3,交易性金融资产,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0.0
5,应收票据及应收账款,197482164.08,215828602.94,273056622.32,236130692.83,245205953.67,203172648.39,0.0
6,应收票据,3997500.00,0,0,0,0,0,0.0
7,应收账款,193484664.08,0,0,0,0,0,0.0
8,应收款项融资,28911846.78,0,0,0,0,0,0.0
9,预付款项,273444.31,321587.71,444568.01,1690063.84,2386222.50,910462.36,0.0
10,其他应收款(合计),693746.18,201377.35,40513.49,206151.38,499567.69,96360.31,0.0
11,应收利息,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0.0
13,其他应收款,693746.18,0,40513.49,0,499567.69,96360.31,0.0
14,买入返售金融资产,0,0,0,0,0,0,0.0
15,存货,83926492.75,108161592.23,119902673.84,164716432.23,234416691.85,218383397.61,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0.0
20,其他流动资产,0,1102888.78,5296290.93,225037.10,997690.96,20376238.87,0.0
21,流动资产合计,468334440.13,441195539.30,436634826.26,579967762.82,760237777.17,614813583.72,0.0
22,非流动资产,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0.0
29,在建工程(合计),1299754.26,794644.21,0,166814.02,0,0,0.0
30,在建工程,0,0,190144.21,166814.02,0,0,0.0
31,工程物资,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),93537349.87,105619978.90,0,117113912.77,0,0,0.0
33,固定资产净额,93537349.87,0,112423735.27,117113912.77,129535080.34,139729630.20,0.0
34,固定资产清理,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0.0
39,无形资产,35917115.90,36553424.73,36964031.85,12737039.09,13065501.53,12464328.05,0.0
40,开发支出,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0.0
42,长期待摊费用,0,0,0,0,0,0,0.0
43,递延所得税资产,18377766.45,20415071.95,21082824.92,21425530.67,19593717.26,16022090.19,0.0
44,其他非流动资产,4946276.84,1867979.45,41281.71,12436736.00,0,0,0.0
45,非流动资产合计,154078263.32,165251099.24,170702017.96,163880032.55,162194299.13,168216048.44,0.0
46,资产总计,622412703.45,606446638.54,607336844.22,743847795.37,922432076.30,783029632.16,0.0
47,流动负债,,,,,,,
48,短期借款,0,0,0,0,0,77000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0.0
50,应付票据及应付账款,57579233.57,62262028.18,71203357.61,207748047.81,385211150.42,380128487.59,0.0
51,应付票据,19638136.70,0,0,0,0,0,0.0
52,应付账款,37941096.87,0,0,0,0,0,0.0
53,预收款项,3990467.13,707516.20,4555670.43,6406744.79,11044256.01,10319671.57,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0.0
55,应付职工薪酬,10686820.27,13552922.93,8606998.57,16408125.78,11837835.20,11355095.51,0.0
56,应交税费,7941500.88,2444492.39,732902.85,22185758.28,5782018.21,208771.34,0.0
57,其他应付款(合计),230865.64,245114.91,361705.35,126309.84,24171700.30,25152233.26,0.0
58,应付利息,0,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0,0.0
60,其他应付款,0,0,361705.35,0,24171700.30,25152233.26,0.0
61,预提费用,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,70000000.00,50000000.00,21000000.00,21000000.00,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0.0
66,流动负债合计,150428887.49,129212074.61,106460634.81,273874986.50,438046960.14,504164259.27,0.0
67,非流动负债,,,,,,,
68,长期借款,0,70000000.00,120000000.00,120000000.00,195000000.00,10000000.00,0.0
69,应付债券,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0,0.0
77,长期递延收益,0,0,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0,0.0
79,非流动负债合计,0.00,70000000.00,120000000.00,120000000.00,195000000.00,10000000.00,0.0
80,负债合计,150428887.49,199212074.61,226460634.81,393874986.50,633046960.14,514164259.27,0.0
81,所有者权益,,,,,,,
82,实收资本(或股本),240000000.00,240000000.00,240000000.00,240000000.00,240000000.00,236200000.00,0.0
83,资本公积,3386188.37,3119723.22,3119723.22,3119723.22,3119723.22,13150000.00,0.0
