,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,27758860.19,39880955.88,42862564.36,30764592.36,32284602.86,41008146.72,34844499.59,54182702.32,62557829.85,58201062.21,55502254.08,55761103.18,70451872.99,9985636.29,7644705.21,44199750.78,103565095.03,31233602.67,41967697.01,40423922.18,108686508.88,147946842.43,185808753.96,205458436.26,214333775.28,26366495.87,21197913.26,8323453.48,11620856.24,5247659.47,4874897.71,6656921.18,7659791.85,6222889.60,11716784.28,7299230.92,52987444.62,5917294.83,6062298.44,9996407.44,14345192.46,12940715.33,22426900.81,18260923.95,10546190.17,24003914.94,27463688.47,20675993.62,26988999.30,29038303.61,56081560.26,28683622.17,24877795.15,21197015.91,31479015.38,53589036.02,55778427.49,128233272.49,144168811.28,0,121814909.14,256225243.37,273993608.98,0,250317585.12,259422434.12,142329688.80,126672986.97,107801357.80,293317547.88,417117668.92,513722000.00,651445418.04,175817960.97,153495057.97,49230646.56,70222058.72,50050581.83,48734291.50,10149963.84,18090569.03,0,31018135.14,0,37941332.41,0,18539706.68,0,36823475.57,38313529.68,0.0
3,交易性金融资产,26600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154000.00,154000.00,154000.00,154000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37547266.00,66331054.28,66332054.28,0,66432054.28,61746686.70,63746686.70,66006706.70,91714766.94,157000000.00,67000000.00,0,0,0,0,0,0,200000.00,200000.00,231033.00,9716699.47,0,11664092.92,0,235944.10,0,8987261.84,0,3458033.00,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,7918213.70,54654022.56,51048094.94,48585868.72,50657095.97,91788589.84,93058932.37,15480810.29,55126005.71,0,8676577.46,0,10279042.25,0,50181909.16,0,0,0,0,0,0,53745924.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.00,2000000.00,2480862.30,380862.30,800000.00,1004252.67,0,0,4500009.00,400000.00,0,0,0,5000.00,0,0,853000.00,1930000.00,50000.00,50000.00,395490.00,803990.00,500000.00,130000.00,975821.60,580000.00,1040000.00,110000.00,355000.00,245000.00,130000.00,192000.00,365000.00,8124899.43,3866387.00,3727855.38,2010100.00,2331255.91,3942876.71,1941690.00,2506662.50,800000.00,490000.00,50000.00,0,0,0,250000.00,0,0,0,200000.00,0,0,0,0,0,0,0,0,0,0,0,0,20000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,7918213.70,54654022.56,51048094.94,48585868.72,50657095.97,91788589.84,93058932.37,15480810.29,55126005.71,8057788.32,8676577.46,10055759.31,10279042.25,48389998.13,48181909.16,42080211.07,48724591.03,62764782.88,63272266.25,71641564.41,59796325.15,49245915.12,56096199.55,50472582.34,48394741.86,53542728.34,51542879.39,58437822.58,52501249.26,53004807.20,50401712.21,61742829.94,60006138.31,72630751.93,43863966.20,59556675.61,64126581.24,61977118.20,57815467.18,49085199.53,53284487.15,67879687.89,70834921.60,62989157.73,63013056.40,58690951.41,118572270.08,110158380.60,101156672.94,65199093.97,59157069.18,74445710.97,75127317.96,76548506.39,73074861.28,84764728.11,78946742.00,110311812.79,99311678.42,0,99268618.06,52484393.92,73328575.19,0,75970845.60,66698763.95,36158841.55,35717766.33,35922585.53,24587225.02,25446124.64,22625900.00,22460879.94,21111382.80,28099196.49,55525200.53,54212914.62,55939453.20,31744566.54,25327347.22,43051204.06,0,49997536.55,0,59603586.54,0,69017228.40,0,57937310.20,45536222.76,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
