,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,101519469.09,264669644.12,15420633.41,37946475.57,39281971.02,13764221.93,166194674.17,251522256.68,132062875.28,171458899.37,543208925.24,418359390.08,142639700.43,153909517.64,78595280.35,22987117.61,38053297.29,8316070.39,19656768.25,272500176.47,297747370.86,426740149.05,824096413.79,13452200.59,12549793.59,22320824.73,61703086.39,101828923.94,106531894.59,38815215.17,53480266.28,237851984.80,352442641.99,110295752.23,591913828.88,504001261.09,343181394.62,94677034.52,72920571.83,80285984.59,64420169.76,40322272.91,102771691.17,254343581.61,137210359.42,74692668.17,145386871.94,88874317.78,87266697.50,42958512.60,39751593.56,42402087.12,53318124.10,345298868.42,518367002.17,573926435.99,564282993.91,616277783.80,611658648.14,611535990.06,612582277.96,552311421.60,565381519.93,542807505.13,613857655.41,500636241.90,511555340.00,598120658.80,579758123.32,461692079.70,454861589.98,478008453.16,499027324.01,481785288.19,108041010.81,70221177.77,22912441.41,8335594.53,2368808.30,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,103330522.31,69969271.49,78764519.69,70158799.10,114943118.74,61806708.45,53836138.71,61029238.38,58096247.10,0,48114166.24,0,53841126.48,0,84704078.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,65098395.15,57302690.28,55767582.15,52968389.48,46478358.78,44149966.55,32952209.72,33770189.34,20312987.57,18646395.43,21569410.57,22191086.15,23346548.32,26710309.78,46077029.78,35279515.98,29729296.38,20198150.13,22185705.70,30890027.98,30405942.25,27840586.00,42166299.00,600956.00,834132.00,670392.00,70691110.02,10398717.40,30221457.00,39450136.72,100045145.14,42965979.63,17824537.61,69701953.45,72443333.35,48751000.95,181594129.00,62654958.88,100831076.13,16926412.50,38159942.00,2897068.56,45020196.95,46315804.99,49120175.64,59775167.23,27660241.46,76273525.76,136966246.85,107353008.80,110662996.17,79751000.00,81500000.00,100000.00,100000.00,78923847.27,92818981.97,0,20000.00,1223000.00,1060000.00,322562.50,500356.00,50000.00,350000.00,4778830.19,0,3281590.95,3847863.78,4108530.05,1270000.00,520000.00,663579.00,0,0,0,0,0,0,0.0
7,应收账款,38232127.16,12666581.21,22996937.54,17190409.62,68464759.96,17656741.90,20883928.99,27259049.04,37783259.53,18555300.61,26544755.67,38565541.93,30494578.16,19697929.61,38627048.82,73272373.08,61194539.87,267495.55,1756296.94,11872485.02,22068723.32,17020920.06,7911306.90,936163.18,1466458.18,1962617.91,2147727.49,1679493.94,1661242.89,22401324.19,13531823.28,23839213.86,25641756.90,43897124.16,17222477.35,13365397.52,26968318.82,189113194.17,169208999.51,208726262.90,207655901.92,165802613.37,173880101.24,196544434.68,179284559.85,208776793.67,160721497.66,136514612.49,169684260.30,220986075.53,209279725.98,125697535.76,114542035.02,156972077.40,151002514.24,136727834.39,148047537.37,215800864.84,210599917.01,183806515.12,140120111.84,123766527.57,82291496.56,43503488.59,51847624.78,50048037.50,39742579.11,46665688.34,31629969.46,42900384.43,56765406.46,53509097.95,44773007.97,31417681.52,35911751.41,33636541.69,43382884.94,35839479.37,21672262.39,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,17510733.26,17993269.00,7653854.39,25861.60,2070266.82,47576042.42,57795622.49,58597412.57,8041317.45,2248720.21,3386399.49,6081431.85,2715515.99,3828524.35,2342514.62,4074512.81,15180202.45,31335326.08,175502.72,1754855.86,45051.82,60939788.23,78587005.36,45540570.14,450542.57,205853.71,142847.07,167190.35,1706863.73,118690236.60,107347909.28,117507784.77,41523441.18,62598552.75,64499642.11,95927530.44,113933377.46,81619667.60,63955248.98,114839811.26,111816364.14,236060499.06,142524765.31,301243267.96,332672318.78,315827335.68,330733190.62,428755836.72,301054788.18,290391327.34,295649454.30,371969887.19,334945907.99,338602935.67,211412189.54,134094794.45,109241255.76,93332708.40,68006307.50,52046764.46,56856645.70,105405390.43,104163452.22,87348659.65,81889296.66,68356045.25,42730575.21,48787338.17,47722680.51,60842552.30,32202390.45,18694806.54,16411332.60,17557782.30,8385790.75,1782955.88,10006121.32,6615689.76,12291037.41,0.0
