,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,387496070.15,473535383.81,558894890.70,590334702.96,598698206.22,1048523479.26,697639550.44,1047670400.75,982840844.13,717777061.99,708127411.50,994688783.21,191116117.65,316211914.48,163993536.76,95920787.88,15342843.27,19638709.66,23391482.05,49025462.00,35657845.71,154429294.69,66396182.75,38652439.63,75467223.44,71746671.42,190162626.80,39283307.08,132674386.12,114629457.33,245073162.79,258961843.01,213053152.12,243670534.76,257571249.86,77371886.06,26753168.65,41286020.64,49530691.94,125892909.01,140933846.23,53379420.32,20341240.39,31655160.43,41622441.74,21871931.73,116258904.25,134010814.07,133229092.62,9096245.80,79054337.09,32375745.55,49512352.43,43737739.42,53979947.25,23327430.03,82000605.67,57267280.19,117538138.35,131793333.03,165850647.44,45600088.50,42825817.58,106434660.21,89394094.95,45129572.75,59700520.95,19666098.09,84904887.43,80113148.62,40041513.81,143391703.89,48760160.72,48974411.86,4706451.37,9233837.02,1103290.99,6883942.18,27313502.06,46754590.82,0,13917361.71,4181177.76,5392291.62,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4632936.51,4156746.03,4365079.36,4449404.76,4479166.67,0,0,0,0,11971178.00,9708800.00,13382450.00,7669200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000.00,0,0,0,0,0,0,0,0,0,0,1000000.00,0,0,0,0,0,113850.00,113850.00,0,0,0,0,0,0,0,0,0,1920000.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,2034351755.82,1905110942.73,610291466.77,564654990.06,663028207.44,590587957.65,703565158.81,617799018.52,802727730.61,426538079.14,0,365639397.36,246302123.69,4084635.50,0,1754878.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,5300000.00,1000000.00,5346760.56,15912693.98,3238254.38,1600000.00,2869824.94,1291754.98,0,0,0,100000.00,200000.00,200000.00,0,0,0,0,0,0,0,0,0,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,2029051755.82,1904110942.73,604944706.21,548742296.08,659789953.06,588987957.65,700695333.87,616507263.54,802727730.61,426538079.14,347300924.71,365539397.36,246102123.69,3884635.50,7726478.00,1754878.00,2381867.35,10508973.15,40105.00,85405.00,144466.71,75623.71,94500.82,110486.52,20710.17,593435.17,602105.17,584505.17,595319.42,641633.42,585887.92,564293.92,599702.57,545832.57,551879.22,531076.22,533723.22,521310.22,444020.10,3802112.80,941014.51,1746734.11,1111718.41,603669.61,570191.72,519130.42,452872.32,1600659.48,2011263.23,103566381.13,1496497.73,2156542.33,2449942.83,2566471.45,8884034.13,12222534.13,10964174.00,12264174.00,10908070.62,18769138.30,15074187.95,16660928.96,14996744.97,6045351.02,2506657.40,3624534.18,2357057.36,8118086.52,5736661.26,3571153.18,1909578.00,0,1604862.50,458394.00,2876500.00,0,2398941.32,2436661.32,3320411.32,3725961.32,0,9935935.95,9656971.99,2123592.32,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
