,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,862013587.14,823020583.64,828625317.42,866075476.43,985130218.41,1018342511.26,1558512931.97,1321219510.12,1216689191.87,1136549178.75,761934235.48,784047954.48,1175781903.52,353777171.32,534472043.63,489462182.62,412823298.21,204516281.02,195610179.94,3003864.15,3539041.03,7860316.89,3768840.45,4391336.81,5611276.07,6352508.81,6249289.25,5807092.79,6328875.20,7341180.05,7143339.78,6401406.43,7662960.07,7856392.18,7766967.70,7287194.85,7344989.87,8250919.28,7706656.24,7500178.68,8922522.19,1772695.53,1139577.73,1920934.92,10575356.02,10654907.28,9967193.54,10361685.03,22060870.94,22010390.94,9215064.92,9444656.99,12614113.53,12380685.27,9818792.46,12085230.37,14614798.46,12816692.46,16816692.46,16938430.46,14061226.46,11568929.42,14372784.27,20277233.61,16131873.95,20536538.97,17274791.65,21090937.23,23994785.38,30366916.14,23757782.45,28028786.32,36693909.29,24807643.63,16731416.94,11333370.88,13430272.94,11857596.25,15522619.71,10006670.40,0,6454122.22,0,25840465.32,0,0,0,0,0,0,0,0.0
10,其他应收款(合计),1081038415.24,995168641.61,1025133825.94,1016515733.98,114992405.37,101716853.16,115251832.47,105530263.60,0,114724529.75,0,66544269.82,0,79669814.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,2647500.00,2647500.00,1267500.00,1267500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,995168641.61,0,1013868233.98,0,100449353.16,115251832.47,105530263.60,132140060.44,114724529.75,80731074.90,66544269.82,157511152.05,79669814.83,170889570.70,95991776.59,62977096.52,55525151.13,86729580.50,12771528.49,14551944.81,13186645.34,12214116.46,13180865.72,14188703.95,12393985.30,12048868.51,13148651.89,18777387.07,18024388.21,16707625.71,18862956.90,22410997.30,18852690.56,19539185.61,21136732.49,41112957.66,37429904.99,37498531.75,38002553.80,41302416.61,35851987.32,36652440.70,37978538.91,40201417.17,40897623.29,44775741.10,46051715.26,42430672.30,40454942.05,40746785.26,43133691.74,45718252.24,41798948.69,41016171.67,38789598.19,38501829.02,39109069.25,37722048.01,34846874.22,30591463.35,50120694.23,46439564.16,43066944.66,47401453.15,49135077.55,54694267.87,53132186.19,52442804.65,39388696.55,38009320.96,37170680.15,30221213.15,31144749.46,40222718.02,76578430.45,60615799.66,19842204.75,19667233.29,18965899.30,0,22468762.38,0,16804565.49,0,0,0,12185523.70,4604277.82,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3815725.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,6742742.44,6421586.71,5761782.82,8013483.01,144232593.89,365840372.33,199014042.11,246698860.42,655742304.67,425300538.46,110497239.12,105533806.73,122808414.51,102144144.96,117095977.91,120335065.71,117997042.50,107809404.83,92764629.05,2577753.16,2414886.03,4022831.72,3770498.25,4377383.35,4709777.76,3964226.46,4163461.23,4570602.65,4609590.36,4695739.94,4976222.51,3913730.18,4677224.16,4485449.43,5292150.63,5791143.25,0,2557811.40,32813227.84,32801501.96,33429580.93,33098649.82,33113822.53,33390258.08,39301591.20,39371023.68,39417693.31,39417569.85,39625995.10,39579547.59,39314376.92,39708019.94,39617125.33,39504297.83,39523928.28,39841240.20,46306538.76,46576333.29,47148637.67,49621579.24,50838527.43,52288802.62,58159604.92,59736202.02,63102297.82,49029690.59,61811159.44,59376506.13,69792738.39,72409194.09,52250415.59,55217834.11,34812191.34,34109670.69,30721368.95,37771794.19,25869898.60,24198956.75,24742117.42,25336802.65,0,28119333.61,0,25596422.23,0,40354000.00,0,41660575.04,22287294.14,0,0,0.0
16,划分为持有待售的资产,0,0,0,37178517.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618215.29,4298791.85,5223584.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803899.48,0,0,0,0,0,0,11167988.90,11167988.90,0,0,0,130480.00,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748337.43,6837.61,0,0,0,144618.00,324559.69,318594.12,653641.33,510267.80,649260.97,562769.96,1790366.34,459879.59,741845.31,326419.56,2823214.76,0,903234.85,734030.16,1028758.15,1102532.76,652102.04,456089.36,981659.40,1120808.82,1849746.12,2159347.74,0,3291493.02,0,4174953.69,0,0,0,1280.00,60159.91,0,0,0.0
