,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,160567567.99,177585287.22,215103627.37,464626323.65,372754436.20,148089089.99,237789320.98,448809449.96,274328426.69,615232818.61,306109434.03,349609210.51,359184986.02,213875947.86,305104786.67,312378504.11,401033145.26,397607146.38,320359386.98,269924924.92,412647183.10,331376115.02,326648777.29,215836978.82,188659399.16,183182105.22,145227524.04,492131834.31,224912432.26,227583615.35,399455176.12,592458249.65,391823488.62,209545884.81,251355998.07,390054277.89,385407493.44,312096097.23,189211988.57,557070496.65,319282393.26,198230868.99,187226948.98,197184850.78,282634528.72,139265702.53,28334382.77,221181032.09,117811815.96,98493310.15,36257318.54,94863941.97,97236160.62,40045692.11,49162752.44,171987992.41,79188419.98,76828095.47,70419693.54,197759553.75,144397705.56,80173248.67,72217477.46,177182988.79,115807855.83,119703421.11,88514215.78,201472973.59,148497695.04,175711518.51,0,410078452.70,365845055.00,184277854.12,68835557.51,91312223.38,79714891.63,169192020.36,71154361.37,63503397.30,58709064.98,25148677.24,0,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000.00,32580011.94,32580011.94,32580011.94,32580011.94,33581882.25,39944392.38,39944392.38,39944392.38,4130000.00,4130000.00,36130000.00,36130000.00,5130000.00,5130000.00,5130000.00,5130000.00,5930000.00,5930000.00,0,5930000.00,6700000.00,6700000.00,7470000.00,7500000.00,7500000.00,8500000.00,8500000.00,10000000.00,10000000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,600111055.54,643458929.68,671063037.69,565706862.68,535122214.93,558427027.49,579952566.07,491435645.16,0,557965118.77,0,346948454.52,0,389538386.74,0,263579713.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,350000.00,200000.00,2110000.00,2376958.44,1826958.44,3443184.40,3981934.40,5410353.00,273038.00,1163288.00,2835724.10,3527853.88,2640000.00,3440000.00,5396273.00,1690416.00,2419364.29,1634371.27,4737007.79,4039675.24,940809.00,295809.00,220000.00,4042289.00,0,52318.60,702318.60,3453340.00,35645.00,50000.00,971693.60,1152000.00,340000.00,223000.00,1073000.00,594377.00,0,743813.00,2343813.00,1838343.60,0,350000.00,2734456.25,3585154.63,0,300000.00,800000.00,3000000.00,2657638.06,0,600000.00,3985728.59,1116994.55,0,1200000.00,1850000.00,1350449.30,1675880.71,200000.00,2100000.00,0,0,5000000.00,6070000.00,0,0,592000.00,2640000.00,0,0,0,0,0,0,0,0,0,300000.00,0,0,0,0,0,0,0,0.0
7,应收账款,599761055.54,643258929.68,668953037.69,563329904.24,533295256.49,554983843.09,575970631.67,486025292.16,536517960.62,556801830.77,516658310.43,343420600.64,372719870.04,386098386.74,384162985.84,261889297.88,309084094.24,356787272.63,374530763.21,301209998.16,312272899.42,325179537.40,342261026.15,294236960.65,326326944.32,329723363.79,233261582.98,212261888.40,268519268.60,297983272.79,238991055.75,236068569.35,279550829.92,264905555.15,254980771.43,265778667.74,307650973.87,302690853.09,279826014.41,278796935.06,309623362.81,311935020.03,305190721.14,314429387.33,329979254.44,318590004.82,322783547.39,324765845.89,386929723.82,391035884.58,387049993.31,388150025.14,399192700.44,401773783.37,406005786.02,406471581.46,413431303.22,408262690.33,414047140.08,419472273.27,431703525.70,413514429.64,418237127.21,421154680.57,416890633.68,429220457.01,450384262.95,460914645.68,464462669.38,452905167.29,462537600.00,465851487.79,436424796.90,378292434.40,395523756.04,259782105.92,299548825.45,202368480.64,150236842.10,115911314.81,125810124.35,87102088.72,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
