,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,002649,博彦科技,1.0766,83.5965,18094.5706,0.005,0.3294,273.224
1,300467,迅游科技,10.6435,8.4559,5413.6252,0.0166,0.0888,1013.5135
2,002707,众信旅游,4.9456,18.198,3974.5175,0.0226,0.9543,94.31
3,000415,渤海租赁,4.4392,20.2739,2878.9173,0.0313,0.1389,647.9482
4,002400,省广集团,0.8598,104.6755,1351.5514,0.0666,0.3627,248.139
5,603569,长久物流,0.9322,96.5458,1295.9413,0.0694,0.5365,167.75400000000002
6,600897,厦门空港,1.5872,56.7036,823.062,0.1093,0.3404,264.3948
7,300518,盛讯达,0.8459,106.3956,386.6428,0.2328,0.1293,696.0557
8,000712,锦龙股份,,,279.5678,0.3219,0.0004,225000.0
9,300347,泰格医药,0.6734,133.6501,247.3425,0.3639,0.3114,289.0173
10,000429,粤高速A,7.1346,12.6146,239.3507,0.376,0.3165,284.3602
11,601519,大智慧,1.3780000000000001,65.312,232.9923,0.3863,0.0627,1435.4067
12,600605,汇通能源,1.1674,77.0944,223.6363,0.4024,0.5994,150.1502
13,600221,海航控股,12.6041,7.1405,203.4541,0.4424,0.3972,226.5861
14,600131,国网信通,15.2714,5.8934,198.9221,0.4524,1.6183,55.6139
15,002039,黔源电力,2.6489999999999996,33.9751,186.2685,0.4832,0.4656,193.299
16,600452,涪陵电力,429.2078,0.2097,181.3959,0.4962,0.5507,163.4284
17,300170,汉得信息,0.4818,186.7995,140.8759,0.6389,0.1843,488.3342
18,601518,吉林高速,21.5422,4.1778,121.3524,0.7416,0.2846,316.2333
19,300012,华测检测,0.9686,92.9176,118.5594,0.7591,0.3528,255.102
20,600865,百大集团,11.7956,7.63,117.823,0.7639,0.4312,208.7199
21,300058,蓝色光标,0.6372,141.2429,115.2279,0.7811,0.2949,305.1882
22,000089,深圳机场,1.7707,50.8274,114.9737,0.7828,0.3126,287.9079
23,300383,光环新网,1.7456,51.5582,110.9168,0.8114,0.6181,145.6075
24,000791,甘肃电投,1.3025,69.0979,107.7335,0.8354,0.1127,798.5803
25,600695,绿庭投资,0.6855,131.291,106.4152,0.8457,0.0302,2980.1325
26,000504,*ST生物,0.2362,381.033,92.2823,0.9753,0.0243,3703.7037
27,000503,国新健康,11.8687,7.582999999999999,87.8853,1.0241,0.0486,1851.8519
28,300144,宋城演艺,34.119,2.6378,74.3427,1.2106,0.3163,284.54
29,601598,中国外运,1.2942,69.541,63.619,1.4147,0.5002,179.928
