,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,300242,佳云科技,3.6895,73.1806,85015.4914,0.0032,2.0223,133.5113
1,000676,智度股份,3.4927,77.3041,20705.2366,0.013000000000000001,1.6421,164.4236
2,002647,仁东控股,2.7995,96.4458,18583.3429,0.0145,0.3646,740.5376
3,000606,顺利办,10.722999999999999,25.1795,17157.523999999998,0.0157,1.7626,153.1828
4,300170,汉得信息,1.101,245.2316,13130.3373,0.0206,0.7411,364.3233
5,000526,紫光学大,72.2331,3.7379,12582.4531,0.0215,1.4755,182.9888
6,000429,粤高速A,24.5955,10.9776,8999.1539,0.03,0.9152,295.0175
7,002400,省广集团,3.5441,76.183,7084.8488,0.0381,1.5930000000000002,169.4915
8,600790,轻纺城,341.8527,0.7898,6922.2814,0.039,0.3047,886.1175
9,300770,新媒股份,3.0636,88.1316,3666.2964,0.0736,0.4715,572.6405
10,600897,厦门空港,5.1098,52.8396,2957.4411,0.0913,1.0232,263.878
11,002039,黔源电力,9.9746,27.0688,2624.3872,0.1029,1.5521,173.9579
12,000503,国新健康,4.4429,60.7711,2012.3143,0.1342,0.0757,3566.7107
13,300675,建科院,1.0126,266.6403,1972.0938,0.1369,0.4927,548.0008
14,300467,迅游科技,8.4476,31.9617,1917.0409,0.1408,0.4873,554.0735
15,300347,泰格医药,2.2104,122.1498,1785.1239,0.1513,0.8366,322.7349
16,601619,嘉泽新能,0.64,421.875,1714.1666,0.1575,0.47200000000000003,572.0339
17,603813,原尚股份,2.7723,97.3921,1645.8985,0.16399999999999998,1.9027,141.9036
18,002707,众信旅游,15.3004,17.6466,1485.0693,0.1818,2.8514,94.6903
19,603357,设计总院,0.6586,409.9605,1338.6812,0.2017,0.3763,717.5126
20,002968,新大正,4.718999999999999,57.2155,1262.8716,0.2138,2.1285,126.8499
21,002659,凯文教育,26.0506,10.3644,1154.996,0.2338,0.386,699.4819
