,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,20061231,20051231,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,处置交易性金融资产净增加额,7176159305.02,4163735979.37,2230132840.83,1149794908.77,591794100.30,0,0,0,6722665132.26,2863137959.45,9071286082.10,0,0,0,334423789.95,0,0,376331392.60,0,300385841.53,0,0,0,0,0,0,0,0,0,0,639001366.57,0,125663071.57,-437870578.01,951810442.09,-2029730493.83,926958651.47,895474561.05,894327756.82,-1592591941.93,-259680976.27,465497246.83,-207106250.81,0,0,0,0,0,0.0
3,处置可供出售金融资产净增加额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331106824.71,38427588.50,0,0,0,1283433.60,276272664.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收取利息、手续费及佣金的现金,6429634208.19,4158904900.81,1980655217.43,9412012609.97,6794991505.66,4906065013.12,2530107322.40,9251397811.84,6509843585.03,4161412226.94,1852233771.57,9404684388.12,6960511829.70,4668225091.19,2384224423.76,12296686427.49,9218882239.96,6271268774.69,2294520397.89,5189409486.83,3232620444.27,1930020524.54,917065424.81,3027137882.76,2090674448.74,1302618582.73,645067740.61,2287689319.19,1660747604.43,1096906440.50,560602087.03,2691724825.36,2139541369.55,1504404111.10,799595791.96,2930672857.57,2036246148.86,1260941985.23,642614032.01,2623074674.30,1937955948.04,2097222505.44,3027956951.53,608862864.40,218773808.87,280871559.10,229282258.36,175581535.64,0.0
5,拆入资金净增加额,0,0,0,0,0,200000000.00,0,0,0,0,0,0,300000000.00,0,0,0,0,0,0,754000000.00,440100875.00,0,0,746000000.00,294634908.35,0,873000000.00,200000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19242000000.00,13655000000.00,0.0
6,回购业务资金净增加额,10283558180.98,6334952648.18,232348331.19,18545911961.01,15878079334.32,10938114900.63,5235773323.88,0,0,0,0,0,0,0,0,0,2383474440.63,1598155145.42,0,1328611385.89,0,2141169376.26,1125475861.17,0,107440479.30,628381689.32,1270470015.93,889991631.09,937365152.06,1004969926.03,55670356.29,1523763574.25,473009628.90,1329969178.08,16169178.08,149530821.92,142900000.00,91100013.70,94700000.00,579900000.00,384500000.00,0,0,8.00,172000000.00,2893100000.00,13920100000.00,2433995770.00,0.0
7,收到的其他与经营活动有关的现金,5961349607.56,2966685849.44,982341440.22,978733051.05,1043193873.14,539999258.01,1377690804.74,263692356.64,1918640391.35,147121983.88,276676540.04,876288425.41,806795098.05,675594418.30,943892676.79,765854234.14,306170045.76,228522335.74,112340972.02,190330945.13,128059428.57,131915684.43,252898960.51,372005293.12,254561798.11,501470203.91,293378611.03,175476867.19,77568062.28,88201189.59,207563634.24,116861208.92,351734139.68,182689954.03,386693270.89,1601125852.41,314549113.61,916283240.11,5437166349.37,10604181936.98,8190081021.39,1192329658.18,9161981144.02,66321937.71,25735205.21,65832557.50,45621049.36,93941713.93,0.0
8,经营活动现金流入小计,41271805893.54,29743780017.57,16439876511.97,34152638387.34,28822861739.91,23029240182.17,14804221012.35,9515090168.48,15151149108.64,7885847153.00,11200196393.71,13871216952.55,11368324957.46,9189196805.51,8421563747.36,26916911430.43,30092332599.35,38899144979.73,8721138026.70,20099094012.06,9298884208.35,6922688114.83,3301205451.19,4440250962.27,2747311634.50,3953769066.19,3531737460.44,3553157817.47,2675680818.77,2190077556.12,2311443879.76,4608622272.96,3089948209.70,2579192665.20,2154268683.02,2651599038.07,3420653913.94,3163799800.09,7068808138.20,12214564669.35,10252855993.16,3755049410.45,11982831844.74,4944798750.31,763152716.58,6429619416.09,36003501692.39,16970207564.58,0.0
9,支付给职工以及为职工支付的现金,2289206047.58,1662234370.30,612470681.95,3431572283.28,2654650146.75,1925268681.98,839940904.33,3509744260.13,2577807785.66,1830266376.13,848667600.37,3543972649.92,2613723395.13,2324959774.72,742849659.83,2418419902.53,2009705598.34,1543674738.33,624521162.30,1362123628.13,1094678106.75,851219536.15,346368070.61,1107566323.49,886461354.99,657869560.17,261557096.78,985225663.30,793594091.07,593322893.36,261526656.19,1018726156.96,800419582.39,592018254.37,222723975.72,780740963.87,618304752.15,464785303.57,211154121.95,574829870.97,409967390.36,579941382.92,438307275.58,152177134.99,106894287.93,104059440.22,94518963.82,87440934.41,0.0
