,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,经营活动现金流出小计,6512560599.00,4605617214.00,2961909485.00,1461690800.00,5268213470.00,3568991720.00,2358140208.00,1169217374.00,4479186648.00,3221767652.00,2120310849.00,1019047100.00,3814892686.00,2786037205.00,1887984933.00,916274156.00,3470306974.00,2347693700.00,1615022954.00,842897958.00,3544889033.00,2528065037.00,1660877154.00,884068671.00,3082321799.00,2151907239.00,1378236158.00,1154196743.00,2857773252.00,2110505607.00,1317332059.00,694389753.00,3049093197.00,2220889621.00,1385142739.00,740138588.00,2719122210.00,1907420639.00,1269797881.00,648739395.00,1935434756.00,1373312799.00,910971294.00,2731989938.00,2716556010.00,0.0
11,经营活动产生的现金流量净额,1064181249.00,980371823.00,559129938.00,177173324.00,752382482.00,606518078.00,222703100.00,109716166.00,154481565.00,101809980.00,-60737596.00,-81085019.00,310087332.00,195563111.00,43626360.00,-64077605.00,132423656.00,35864051.00,-18172990.00,-71799798.00,57975154.00,153105315.00,48456951.00,-12865451.00,343463839.00,257340947.00,79942113.00,-418823046.00,471597908.00,181932042.00,109075558.00,54694600.00,426494093.00,299676650.00,166465329.00,82676396.00,427992813.00,231665916.00,156843087.00,77347473.00,404943307.00,249735792.00,192920318.00,479426600.00,164702875.00,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878700000.00,0,1234500000.00,1098900000.00,522900000.00,0,979062870.00,400000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,21399591.00,11688455.00,6906350.00,4980956.00,12142544.00,7437276.00,4069051.00,2616884.00,7238072.00,4913806.00,1095069.00,1030863.00,831649.00,910935.00,50593.00,29833.00,6079045.00,5346431.00,4655210.00,2798056.00,4767226.00,2087407.00,2023366.00,509547.00,15942126.00,6177353.00,1499015.00,695043.00,10053270.00,7140055.00,4917589.00,0,0,3853585.00,1315926.00,0,0,0,0,0,0,0,0,0,1496497.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,545518.00,491181.00,434699.00,191799.00,1414635.00,1006400.00,203272.00,0,47054.00,6776.00,6776.00,6776.00,38210427.00,8218689.00,6872689.00,2304550.00,2513693.00,28100.00,28100.00,0,4558727.00,0,0,0,1724116.00,0,0,0,88422.00,0,0,0,3083654.00,81400000.00,81400000.00,81400000.00,452796.00,423799.00,423799.00,0,517416.00,1184538.00,1184538.00,338797.00,126530.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,2966.00,2966.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317777.00,317777.00,317777.00,0,0,0.0
17,收到的其他与投资活动有关的现金,8165449166.00,4847278006.00,3416777781.00,1932777781.00,4902507000.00,3196207000.00,1853617000.00,1051764000.00,1291000000.00,650500000.00,565500000.00,255005376.00,615871200.00,290000000.00,110000000.00,110097210.00,2379910850.00,2173868472.00,1588920000.00,0,2286825000.00,128600000.00,0,17000000.00,1525932500.00,27199700.00,27199700.00,27199700.00,6842536.00,0,0,0,82487618.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,8187394275.00,4859460608.00,3424121796.00,1937950536.00,4916064179.00,3204650676.00,1857889323.00,1054380884.00,1298285126.00,655420582.00,566601845.00,256043015.00,654913276.00,299129624.00,116923282.00,112431593.00,2388503588.00,2179243003.00,1593603310.00,881498056.00,2296150953.00,1365187407.00,1100923366.00,540409547.00,1543598742.00,1012439923.00,428698715.00,27894743.00,16984228.00,7140055.00,4917589.00,0.00,85571272.00,85253585.00,82715926.00,81400000.00,452796.00,423799.00,423799.00,0,835193.00,1502315.00,1502315.00,338797.00,1623027.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,439628128.00,298076161.00,187214578.00,76180382.00,270995660.00,251180520.00,158031455.00,56322820.00,178489688.00,150009870.00,106743235.00,35779784.00,203739574.00,216725604.00,153685043.00,87531226.00,481577448.00,401979872.00,294615920.00,167585470.00,873582832.00,725408531.00,482483646.00,273529525.00,901316124.00,582001327.00,284625102.00,100677488.00,302018058.00,111335070.00,70497063.00,33877297.00,243945859.00,149823096.00,101844739.00,58211849.00,301223579.00,166393040.00,84445074.00,25953392.00,75924358.00,41784140.00,29864581.00,118029091.00,141484328.00,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,0,112188760.00,112174769.00,99739594.00,0,0,0,0,0,0,0,0,725005230.00,0,1233810930.00,956704600.00,493900000.00,0,1137990000.00,938990000.00,0,0,0,0,0,34724430.00,0,0,0,0,0,0,0,0,0,0,6682329.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,6312500.00,6312500.00,6312500.00,6312500.00,51242250.00,51242250.00,0,0,0,0.0
22,支付的其他与投资活动有关的现金,8550000000.00,5124500000.00,3278000000.00,1767000000.00,5148007000.00,3454207000.00,1886407000.00,953881768.00,1414700000.00,594525724.00,350500000.00,90001701.00,555000000.00,190220777.00,50000000.00,50192574.00,1772100000.00,1506109640.00,1454109240.00,0,2234010850.00,0,0,0,1699366011.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,8989628128.00,5422576161.00,3465214578.00,1843180382.00,5419002660.00,3705387520.00,2044438455.00,1010204588.00,1705378448.00,856710363.00,556982829.00,125781485.00,758739574.00,406946381.00,203685043.00,137723800.00,2253677448.00,1908089512.00,1748725160.00,892590700.00,3107593682.00,1959219461.00,1439188246.00,767429525.00,2600682135.00,1719991327.00,1223615102.00,100677488.00,302018058.00,111335070.00,70497063.00,33877297.00,278670289.00,149823096.00,101844739.00,58211849.00,307536079.00,172705540.00,90757574.00,32265892.00,127166608.00,93026390.00,29864581.00,124711420.00,141484328.00,0.0
24,投资活动产生的现金流量净额,-802233853.00,-563115553.00,-41092782.00,94770154.00,-502938481.00,-500736844.00,-186549132.00,44176296.00,-407093322.00,-201289781.00,9619016.00,130261530.00,-103826298.00,-107816757.00,-86761761.00,-25292207.00,134826140.00,271153491.00,-155121850.00,-11092644.00,-811442729.00,-594032054.00,-338264880.00,-227019978.00,-1057083393.00,-707551404.00,-794916387.00,-72782745.00,-285033830.00,-104195015.00,-65579474.00,-33877297.00,-193099017.00,-64569511.00,-19128813.00,23188151.00,-307083283.00,-172281741.00,-90333775.00,-32265892.00,-126331415.00,-91524075.00,-28362266.00,-124372623.00,-139861301.00,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,20736443.00,20867843.00,21660000.00,21660000.00,102960461.00,102960461.00,102387961.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228035277.00,1228035277.00,0,0,0,0,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,1713345558.00,1284610324.00,878020291.00,405571829.00,1292116573.00,1092947714.00,625078493.00,257366555.00,1583825728.00,1242720801.00,839942849.00,158193279.00,1091413223.00,943100294.00,737201223.00,331719100.00,1841077011.00,1284282663.00,922539472.00,499156312.00,1388985273.00,869345761.00,383659590.00,123451403.00,701930580.00,643819125.00,614203695.00,304529024.00,1350375703.00,952826571.00,556918017.00,294841729.00,1261360553.00,1010996532.00,598038895.00,182300233.00,322480878.00,318427120.00,177702049.00,178470390.00,864510664.00,755330578.00,464030595.00,1312703432.00,1180396882.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,29730800.00,3891937.00,0,7658.00,625802.00,0,152614.00,0,0,21223541.00,3259192.00,2164912.00,0,170807005.00,262030546.00,192030546.00,0,0,0,0,0,39751800.00,0,0,0,20549500.00,20549500.00,20549500.00,0,0,0,0,73488252.00,0,0.0
31,筹资活动现金流入小计,1734082001.00,1305478167.00,899680291.00,427231829.00,1395077034.00,1195908175.00,727466454.00,257366555.00,1583825728.00,1242720801.00,839942849.00,187924079.00,1095305160.00,943100294.00,737208881.00,332344902.00,1841077011.00,1284435277.00,922539472.00,499156312.00,1410208814.00,872604953.00,385824502.00,123451403.00,872737585.00,905849671.00,806234241.00,304529024.00,1350375703.00,952826571.00,556918017.00,294841729.00,1301112353.00,1010996532.00,598038895.00,182300233.00,1571065655.00,1567011897.00,198251549.00,178470390.00,864510664.00,755330578.00,464030595.00,1386191684.00,1180396882.00,0.0
32,偿还债务支付的现金,1378999860.00,962433696.00,463179486.00,97011558.00,1709119108.00,1197116690.00,725411928.00,319512848.00,1128413782.00,799841420.00,460499863.00,206197827.00,1243303991.00,929741013.00,516924319.00,217004199.00,2039495079.00,1525261861.00,734202146.00,407350755.00,886448356.00,444315029.00,184042508.00,59740971.00,955910165.00,922785993.00,616166472.00,313533104.00,1348151487.00,877195845.00,499376074.00,197130865.00,1287500996.00,847033034.00,513555351.00,207320607.00,404612385.00,362313195.00,164487757.00,98047420.00,1119773666.00,998912997.00,582576963.00,1395712021.00,979303002.00,0.0
33,分配股利、利润或偿付利息所支付的现金,187054742.00,186311076.00,179364561.00,1759518.00,100346293.00,94262160.00,90208780.00,3412933.00,93635324.00,88138633.00,85617654.00,699709.00,13924463.00,11230271.00,8334872.00,2940759.00,14235303.00,11576726.00,4630934.00,1343133.00,145838834.00,142213896.00,140540925.00,224068.00,234889342.00,234758746.00,233959763.00,663296.00,91471849.00,90265089.00,87157207.00,1661592.00,148463932.00,141931426.00,139864084.00,1540940.00,9455865.00,7167424.00,5236491.00,2151053.00,81409257.00,78703582.00,75442829.00,98615506.00,98978428.00,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,0,120759.00,113435.00,0,0,34771842.00,33166981.00,0,0,2148203.00,206176.00,11066.00,0,0,0,8566.00,0,0,0,0,0,0,0,0,0,90739388.00,88756688.00,0,192030546.00,87289.00,87289.00,0,0,191206.00,191206.00,0,39751800.00,643903.00,0,0,20549500.00,20549500.00,20549500.00,0,73488252.00,0.0
36,筹资活动现金流出小计,1566054602.00,1148865531.00,642657482.00,98771076.00,1809465401.00,1326150692.00,848787689.00,322925781.00,1222049106.00,890128256.00,546323693.00,206908602.00,1257228454.00,940971284.00,525259191.00,219953524.00,2053730382.00,1536838587.00,738833080.00,408693888.00,1032287190.00,586528925.00,324583433.00,59965039.00,1190799507.00,1248284127.00,938882923.00,314196400.00,1631653882.00,967548223.00,586620570.00,198792457.00,1435964928.00,989155666.00,653610641.00,208861547.00,453820050.00,370124522.00,169724248.00,100198473.00,1221732423.00,1098166079.00,678569292.00,1494327527.00,1151769682.00,0.0
37,筹资活动产生的现金流量净额,168027399.00,156612636.00,257022809.00,328460753.00,-414388367.00,-130242517.00,-121321235.00,-65559226.00,361776622.00,352592545.00,293619156.00,-18984523.00,-161923294.00,2129010.00,211949690.00,112391378.00,-212653371.00,-252403310.00,183706392.00,90462424.00,377921624.00,286076028.00,61241069.00,63486364.00,-318061922.00,-342434456.00,-132648682.00,-9667376.00,-281278179.00,-14721652.00,-29702553.00,96049272.00,-134852575.00,21840866.00,-55571746.00,-26561314.00,1117245605.00,1196887375.00,28527301.00,78271917.00,-357221759.00,-342835501.00,-214538697.00,-108135843.00,28627200.00,0.0
