,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,135862333.70,805146168.57,468943957.72,316292252.58,212634274.29,919244052.33,645690207.60,377481174.28,227424740.84,750836819.40,411552788.96,326441874.16,195903192.48,525065827.88,394856602.85,271394385.70,204743892.92,393887746.22,422474438.42,245608549.75,117690135.44,333641123.53,241727495.61,144555353.72,73905541.73,291755366.00,232055688.18,148507385.23,73546397.31,319799928.12,242432179.91,160300326.22,82963405.67,296099368.13,161831527.67,98593115.52,46544245.40,221271208.60,103501913.72,64788133.13,35547513.68,124447740.74,93604614.08,51656900.15,27595121.88,107063531.11,80582694.76,82751132.70,64474681.06,0.0
10,经营活动现金流出小计,1158871851.34,4694947661.12,3695834485.13,2388583689.86,1252374432.58,5824458044.55,4435969675.02,2866076698.68,1413162952.61,5333508807.94,3542336663.53,2336576752.76,1176691955.93,3219495343.46,2358260381.39,1548818396.09,795629696.35,2997942705.42,2117902563.25,1351973988.48,694559285.89,2838550286.72,1944559579.64,1249354659.75,654467841.35,2618144110.14,1973859269.15,1395772311.00,677105158.87,2950853046.25,2138496863.53,1399726524.91,693297802.68,2507240885.75,1768144702.57,1193414022.11,629074467.53,1974468193.97,1357333447.79,829017933.02,395320823.61,1197242428.47,747018649.48,453775829.70,252436521.90,945519760.70,698072526.60,705782423.29,736875332.93,0.0
11,经营活动产生的现金流量净额,84702961.43,761423820.09,412486954.58,267988430.41,64781895.40,106316039.89,-204865802.30,-34056397.05,-21880228.30,398329906.71,22057931.40,-108047538.38,91197203.87,505346104.89,222610853.26,52297990.91,80416090.65,339503977.40,190646009.99,70588324.09,142675186.96,508017310.10,321017919.66,84241772.31,165971258.36,413669738.88,176625941.65,-63675890.59,37386371.76,246398895.37,20417199.34,-157738332.30,42416729.97,306295910.08,209983030.33,52398903.63,124686672.64,132187072.02,679972.50,-34746417.62,61533081.91,134205495.30,89952114.11,23159448.66,52529154.34,108319136.57,34728334.87,44102238.76,17055404.86,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,134961174.14,1788723034.39,1587049560.00,1215541101.00,661717160.91,2309610934.45,1804541096.92,1111375176.46,519453736.31,160000000.00,1215475000.00,874575000.00,141400000.00,1839535840.00,1074457920.00,974667920.00,337267920.00,1007062463.98,698850000.00,410950000.00,103000000.00,867540000.00,644540000.00,479000000.00,40000000.00,801610277.75,400000000.00,300000000.00,150000000.00,300000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000.00,196.18,0,0,0.0
14,取得投资收益所收到的现金,1387822.98,29119093.49,25896860.71,18743040.50,11519421.39,50364077.00,38393642.70,28971565.49,10463811.96,24089602.61,39173632.07,38921356.93,775003.99,29280546.92,20610189.93,14837689.36,11716750.23,58040123.56,19591213.08,6847066.76,905742.51,17154949.39,12541798.70,8222955.08,361640.00,5457633.14,4203934.51,2848888.85,1078666.66,929555.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13376.70,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,68500.00,362996.10,83031.80,83031.80,36026.00,350625.21,10241.66,600.00,0,4970142.35,16430.90,16056.83,-4906.40,1855089.14,156931.23,134596.90,64015.67,322189.39,1341303.94,1140990.74,201441.39,767115.55,292580.00,470402.80,0,182405.10,0,0,0,1292966.78,0,0,0,853849.70,482261.34,325258.98,0,399690.97,130179.67,5000.00,5000.00,75561.50,69681.50,69681.50,69681.50,177708.28,146608.28,67600.00,83000.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,33088279.34,12567272.64,2017160.91,0,96181586.83,0,0,0,24066027.06,-109372.60,-109372.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,45897959.98,29209.00,28844.85,6652455.84,14550949.28,10139651.19,6334385.02,1059201.21,10783199.21,8314394.01,5128441.34,3025013.07,11108095.51,9075814.58,5556768.06,2690893.20,16376067.49,11161964.45,7815296.05,4473532.66,22965161.15,18841361.90,13568433.45,8215733.43,21250799.57,17242614.03,12232482.35,41366684.85,21648438.04,17031128.18,13183197.06,4640980.83,26564136.87,18192528.21,7726340.17,5736684.42,19776413.39,13370038.79,3767451.67,2156345.43,1569307.04,1007556.28,332757.83,124819.55,327307.22,200528.54,164177.66,110048.98,0.0
18,投资活动现金流入小计,136417497.12,1897191363.30,1625625934.15,1236413179.06,679925064.14,2471058172.77,1853084632.47,1146681726.97,530976749.48,223908971.23,1262870084.38,918531482.50,145195110.66,1881779571.57,1104300855.74,995196974.32,351739579.10,1081800844.42,730944481.47,426753353.55,108580716.56,908427226.09,676215740.60,501261791.33,48577373.43,828501115.56,421446548.54,315081371.20,192445351.51,323870960.01,17031128.18,13183197.06,4640980.83,27417986.57,18674789.55,8051599.15,5736684.42,20176104.36,13500218.46,3772451.67,2161345.43,1644868.54,1077237.78,402439.33,194501.05,5518392.20,347333.00,231777.66,193048.98,0.0
