,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
11,经营活动产生的现金流量净额,24284385.48,-5778887.62,-6594332.36,-5265017.33,12605499.78,-18448783.74,-10057596.32,-14721398.70,3960735.89,-17150671.07,-6305683.54,-13102674.75,9639489.28,-9537694.23,-8987807.83,-6057366.84,19415704.22,-4713029.08,5908674.75,878344.87,20637845.75,4914737.74,6227706.97,-294220.16,17797305.45,7475334.51,4566070.10,180363.75,25203422.66,11659591.97,6406195.11,6291318.46,9182837.86,-762549.11,-4842334.55,5565654.16,41054697.80,21270192.85,436623.03,-2724749.72,26681513.22,7633758.63,8432819.39,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,542707356.60,374351802.86,189317978.08,123317978.08,618094438.50,457795506.55,244138832.21,85000000.00,581669304.40,308000000.00,258000000.00,184500000.00,498000000.00,335000000.00,212000000.00,51000000.00,510470000.00,337470000.00,256000000.00,170000000.00,215000000.00,170000000.00,80000000.00,70000000.00,334000000.00,254000000.00,149000000.00,134000000.00,139000000.00,20000000.00,0,0,0,0,0,0,0,0,0,0,30117916.00,1177259.00,2018317.76,0.0
14,取得投资收益所收到的现金,11960017.00,4585984.66,2912231.16,2183628.42,11430020.11,2502072.24,856359.91,48904.11,2196621.53,1494279.47,1246005.49,926758.91,4413894.69,2675323.30,2310967.13,434383.56,8026439.75,4228058.79,2297746.81,759604.35,3083530.79,2745328.77,1298191.78,1007232.88,2776904.09,1841630.12,324226.01,265972.58,1361780.81,59178.08,0,0,0,0,0,0,0,0,0,0,1334969.87,640579.61,71581.48,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,5020.26,1020.26,50.00,50.00,0,0,0,0,3365.00,2315.00,2315.00,2315.00,960.00,960.00,160.00,0,1020.00,1020.00,720.00,720.00,850800.00,450800.00,0,0,900.00,900.00,900.00,200.00,47273.80,1290.00,0,0,1060.00,0,0,0,0,0,0,0,0,500.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,6065149.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300000.00,1300000.00,800000.00,800000.00,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,554672393.86,378938807.78,192230259.24,125501656.50,629524458.61,460297578.79,244995192.12,91114053.37,583869290.93,309496594.47,259248320.49,185429073.91,502414854.69,337676283.30,214311127.13,51434383.56,518497459.75,341699078.79,258298466.81,170760324.35,218934330.79,173196128.77,81298191.78,71007232.88,336777804.09,255842530.12,149325126.01,134266172.58,140409054.61,21360468.08,1300000.00,800000.00,801060.00,0.00,0.00,0,0,0.00,0.00,0,31452885.87,1818338.61,2089899.24,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,386538.10,228467.10,145042.00,71709.00,2455941.90,2184631.00,1905978.00,1201476.00,9819349.38,9613239.68,2496951.00,636545.00,4616742.97,2372795.30,708509.90,513229.58,5562670.87,3212911.33,1405244.84,644069.26,2939673.92,2354513.15,859185.53,331520.04,89746604.52,89247455.55,16877344.73,15141591.32,6257239.58,2786351.64,1216190.07,582289.57,4848383.72,3956636.99,593479.62,316304.57,2396131.44,1832387.26,1036120.64,377473.85,3824948.04,1511158.74,376289.21,0.0
20,投资所支付的现金,511000001.00,393000000.00,232000000.00,132000000.00,565000000.00,400000000.00,225000000.00,75000000.00,704467890.00,416000000.00,236000000.00,224467890.00,508000000.00,340000000.00,221000000.00,93000000.00,565470000.00,413470000.00,330470000.00,236470000.00,238000000.00,183000000.00,83000000.00,70000000.00,360000000.00,280000000.00,175000000.00,145000000.00,193000000.00,75000000.00,35000000.00,0,0,0,0,0,0,0,0,0,23884950.00,6641834.00,2535053.54,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000.00,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,1210.00,1210.00,1210.00,400.00,400.00,400.00,400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
