,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2820710173.40,2002680175.14,903871715.44,4098901264.55,2743521198.65,1715889155.56,756496915.06,3398583787.08,1997344980.20,1315061085.14,643921741.10,3067503125.90,1947210269.21,1292243961.24,614541385.51,940092017.36,1153617545.28,795399492.97,404086986.05,1389885171.60,994891767.78,669044630.09,320373024.72,1361230235.15,933667140.17,608917680.39,348375691.90,1275679414.01,848253476.38,553266681.44,298735081.36,1261402939.48,890861951.28,625984500.03,346467305.33,1327809001.92,866977490.58,571699706.60,269041657.38,1361232504.12,921433371.42,661005280.24,289015570.40,1235762678.87,854005669.46,580299506.90,287049415.26,1250529352.06,905111341.69,539564713.95,269427962.51,1097961835.32,807794151.28,524953499.84,250361579.16,1137392977.99,774130852.74,493307868.38,236298550.44,1167485728.47,835403748.00,467346343.74,242423700.84,1140581726.29,817308250.32,563585709.28,287245673.23,1067961484.14,488002265.03,838076802.86,356976995.60,522338039.16,198654716.93,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35985.58,34910.00,33611.00,33611.00,4455.36,1103.46,0,0,0,0,0,0,0,2000000.00,0,0,0,0,0,0,0,0,0,0,5620623.77,108362.00,0,0,267261.00,206487.00,206487.00,0,0,209088.30,209088.30,209088.30,413429.37,0,10612400.00,0,14052585.93,0,0.0
4,收到的其他与经营活动有关的现金,62508350.46,52450750.12,22792515.71,103305781.93,115506729.29,66063849.45,29875487.47,81903498.42,85253987.52,58880394.80,6865077.61,57630054.39,53632509.50,33367545.56,13479083.50,22415767.17,8900210.66,7106669.02,1182171.76,14800111.28,27857915.19,24438080.39,2232745.24,15208952.11,28872536.30,25233405.34,11456765.17,13462236.72,31716055.91,11141763.79,5488057.70,24497637.46,32613988.14,19583166.05,15083240.19,28433226.70,18986335.96,18638056.82,4833314.63,23260892.26,15476113.08,11736060.95,1161991.36,23773086.00,17072467.75,9515582.74,1344353.81,29317661.49,42046173.67,37987446.15,4942536.75,5955122.37,3589817.09,2844731.59,409600.30,5506249.01,3720771.12,342393.05,1767.42,4660514.18,0,0,0,2793989.81,0,0,0,0,3482958.23,0,0,10829527.59,0,0.0
5,经营活动现金流入小计,2883218523.86,2055130925.26,926664231.15,4202207046.48,2859027927.94,1781953005.01,786372402.53,3480487285.50,2082598967.72,1373941479.94,650786818.71,3125133180.29,2000842778.71,1325611506.80,628020469.01,962507784.53,1162517755.94,802506161.99,405269157.81,1404685282.88,1022749682.97,693482710.48,322605769.96,1376439187.26,962539676.47,634151085.73,359832457.07,1289141650.73,879969532.29,564408445.23,304223139.06,1285936562.52,923510849.42,645601277.08,361584156.52,1356246683.98,885964930.00,590337763.42,273874972.01,1384493396.38,936909484.50,672741341.19,290177561.76,1259535764.87,873078137.21,589815089.64,288393769.07,1279847013.55,947157515.36,577552160.10,274370499.26,1103916957.69,811383968.37,527798231.43,250771179.46,1148519850.77,777959985.86,493650261.43,236300317.86,1172413503.65,835610235.00,467552830.74,242423700.84,1143375716.10,817517338.62,563794797.58,287454761.53,1068374913.51,491485223.26,848689202.86,356976995.60,547220152.68,198654716.93,0.0
6,购买商品、接受劳务支付的现金,866816355.33,619317242.00,285188465.49,1300384962.45,775351125.26,518873147.33,240242217.48,1504855994.67,803994820.69,528738050.53,282112407.75,1206731319.60,632807633.46,429935336.38,206019798.95,254086310.67,493443998.23,337474789.99,172038793.37,477262999.32,376577195.49,271025782.84,155293542.19,564232280.47,322557670.42,214997168.29,154025532.53,537002039.10,286994400.31,178707643.16,118803240.19,574755925.57,393130928.31,268500028.94,184717686.96,537438380.66,291146925.73,192152028.77,96902418.25,502917189.21,302462374.22,196241924.40,93918528.26,543343142.48,393645157.70,276536557.22,159588594.49,631762603.55,470288271.35,313051364.99,154141984.42,555934582.74,407341225.65,307696769.08,167390526.28,682412755.28,476652828.11,321676796.83,150406947.77,666973947.05,506459667.97,262546708.74,180219168.54,670271354.58,491591101.05,313307511.14,150726825.02,659640348.49,293519354.59,537492060.76,261653666.61,343700978.48,176450856.27,0.0
7,支付给职工以及为职工支付的现金,261309025.94,168141221.53,88578344.97,293578426.09,212027950.09,145628829.80,78075043.60,268638259.51,193468137.00,133225224.34,68756731.65,246491701.39,188030191.25,128714158.14,77231146.65,50503464.56,156600259.73,100228953.02,52080046.74,176238274.04,130370653.99,84853138.03,47948447.60,153292274.26,111040016.71,71161057.96,32549166.95,133743957.73,90603331.46,59072709.53,29227696.41,118376671.10,88358234.19,61352196.40,28835771.96,119964009.29,85877415.97,61122332.34,33014100.04,111986199.17,79573531.45,51998247.70,26560088.58,95261895.80,65856694.98,41618545.43,20058020.31,77398563.95,48153766.94,32006040.31,15552087.53,48735560.71,40332654.76,26865426.75,13341081.70,45603215.31,32160289.68,21601941.40,9515870.68,55316579.20,42590871.32,30103979.58,14309897.92,51541086.23,40309458.06,27654816.15,14471085.32,52398604.66,28178866.44,34632272.58,16004077.53,25572402.61,13001855.58,0.0
8,支付的各项税费,304980506.08,202169039.78,101541245.92,554069887.94,457521317.11,290706983.84,157335062.36,597573279.30,392803126.01,218354548.13,131114561.69,421320848.77,309828385.42,210122515.35,107722055.03,220465596.10,127873026.84,84048064.97,36894263.81,198401953.98,142905567.05,91321868.62,32647337.98,204431833.34,144967984.65,109806579.10,66509867.43,194883625.39,149596655.25,110893096.56,76658975.11,145157349.52,114965466.03,81955194.49,42592630.73,163716209.42,129301082.33,83313889.42,40532025.47,194989730.89,152916539.13,111497248.71,60940978.11,145447655.23,125326613.52,77714210.04,36671106.25,141238833.48,107202021.08,73437328.12,26982992.31,94138656.62,73725615.16,47481163.79,22451332.17,97365396.39,71426374.63,48306320.28,23151178.52,93616974.49,64517144.23,45397177.16,17294540.02,88921395.39,65748940.69,45887485.32,27691324.36,78113501.16,44847629.30,67474295.72,28474226.15,47790396.19,20035237.68,0.0
