,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,24355867.83,28880824.89,14551850.24,8788678.57,37540769.18,19105334.95,13868133.73,3960036.55,30387964.30,23032407.45,16874148.82,4246869.85,28519469.86,26613780.87,15834580.08,2673932.00,28204159.15,26058932.20,21614275.95,-92453.34,42564250.16,38837675.65,25946475.99,15024272.95,41980384.64,41482088.44,27201080.26,12699263.76,42182626.86,33168501.66,21819246.39,7640105.77,43089546.81,32993301.70,21523078.87,8836116.80,31688120.81,24826764.66,14002984.98,7865575.20,31143096.42,22461974.07,17381594.80,8583291.53,29076146.17,23916417.61,15478445.23,7398173.73,37757141.79,25751824.49,17296911.59,9232743.60,28105453.70,16793537.80,18263070.30,0.0
10,经营活动现金流出小计,1522286199.14,1181063325.32,801441081.83,455765529.30,1519614574.66,887928580.25,595590940.93,312010222.94,1221387581.07,840590302.28,547846637.32,303302032.14,1103600414.09,857300458.34,581887577.40,304759104.07,1144453824.58,867478724.65,592504393.58,327485860.69,1380692344.24,1010772141.67,674630208.08,319254974.11,1389602466.03,1024128891.17,714448565.78,369427628.90,1291408703.87,937052428.36,635425175.89,305219247.64,1139253027.92,850088857.92,563324656.41,302436338.31,741076046.65,526742378.11,347909097.22,181849522.98,749082030.33,573119659.44,352593318.98,162750121.71,871925875.15,658169196.09,438518796.07,200451816.58,746743803.78,543203242.10,355313473.25,188531891.46,597521997.36,161793215.44,121313604.55,0.0
11,经营活动产生的现金流量净额,587236658.78,262668681.89,-65138252.58,-185134800.29,-594480869.53,145722031.20,92464393.67,-12431751.96,64121156.09,9932877.99,36052501.25,-36071286.15,65450579.14,-21648438.29,-53498659.99,-34143891.28,46417589.73,-3718321.97,-33075798.18,-39872929.51,119624987.72,14996510.10,8858566.14,15432499.15,108448821.96,18230744.92,-30676603.26,-7525582.26,197350870.79,107007872.90,48118406.55,26884915.97,113131236.32,33770875.39,-45423625.02,-63289877.69,123922542.81,22678047.03,7872855.97,-16311866.78,126650679.80,26555167.72,38333996.11,-16858907.65,80199888.22,-37065136.87,-74860072.62,-64316320.14,60168819.91,43458616.64,-11978120.29,-36788800.59,122354132.60,82877874.63,55578626.07,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,1125100000.00,870100000.00,775100000.00,110100000.00,1483150000.00,1119150000.00,769150000.00,249000000.00,1315000000.00,1150000000.00,483000000.00,260000000.00,606000000.00,463000000.00,128000000.00,0,0,0,0,0,9366905.25,7200000.00,0,0,6312038.13,0,0,0,0,0,0,0,0,0,0,0,14064180.27,14064180.27,14064180.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,58146576.73,19941599.60,1004996.86,103753.15,41537986.76,9928201.44,5459804.18,539443.46,17838542.09,5976160.58,3737886.99,151209.59,38024188.32,29457538.53,29179089.64,28800000.00,24139505.05,9010505.05,0,0,14377023.52,848400.24,839400.24,0,43928.00,6312038.13,6312038.13,0,1580614.47,6364.46,1580614.47,0,1242556.65,1242556.65,22277.67,0,2879703.22,0,0,0,13492774.58,13492774.58,13492774.58,13492774.58,0,0,0,0,6317684.04,6317684.04,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,1881002.00,5700.00,5700.00,5700.00,26727752.34,8000.00,8000.00,0.00,352910.35,72416.00,47416.00,46880.00,2417180.34,1140400.00,1139800.00,572800.00,7649841.86,933995.56,473885.56,473413.56,814830.00,241600.00,0,0,0,11500.00,200.00,0,2044404.00,1304.00,196.00,0.00,251900.00,248800.00,106200.00,15000.00,10300.00,6800.00,6800.00,1800.00,670084.50,562628.50,547128.50,685600.00,4340624.58,975965.00,962965.00,77265.00,11860569.79,239200.00,216200.00,158200.00,444940.00,253200.00,169152.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,85198590.24,85198590.24,85198590.24,85198590.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000.00,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,1185127578.73,890047299.60,776110696.86,110209453.15,1636614329.34,1214284791.68,859816394.42,334738033.70,1333191452.44,1156048576.58,486785302.99,260198089.59,646441368.66,493597938.53,158318889.64,29372800.00,31789346.91,9944500.61,473885.56,473413.56,24558758.77,8290000.24,839400.24,0.00,6355966.13,6323538.13,6312238.13,0.00,3625018.47,7668.46,1580810.47,0.00,1494456.65,1491356.65,128477.67,15000.00,16954183.49,14070980.27,14070980.27,1800.00,14162859.08,14055403.08,14039903.08,14178374.58,4340624.58,975965.00,962965.00,127265.00,18178253.83,6556884.04,216200.00,158200.00,444940.00,253200.00,169152.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,48990365.22,16734839.10,11724941.04,5631807.89,114780331.81,121367760.95,83489225.57,76517916.19,63991993.97,66740868.90,38408736.57,26253514.57,141086753.92,88193792.80,67214461.00,53090519.73,320749982.52,267217527.91,179551647.91,102226790.13,469650759.26,338925455.19,218339829.24,110891624.93,583703470.98,455151977.45,292586005.33,188688798.84,202906839.74,126678539.67,65181996.45,24952243.16,129837376.72,95146285.76,44518203.43,3356885.87,202154618.15,53224649.26,49147352.29,33723878.86,140922964.63,104414170.32,92494110.07,71521529.54,251233439.40,83674897.25,60172414.80,37132146.03,80347093.91,37441960.56,20767707.68,7935713.51,228088323.50,35707991.79,82916158.01,0.0
20,投资所支付的现金,1179100000.00,989900000.00,879900000.00,270100000.00,1284150000.00,1184150000.00,700150000.00,455000000.00,1714000000.00,1365000000.00,953000000.00,460000000.00,606000000.00,468000000.00,138000000.00,0,0,0,0,0,0,0,0,0,464770000.00,0,0,0,146296711.66,0,0,0,0,0,0,0,506026386.75,505773500.00,505773500.00,505773500.00,0,0,0,0,72000000.00,72000000.00,85000000.00,25920000.00,0,0,0,0,1415964.56,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12952781.64,12952781.64,0,13000000.00,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252886.80,252886.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,1228090365.22,1006634839.10,891624941.04,275731807.89,1398930331.81,1305517760.95,783639225.57,531517916.19,1777991993.97,1431740868.90,991408736.57,486253514.57,747086753.92,556193792.80,205214461.00,53090519.73,320749982.52,267217527.91,179551647.91,102226790.13,469650759.26,338925455.19,218339829.24,110891624.93,1048473470.98,455151977.45,292586005.33,188688798.84,349203551.40,126678539.67,65181996.45,24952243.16,129837376.72,95146285.76,44518203.43,3356885.87,708181004.90,559251036.06,555173739.09,539497378.86,140922964.63,104414170.32,92494110.07,71521529.54,336186221.04,168627678.89,145172414.80,76052146.03,80347093.91,37441960.56,20767707.68,7935713.51,229504288.06,35707991.79,82916158.01,0.0
24,投资活动产生的现金流量净额,-42962786.49,-116587539.50,-115514244.18,-165522354.74,237683997.53,-91232969.27,76177168.85,-196779882.49,-444800541.53,-275692292.32,-504623433.58,-226055424.98,-100645385.26,-62595854.27,-46895571.36,-23717719.73,-288960635.61,-257273027.30,-179077762.35,-101753376.57,-445092000.49,-330635454.95,-217500429.00,-110891624.93,-1042117504.85,-448828439.32,-286273767.20,-188688798.84,-345578532.93,-126670871.21,-63601185.98,-24952243.16,-128342920.07,-93654929.11,-44389725.76,-3341885.87,-691226821.41,-545180055.79,-541102758.82,-539495578.86,-126760105.55,-90358767.24,-78454206.99,-57343154.96,-331845596.46,-167651713.89,-144209449.80,-75924881.03,-62168840.08,-30885076.52,-20551507.68,-7777513.51,-229059348.06,-35454791.79,-82747006.01,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
