,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,107709644.29,61707072.48,35179074.93,77603124.54,77148841.09,44878800.81,24374742.08,90514145.53,73316144.21,49141389.04,29021437.34,133011035.20,95650233.31,71763607.69,38793565.19,49489034.61,33963116.06,19424253.33,10112395.37,48983794.98,36350928.58,23186237.67,13004649.32,54412190.21,25657266.97,20807297.72,11814612.89,41705776.92,21233513.11,15445257.93,11044768.04,24216050.31,39266165.08,17397629.56,6304623.17,21677060.30,25923629.28,16509151.72,3987625.23,26837030.49,16645289.13,13862895.06,2613446.02,24281860.12,18196323.04,13508061.62,9529758.59,22071062.49,11684866.41,8370122.23,3937670.00,23077184.29,2163971.99,3397076.98,5378088.56,12680698.19,14571377.42,9992825.54,3106826.85,14151025.20,14103959.79,9974181.60,19392880.50,13680434.93,0.0
10,经营活动现金流出小计,1172124231.31,768981142.64,392219814.90,1588201133.21,1284499188.06,797116215.40,426143996.79,1341753135.80,1053146931.60,709117074.45,363584055.09,1142834879.98,818270359.80,535630222.68,249400691.28,778675569.76,563894491.52,381919243.90,172388426.13,774898280.84,567742306.25,323001189.64,139686169.27,669299971.12,455245502.91,302992203.32,115344065.81,541456544.65,391157250.78,256108099.13,120732777.35,628121633.15,430961998.90,290308725.22,165650483.85,404567026.99,347817077.58,198721639.27,83058036.92,327731567.20,238224790.34,93564571.43,50986053.14,445274418.50,270726896.69,153695241.97,67312475.37,309241701.59,205886398.20,133734944.93,68301908.28,337494442.35,257593874.57,172079734.98,81228179.39,301580386.87,228226490.33,152572569.82,63824495.76,263686705.02,202802540.71,144715151.80,261455123.61,208430087.08,0.0
11,经营活动产生的现金流量净额,102604457.23,81869220.26,22405364.00,38534879.67,48276337.93,9567574.27,47755139.11,98948060.18,52328100.62,6673312.71,20327349.29,23784638.55,19461678.92,-5924725.68,2997208.50,108356781.70,92137925.38,14122726.62,22836440.78,-3639911.64,5427870.45,36475744.96,73097567.53,-2244737.11,17023236.43,-10848124.29,-1366454.32,52364700.47,28830915.12,10789399.06,14498297.02,6135536.19,-21214634.15,-35754357.63,-58265898.80,35082592.71,1827400.60,5830497.31,-16121996.50,80579561.66,46312212.11,35907704.11,21597481.11,89654957.66,31975911.48,5612622.60,-6132564.34,16367455.10,41169623.30,6899031.54,-6078127.29,9216148.71,7172102.93,6956958.75,16874063.76,15833269.86,1763831.61,-10524567.53,13312455.20,12505707.96,15696077.83,-6212674.23,43778060.41,62333515.36,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,1031000000.00,640000000.00,200000000.00,349390000.00,164140000.00,123500000.00,94000000.00,431000000.00,280020479.48,270000000.00,60000000.00,902669300.00,492669300.00,482669300.00,0,915000000.00,0,0,0,209906717.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14437865.48,14437865.48,14437865.48,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,16827969.22,9916419.69,2356986.30,14350449.86,2264104.66,1503183.57,1345117.82,17738564.28,16510021.82,16493542.36,590504.10,13646025.78,13422038.35,12428476.71,719178.08,29842963.47,8250000.00,8250000.00,0,9816575.34,7250000.00,0,0,8500000.00,8500000.00,8500000.00,0,5000000.00,5000000.00,5000000.00,0,5500000.00,5500000.00,5500000.00,1500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,277132.46,221937.46,20000.00,356688.06,296714.10,294970.00,88160.00,816323.17,584048.35,308566.09,247616.09,303290.86,256120.43,230120.43,210000.00,114160.00,607516.00,606856.00,3600.00,330641.00,110641.00,0,0,6418.00,15281.70,15281.70,3000.00,43000.00,0,0,0,16000.00,0,0,0,187441.47,0,0,0,90000.00,1282613.21,0,0,12069417.13,12030399.82,197000.00,179000.00,2659679.16,2526630.00,32800.00,32800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0.00,0,0,2399500.58,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0.00,0.00,0,0,13499.23,0.00,0,0.00,0,0.00,0,12584393.51,0,0.00,100000000.00,0.00,545611210.04,525404086.75,214001780.82,0.00,91306301.37,50723287.67,0,135150642.97,42690000.00,42690000.00,42785643.37,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24200.00,30000.00,0,0,0,0,0,0,0,0,7709.95,7709.95,0,0,0.0
18,投资活动现金流入小计,1048105101.68,650138357.15,202376986.30,364097137.92,166714317.99,125298153.57,95433277.82,451954388.03,297614549.65,286802108.45,60838120.19,929203010.15,506347458.78,495327897.14,100929178.08,944957123.47,554468726.04,534260942.75,214005380.82,220053934.30,98666942.37,50723287.67,0.00,143657060.97,51205281.70,51205281.70,42788643.37,5043000.00,5000000.00,5000000.00,0.00,5516000.00,5500000.00,5500000.00,1500000.00,187441.47,0,0,0,90000.00,1282613.21,0,0,12069417.13,12030399.82,197000.00,179000.00,2659679.16,2526630.00,32800.00,57000.00,30000.00,0,0,0,0,14437865.48,14437865.48,14437865.48,0,7709.95,7709.95,0,0,0.0
