,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,5331568493.86,4482552371.96,1439524607.29,7858025820.56,4052379599.43,3491407341.95,1450083794.15,3466597282.24,2731741878.43,2142987245.09,1288090173.80,3455063298.08,1477049898.31,1098039542.35,1009462644.81,2019542447.29,1979482221.16,1210237287.23,1918318313.30,2814562348.41,1918007659.86,1202326917.79,1939804833.37,1960271583.45,1721418776.16,1006274392.45,110934287.87,1980323597.99,1644170186.68,714992689.36,1284930472.16,1425335360.05,674593902.66,1234194654.43,2000231887.67,1071256519.51,3976600592.93,746109263.61,2533439203.70,1626442158.43,4340380725.80,1373706573.71,638596232.64,2647219114.24,1661891267.96,213659600.54,597524762.02,825264759.16,1922439189.63,1724871191.32,912281503.44,0.0
10,经营活动现金流出小计,39198828516.79,31207677140.65,17929700811.41,52632285964.85,38863689912.95,27654372995.09,18260664832.09,43290998175.75,34015879298.72,23365548202.19,14803938138.47,43588228004.76,26637576320.77,18980559693.75,14280488216.59,38883982388.30,30208777539.52,20633955100.05,19142317888.21,36976813617.20,29816195121.08,19120315126.85,17505593749.14,42562306995.58,27466321264.45,17642609029.94,11505993090.61,38080577780.78,29951013721.21,17021141092.14,11809757035.48,33141889169.03,26283764034.85,20718691033.25,11760639978.60,25118304684.55,21802325414.45,10670627076.46,8455527509.72,18844983216.09,16880841236.57,8028067148.47,15813817854.19,11957659778.48,7478028852.35,3201664655.26,11460030439.10,6626967840.30,8694849114.42,8353421745.09,6559827299.83,0.0
11,经营活动产生的现金流量净额,300879110.50,83994045.06,-1060032794.89,150559434.35,406534804.39,37044644.85,-973930884.98,2847269427.53,807895869.57,898181232.25,-313495351.34,-571973521.60,-249434132.11,-757176941.04,-780642126.00,1339544845.20,720847496.79,1130286443.30,-148392968.17,306894575.98,-729855982.42,-611087600.33,-786461602.62,-612973848.41,105486039.15,290227439.27,-101626708.62,121101077.78,425873119.21,-603705401.92,-180371719.79,564415910.45,510761742.32,-687010066.00,445593349.31,987863995.75,1346233960.29,390973412.66,451540474.48,-632856503.21,797908558.13,908176508.00,-172461162.10,110301886.01,59632053.33,20488459.38,-120133855.03,379367673.12,13512263.69,115716821.97,162585084.59,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,55000000.00,55000000.00,28000000.00,0,40467270.00,31467270.00,28320543.00,0,0,0,0,0,0,0,0,0,437508258.14,498592128.60,0,434130000.00,200000.00,283007588.91,200000.00,317774286.51,37000001.00,210160696.76,36900001.00,90450000.00,26166000.00,11984454.00,11984634.00,104302381.40,39696738.72,500451021.67,38580000.00,45561510.72,45623840.31,405201140.31,330708000.00,14349948.27,1166948.27,1165982.47,0,19814139.33,1004201.00,5256716.36,915495.02,147565.00,0.0
14,取得投资收益所收到的现金,10707030.74,255471.70,217735.85,14904521.88,10945653.28,2849493.40,1255471.70,18531525.12,13669024.24,2056000.00,96000.00,9388589.83,8169993.16,238000.00,0,13725339.72,12967281.42,2096000.00,96000.00,13748708.69,13882971.96,248000.00,168000.00,9661272.86,182209453.78,1210704.87,2400.00,104582768.03,102650770.14,102537563.93,18710601.12,3578402.30,181565157.16,4333649.85,3626092.70,17338900.27,-3063480.21,0,35915280.60,3973626.64,15431483.65,1326498.78,209951.50,19969892.50,10920374.50,0,3280226.74,2860767.24,4018693.48,2700941.79,3177385.51,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,2176344.81,229262.49,88900.00,38249963.54,40526876.64,33112538.89,21455.62,35045941.95,34988096.59,11843055.77,361729.53,35603833.89,40706788.44,40562388.73,20035464.30,1873831.90,15787558.66,716733.40,527062.00,36427354.52,15867533.08,15377748.12,15017265.00,4895817.24,2618698.98,1000003.24,349623.65,40853359.54,16291974.22,11219029.90,475120.00,11380868.16,22617027.31,22020717.56,910047.01,49637294.86,23740850.71,2339741.98,743840.00,165132068.78,180685964.84,92301166.71,64021584.78,58826546.19,31810010.15,31026110.13,72405019.46,31238161.45,4446201.63,55739942.87,26428389.95,0.0
16,处置子公司及其他营业单位收到的现金净额,5573411.01,5573411.01,0,0,0,0,0,0,0,0,0,1643050500.00,0,0,0,694377316.38,694377316.38,694377316.38,0,0,0,0,0,-326188.26,0,0,0,519942.42,0,0,0,0,0,0,0,1379560.00,0,0,0,0,0,0,0,220754.00,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,297092615.15,224276028.43,231268559.57,1021179430.63,537531483.15,164114071.77,83348100.00,168274939.00,287333481.90,178105257.48,146574163.02,2183687285.89,653933720.90,515248388.64,582870450.35,2060989030.62,1416799631.53,970414110.19,1074611233.21,466773375.74,84844053.10,77616415.76,430045025.45,1010756596.86,0,0,0,44590000.00,82975411.37,0,7372374.52,39625893.68,84667456.86,429088982.05,120010756.25,859909550.92,234628676.67,0,412614267.73,0,93345078.28,449204.82,0,15388257.90,12307997.40,0,0,526848.76,269920.00,3292871.42,8601273.22,0.0
18,投资活动现金流入小计,315549401.71,230334173.63,231575195.42,1129333916.05,644004013.07,228076104.06,84625027.32,262319676.07,367457872.73,220324856.25,147031892.55,3871730209.61,702810502.50,556048777.37,602905914.65,2770965518.62,2139931787.99,1667604159.97,1075234295.21,954457697.09,613186686.74,93242163.88,879360290.45,1025187498.70,467835741.67,2410708.11,318126310.16,227546070.99,412078852.49,150656594.83,117008095.64,80751164.14,300834095.33,467427983.46,228849277.36,967962044.77,755757068.84,40919741.98,494834899.05,214729535.73,694663667.08,424784870.31,78581484.55,95572398.86,56204364.52,31026110.13,95499385.53,35629978.45,13991531.47,62649251.10,38354613.68,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,46003535.56,23595672.92,18001089.00,219584257.71,92369218.33,48453363.89,14410493.87,556767485.04,491261607.24,261722332.03,140056939.01,270804959.90,242033491.75,221773939.90,147100615.09,403974215.41,417438543.38,384752853.69,495850939.47,554344495.05,374321971.06,361407753.75,277292171.06,1934905223.60,2399175838.50,1607820799.37,846046341.77,3463739192.34,3530933864.13,1674860568.31,749265085.36,2811584404.59,2223127513.77,1503102386.31,519630447.97,2249143174.01,1748668830.47,912692665.95,170265622.64,396760134.91,166038750.49,199024246.54,351757473.45,380347421.84,323322700.20,191556479.98,82133065.90,570081354.38,144243674.58,47176061.02,60163994.22,0.0
20,投资所支付的现金,14248000.00,0,0,291600.00,0,0,0,141209087.50,137804437.50,88555587.50,0,80555587.50,24000000.00,24000000.00,52361707.12,96948549.21,44797611.71,44797611.71,37150937.50,15000000.00,15000000.00,15000000.00,241539164.21,104301875.00,542553014.81,62581125.00,238152498.70,104301875.00,490596378.10,41720750.00,188114268.73,0,834663000.00,81265500.00,452733234.78,28200001.00,184439757.23,184439757.23,287869210.91,30875000.00,126137607.40,20000000.00,192666501.66,28670813.38,28670813.38,0,243369114.00,944680194.07,1512533.00,746995.87,2061587.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,239057686.00,0,0,0,0,0,0,0,243210225.79,243210225.79,243210225.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98621665.83,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,423174050.52,221025862.24,148229177.82,361500199.44,166121988.90,152681922.78,107656226.66,305757077.68,287031240.70,187142434.63,133674812.55,1155558496.98,772111951.01,653691504.06,406535265.44,811847253.02,719948031.57,542538893.46,343215712.02,250593522.34,0,0,0,0,703202067.93,859214520.15,292867253.72,1127050818.20,481709579.53,124684469.27,20056243.24,79631888.62,184785467.10,35957718.31,258841704.40,0,1007240395.92,-121194875.06,743809157.40,996621060.87,104944425.90,1500000.00,599923384.90,1047523.72,228569.90,0,1051217912.17,45837584.39,0,2432.38,113381459.46,0.0
23,投资活动现金流出小计,483425586.08,244621535.16,166230266.82,581376057.15,258491207.23,201135286.67,122066720.53,1242791336.22,916097285.44,537420354.16,273731751.56,1506919044.38,1038145442.76,899465443.96,605997587.65,1555980243.43,1425394412.45,1215299584.65,876217588.99,819938017.39,389321971.06,376407753.75,518831335.27,2039207098.60,3644930921.24,2529616444.52,1377066094.19,4695091885.54,4503239821.76,1841265787.58,957435597.33,2891216293.21,3242575980.87,1620325604.62,1231205387.15,2277343175.01,2940348983.62,975937548.12,1201943990.95,1325634529.95,397120783.79,220524246.54,1144347360.01,410065758.94,352222083.48,191556479.98,1376720092.07,1560599132.84,145756207.58,47925489.27,175607040.68,0.0
24,投资活动产生的现金流量净额,-167876184.37,-14287361.53,65344928.60,547957858.90,385512805.84,26940817.39,-37441693.21,-980471660.15,-548639412.71,-317095497.91,-126699859.01,2364811165.23,-335334940.26,-343416666.59,-3091673.00,1214985275.19,714537375.54,452304575.32,199016706.22,134519679.70,223864715.68,-283165589.87,360528955.18,-1014019599.90,-3177095179.57,-2527205736.41,-1058939784.03,-4467545814.55,-4091160969.27,-1690609192.75,-840427501.69,-2810465129.07,-2941741885.54,-1152897621.16,-1002356109.79,-1309381130.24,-2184591914.78,-935017806.14,-707109091.90,-1110904994.22,297542883.29,204260623.77,-1065765875.46,-314493360.08,-296017718.96,-160530369.85,-1281220706.54,-1524969154.39,-131764676.11,14723761.83,-137252427.00,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,500000000.00,0,0,1400000000.00,1400000000.00,0,0,553068930.57,553171840.00,563171840.00,553171840.00,5000000.00,2500000.00,0,0,54880000.00,5880000.00,5880000.00,0,0,0,0,0,0,0,0,0,19600000.00,0,0,0,0,833810000.00,0,293900000.00,178130000.00,178130000.00,178130000.00,147900000.00,1202180000.00,912180000.00,0,0,10500000.00,37000000.00,0,11812100.00,20812100.00,19348800.00,0,1000000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,1400000000.00,0,0,0,0,0,10000000.00,0,5000000.00,2500000.00,0,0,54880000.00,0,5880000.00,0,0,0,0,0,0,0,0,0,19600000.00,0,0,0,0,0,0,0,20000000.00,0,20000000.00,0,10000000.00,0,0,0,500000.00,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,7647391848.65,4984402848.65,2377200000.00,11114808711.96,8239100000.00,5836700000.00,2851150000.00,11738206338.24,9420526338.24,6491176338.24,1607500000.00,11904640000.00,7822260000.00,5315490000.00,1658450000.00,12405895020.58,8781497066.93,5844629395.58,2608207262.41,12164440119.50,9339149274.52,6712950000.00,2100590000.00,12410042461.06,11645814586.48,6574454382.20,2734905000.00,13755344637.08,10993102273.82,5370318754.14,2901900000.00,9427043600.00,6781308450.13,4738320818.62,2296354554.82,6938350628.01,6575885807.89,4616800000.00,2189212889.22,7192832739.09,5477267675.19,2595148500.00,3298114264.72,2732657975.84,1988208857.54,1121490000.00,3147464255.00,2392663471.00,1548446186.82,579756568.72,577168905.68,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,1697988.50,1145906.05,0,85000000.00,0,0,0,720000000.00,0,0,0,0,0,0,0,0,0,0,0,0,440000000.00,440000000.00,5808949.57,15870000.00,500000000.00,500000000.00,5654528.67,8680000.00,4728410.41,1300000000.00,0,0,2305229069.48,500000000.00,187827988.79,0,116080739.20,0,167950670.65,882132877.27,315538080.18,91115478.54,711088858.54,337969079.92,18373094.65,133117467.67,0,747806118.50,71062132.97,6551152.41,47529774.07,0.0
