,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,127482857.37,92896023.32,58907810.12,19288561.54,123742063.65,61515928.44,63245727.22,21789855.20,104980151.94,75869697.93,55871768.93,26341260.86,107037124.09,81961976.88,54632363.92,22348389.70,117362575.60,75325353.46,47983649.17,25980205.79,131562075.06,94779707.47,61215098.24,27077757.36,113665453.36,92507612.50,55516479.72,23797277.14,100389359.20,79918397.80,53138969.76,22371709.60,103751480.56,72315824.21,47922704.07,28457983.01,94627257.57,73814490.21,53368948.70,27456797.82,76029390.87,60646763.09,45776761.04,17631641.44,65205486.48,43067445.41,29311170.08,13826701.44,56649092.98,44122145.30,28756278.10,15996578.36,55198098.64,47967606.61,26641228.39,13302449.25,46606898.64,37507927.93,24969111.85,21951853.33,49615043.55,34494420.88,21154002.23,8966469.70,53833341.90,18940932.75,12958559.67,7629977.43,37578510.05,11342821.81,20385554.34,9628346.03,30630032.89,0,0.0
10,经营活动现金流出小计,2244200434.58,1697531907.78,1104749536.85,507424826.73,2030506678.59,1457709479.30,913200035.57,416980481.21,1636291688.11,1236124332.80,810899374.21,399967994.38,1414235883.03,1041566252.27,659584064.38,278818899.86,1312191670.83,946519887.43,635397231.49,318837784.46,1608707628.11,1240226611.17,860894147.95,422169841.08,1822614685.90,1355244133.96,887006014.16,422274035.51,1896299809.44,1407113940.20,959940186.05,422621584.33,2014576311.79,1558826033.69,1050904367.14,490619515.64,1901549396.32,1381516101.11,871400857.38,420336327.43,1748326063.26,1260271921.32,726604513.40,397902965.63,2327252715.45,1614446820.49,1194313524.53,515742361.42,1646826020.40,1173167060.42,736231626.01,361792946.82,1330481745.30,1034280252.11,674880702.91,362075893.87,1174368290.89,938985937.28,686824352.07,324107426.45,1071412154.40,734683507.28,499564257.37,237874103.49,680732458.30,427167191.95,276620358.42,124823387.77,518801372.13,254928961.73,531725775.21,283741675.57,424769676.48,0,0.0
11,经营活动产生的现金流量净额,143689292.75,22987562.62,-7343833.51,24296785.85,48445694.73,-801570.66,-12275850.36,-35897567.71,25253779.56,-93270634.07,-60173262.77,-84220369.35,52939394.16,23901262.38,42462267.64,8148519.47,143635899.70,81496024.86,64150067.25,-12625840.07,71249255.71,3690044.09,-20405809.77,-56685585.62,27897709.34,-17684483.95,-32007083.18,-78339676.03,116911292.60,45458464.91,26315048.51,10796476.62,-62867455.47,-102997323.89,-99086285.08,-99303943.33,-902794.05,-39541692.74,7465851.89,-17184271.29,46958956.29,22505970.79,66601913.68,-30544689.09,85027201.60,46215496.55,-57221198.90,-59242236.19,-6814230.61,-26436310.03,-18392737.58,-33030727.50,66732010.35,-16866561.73,-2104806.22,-59889386.80,70960260.72,13617769.42,-53509578.23,-39351974.31,17943161.88,29181263.40,-4709757.36,-11128059.98,35278153.34,23196229.31,-7786282.42,-3718187.47,59774411.41,13109900.57,2176477.42,-28653371.42,84912587.96,17143207.35,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,21600000.00,19600000.00,19600000.00,0,138969405.04,134000000.00,134000000.00,67000000.00,457000000.00,400000000.00,245000000.00,130000000.00,341895747.33,213000000.00,210000000.00,130000000.00,571719334.46,354000000.00,184000000.00,40000000.00,235000000.00,80000000.00,30000000.00,0,0,0,0,0,2000000.00,2000000.00,0,0,0,0,0,0,0,7104383.50,0,0,1334177.00,0,0,0,97780707.72,122043165.70,120114441.94,98249883.74,234789940.62,175435672.31,150412507.56,0,54857508.53,26938438.16,26938438.16,0,7004338.00,400000.00,400000.00,0,13676918.01,7449710.94,7449710.94,0,13696373.18,0,0,0,7260319.40,404358.88,258025.88,0,0,0,0.0
14,取得投资收益所收到的现金,178500.00,137000.00,91000.00,45000.00,10922952.07,10884452.07,1215554.80,693347.04,5153465.76,4453940.64,2475347.02,6646972.60,3622603.73,3147957.33,3025101.79,1901960.87,16059620.49,13415182.01,6526565.00,235506.85,7042351.60,628219.18,289315.07,0,625000.00,0,0,0,152211.84,152211.84,152211.84,0,500000.00,0,0,0,0,0,0,0,523186.48,50000.00,50000.00,0,0,-24262457.98,-23869488.76,-20579197.62,47932889.07,56494152.72,82254.90,0,228045.81,11014.17,204110.89,0,225470.24,225470.24,185470.24,0,16241.71,16241.71,16241.71,0,0,0,0,0,2108156.05,0,2490472.66,0,2771229.97,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,216185.05,142830.00,122330.00,18200.00,97646572.00,97607104.00,98618730.00,22500.00,515867.87,408769.89,8655.01,0,138603.48,331090.87,400379.41,351187.25,6612500.92,6676515.56,447474.69,320315.17,31785.07,18760.00,1575.00,0,251134.44,229134.44,0,0,91055.40,16655.40,16655.40,530.00,640237.94,312872.10,310204.10,162004.10,137191.81,129315.95,4700.00,4700.00,52043.07,16974.00,0,0,215090.00,65220.00,0,0,15221280.19,13241127.42,13240627.42,0,192480.00,175640.00,15000.00,0,5925.00,8006075.00,8006075.00,5925.00,2221166.00,2085541.00,2045332.01,-27558.99,7116.00,7116.00,7116.00,0,360.00,0,109212.22,4800.00,143358.46,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,2206906.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6587967.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,577928.64,0,0,0,1600000.00,1600000.00,1600000.00,1600000.00,3000000.00,3000000.00,0,0,68363417.00,1052717.00,932700.00,10818100.00,16751074.93,3179159.07,1744150.96,735000.00,154868784.74,131089431.00,3554149.40,554149.40,15680000.00,0,0,24500000.00,0,0,0,0,10946578.41,0,0,0,2134500.00,0,0,0,22561628.22,0,0,0,600000.00,600000.00,0,0,0,600000.00,600000.00,0,1228449.59,61548.00,61548.00,0,0,15459684.49,15459684.49,14618920.80,11086327.28,0,0,0,958275.25,0,0,0,0,0,0.0
18,投资活动现金流入小计,21994685.05,19879830.00,19813330.00,63200.00,250323764.10,242491556.07,233834284.80,67715847.04,464269333.63,406462710.53,249084002.03,138246972.60,348656954.54,219479048.20,213425481.20,132253148.12,662754872.87,375144414.57,191906739.69,51373922.02,258825211.60,83826138.25,32035041.03,735000.00,155744919.18,131318565.44,3554149.40,554149.40,17923267.24,2168867.24,168867.24,24500530.00,1140237.94,312872.10,310204.10,162004.10,17671737.81,7233699.45,4700.00,4700.00,4043906.55,66974.00,50000.00,0,120557425.94,97845927.72,96244953.18,77670686.12,298544109.88,245770952.45,163735389.88,0,55278034.34,27725092.33,27757549.05,0,8464182.83,8693093.24,8653093.24,5925.00,15914325.72,25011178.14,24970969.15,14591361.81,24789816.46,7116.00,7116.00,0,10327110.70,404358.88,2857710.76,4800.00,2914588.43,0,0.0
