,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,126099897.95,86669284.22,45193794.29,27358789.69,135281380.23,111933075.41,73958062.98,35306895.01,234722695.47,127732739.23,70187187.79,36243414.73,219698862.29,199834038.00,91393421.17,29752191.75,295207083.44,191475251.87,137561830.52,61879079.74,232629256.98,155296208.95,84460283.62,43029323.91,264725107.53,206657039.18,143954391.92,62526540.85,275008651.89,196441306.00,110534257.49,51751567.48,242683354.44,165134309.73,92839135.45,47913673.29,337961120.56,255055818.66,151941187.22,72486343.38,236105392.12,147071358.77,97289296.92,33769417.92,188101226.00,161670339.79,109051666.68,64616371.98,194544140.33,119395934.68,79356231.10,34961826.36,161985683.98,126253152.82,102298985.43,0.0
3,收到的税费返还,8109495.01,6055786.68,3664667.70,2115587.97,9790879.10,8277540.92,4651713.58,1137831.82,1913988.55,2328903.39,655239.89,314091.84,5911615.64,5045992.35,2390741.35,2520403.11,14639638.77,4598402.83,3599263.00,2528854.43,13036940.80,10338944.24,8455990.06,3177924.97,17543225.83,13363694.30,8842163.97,6164339.99,36337464.39,27437339.34,16330367.50,8806785.23,28085769.93,19827143.51,12629250.88,5004410.87,36180142.24,29517982.18,20154688.03,10768095.35,27406427.77,13959665.05,5537448.94,1858889.02,12690531.39,8606082.45,6450105.66,2924839.29,14879296.86,10541759.06,6869695.37,1845138.94,12557497.78,9997345.27,9401755.47,0.0
4,收到的其他与经营活动有关的现金,24622876.63,18198655.64,11897940.98,10735948.65,31832624.70,2781735.18,1246991.61,647628.47,3313499.30,36038686.37,11565590.06,15270546.76,28965163.33,42320139.85,28168933.01,37756984.85,10405092.45,173654740.92,3009684.75,15501126.70,15182159.47,16666962.68,29183149.01,28257041.52,10676232.19,32050521.35,18271038.32,16806626.67,13688338.41,12453954.72,21879205.41,8165786.88,16553081.75,16277812.88,6946118.50,2713817.30,9952140.85,6621105.68,2591053.22,2129635.41,5168492.25,3823204.17,3250271.00,1794482.67,6832426.88,8345932.84,11744639.00,1353211.73,3475195.15,3244425.12,3196167.27,9666577.94,2313181.19,1877063.44,541933.00,0.0
5,经营活动现金流入小计,158832269.59,110923726.54,60756402.97,40210326.31,176904884.03,122992351.51,79856768.17,37092355.30,239950183.32,166100328.99,82408017.74,51828053.33,254575641.26,247200170.20,121953095.53,70029579.71,320251814.66,369728395.62,144170778.27,79909060.87,260848357.25,182302115.87,122099422.69,74464290.40,292944565.55,252071254.83,171067594.21,85497507.51,325034454.69,236332600.06,148743830.40,68724139.59,287322206.12,201239266.12,112414504.83,55631901.46,384093403.65,291194906.52,174686928.47,85384074.14,268680312.14,164854227.99,106077016.86,37422789.61,207624184.27,178622355.08,127246411.34,68894423.00,212898632.34,133182118.86,89422093.74,46473543.24,176856362.95,138127561.53,112242673.90,0.0
6,购买商品、接受劳务支付的现金,83432307.67,58237050.99,29045726.71,18962376.71,72919047.49,64918123.36,34093279.42,20983293.04,161362281.56,75252591.24,41263371.99,29490183.24,136775992.93,135109136.86,72007596.46,18486425.17,246861770.05,129858565.05,117073088.85,43513882.76,253416219.23,195449703.44,116013480.61,59280079.67,224580424.83,189690258.51,121731705.30,52948035.59,243452275.44,164986066.43,93774396.10,49024134.83,201943353.65,147790020.74,72468670.12,31084005.72,272229288.70,212288469.40,125431234.63,48478636.81,189794061.12,110374591.71,60976839.72,22848366.54,159765036.30,122407971.49,89659500.47,50216460.09,138345685.17,101665262.38,62737348.24,44032317.67,114734733.21,71636213.17,79166484.18,0.0
7,支付给职工以及为职工支付的现金,41884542.83,31351136.57,20365228.37,11353751.93,38879997.38,30570879.49,20286435.18,10539835.19,35223359.38,25224516.93,16575131.05,9097949.53,52309237.69,41702339.61,29106747.55,10799334.12,69518341.22,50701377.60,36140212.17,17373227.51,59557147.00,43989159.89,30753710.87,15182049.91,39349424.55,26651594.21,18227362.48,8621388.32,35103049.84,26097595.01,17405656.23,8837721.15,35594674.38,26784052.50,18978172.30,9912030.42,32782013.57,25155649.48,16406393.77,8902258.40,22833821.70,17269597.73,10593397.70,4972644.45,25783050.80,17835401.98,11969953.43,5555328.55,18164246.76,11019034.11,9025234.72,3894950.42,17882772.97,13744918.10,8969163.97,0.0
8,支付的各项税费,2961135.59,860342.22,799974.97,694067.65,2220605.98,1797243.24,1657528.15,604785.22,5279080.58,2994995.78,2533388.15,588525.82,9084862.42,6289583.29,4870802.04,1917597.94,9341612.99,9999872.27,4129197.56,2526161.07,7096518.25,8045559.57,4953503.65,1965129.22,7222448.61,5481656.20,4013246.71,840372.51,1986248.96,3368387.64,1771751.68,396624.52,2594827.53,4560110.53,2423996.35,925627.52,7136613.26,8873504.56,6596150.19,591121.65,5366686.19,5063296.58,2794310.57,1948048.47,5480877.46,6473786.57,3469302.35,1800530.43,8890291.04,6954785.54,5339304.36,637204.38,6015475.06,3417420.41,1918787.42,0.0
9,支付的其他与经营活动有关的现金,19357137.96,14704445.79,10920316.64,2971902.91,44596587.09,11588497.60,8440443.29,3618524.21,13951120.34,18313703.05,16293954.71,8832899.97,31508736.48,84370895.32,22658302.31,75455982.13,32673983.40,207329093.87,15118592.56,28052460.98,29505828.87,52906000.34,20444281.44,22735408.80,25168298.51,13214660.42,8352754.59,13072856.90,13422432.72,7282494.73,8064825.77,2722990.52,11119375.07,9465542.02,5136570.93,3033476.38,14531119.40,12128814.61,9145035.05,4718433.42,10210902.31,5505709.79,4589859.53,2401268.16,10902452.55,6110582.63,5005516.71,6070131.51,6565743.27,5172234.01,4262569.21,4971832.63,6379414.07,6913280.21,7875572.03,0.0
10,经营活动现金流出小计,147635124.05,105152975.57,61131246.69,33982099.20,158616237.94,108874743.69,64477686.04,35746437.66,215815841.86,121785807.00,76665845.90,48009558.56,229678829.52,267471955.08,128643448.36,106659339.36,358395707.66,397888908.79,172461091.14,91465732.32,349575713.35,300390423.24,172164976.57,99162667.60,296320596.50,235038169.34,152325069.08,75482653.32,293964006.96,201734543.81,121016629.78,60981471.02,251252230.63,188599725.79,99007409.70,44955140.04,326679034.93,258446438.05,157578813.64,62690450.28,228205471.32,138213195.81,78954407.52,32170327.62,201931417.11,152827742.67,110104272.96,63642450.58,171965966.24,124811316.04,81364456.53,53536305.10,145012395.31,95711831.89,97930007.60,0.0
11,经营活动产生的现金流量净额,11197145.54,5770750.97,-374843.72,6228227.11,18288646.09,14117607.82,15379082.13,1345917.64,24134341.46,44314521.99,5742171.84,3818494.77,24896811.74,-20271784.88,-6690352.83,-36629759.65,-38143893.00,-28160513.17,-28290312.87,-11556671.45,-88727356.10,-118088307.37,-50065553.88,-24698377.20,-3376030.95,17033085.49,18742525.13,10014854.19,31070447.73,34598056.25,27727200.62,7742668.57,36069975.49,12639540.33,13407095.13,10676761.42,57414368.72,32748468.47,17108114.83,22693623.86,40474840.82,26641032.18,27122609.34,5252461.99,5692767.16,25794612.41,17142138.38,5251972.42,40932666.10,8370802.82,8057637.21,-7062761.86,31843967.64,42415729.64,14312666.30,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
