,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,1047640029.78,658035004.32,344183561.95,1296231827.20,1020910603.88,614440343.40,206673195.86,712063267.52,556643671.05,317407016.76,101104591.16,368134948.40,253534311.47,269539174.58,48179753.80,218780076.81,158931031.17,134893357.84,32839589.66,109930768.22,98246085.29,66690975.28,28225619.51,84472039.44,71706903.38,42366712.94,26058802.89,85009530.22,56940715.64,31446924.95,21518300.18,103132389.80,75282591.07,43556527.92,26270084.48,72374159.32,69453553.80,50415611.34,34566504.78,62287688.44,67637800.54,39731431.32,19561797.35,89836753.00,53821876.77,43491201.98,25374747.53,62160465.51,36881495.20,35800370.74,19025552.09,47647038.13,40125847.97,30745909.15,25970602.37,174973993.00,105777634.23,58110865.79,55943664.39,109234547.07,81529739.79,36449747.36,56910990.06,88755125.46,149405631.37,58967490.65,31373028.96,138825428.46,76826148.73,724266389.07,123139163.11,152975914.86,55617149.34,100965142.52,55064577.02,87336587.96,53648775.73,0.0
10,经营活动现金流出小计,1613689879.00,1039071767.43,568705462.05,1972449408.27,1542213015.80,946796039.79,376228690.00,1421758642.77,1035960949.21,624250131.98,257110095.20,850840714.28,625022957.97,484402329.19,133282004.03,351379987.38,257391950.65,201049781.12,63340199.19,234055163.04,195849969.88,127142889.26,56349250.63,196374448.34,156876112.27,98690769.45,53180081.71,177486840.51,125853702.96,82183440.35,48302972.45,217611544.33,158527320.18,100796893.29,56050681.45,175517829.29,148079212.24,99700236.46,56926625.15,163692446.01,145178235.44,88209575.03,41749832.50,191654750.12,125939592.75,90992949.66,43253233.69,151807332.91,102867307.87,84423093.12,28273591.35,157490939.84,111371176.33,77050629.52,35944342.31,263593743.20,175360600.75,95892019.31,70631710.12,156465280.11,129765971.75,67961641.57,67601488.62,162300510.82,194459462.72,88166913.18,44211872.93,242214856.07,124274403.76,1021389310.73,317076537.27,341564738.92,100499700.29,265999804.28,127736207.48,295987862.84,147317351.43,0.0
11,经营活动产生的现金流量净额,64226898.16,40201133.91,-63776462.86,170722975.82,257609017.05,128461992.48,49217259.41,26434194.72,-17055960.81,-54075653.95,-50749056.80,90629099.82,-88366733.85,-209519318.57,-19538617.23,-160949746.98,-101281477.68,-94888086.95,-21904420.00,34317920.13,66707427.11,75883764.67,50131950.01,102962801.99,49352661.65,1601677.78,19410115.13,-6494214.11,-25432150.00,-24133187.52,-14877295.72,-7932276.69,-12351425.97,-14252258.42,-21252553.85,29054265.59,-10920733.90,-23447728.77,-27037354.29,79941577.82,29838984.13,33174291.02,31000116.78,10260877.67,5569741.61,4172421.00,-1074152.76,9951676.82,4332409.02,3252718.93,548493.48,-18016778.63,-15963737.23,-17873681.39,-10041380.82,35735307.48,907586.13,-2392471.63,-3748543.86,19123931.89,11473142.58,30589258.09,2689460.78,91987985.99,5591419.76,27277154.36,13384168.86,72704529.78,21902873.36,-740340452.90,-127252935.80,196153960.49,7980663.81,-80618354.90,38587838.72,-62926297.24,-50975718.19,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0.00,0,0,0,35000000.00,0,154500000.00,41000000.00,31000000.00,0,0,0,0,0.00,0,0,0,492961.10,0,0,0,13861400.06,0,0,0,1100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,74389297.21,0,42385800.00,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,23255620.55,23255620.55,565969.86,32208744.21,29829941.97,28569116.71,716766.33,35526512.50,30361006.10,30012672.14,24000000.00,32574687.38,29904230.08,29648127.35,28016052.26,25500000.00,25500000.00,24000000.00,24000000.00,22925000.00,22925000.00,22925000.00,20925000.00,26500155.36,26993116.46,17978276.65,17850000.00,4062385.00,17416746.16,16845361.10,3852500.00,11147762.44,11147762.44,10320000.00,10604732.96,2100000.00,2100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840000.00,3840000.00,0,0,31730.00,0,18084.27,34485.58,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,2000.00,2000.00,0,150633500.00,617000.00,17000.00,17000.00,2240000.00,390000.00,0,0.00,2076400.00,25300.00,25300.00,25300.00,114000.00,0,0,0,13000.00,0,0,0,157000.00,0,0,0,45600.00,0.00,0,0,333700.00,20000.00,20000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.00,0,0,0,360176.00,360176.00,360176.00,0,0,0,0,0,12000.00,12000.00,0,12000.00,0,0,45000.00,45000.00,30000.00,0,27000.00,0,333110000.00,15000000.00,0,0,321600.00,25009.66,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,409094785.33,403090238.08,285015488.02,2279059084.32,1743707778.19,1194125122.79,325600337.53,2514137246.54,1397324005.88,828450000.00,88500224.41,1476000000.00,410000000.00,410000000.00,410210446.27,29847050.22,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000.00,82886.72,82886.72,1187518.93,221707.20,221707.20,0,0,0,0,0,0,0,0,77323.97,642509.81,562972.47,0.0
18,投资活动现金流入小计,432352405.88,426347858.63,285581457.88,2461901328.53,1774154720.16,1222711239.50,326334103.86,2551903759.04,1428075011.98,858462672.14,147500224.41,1510651087.38,594429530.08,480673427.35,469251798.53,55461050.22,25500000.00,24000000.00,24000000.00,22938000.00,22925000.00,22925000.00,20925000.00,27150116.46,26993116.46,17978276.65,17850000.00,17969385.06,17416746.16,16845361.10,3852500.00,12581462.44,11167762.44,10340000.00,10604732.96,2100000.00,2100000.00,0,0,0,0,0,0,0,0,0,0,20000.00,0,0,0,360176.00,360176.00,360176.00,0,3900000.00,0,0,0,12000.00,372000.00,82886.72,94886.72,1187518.93,221707.20,266707.20,45000.00,30000.00,0,78256297.21,3840000.00,375495800.00,15000000.00,31730.00,77323.97,982194.08,622467.71,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,44183928.17,28078620.29,33363113.23,74401798.50,48204749.41,21418797.48,15077381.78,118101827.08,89365768.69,57922166.52,32298485.50,169402817.04,74915076.38,15096473.05,5008508.24,28070234.02,27733582.37,17381377.23,5884829.86,183391090.93,146941494.64,100750976.21,56069842.18,157655170.01,86311562.76,34529820.30,23790055.07,19409248.39,3201658.75,1987486.14,1174121.77,8142826.97,9366736.56,5338774.47,2811125.65,10204663.06,10680259.24,5935904.72,2250822.56,13141885.60,405957.74,100692.44,84562.44,7480496.95,3336139.40,128390.64,119278.46,5122419.00,2865036.62,1312687.25,190111.46,3678087.71,7371669.18,3426278.69,133955.12,17547897.60,1183739.39,940687.68,194786.07,4365475.88,2327457.50,9083945.42,7551985.37,82571570.03,21984302.85,14851686.47,5331759.60,17305442.56,6326717.22,16410941.12,46839948.32,360488538.62,21219686.94,63510882.76,65590604.64,12654990.80,7127062.45,0.0
20,投资所支付的现金,65849746.00,65849746.00,25849746.00,205242100.00,201492100.00,165840291.02,13850000.00,86000000.00,89840000.00,80000000.00,27573943.85,1285460000.00,1929960000.00,1490000000.00,1398000200.00,0,410000000.00,410000000.00,0,0.00,0.00,0,0,67650000.00,67650000.00,0,0,0,0,0,0,0,0,0,0,42000000.00,10000000.00,0,0,40000000.00,40000000.00,30000000.00,30000000.00,0,0,0,0,1000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85868000.00,60000000.00,0,59658000.00,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,-953816.80,0,0,0,0,0,0,0,258298310.93,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,801705509.40,494931822.96,278228088.75,2237073338.05,1686400000.00,1141400000.00,486057479.56,2504972572.90,1410946901.10,675103372.01,2248335.00,1631600000.00,400207389.00,0.00,0,410000000.00,0,0,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.40,0,0,0,3902763.32,3902763.32,0,1080000.00,1000000.00,1000000.00,0,0,0,0,0,0,0,0,0,0,29766.95,0.0
23,投资活动现金流出小计,911739183.57,588860189.25,337440947.98,2515763419.75,1936096849.41,1328659088.50,514984861.34,2709074399.98,1590152669.79,813025538.53,62120764.35,3344761127.97,2405082465.38,1505096473.05,1403008708.24,438070234.02,437733582.37,427381377.23,5884829.86,183391090.93,146941494.64,100750976.21,56069842.18,225305170.01,153961562.76,34529820.30,23790055.07,19409248.39,3201658.75,1987486.14,1174121.77,8142826.97,9366736.56,5338774.47,2811125.65,52204663.06,20680259.24,5935904.72,2250822.56,53141885.60,40405957.74,30100692.44,30084562.44,7480496.95,3336139.40,128390.64,119278.46,6122419.00,2865036.62,1312687.25,190111.46,3678087.71,7371669.18,3426278.69,133955.12,17547897.60,1184212.79,940687.68,194786.07,4365475.88,6230220.82,12986708.74,7551985.37,83651570.03,22984302.85,15851686.47,5331759.60,17305442.56,6326717.22,16410941.12,46839948.32,446356538.62,81219686.94,63510882.76,95419604.64,12654990.80,7156829.40,0.0
24,投资活动产生的现金流量净额,-479386777.69,-162512330.62,-51859490.10,-53862091.22,-161942129.25,-105947849.00,-188650757.48,-157170640.94,-162077657.81,45437133.61,85379460.06,-1834110040.59,-1810652935.30,-1024423045.70,-933756909.71,-382609183.80,-412233582.37,-403381377.23,18115170.14,-160453090.93,-124016494.64,-77825976.21,-35144842.18,-198155053.55,-126968446.30,-16551543.65,-5940055.07,-1439863.33,14215087.41,14857874.96,2678378.23,4438635.47,1801025.88,5001225.53,7793607.31,-50104663.06,-18580259.24,-5935904.72,-2250822.56,-53141885.60,-40405957.74,-30100692.44,-30084562.44,-7480496.95,-3336139.40,-128390.64,-119278.46,-6102419.00,-2865036.62,-1312687.25,-190111.46,-3317911.71,-7011493.18,-3066102.69,-133955.12,-13647897.60,-1184212.79,-940687.68,-194786.07,-4353475.88,-5858220.82,-12903822.02,-7457098.65,-82464051.10,-22762595.65,-15584979.27,-5286759.60,-17275442.56,-6326717.22,61845356.09,-42999948.32,-70860738.62,-66219686.94,-63479152.76,-95342280.67,-11672796.72,-6534361.69,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0.00,0,0.00,0,7840000.00,0.00,1800000.00,1669500000.00,1669500000.00,1679500000.00,1669830680.57,581000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308897030.44,29829000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,546357702.17,203457702.17,30000000.00,482465000.00,209000000.00,209000000.00,55000000.00,513000000.00,358000000.00,228000000.00,0.00,331980000.00,491980000.00,89980000.00,10000000.00,0.00,0,0,0,230000000.00,151000000.00,30000000.00,0,90000000.00,90000000.00,30000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91500000.00,91500000.00,83500000.00,0,82000000.00,52500000.00,1902980000.00,900410000.00,1783567000.00,626800000.00,354249650.00,90807150.00,149350000.00,68752000.00,0.0
29,发行债券收到的现金,0,0,0,0,150000000.00,148065000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,21600000.00,20831013.74,22018014.67,31665377.01,78000000.00,1184877.96,368574.32,1678768.03,50000000.00,3567523.92,1802959.89,177809.72,20000000.00,582732643.88,582548844.23,581000000.00,0.00,0,0.00,0,14400000.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12605.48,8985.81,8172.14,0,44613.10,40440.25,23901.18,0,1611986.61,1608974.87,1601698.67,0,14482237.28,0,0,0,0,0,3945.83,10584532.96,0,0.0
31,筹资活动现金流入小计,546357702.17,203457702.17,30000000.00,504065000.00,379831013.74,379083014.67,86665377.01,591000000.00,367024877.96,228368574.32,3478768.03,2051480000.00,2165047523.92,1771282959.89,1680008490.29,601000000.00,582732643.88,582548844.23,581000000.00,230000000.00,151000000.00,30000000.00,0.00,104400000.00,90000000.00,30000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12605.48,8985.81,8172.14,0,44613.10,40440.25,23901.18,91500000.00,93111986.61,85108974.87,1601698.67,82000000.00,66982237.28,1902980000.00,900410000.00,1783567000.00,626800000.00,669475680.44,123540095.83,159934532.96,68752000.00,0.0
32,偿还债务支付的现金,201968655.31,147000000.00,15000000.00,586800000.00,417451159.91,377236779.91,59150000.00,261400000.00,119688678.84,63438678.84,11293883.62,140180000.00,71095776.17,20546130.69,6250000.00,20000000.00,75000000.00,70000000.00,5000000.00,60000000.00,60000000.00,30000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500000.00,0,45100000.00,34100000.00,24100000.00,500000.00,100630000.00,70630000.00,1600229000.00,1037480000.00,1326997000.00,84760000.00,284418150.00,28748150.00,96292128.80,31620000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,28586950.07,23074701.68,4422675.02,24863977.87,25609937.88,18902276.83,8718586.00,26419437.93,20948433.35,12275519.39,5525671.51,16100457.55,10222064.44,6047758.05,2673061.74,12409497.72,4772667.84,3677579.40,0,5325744.45,2087794.45,976950.00,0,1140750.00,538200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171423.89,171423.89,93611.24,27257363.98,22530853.16,18069549.14,10586940.50,41948226.15,31271418.64,16983013.00,11444127.69,58344743.11,29416125.60,248019746.93,176695804.17,212276289.96,12363305.37,23295736.42,15844528.64,9029643.86,21301559.02,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163576272.91,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,29625000.03,18445200.02,10174391.99,56893675.79,51272413.18,30676740.66,11953666.12,19992600.23,13770753.53,9164799.53,205098.15,20350158.31,3786370.94,3359561.11,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17029.27,10812.96,0,0,19651.55,12802.51,5324.36,4711096.27,17503.40,10064.30,4292.54,0,17412.41,1104967.00,1104967.00,0,0,1749000.00,0,60000.00,0,0.0
36,筹资活动现金流出小计,260180605.41,188519901.70,29597067.01,668557653.66,494333510.97,426815797.40,79822252.12,307812038.16,154407865.72,84878997.76,17024653.28,176630615.86,85104211.55,29953449.85,8923061.74,32409497.72,79772667.84,73677579.40,5000000.00,65325744.45,62087794.45,30976950.00,0.00,1140750.00,538200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188453.16,182236.85,93611.24,27257363.98,22550504.71,31582351.65,10592264.86,91759322.42,65388922.04,41093077.30,11948420.23,158974743.11,100063538.01,1849353713.93,1215280771.17,1539273289.96,97123305.37,309462886.42,44592678.64,105381772.66,52921559.02,0.0
