,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,7320293943.32,5179907446.66,3106515349.62,13842041654.13,9475956347.92,6708701307.71,3869617172.65,11687366331.52,7127710872.99,4613954206.02,1067754012.31,6722357744.30,4842419409.23,3815905112.73,1201164029.85,2422079713.17,1207830944.40,458778720.00,387091720.00,1251396923.87,213800123.32,153776248.34,83600282.22,420634949.88,276617384.73,203829618.14,88888391.78,1188667716.10,998225379.60,635868297.26,404035270.09,1865998272.06,1347980995.23,502932816.47,496456712.22,2470197509.04,1608896870.30,1140494071.66,365197880.29,1162656316.62,883413077.85,1217321459.64,769977617.64,0.0
3,收到的税费返还,353382999.48,307270556.42,205537811.21,540792419.06,295277826.45,182748737.29,146674441.93,239468871.27,143624018.69,99953737.14,44201339.89,59286590.31,0,0,0,0,0,0,0,12208588.44,0,0,0,632044.34,632044.34,632044.34,632044.34,253567702.09,221939084.66,159901450.70,33040501.59,442463726.47,344613716.76,32249161.85,96863879.16,206438687.56,137212836.95,79900467.87,38835167.92,138295561.05,110256987.49,124286702.66,81298021.41,0.0
4,收到的其他与经营活动有关的现金,1934534179.81,991581426.84,768992863.17,6119773648.56,1027460370.43,789884746.40,151947280.10,1220689063.35,286315733.43,275293910.41,367934399.36,512658695.55,241773713.45,218233363.21,49002776.31,375822962.46,64170888.52,60935385.85,32449135.07,12613232.12,38851388.78,38719621.41,1685921.44,66890235.16,288759055.88,281402526.88,1183657.35,98890970.07,72930645.43,8827528.81,63367624.63,169103532.73,83514991.79,48540043.28,112278157.56,157414519.22,48508311.38,35151014.00,25440094.22,215094144.79,206951078.79,195630483.71,299403521.56,0.0
5,经营活动现金流入小计,9608211122.61,6478759429.92,4081046024.00,20502607721.75,10798694544.80,7681334791.40,4168238894.68,13147524266.14,7557650625.11,4989201853.57,1479889751.56,7294303030.16,5084193122.68,4034138475.94,1250166806.16,2797902675.63,1272001832.92,519714105.85,419540855.07,1276218744.43,252651512.10,192495869.75,85286203.66,488157229.38,566008484.95,485864189.36,90704093.47,1541126388.26,1293095109.69,804597276.77,500443396.31,2477565531.26,1776109703.78,583722021.60,705598748.94,2834050715.82,1794618018.63,1255545553.53,429473142.43,1516046022.46,1200621144.13,1537238646.01,1150679160.61,0.0
6,购买商品、接受劳务支付的现金,3905184857.74,2784531039.45,1925683948.82,9765094980.21,5284357648.12,4216585497.14,1166869802.95,8961708490.56,5900247839.36,3921431272.57,1771059775.04,9438491376.99,5881889040.80,4140783857.67,2541839231.92,3287145064.48,1700025246.42,875322505.19,356380313.91,1770770809.12,446742106.22,76426395.08,41597040.49,212666151.10,82028216.88,68501100.56,143678343.31,1227133378.02,1320061800.59,990152523.47,984779331.01,2854985878.95,2439083112.16,1965279725.90,1342644364.97,3013410670.70,1760693581.53,989918790.13,312981743.90,1103933027.58,1006370948.88,1193483360.87,763705743.27,0.0
7,支付给职工以及为职工支付的现金,418957726.96,313009069.43,177332286.12,661015604.65,518363059.15,377658340.18,232790759.20,731523991.10,557473599.22,379255791.14,218857874.79,638821733.28,442798892.27,328290183.73,170175173.08,117014700.78,56529814.43,32933442.65,15051345.80,70310145.15,44246941.03,33332743.97,11603462.86,34332375.55,51486192.93,36730713.42,8680426.17,119844372.50,89008745.99,60429971.24,32267309.93,102748548.05,54458203.10,47816179.80,21566716.37,59360381.98,43385305.28,28145925.74,14200414.47,33335712.64,23404996.67,22940138.28,8610871.88,0.0
8,支付的各项税费,208762643.84,147878077.55,51152451.88,270171526.75,202082333.05,187294460.64,116522231.61,334706728.29,266439118.96,169416729.67,104144921.64,322776032.53,322141940.86,245417645.19,155529131.03,97163914.72,23024456.18,19840363.80,23999.00,68157853.16,3524246.35,1957914.64,0,1255943.52,7096730.44,5069093.17,1506088.18,45905640.61,85356862.17,52041590.54,31527920.74,99081869.59,55054013.11,40547899.26,22870478.56,101443269.63,78332361.52,51369324.08,58740822.83,67571681.06,45747127.52,44293569.00,14675047.87,0.0
9,支付的其他与经营活动有关的现金,4289045864.48,2882288854.28,2225289275.86,6426993408.00,2235655601.54,1065565820.16,1543828452.51,3059332216.58,648572079.30,410117697.84,569678278.75,1260766904.37,815045914.51,719192744.84,136048734.66,348644813.11,207026874.13,64717978.70,52797144.54,477280007.27,37393452.44,22972641.08,6902031.60,89802561.09,111216707.03,91420671.97,6379393.60,239265634.28,391253438.76,444431688.86,65766333.24,489009196.67,192085352.82,133903979.12,207502694.35,119497266.70,112002818.94,99500685.44,57495008.01,274237389.75,253956556.91,229638300.44,257356850.40,0.0
10,经营活动现金流出小计,8821951093.02,6127707040.71,4379457962.68,17123275519.61,8240458641.86,5847104118.12,3060011246.27,13087271426.53,7372732636.84,4880221491.22,2663740850.22,11660856047.17,7461875788.44,5433684431.43,3003592270.69,3849968493.09,1986606391.16,992814290.34,424252803.25,2386518814.70,531906746.04,134689694.77,60102534.95,338057031.26,251827847.28,201721579.12,160244251.26,1632149025.41,1885680847.51,1547055774.11,1114340894.92,3545825493.26,2740680681.19,2187547784.08,1594584254.25,3293711589.01,1994414067.27,1168934725.39,443417989.21,1479077811.03,1329479629.98,1490355368.59,1044348513.42,0.0
