,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,8905685.65,3574740.39,964418.95,13279668.38,3714480.35,2791086.97,2008887.93,15987386.85,4257929.06,5160946.72,1853727.34,20124740.61,7605644.31,5343086.94,39205905.77,42042016.25,40397100.99,10130577.11,4003857.74,70690121.74,66318154.62,148454734.71,8722593.09,38570663.91,35603841.42,22240073.80,41951560.44,37190476.79,15948793.34,19934452.88,12348753.44,42249863.71,32213012.71,16969318.48,6525277.78,32226789.97,106292591.15,37117030.81,4197767.58,43625479.79,13586907.83,9213972.95,6651422.06,40390731.77,14246961.63,8646517.57,8966161.24,23876211.45,13214920.98,7277242.23,9306626.07,20446068.93,24116595.77,12636336.15,0.0
10,经营活动现金流出小计,180120332.00,112448772.04,78570486.24,244000877.14,215804011.29,158570308.66,105845670.50,296442518.04,184912515.48,153690046.81,91486575.71,252958463.52,217855580.45,169761797.25,140101371.36,313679782.37,256083059.46,190400885.09,127871107.71,480923125.85,403911417.59,377056683.93,182801483.74,377855553.89,324024357.04,206328313.72,133875469.47,379429505.45,306794947.06,210600612.01,129621771.50,369174322.77,339195437.70,194321069.87,96092569.63,305851864.61,291931477.46,165571179.58,54356406.50,221157917.28,173099895.15,117514926.22,66379336.91,289969608.95,179766307.28,121619377.18,77425925.14,250942495.71,163318112.94,121475298.71,75054180.87,221413067.99,213320681.60,163550253.90,0.0
11,经营活动产生的现金流量净额,21386379.46,17778572.59,12477921.79,-21285635.58,-54909800.98,-49488944.03,-19898401.35,-46569673.89,-75720961.95,-65686194.46,-28098819.38,29327419.75,-35478605.97,-48522359.42,-54119432.61,162389728.04,-27740293.87,50195534.86,50350139.01,-102921616.66,-124864961.03,-106002646.11,-75586426.41,122295808.30,-62252828.66,-32181218.57,-638316.90,57904355.62,-58616262.23,-75799911.05,-32940767.28,131411111.35,-12420466.45,12705715.47,32332484.57,33189571.76,-52640806.85,-71793644.28,-9385102.46,89748364.90,-2675934.82,-21541488.04,-4640300.97,23510235.75,-55568757.68,-58124921.87,-60205902.07,90545978.96,30414406.96,5533383.11,11661263.89,63348716.50,8337468.50,22797274.35,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,70000000.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,2189300.00,0,180881.72,0,0,0,0,0,0,0,0,0,1645637.17,1635500.00,1635500.00,0,0,5431175.65,2797642.80,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,5242278.84,5242278.84,5242278.84,5242278.84,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,-917963.06,0,0,0,0,0,0,0,0,0,0,10137.17,0,0,40000.00,40000.00,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,6393345.94,4573639.49,0,900377.01,373779.50,83779.53,15000.00,22676200.47,1952000.00,6315.79,0,2280863.04,1636170.00,0,0,1630515.51,141000.00,314529.93,0,6139250.00,6500000.00,6500000.00,0,1882228.33,642100.00,344500.00,225500.00,551180.77,562000.00,562000.00,15000.00,2060000.00,2060000.00,2060000.00,0,101861.91,20000000.00,0,0,2984274.71,1629600.00,1629600.00,1313600.00,1885000.00,425000.00,425000.00,300000.00,447033.40,334967.45,334967.45,0,106891.40,384216.65,400000.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,93480000.00,0,0,0,0,11553360.00,11553360.00,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,6393345.94,4573639.49,0.00,900377.01,373779.50,83779.53,15000.00,92676200.47,1952000.00,6315.79,0.00,101003141.88,6878448.84,5242278.84,5242278.84,1630515.51,11694360.00,11867889.93,0.00,6139250.00,6500000.00,6500000.00,0.00,1882228.33,642100.00,344500.00,225500.00,551180.77,562000.00,562000.00,15000.00,2060000.00,2060000.00,2060000.00,0,2291161.91,20000000.00,-737081.34,0,2984274.71,1629600.00,1629600.00,1313600.00,1885000.00,425000.00,425000.00,300000.00,2092670.57,1980604.62,1970467.45,0,146891.40,5855392.30,3197642.80,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,24760113.08,15785819.93,5637191.81,34935738.35,16699431.05,13540044.56,5537762.89,8068114.32,8566918.27,6237918.27,0,5913955.29,8261633.73,5993543.13,5258155.70,52457025.46,5325565.75,376402.57,0,92441104.24,36811991.21,28397487.81,3193818.00,39222930.65,8779005.47,7396596.35,6403810.35,69847567.15,39932986.21,18460729.13,7003923.12,77749235.65,25263444.60,19215413.24,11517458.70,28799915.32,46444107.00,13856551.78,10388800.99,215418917.47,169738374.79,117481658.31,56863398.22,86251998.75,66882238.56,28057142.38,14562617.34,40412594.50,30768119.80,26295048.16,17946006.92,36804846.96,49242418.54,31867009.89,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314196650.00,298446650.00,291754400.00,52500000.00,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,10000000.00,0,180881.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122309.74,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,1200000.00,0,0,0,0,0,0,0,0,20000000.00,20000000.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,2000000.00,0,2000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,24760113.08,15785819.93,5637191.81,36135738.35,16699431.05,13540044.56,5537762.89,8068114.32,8566918.27,6237918.27,0.00,5913955.29,28261633.73,25993543.13,5258155.70,366653675.46,303772215.75,292130802.57,52500000.00,92441104.24,36811991.21,28397487.81,3193818.00,39222930.65,8779005.47,7396596.35,6403810.35,69847567.15,39932986.21,18460729.13,7003923.12,77749235.65,25263444.60,19215413.24,11517458.70,38799915.32,48444107.00,14037433.50,12388800.99,215418917.47,169738374.79,117481658.31,56863398.22,86251998.75,66882238.56,28057142.38,14562617.34,40412594.50,30768119.80,26295048.16,17946006.92,36804846.96,52364728.28,31867009.89,0.0
24,投资活动产生的现金流量净额,-18366767.14,-11212180.44,-5637191.81,-35235361.34,-16325651.55,-13456265.03,-5522762.89,84608086.15,-6614918.27,-6231602.48,0.00,95089186.59,-21383184.89,-20751264.29,-15876.86,-365023159.95,-292077855.75,-280262912.64,-52500000.00,-86301854.24,-30311991.21,-21897487.81,-3193818.00,-37340702.32,-8136905.47,-7052096.35,-6178310.35,-69296386.38,-39370986.21,-17898729.13,-6988923.12,-75689235.65,-23203444.60,-17155413.24,-11517458.70,-36508753.41,-28444107.00,-14774514.84,-12388800.99,-212434642.76,-168108774.79,-115852058.31,-55549798.22,-84366998.75,-66457238.56,-27632142.38,-14262617.34,-38319923.93,-28787515.18,-24324580.71,-17946006.92,-36657955.56,-46509335.98,-28669367.09,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213443000.00,0.00,0,0,0,0,0.00,0,0,0,0,0,10000000.00,0,0,0,0,0,0,0,173520541.31,173520541.31,173520541.31,178250000.00,0,0,0,0,0,0,2450000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450000.00,0.0
28,取得借款收到的现金,38130396.54,35800000.00,0,25754718.66,0,0,0,48790478.29,37000000.00,37000000.00,0,78000126.40,48000000.00,30000000.00,0,337535890.44,312181831.14,174990306.14,17303506.14,245000000.00,90000000.00,40000000.00,2448650.00,125000000.00,128000000.00,100000000.00,20000000.00,95000000.00,95000000.00,95000000.00,20000000.00,45000000.00,45000000.00,40000000.00,20000000.00,243000000.00,243000000.00,183000000.00,0,295000000.00,255000000.00,148000000.00,123000000.00,120000000.00,120000000.00,120000000.00,10000000.00,99000000.00,82000000.00,60000000.00,30000000.00,65000000.00,90000000.00,50000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,88000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,13000000.00,0,0,0,10657200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000.00,70000.00,0,0,0,0,0.0
31,筹资活动现金流入小计,38130396.54,35800000.00,0.00,38754718.66,0.00,0.00,0.00,59447678.29,37000000.00,37000000.00,0.00,78000126.40,48000000.00,30000000.00,0.00,337535890.44,312181831.14,174990306.14,17303506.14,245000000.00,90000000.00,40000000.00,2448650.00,338443000.00,128000000.00,100000000.00,20000000.00,95000000.00,95000000.00,95000000.00,20000000.00,45000000.00,45000000.00,40000000.00,20000000.00,253000000.00,243000000.00,183000000.00,88000000.00,295000000.00,255000000.00,148000000.00,123000000.00,293520541.31,293520541.31,293520541.31,188250000.00,99000000.00,82070000.00,60070000.00,30000000.00,65000000.00,90000000.00,52450000.00,0.0
32,偿还债务支付的现金,60465899.49,48071637.38,3060225.00,71784503.20,38106104.38,35000000.00,22000000.00,104670000.00,83000000.00,65006562.50,7906562.50,157534090.44,114300625.31,39576651.66,17303506.14,265000000.00,210000000.00,140000000.00,100000000.00,115000000.00,115000000.00,90000000.00,20000000.00,145000000.00,135000000.00,135000000.00,94000000.00,100000000.00,80000000.00,75000000.00,55000000.00,88000000.00,88000000.00,88000000.00,88000000.00,265000000.00,235000000.00,173000000.00,98000000.00,170000000.00,80000000.00,80000000.00,80000000.00,128000000.00,131360450.00,68000000.00,38000000.00,76000000.00,55000000.00,35000000.00,35000000.00,80000000.00,60000000.00,10000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,4798636.04,3378208.78,1884404.64,9731362.38,7436350.34,3346095.02,2191049.63,15009869.98,11676445.70,10878681.74,0,21891922.80,16949500.83,11024557.88,5639520.36,24362457.63,-302689.40,15936892.92,0,11164089.69,13489733.86,13379719.78,355063.35,12066054.32,9983634.95,8257801.60,1311337.58,13345027.49,10412406.42,8112755.04,1686013.87,7937595.76,8758347.46,6643263.00,3417123.78,9984312.58,7213857.25,4635228.55,1868943.00,27812692.08,23492407.32,20780461.82,1135384.51,16188455.33,14035973.90,12341233.90,560135.00,9565200.21,8008216.78,6564551.78,795750.00,19243237.80,10428528.90,4165190.06,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20534344.49,0,7938661.12,1020130.00,1300000.00,1000000.00,1792370.00,700000.00,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,20000.00,20000.00,20000.00,0,220886.33,0,0,0,0,0,0,0,0,0,0.0
36,筹资活动现金流出小计,65264535.53,51449846.16,4944629.64,81515865.58,45542454.72,38346095.02,24191049.63,119679869.98,94676445.70,75885244.24,7906562.50,179426013.24,131250126.14,50601209.54,22943026.50,289362457.63,230231655.09,155936892.92,107938661.12,127184219.69,129789733.86,104379719.78,22147433.35,157766054.32,144983634.95,143257801.60,95311337.58,113345027.49,90412406.42,83112755.04,56686013.87,95937595.76,96758347.46,94643263.00,91417123.78,274984312.58,242213857.25,177635228.55,99868943.00,197812692.08,103512407.32,100800461.82,81155384.51,144188455.33,145617310.23,80341233.90,38560135.00,85565200.21,63008216.78,41564551.78,35795750.00,99243237.80,70428528.90,14165190.06,0.0
37,筹资活动产生的现金流量净额,-27134138.99,-15649846.16,-4944629.64,-42761146.92,-45542454.72,-38346095.02,-24191049.63,-60232191.69,-57676445.70,-38885244.24,-7906562.50,-101425886.84,-83250126.14,-20601209.54,-22943026.50,48173432.81,81950176.05,19053413.22,-90635154.98,117815780.31,-39789733.86,-64379719.78,-19698783.35,180676945.68,-16983634.95,-43257801.60,-75311337.58,-18345027.49,4587593.58,11887244.96,-36686013.87,-50937595.76,-51758347.46,-54643263.00,-71417123.78,-21984312.58,786142.75,5364771.45,-11868943.00,97187307.92,151487592.68,47199538.18,41844615.49,149332085.98,147903231.08,213179307.41,149689865.00,13434799.79,19061783.22,18505448.22,-5795750.00,-34243237.80,19571471.10,38284809.94,0.0
38,四、汇率变动对现金及现金等价物的影响,-635958.98,-42736.52,0,-122726.73,85368.08,0,0,-692862.46,-95381.56,-58005.93,0,-1436710.16,374490.94,0,3275537.84,-18309835.27,217465.26,3852670.51,101994.48,-1798879.70,0,0,-43085.19,-43471.59,3251.60,0,0,-360.76,-360.76,-360.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39650.59,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,-24750485.65,-9126190.53,1896100.34,-99404870.57,-116692539.17,-101291304.08,-49612213.87,-22886641.89,-140107707.48,-110861047.11,-36005381.88,21554009.34,-139737426.06,-89874833.25,-73802798.13,-172769834.37,-237650508.31,-207161294.05,-92683021.49,-73206570.29,-194966686.10,-192279853.70,-98522112.95,265588580.07,-87370117.48,-82491116.52,-82127964.83,-29737419.01,-93400015.62,-81811755.98,-76615704.27,4784279.94,-87382258.51,-59092960.77,-50602097.91,-25303494.23,-80298771.10,-81203387.67,-33642846.45,-25498969.94,-19297116.93,-90194008.17,-18345483.70,88475322.98,25877234.84,127422243.16,75221345.59,65700505.41,20688675.00,-285749.38,-12080493.03,-7552476.86,-18600396.38,32412717.20,0.0
40,加:期初现金及现金等价物余额,27835833.26,27835833.26,27835833.26,127240703.83,127240703.83,127240703.83,127240703.83,150127345.72,150127345.72,150127345.72,154072604.90,128573336.38,150132205.24,150312317.90,128573336.38,301343170.75,332742860.30,301343170.75,332742860.30,374549741.04,376981028.46,376981028.46,375887491.48,108961160.97,115026993.28,115026993.28,115026993.28,138698579.98,138698579.98,138698579.98,144364410.68,133914300.04,142153560.98,142153560.98,141849942.52,159217794.27,166889920.97,159217794.27,159217794.27,184716764.21,184716764.21,184716764.21,184716764.21,96241441.23,96241441.23,96241441.23,96241441.23,30540935.82,30540935.82,30540935.82,30826072.91,38093412.68,56693809.06,24281091.86,0.0
41,六、期末现金及现金等价物余额,3085347.61,18709642.73,29731933.60,27835833.26,10548164.66,25949399.75,77628489.96,127240703.83,10019638.24,39266298.61,118067223.02,150127345.72,10394779.18,60437484.65,54770538.25,128573336.38,95092351.99,94181876.70,240059838.81,301343170.75,182014342.36,184701174.76,277365378.53,374549741.04,27656875.80,32535876.76,32899028.45,108961160.97,45298564.36,56886824.00,67748706.41,138698579.98,54771302.47,83060600.21,91247844.61,133914300.04,86591149.87,78014406.60,125574947.82,159217794.27,165419647.28,94522756.04,166371280.51,184716764.21,122118676.07,223663684.39,171462786.82,96241441.23,51229610.82,30255186.44,18745579.88,30540935.82,38093412.68,56693809.06,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,-9060715.13,0,-340108743.90,0,-11297767.14,0,9891580.72,0,43472456.53,0,-91724852.62,0,-46268674.72,0,-184084188.94,0,-12595751.15,0,9898031.76,0,-7362715.00,0,10101397.14,0,-1109052.74,0,11329990.43,0,-13775195.17,0,10620468.00,0,-5337605.10,0,-592331.05,0,0,0,11282280.35,0,-10664039.73,0,22152695.51,0,4134472.08,0,27003492.36,18502504.21,3539123.20,0,0,33162575.43,31185351.63,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,2721680.89,0,131628693.39,0,6552951.57,0,42056418.81,0,9776291.27,0,-16560.55,0,10975839.94,0,22822356.09,0,-4385498.47,0,10633712.59,0,2094979.15,0,-1362756.11,0,2206828.94,0,1070954.38,0,2839109.81,0,-2824576.37,0,-2763290.00,0,6705095.06,0,0,0,2179580.40,0,1479505.44,0,550378.33,0,2621604.32,0,-2325613.68,20248.86,-1617076.17,0,0,3558058.31,1244241.68,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,11467462.09,0,24768894.43,0,7728683.02,0,30825059.87,0,18685660.97,0,44825807.23,0,15979046.72,0,50975497.59,0,24855266.41,0,51127003.88,0,26296427.45,0,55914728.84,0,29017486.33,0,58941657.17,0,28363970.81,0,51425144.86,0,25235830.13,0,51620601.91,0,0,0,46644881.99,0,21004607.47,0,30142782.15,0,13546393.31,0,24142045.29,17742892.19,11483414.21,0,0,17065389.07,10702185.96,0.0
48,无形资产摊销,0,191147.90,0,424769.93,0,219389.88,0,455923.89,0,188840.98,0,320376.46,0,153138.56,0,301087.82,0,126968.72,0,335181.78,0,170123.52,0,364480.09,0,184689.80,0,333404.71,0,145818.55,0,395763.34,0,205949.42,0,422299.93,0,0,0,570239.23,0,299567.02,0,610432.00,0,290582.66,0,567540.48,464315.90,277891.19,0,0,84761.51,43800.00,0.0
49,长期待摊费用摊销,0,32927.41,0,64466.68,0,74498.43,0,128933.33,0,202738.87,0,1308933.32,0,64466.66,0,64466.67,0,0,0,362434.21,0,181217.10,0,362434.20,0,181217.10,0,362434.21,0,0,0,0,0,0,0,0,0,0,0,366654.00,0,100002.00,0,200004.00,0,100002.00,0,200004.00,150003.00,100002.00,0,0,33334.00,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,2001822.21,0,107919.33,0,9756.07,0,-20840466.23,0,20679.61,0,799762.62,0,-608730.40,0,-414158.34,0,-51857.18,0,-2041.80,0,-154984.66,0,3553327.30,0,396007.70,0,-389284.46,0,-389584.46,0,-629906.93,0,-882606.48,0,-101861.91,0,0,0,3199492.17,0,832560.18,0,402644.52,0,-73262.12,0,-301477.01,-262395.70,-262395.70,0,0,143974.80,-52457.33,0.0
53,固定资产报废损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
