,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,43392158.26,34896383.44,45077573.61,907987943.24,60401971.61,41900868.88,39954208.58,71465528.70,72046409.05,54694390.99,18104937.61,63790232.93,60429435.89,45395646.37,13284144.58,40154664.37,69843341.01,51971405.76,9149352.17,33791407.54,26146251.36,37768553.35,10295943.64,36144980.52,36131464.01,23678134.90,10326924.25,47306129.04,43739473.49,24654503.67,10065226.26,68371536.33,41466273.00,37318936.29,11149971.49,48060437.79,94412177.16,17626111.48,7217791.52,55686314.32,17447720.50,11559996.70,6591154.89,108674071.22,14546965.47,13534706.04,13109576.29,19887295.30,19566861.71,9950853.70,7158046.62,47466578.12,11037966.94,7358644.63,8640865.79,15606731.80,9261966.34,27363773.38,0.0
10,经营活动现金流出小计,357499127.19,221763284.16,92158273.16,1514915020.25,506638233.59,336980182.44,145372450.22,638263001.22,442702165.83,318636457.79,126770075.79,655721777.04,386726865.81,241552150.97,124578126.27,566163023.51,397775633.46,267718481.46,101891113.93,566098357.21,438433921.34,348486988.16,145761148.69,593034147.39,442452431.53,294185662.56,95922760.35,624594554.14,525627536.31,289896810.29,162589870.08,695338906.78,468476131.02,256031032.16,86494497.73,616701714.74,496791332.50,226218107.70,106409895.84,489305725.78,334209542.07,175294638.04,76787414.03,624855391.59,364065808.10,238394744.77,118182143.29,554485053.07,400209404.66,219654235.19,81643699.05,261739870.28,167158649.80,111439099.87,51879497.03,209778823.31,142218344.42,120387962.58,0.0
11,经营活动产生的现金流量净额,936232724.52,894929002.51,875979620.23,-850450976.55,-45451664.90,-34546105.40,-11346668.79,59547178.70,4251663.14,-34516513.41,-15728324.26,117442444.71,4349014.44,16162632.89,-16803926.25,79646018.49,82533838.83,88416758.00,53518281.08,-43541084.12,-52712081.58,-81562055.31,-39781811.34,35177751.80,-4082311.97,1679450.14,21190413.28,116264971.50,-7320179.33,55327936.43,21125061.51,42554195.93,12658177.41,50824737.15,23251716.87,22873181.23,-38107597.57,41760620.33,844047.16,95549725.79,65489166.01,100380988.88,76472863.78,-82768693.37,15097244.70,9036571.30,23210678.99,-99027376.24,-109274938.62,-52953143.62,3476332.05,44140034.18,34248840.02,22832560.02,3458986.04,29004928.92,27327962.17,-39378996.86,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,49450000.00,3450000.00,3450000.00,3450000.00,193400000.00,19200000.00,200000.00,0,88000000.00,8000000.00,0,0,2000000.00,2000000.00,2000000.00,2000000.00,0,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,3423748.46,48904.11,17260.27,0,6771259.01,36720000.00,36720000.00,0,0,0,0,0,0,0,0,0,0,209476.33,0,0,104384.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,51392.00,51392.00,11392.00,148650.00,46650.00,0,0,64499.09,85976.51,0,0,20000.00,20000.00,20000.00,20000.00,0,49300.00,25800.00,0,64900.00,28600.00,28600.00,6000.00,157078.53,0,0,0,97962.10,149673.07,21000.00,21000.00,52000.00,146997.29,0,0,46000.00,0,0,0,80000.00,0,0,0,0,12000.00,0,0,59495.30,52260.52,0,0,0,0,0,0,0,45000.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14910554.52,0.0
18,投资活动现金流入小计,51392.00,51392.00,11392.00,53022398.46,3545554.11,3467260.27,3450000.00,200235758.10,56005976.51,36920000.00,0.00,88020000.00,8020000.00,20000.00,20000.00,2000000.00,2049300.00,2025800.00,2000000.00,64900.00,3238076.33,28600.00,6000.00,261462.61,0.00,0.00,0.00,97962.10,149673.07,21000.00,21000.00,52000.00,146997.29,0.00,0,46000.00,0,0,0,80000.00,0,0,0,0,12000.00,0,0,59495.30,52260.52,0,0,0,0,0,0,0,45000.00,14910554.52,0.0
