,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,636697353.96,338636860.74,89008970.41,385339054.78,234321240.50,135961100.85,58485827.12,287346706.03,180740279.14,96082002.16,47214003.72,136704629.66,67589496.00,46380431.00,10621662.96,145022742.20,67028798.65,139198566.79,518509650.56,379837014.16,555518369.15,407817741.38,369205899.72,286643241.71,524119023.80,234427403.28,220443333.02,524246090.55,340426368.75,189670116.32,236760603.93,400106106.39,204842995.49,211419733.80,188630877.54,199484117.73,236838529.81,164153692.38,119335667.12,156174384.58,172420311.07,95157223.60,75467295.14,95730726.53,54257350.03,55671458.68,125218672.04,185751267.08,229973358.26,189752110.28,132967461.44,123697114.93,187076476.46,50783380.95,58194856.36,79529492.76,68147770.83,0.0
10,经营活动现金流出小计,10532299521.55,6728663457.78,1303448244.81,5280843965.40,3655659727.62,2550788131.73,1291389685.05,4593647215.82,3509051300.86,2277584963.97,1183038867.93,3366643444.96,2303038821.34,1437714194.44,804828592.40,3411417010.65,2223797973.86,1590071094.98,1313024005.81,5120310689.96,3950488165.11,2553101969.11,1598162300.99,5875119718.91,4531671684.67,2953989612.60,1566831698.14,6279811615.60,4557506382.22,3113100388.65,1686747270.88,6017007564.51,4322381745.57,2814487187.76,1343095990.98,4900394475.50,3523034948.40,2521343761.11,1239282204.98,4673157690.62,3171137495.68,2035407602.32,849682113.71,3134096296.14,1970390656.90,1224051163.10,675862427.19,2463747078.59,1679732471.26,1081963799.87,520226646.38,1688827680.81,1189114665.32,689407550.26,358798210.91,1204036900.75,704846024.25,0.0
11,经营活动产生的现金流量净额,2637515109.93,1357259378.35,-195054216.73,1792122437.52,1112217786.26,777140980.79,-162867220.69,2067811290.13,1188960868.01,1177296133.35,825466212.26,1053378378.32,369105762.66,-31218078.95,-380608834.17,1963462956.73,1238638197.96,425594151.12,-496794105.53,1404935534.28,419956179.29,120371592.79,-406466345.64,1541007789.21,669799870.27,291432724.71,-23333424.25,1329960812.06,828717250.47,280312748.22,-99130916.68,1233241465.12,1053334749.40,855921034.02,429666119.45,1926856279.38,1587635812.04,778654518.39,243251734.29,1239567283.32,637201077.42,501120244.81,296218909.46,1468123158.14,964589860.25,579513505.00,58454514.91,398902777.59,225986992.52,57788689.57,-34578412.22,486378820.26,152953038.27,188712858.60,17013654.18,643375947.66,309732582.36,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251820.62,200300.62,200300.62,200300.62,0,0,0,0,1360112.87,1360112.87,0,0,210000.00,210000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,47000000.00,47000000.00,19820000.00,124296814.63,103550000.00,75250000.00,47000000.00,26086778.19,0,0,0,6566880.66,0,0,0,0,0,0,0,1801001.07,0,0,0,9115536.21,0,0,0,93402614.17,93402614.17,93402614.17,50000000.00,80055789.73,80055789.73,62642553.19,17004331.74,47780360.12,2780360.12,2780360.12,0,13831524.63,4831524.63,4831524.63,0,4500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,10800278.50,10772499.50,383500.00,191747.07,-4264.43,13200.00,0,1517675.00,600.00,0,0,4937341.00,4126753.00,4126753.00,0,3228086.66,2873913.00,1949508.00,1049508.00,12904367.44,9290486.00,2230280.00,0,462364.00,302364.00,77364.00,77364.00,933970.00,931360.00,276360.00,208000.00,35270834.83,34839834.83,17460198.11,0,0,0,0,0,105800.00,105800.00,98800.00,96800.00,652682.00,209700.00,85700.00,85700.00,738766.80,42000.00,21000.00,199721000.00,40135551.72,119449.29,111809.29,76809.29,3509136.59,923917.95,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273951990.94,273951990.94,273951990.94,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70661458.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,57800278.50,57772499.50,20203500.00,124488561.70,103545735.57,75263200.00,47000000.00,27604453.19,600.00,0.00,0.00,11504221.66,4126753.00,4126753.00,0.00,3228086.66,2873913.00,1949508.00,1049508.00,85366826.84,9290486.00,2230280.00,0.00,9577900.21,302364.00,77364.00,77364.00,94336584.17,94333974.17,93678974.17,50208000.00,115578445.18,115095925.18,80303051.92,17204632.36,47780360.12,2780360.12,2780360.12,0,15297437.50,6297437.50,4930324.63,96800.00,5362682.00,419700.00,85700.00,85700.00,274690757.74,273993990.94,273972990.94,199721000.00,40135551.72,119449.29,111809.29,76809.29,3509136.59,923917.95,0.0
