,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,经营活动现金流出小计,1480961781.94,1006418855.01,488605423.05,1735318243.92,1431399282.37,844065325.90,505805039.79,1801654361.64,1344935616.51,928186414.65,408000185.42,1542259442.49,1108244219.62,741573470.34,325023867.15,1265831048.93,1006492094.20,748275582.96,370713628.35,1031920019.53,788613526.11,537745090.61,224607782.27,994227263.29,705112498.28,481152541.53,248634496.06,937543634.78,758030717.98,529355699.77,223878581.36,939181159.15,736190037.35,508615027.59,205372765.88,768299679.62,534667164.00,337767647.88,119624498.52,542973211.34,379064127.06,240179656.73,61586543.14,480866763.17,378027973.29,399507570.23,262979972.31,0.0
11,经营活动产生的现金流量净额,95399177.34,28555386.22,-53438277.15,133050032.33,128055629.86,134812115.18,33978190.86,-36907072.09,19540705.15,-28642240.82,-7273424.30,108983613.98,48292737.23,-20783155.69,-22208330.38,77485824.48,18252525.36,-89574607.48,-70903931.55,101769169.55,20439777.03,-12755845.84,34504802.22,85597750.85,80065063.40,27859061.42,10031901.89,94152652.06,95805963.03,24924766.07,38437829.25,171698983.51,130755818.39,19954173.29,46534700.65,27448383.16,61762959.00,32893929.16,46574125.13,44510310.88,35687574.29,15339524.88,33644566.08,110771426.43,75501545.56,78975088.46,19121861.60,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,120000.00,220000.00,0,0,45680000.00,45680000.00,2680000.00,0,5000000.00,144500000.00,0,0,14385696.00,6385696.00,0,0,13214304.00,0,75000000.00,0,82000000.00,0,67000000.00,0,0,0,0,0,0,0,0,4117576.37,3700000.00,3700000.00,4117576.37,0,0,0,0,0,0,0,0,0,0,0,1100000.00,0.0
14,取得投资收益所收到的现金,4057018.92,4057018.92,0,4507798.80,4507798.80,4507798.80,0,5747327.86,4488860.22,0,0,5713575.59,4141043.95,3219964.78,0,2403723.37,2046073.37,4592900.03,2182886.29,1767526.11,7167330.43,4974374.55,2125626.02,4207229.26,2434452.56,1253932.00,690486.00,5785.74,5785.74,0,0,450000.00,867576.37,417576.37,0,324000.00,324000.00,324000.00,0,300000.00,300000.00,300000.00,0,330000.00,330000.00,300000.00,31246.27,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,0,0,0,232526.61,5000.00,5000.00,0,254951.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,20000000.00,0,53007800.00,53000000.00,53000000.00,23000000.00,0,0,0,0,0,0,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,8658000.00,0,8658000.00,487270830.26,293892190.64,233637910.34,171803802.87,600328130.13,394472921.75,80531426.75,50317855.71,305953679.82,164740394.35,164740394.35,30145389.30,230871594.53,620990982.22,650700000.00,0,1583437686.60,0,207000000.00,0,14500000.00,0,0,0,10000000.00,0,0,0,8250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,12835018.92,4277018.92,8658000.00,492011155.67,344084989.44,283830709.14,174483802.87,606330409.45,403961781.97,225031426.75,50317855.71,311667255.41,183267134.30,174346055.13,30145389.30,233275317.90,636251359.59,655292900.03,77182886.29,1585205212.71,89167330.43,211974374.55,69125626.02,18707229.26,2434452.56,1253932.00,690486.00,10005785.74,5785.74,0.00,0.00,32817576.37,24567576.37,24117576.37,4117576.37,53331800.00,53324000.00,53324000.00,23000000.00,300000.00,300000.00,300000.00,0,330000.00,330000.00,300000.00,1131246.27,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,82234520.03,76579779.74,47693942.48,173707569.91,93017031.97,87345424.72,57469007.82,98957088.42,102708365.91,84962844.17,29251563.33,96526064.47,73506616.04,49500819.94,44249665.77,199398683.32,153359101.31,110881218.11,54910108.31,272913753.59,155831558.74,108203850.82,74785542.35,147467143.43,78162484.81,40394891.66,32656720.31,67496924.72,45869532.79,35421124.46,18277485.37,132313476.41,87335117.47,66946900.80,51996800.21,160819789.78,100890966.10,94062987.73,80053720.84,93514267.67,47887867.89,20612503.56,11940302.72,69513454.37,53123772.51,231692861.87,14557916.61,0.0
20,投资所支付的现金,924304.00,924304.00,924304.00,212380067.84,124457940.25,87438795.76,43296250.00,0,500000.00,99100000.00,17900000.00,18600000.00,22400000.00,22400000.00,0,6385696.00,26600000.00,0,0,0,0,0,0,31640000.00,6780000.00,0,0,0,0,0,0,8799150.00,0,0,0,3700000.00,3700000.00,3700000.00,3700000.00,0,0,0,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,4789483.45,1190624.00,39262634.00,398111216.00,285319500.00,155000000.00,139013905.00,633080000.00,447399707.40,120000000.00,101137838.00,280000000.00,210000000.00,110000000.00,114226810.00,11532681.60,445001224.20,441000000.00,0,1631000000.00,0,100000000.00,0,207000000.00,180000000.00,140000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,87948307.48,78694707.74,87880880.48,784198853.75,502794472.22,329784220.48,239779162.82,732037088.42,550608073.31,304062844.17,148289401.33,395126064.47,305906616.04,181900819.94,158476475.77,217317060.92,624960325.51,551881218.11,54910108.31,1903913753.59,155831558.74,208203850.82,74785542.35,386107143.43,264942484.81,180394891.66,32656720.31,67496924.72,45869532.79,35421124.46,18277485.37,141112626.41,87335117.47,66946900.80,51996800.21,164519789.78,104590966.10,97762987.73,83753720.84,93514267.67,47887867.89,20612503.56,11940302.72,69513454.37,53123772.51,231692861.87,14557916.61,0.0
24,投资活动产生的现金流量净额,-75113288.56,-74417688.82,-79222880.48,-292187698.08,-158709482.78,-45953511.34,-65295359.95,-125706678.97,-146646291.34,-79031417.42,-97971545.62,-83458809.06,-122639481.74,-7554764.81,-128331086.47,15958256.98,11291034.08,103411681.92,22272777.98,-318708540.88,-66664228.31,3770523.73,-5659916.33,-367399914.17,-262508032.25,-179140959.66,-31966234.31,-57491138.98,-45863747.05,-35421124.46,-18277485.37,-108295050.04,-62767541.10,-42829324.43,-47879223.84,-111187989.78,-51266966.10,-44438987.73,-60753720.84,-93214267.67,-47587867.89,-20312503.56,-11940302.72,-69183454.37,-52793772.51,-231392861.87,-13426670.34,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,8473.50,67000.00,0,0,2940000.00,2940000.00,0,0,0,0,0,0,0,0,0,0,599992789.05,599992789.05,599992789.05,0,0,0,0,0,400000.00,0,0,0,0,0,0,0,385286150.00,385286150.00,0,0,0,0,47450000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,600000000.00,587000000.00,290000000.00,550200000.00,311200000.00,281200000.00,151200000.00,273800000.00,180000000.00,140000000.00,70000000.00,130000000.00,125000000.00,105000000.00,70000000.00,243500000.00,218500000.00,218500000.00,59000000.00,69500000.00,69500000.00,64500000.00,35000000.00,110865000.00,105000000.00,100000000.00,50000000.00,179800000.00,179800000.00,150800000.00,42000000.00,145800000.00,145800000.00,103800000.00,55000000.00,224800000.00,204800000.00,165800000.00,76000000.00,306680000.00,255680000.00,131680000.00,80380000.00,361180000.00,277180000.00,480080000.00,306922000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,520000.00,74000000.00,0,157500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560000.00,1560000.00,0,2453947.08,0,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,600520000.00,661000000.00,290000000.00,707700000.00,311200000.00,281200000.00,151200000.00,273808473.50,180067000.00,140000000.00,70000000.00,132940000.00,127940000.00,105000000.00,70000000.00,243500000.00,218500000.00,218500000.00,59000000.00,69500000.00,69500000.00,64500000.00,35000000.00,710857789.05,704992789.05,699992789.05,50000000.00,179800000.00,179800000.00,150800000.00,42000000.00,146200000.00,145800000.00,103800000.00,55000000.00,224800000.00,206360000.00,167360000.00,76000000.00,694420097.08,640966150.00,131680000.00,80380000.00,361180000.00,277180000.00,527530000.00,306922000.00,0.0
32,偿还债务支付的现金,369000000.00,279000000.00,170000000.00,295000000.00,215000000.00,143800000.00,93800000.00,150000000.00,135000000.00,105000000.00,80000000.00,125000000.00,110000000.00,90000000.00,50000000.00,188000000.00,138500000.00,74500000.00,25000000.00,90000000.00,90000000.00,85000000.00,55000000.00,158800000.00,158800000.00,128800000.00,55000000.00,204075000.00,194075000.00,108800000.00,65275000.00,207525000.00,177525000.00,126525000.00,46000000.00,362180000.00,269180000.00,215680000.00,62380000.00,379180000.00,212980000.00,136180000.00,91130000.00,271680000.00,195680000.00,412599000.00,216211000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,30460584.51,24628560.56,7351205.96,61224693.12,55730412.36,51217224.89,7244075.26,36756673.07,34422540.91,2812382.31,1429478.39,27855601.25,25857807.42,24412514.20,1375164.04,18895771.37,17168866.53,14666373.43,935444.43,12957233.35,12024733.36,11155650.04,937500.03,34405734.19,32936287.68,31571818.16,2057983.28,20771793.64,18207521.19,15366011.70,2263959.14,13063939.38,9579858.32,6410965.92,3056986.96,23668424.23,20191545.97,15218627.83,5676400.00,29844700.58,22618460.74,15846050.07,7741250.49,32568337.10,23630256.88,28509319.99,16300747.55,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,348616831.91,391005000.00,136185276.52,75000000.00,0,0,0,7500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391036.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,筹资活动现金流出小计,748077416.42,694633560.56,313536482.48,431224693.12,270730412.36,195017224.89,101044075.26,194256673.07,169422540.91,107812382.31,81429478.39,152855601.25,135857807.42,114412514.20,51375164.04,206895771.37,155668866.53,89166373.43,25935444.43,102957233.35,102024733.36,96155650.04,55937500.03,193596770.19,191736287.68,160371818.16,57057983.28,224846793.64,212282521.19,124166011.70,67538959.14,220588939.38,187104858.32,132935965.92,49056986.96,385848424.23,289371545.97,230898627.83,68056400.00,409024700.58,235598460.74,152026050.07,98871250.49,304248337.10,219310256.88,441108319.99,232511747.55,0.0
37,筹资活动产生的现金流量净额,-147557416.42,-33633560.56,-23536482.48,276475306.88,40469587.64,86182775.11,50155924.74,79551800.43,10644459.09,32187617.69,-11429478.39,-19915601.25,-7917807.42,-9412514.20,18624835.96,36604228.63,62831133.47,129333626.57,33064555.57,-33457233.35,-32524733.36,-31655650.04,-20937500.03,517261018.86,513256501.37,539620970.89,-7057983.28,-45046793.64,-32482521.19,26633988.30,-25538959.14,-74388939.38,-41304858.32,-29135965.92,5943013.04,-161048424.23,-83011545.97,-63538627.83,7943600.00,285395396.50,405367689.26,-20346050.07,-18491250.49,56931662.90,57869743.12,86421680.01,74410252.45,0.0
38,四、汇率变动对现金及现金等价物的影响,750915.19,-662476.24,-1490380.29,263495.46,1037930.76,137589.58,-2037688.37,-4080974.99,-2064342.55,-1005914.30,-332188.38,1055366.50,270310.70,360082.84,50292.67,2839187.66,1566870.88,-744707.14,457672.58,346213.72,-578960.95,-602776.19,-24796.19,-1466410.36,-1158817.47,-791203.09,-305922.38,-308471.25,-139852.75,-64686.06,-488.39,-525439.39,-650372.81,-400315.81,-246248.64,-39979.80,-73432.00,-45683.61,5537.16,-254427.18,-404.16,-28854.43,-8287.08,324735.60,-74076.09,-296208.06,0,0.0
39,五、现金及现金等价物净增加额,-126520612.45,-80158339.40,-157688020.40,117601136.59,10853665.48,175178968.53,16801067.28,-87142925.62,-118525469.65,-76491954.85,-117006636.69,6664570.17,-81994241.23,-37390351.86,-131864288.22,132887497.75,93941563.79,142425993.87,-15108925.42,-250050390.96,-79328145.59,-41243748.34,7882589.67,233992445.18,329654715.05,387547869.56,-29298238.08,-8693751.81,17319842.04,16072943.85,-5379103.65,-11510445.30,26033046.16,-52411432.87,4352241.21,-244828010.65,-72588985.07,-75129370.01,-6230458.55,236437012.53,393466991.50,-25347883.18,3204725.79,98844370.56,80503440.08,-66292301.46,80105443.71,0.0
40,加:期初现金及现金等价物余额,273275899.05,273275899.05,273275899.05,155674762.46,155674762.46,155674762.46,155674762.46,242817688.08,242817888.08,242817688.08,242817888.08,236153117.91,236153117.91,236153117.91,236153117.91,103265620.16,103265620.16,103265620.16,103265620.16,353316011.12,353316011.12,353316011.12,353316011.12,119323565.94,119323565.94,119323565.94,119323565.94,128017317.75,128017317.75,128017317.75,128017317.75,139527763.05,139527763.05,139527763.05,139527763.05,384355773.70,384355773.70,384355773.70,384355773.70,147918761.17,147918761.17,147918761.17,147918761.17,49074390.61,49074390.61,115366692.07,35261248.36,0.0
41,六、期末现金及现金等价物余额,146755286.60,193117559.65,115587878.65,273275899.05,166528427.94,330853730.99,172475829.74,155674762.46,124292418.43,166325733.23,125811251.39,242817688.08,154158876.68,198762766.05,104288829.69,236153117.91,197207183.95,245691614.03,88156694.74,103265620.16,273987865.53,312072262.78,361198600.79,353316011.12,448978280.99,506871435.50,90025327.86,119323565.94,145337159.79,144090261.60,122638214.10,128017317.75,165560809.21,87116330.18,143880004.26,139527763.05,311766788.63,309226403.69,378125315.15,384355773.70,541385752.67,122570877.99,151123486.96,147918761.17,129577830.69,49074390.61,115366692.07,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,24193025.35,0,42641836.83,0,37024166.68,0,49096541.07,0,36090102.94,0,49203749.31,0,30481990.84,0,40945993.82,0,29052858.96,0,23922426.22,0,26256298.04,0,41929412.51,0,25979877.12,0,67322399.83,0,34340559.99,0,55717726.39,0,28949146.24,0,42804525.11,0,22228282.02,0,39273836.52,0,21675473.26,0,44777234.65,0,33296287.64,20007530.17,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
