,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,3503831060.44,2249240976.89,951097932.53,4774763066.13,3262444292.60,1987777904.00,777262890.82,4035628449.67,2791131480.60,1623196854.75,693185138.84,2691310371.40,1919132513.13,1232383552.59,501548264.60,2713440558.09,2071058583.94,1346626678.62,604833605.52,3034550130.73,2152942901.09,1356582685.95,591195857.99,3135933797.02,2801166352.94,1780744224.31,796818658.17,3777088704.98,2780824787.31,1781458851.87,695480142.92,3426693706.73,1829946457.81,1264303700.58,562934178.94,2911417414.66,1570626857.19,1150910897.73,510080906.08,2456913465.00,1669461410.09,1069423229.13,440601515.33,2872435625.54,2771601462.56,0.0
3,收到的税费返还,8245714.43,8245714.43,171866.06,0,0,0,0,3820194.08,3801751.83,572558.71,0,2437452.12,2437452.12,1532221.92,0,1270809.56,1445681.98,349616.47,0,3808701.08,3808701.08,1317049.35,0,5842099.68,1883977.46,562399.38,0,9207052.57,1030008.37,779621.37,266957.03,6748683.58,1586372.16,1473510.84,0,3810115.63,3905225.66,3177900.31,1314156.45,11430241.54,10857750.95,9945597.00,9945597.00,28322353.64,43475293.22,0.0
4,收到的其他与经营活动有关的现金,169831896.21,97453912.57,89877115.26,123163267.26,105027294.41,36741836.18,13959118.37,46152924.26,106243969.01,65828839.98,25843708.75,49650487.49,100796990.37,61341538.97,30219480.85,32946334.62,120489352.11,79111968.77,41130067.71,119499799.87,213131534.92,126870229.70,66163117.84,266711523.79,306033353.69,66096783.71,82090066.35,155288658.67,237674371.37,136208794.94,5496185.67,132574745.70,189607067.91,92350368.47,35659998.56,157768778.96,117764024.81,66306089.45,28953106.67,349841293.35,212612356.82,173286548.80,152463611.15,497450326.73,604673295.74,0.0
5,经营活动现金流入小计,3681908671.08,2354940603.89,1041146913.85,4897926333.39,3367471587.01,2024519740.18,791222009.19,4085601568.01,2901177201.44,1689598253.44,719028847.59,2743398311.01,2022366955.62,1295257313.48,531767745.45,2747657702.27,2192993618.03,1426088263.86,645963673.23,3157858631.68,2369883137.09,1484769965.00,657358975.83,3408487420.49,3109083684.09,1847403407.40,878908724.52,3941584416.22,3019529167.05,1918447268.18,701243285.62,3566017136.01,2021139897.88,1358127579.89,598594177.50,3072996309.25,1692296107.66,1220394887.49,540348169.20,2818184999.89,1892931517.86,1252655374.93,603010723.48,3398208305.91,3419750051.52,0.0
6,购买商品、接受劳务支付的现金,3108326011.04,1994513356.03,1005985808.75,4213446450.72,3309431155.95,2026995070.57,865580770.32,3732334016.44,2839298344.64,1579379504.87,744143559.20,2307947824.72,1652817097.90,985276986.54,403234866.95,1964001006.72,1666413902.99,1095981202.72,486542150.16,2588730876.11,2074241310.77,1144467190.72,617032465.96,2978663787.43,2800787834.47,1648552049.05,917345711.65,3512484703.04,2815351414.16,1745707185.75,783677972.07,3200521781.15,1671327852.67,1114160191.66,587952104.11,2750037971.61,1471329198.04,1087931163.26,597791498.78,2210145329.83,1493963772.93,978160133.95,441033743.96,2493574993.44,2619672384.82,0.0
7,支付给职工以及为职工支付的现金,165499426.22,118136544.76,70183227.84,208433516.73,152715124.58,104560517.55,69486228.42,179810390.46,132483324.72,93893350.45,55999661.48,174875176.19,133767773.20,97191980.89,59548877.14,173330774.07,132220179.71,93049533.88,56294396.72,159045297.59,120709778.44,81004661.79,48407921.59,142761501.92,110459481.32,78274578.30,42800863.19,117208973.03,88019902.24,59696939.98,32474353.00,86923859.94,67489962.20,48140954.07,24613118.23,73901806.27,47888975.78,32657510.76,16872930.08,63522071.84,44786808.02,33861435.00,17994618.67,63144798.65,45037383.95,0.0
8,支付的各项税费,126050929.28,89736012.77,38716602.31,126571091.71,76058299.05,51356090.34,15852406.10,87344303.21,62426022.50,37051693.47,23712809.33,98609752.73,78402913.98,53606536.58,32181652.71,104563377.48,82554853.66,61713237.58,20954169.49,81072752.38,67884038.73,32760556.62,12754152.30,70228443.02,55216621.89,42308821.57,23902404.38,66647673.02,42616713.89,32962113.11,13106224.69,52216115.32,38597725.86,21841829.82,9645172.27,62571470.94,43567837.74,34402639.48,8457305.91,80774069.26,66216682.26,37759706.94,14338804.13,107005385.93,49799780.74,0.0
