,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2818201863.06,1822363344.96,898543777.83,3500861268.74,2573539104.14,1709716428.63,821559561.87,2569220506.84,1947974208.47,1164834370.16,510730222.06,1924101441.40,1646378324.86,1016990704.75,365065031.20,1633244197.59,1055879810.09,714980056.36,303893850.25,1477803854.74,1185293896.49,964987427.99,401747490.10,1578221682.49,1168775407.63,846231487.22,408900900.02,1318376576.15,948571204.02,663020474.77,288085447.52,1364187931.10,968572898.50,669864017.49,334673871.45,1232171876.75,959878761.58,646249639.06,320085328.44,1071425959.27,775345782.40,469333101.03,187169244.68,1191026087.90,949652736.67,683382049.89,308785513.23,1490712664.79,1150612063.27,780470493.04,352826919.54,878458486.80,574826241.42,274262534.09,117380647.37,604113488.29,670240646.54,579319673.95,0.0
3,收到的税费返还,40178300.83,18294677.52,3716463.56,22186762.99,34369205.70,17320187.49,8328256.29,1231696.40,31242562.82,14168847.52,6560508.71,4962994.36,7654375.17,2751069.52,573003.93,5282254.54,9610654.14,0.00,0,10898259.95,5874744.60,58270.84,0,2485198.40,4018701.72,3601037.96,2286836.63,8779153.95,19702434.65,3574732.53,2107345.86,1139495.43,1139495.43,0,0,835795.48,895179.10,59383.62,0,19858935.69,20893857.70,1038656.40,0,65815590.04,28591807.14,0,0,4013336.70,4013336.70,1607837.36,1607837.36,0,3383520.54,131625.38,131625.38,3942019.02,19789990.52,26002273.50,0.0
4,收到的其他与经营活动有关的现金,32048206.53,18970877.33,10747889.87,20677481.89,10742510.54,5468890.58,1397017.54,36335376.48,32456834.77,26933302.94,6378968.39,17669362.61,17014222.54,9810148.05,1028113.89,12561175.62,65443169.96,56338904.62,52522588.81,17748931.26,39063067.85,32476685.55,29755177.88,27510594.08,76981052.26,20777181.80,14167524.36,57389933.03,54754853.25,6177589.09,2092594.89,5894100.34,88042015.28,50166796.20,589533.26,20167901.79,11864241.10,8927331.55,8466843.09,20175736.68,17295612.95,11625111.55,5316213.49,7345610.67,4401479.28,1889918.91,215772.50,89502410.01,5715532.29,1454635.91,308021.15,3834507.69,1850111.11,1406440.73,75955.28,2402116.76,2634045.30,1331000.00,0.0
5,经营活动现金流入小计,2890428370.42,1859628899.81,913008131.26,3543725513.62,2618650820.38,1732505506.70,831284835.70,2606787579.72,2011673606.06,1205936520.62,523669699.16,1946733798.37,1671046922.57,1029551922.32,366666149.02,1651087627.75,1130933634.19,771318960.98,356416439.06,1506451045.95,1230231708.94,997522384.38,431502667.98,1608217474.97,1249775161.61,870609706.98,425355261.01,1384545663.13,1023028491.92,672772796.39,292285388.27,1371221526.87,1057754409.21,720030813.69,335263404.71,1253175574.02,972638181.78,655236354.23,328552171.53,1111460631.64,813535253.05,481996868.98,192485458.17,1264187288.61,982646023.09,685271968.80,309001285.73,1584228411.50,1160340932.26,783532966.31,354742778.05,882292994.49,580059873.07,275800600.20,117588228.03,610457624.07,692664682.36,606652947.45,0.0
6,购买商品、接受劳务支付的现金,1670774268.40,1030791436.31,474952092.14,1948753028.52,1592365838.86,1076113936.08,573402384.69,1649817057.06,1359709199.30,904715927.16,471046626.80,807343935.94,841136047.34,552724324.40,210900872.28,850854056.01,973339299.63,556669379.34,333058437.40,285435996.76,471560493.49,336620510.51,196659183.50,1006055823.71,772386611.03,524273093.02,261969749.77,1062746355.64,690708890.21,481190884.83,166524091.80,863708605.80,648073078.27,419667628.48,216477723.87,760904394.53,553441580.87,354207086.11,143133782.39,661788246.10,399478707.84,210202910.28,66968089.25,756716117.57,620835616.70,367387012.77,176075393.77,966766598.05,749860686.53,458927556.98,215454581.09,661118321.12,449693287.59,196939057.94,108764952.17,431860531.68,463622608.91,323317695.65,0.0
7,支付给职工以及为职工支付的现金,286725733.00,203695314.01,125015783.55,296445036.47,254772996.47,185353976.04,117002166.84,253382706.25,214408404.06,149250504.57,98601799.84,229200058.31,196298803.92,145069628.14,95128944.40,192911592.87,167661399.48,123225451.84,81255630.20,161236566.63,135300268.73,100338107.92,69229796.40,126521856.69,100542650.28,75859864.17,51170518.48,107773053.14,73632466.80,55576374.67,37330689.33,100209676.46,70107963.35,53765664.28,36212836.12,94493945.77,58771099.41,43901625.57,30474955.11,62419714.57,39434840.41,28188581.48,18729297.70,62919608.29,41194358.48,31251671.79,17059445.93,26388814.83,25721468.40,19552000.70,13652753.00,24681897.40,20567380.76,14902366.15,9692750.78,20378627.33,15412600.11,8802221.33,0.0
8,支付的各项税费,152284545.84,117330738.22,46042632.17,184672252.78,161021837.73,74163134.34,34898503.60,144404879.96,102460109.46,63751540.28,28203243.99,121197895.25,90518926.31,68059057.68,27072256.46,209764217.56,167702732.37,118270325.46,49614845.99,230453374.03,165745241.57,101918839.13,50033121.02,145115820.72,104693361.56,49985685.66,8558305.36,26343665.27,72761764.01,50088025.84,23816987.81,63749468.96,143009027.50,108304836.27,49764620.52,137543744.24,168580411.47,126167862.72,45390976.93,68146131.46,72257952.70,46610649.63,21311658.60,143700988.05,112049748.13,91132198.81,65262832.66,234204348.71,166830949.11,120595521.22,35559885.30,40387520.30,27007204.71,14729494.77,4431438.80,58807634.20,115378745.11,99008228.27,0.0
