,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2563497897.21,1658958141.68,763755739.42,5029181030.40,2412405091.79,1588593163.31,725112354.36,4187207321.73,2656671975.27,1652554008.44,889102547.16,4103355355.66,3170266191.68,2180586047.19,1225280348.81,2757219520.04,1746785497.46,1145691494.21,540126089.81,2674640185.35,1928075843.44,1312596134.30,558441438.41,2692634059.36,1957753694.05,1197553102.08,492997239.99,2048547834.75,1515961103.82,986676272.68,579783830.53,2279746738.83,1639068173.53,1016896615.06,384857018.53,1618301155.08,1095492847.52,627159111.24,221688711.39,1365778496.29,948788417.20,615019289.41,230660330.84,1065184433.30,731196334.28,450613034.20,168629314.13,761152144.96,541310687.59,330988951.62,115166942.95,706915589.24,516415325.17,311020277.56,140086361.15,570623408.63,438783380.41,288454046.93,108927574.86,543602816.50,358736065.19,213504598.22,433106276.73,0.0
3,收到的税费返还,4774316.79,2822024.31,1132268.86,8137348.96,5916548.96,3244800.00,1612800.00,5452736.10,4478976.10,2271820.17,870445.50,4107873.92,5019998.16,1166526.88,390833.78,2245835.90,1510835.06,857500.98,262500.30,1402916.69,877916.69,635117.13,0,69003.53,0,0,0,268535.31,0,0,0,0,0,0,0,1122771.66,1181327.86,1181327.86,0,380903.37,625502.00,625502.00,0,3554191.11,2901122.23,2901122.23,0,3501743.63,891974.50,0,0,0,0,0,0,0,0,0,0,825439.43,0,2063598.57,296009.00,0.0
4,收到的其他与经营活动有关的现金,206581978.94,150414847.83,79173128.70,210406210.64,220784707.25,195410610.22,95377976.65,375962445.77,218758087.79,126076545.20,41598633.70,227308236.81,446735165.61,134628271.43,416657950.89,207237417.95,266730326.81,75772946.22,37652969.44,226014237.97,376515402.08,159724979.04,111237055.48,238369423.04,400576851.15,75639135.58,30838425.91,103474321.10,71536097.82,54601629.22,52403426.45,243745835.29,9540041.36,20387158.12,1811933.22,56520300.15,38461438.89,7961678.24,1432056.31,9839960.94,9473822.23,5769106.57,2194192.67,13495073.70,5919682.52,2126148.51,2885887.68,16315815.70,2893443.26,2553925.56,4018927.77,22331270.85,20948226.51,12791586.11,5264808.60,13236645.95,8595104.20,6197858.73,5848393.33,16637474.06,20242846.52,2615293.95,22417351.25,0.0
5,经营活动现金流入小计,2774854192.94,1812195013.82,844061136.98,5247724590.00,2639106348.00,1787248573.53,822103131.01,4568622503.60,2879909039.16,1780902373.81,931571626.36,4334771466.39,3622021355.45,2316380845.50,1642329133.48,2966702773.89,2015026659.33,1222321941.41,578041559.55,2902057340.01,2305469162.21,1472956230.47,669678493.89,2931072485.93,2358330545.20,1273192237.66,523835665.90,2152290691.16,1587497201.64,1041277901.90,632187256.98,2523492574.12,1648608214.89,1037283773.18,386668951.75,1675944226.89,1135135614.27,636302117.34,223120767.70,1375999360.60,958887741.43,621413897.98,232854523.51,1082233698.11,740017139.03,455640304.94,171515201.81,780969704.29,545096105.35,333542877.18,119185870.72,729246860.09,537363551.68,323811863.67,145351169.75,583860054.58,447378484.61,294651905.66,114775968.19,561065729.99,378978911.71,218183490.74,455819636.98,0.0
6,购买商品、接受劳务支付的现金,1893946835.40,1184714152.76,496092822.32,3512918462.32,1899392461.15,1399636789.17,777231135.78,2552488491.69,1825233878.48,1127634903.00,613744680.88,2105190398.31,1779592778.82,1248010374.75,654738828.98,1663180174.99,1295648068.46,864353992.21,554403689.15,2244697694.98,1884741916.63,1309498994.49,556493254.93,2255471264.01,1616849829.55,993099405.90,543078053.26,1708464015.37,1369782545.97,846419558.08,437495750.37,1757797637.72,1306167420.41,826926822.91,268605659.11,1107018894.99,768840906.13,439255160.93,191925144.72,756889219.02,551366500.82,355799836.65,127631711.51,689767006.18,509225287.46,323263056.59,119492964.56,457769195.08,323145663.81,185328983.49,80344497.62,426184353.70,336110896.01,200854357.66,109631156.06,342479053.36,299308281.80,201859078.57,84793554.52,367589709.71,0,139601680.13,252761250.53,0.0
7,支付给职工以及为职工支付的现金,547188067.10,367206282.13,180696804.43,790113429.46,362692599.20,247596745.39,124684522.18,536117633.25,356068501.92,237301286.43,133716533.50,496396444.42,361048067.78,223754254.62,125544639.25,486140990.36,345105335.46,221288234.01,127297097.52,423720816.15,289376968.26,196097436.04,108318507.48,385904138.70,266661031.68,174957049.58,90535733.80,292650159.15,206117249.35,127494511.62,83343355.96,259194891.74,172952093.59,101034427.21,57238644.95,216155047.62,137026331.24,91820508.15,46355502.02,190448911.63,121311541.70,80194119.94,41706460.87,149472746.01,96210436.67,62771847.33,34086135.52,124267723.62,91202195.95,61763951.18,34348500.44,120865751.87,75364384.99,49061026.17,23782484.38,81441498.54,57266221.77,38250245.52,16457126.99,63678393.78,43899975.57,29557178.33,50771292.30,0.0
8,支付的各项税费,225981503.19,161256876.63,55852191.72,356004014.98,161094272.14,111843019.64,48397968.53,243936982.51,165643620.72,110067231.20,46111179.78,307758889.57,249299851.41,197429372.67,63203566.20,254722605.27,200927902.34,144872749.58,75652882.43,283304644.43,215063958.12,149630242.57,58120555.94,270689090.06,204109311.17,149354806.77,57611844.13,216232150.52,146668927.64,101195647.22,52151976.29,216171683.59,152046437.56,94126639.85,41838441.43,123371842.01,81054598.07,46105809.52,17750738.68,131800345.68,85250806.69,55523471.42,20967808.61,76420451.68,52087771.19,37391396.64,16344386.40,71810234.40,51302559.79,30587673.72,16469734.71,71615695.30,50693366.68,29943793.70,13792634.33,54601447.24,38990585.92,25820680.91,9110280.50,40481791.90,0,20286802.51,35844240.96,0.0
