,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,623191830.68,355340521.68,291201168.46,1161918097.63,907435569.79,660426409.91,317245082.03,850423918.54,429190294.10,255070187.42,123686853.71,726163301.77,515627130.62,379817926.60,177281936.16,479955254.73,185024736.16,124986948.70,69120209.97,314184993.98,243200186.93,167746197.28,76676508.36,348899678.54,266551177.64,175188245.97,84897031.65,319193571.20,230093696.11,153594951.79,76967345.66,292154862.59,212537456.60,135632628.04,60692753.83,316983411.51,254008671.55,162181169.57,77830722.38,436902627.20,340766235.52,216856404.62,92905448.71,340483905.62,229867223.35,180988790.41,64016661.99,325059108.57,233766001.72,210790253.78,159942302.99,0.0
3,收到的税费返还,6629326.97,4926584.97,2795609.49,14937624.89,11301325.73,8401639.35,6884524.22,10912905.62,9253618.86,5245644.45,1843544.24,11695795.66,8334112.14,5686927.23,4418415.69,8939934.72,1253058.79,978440.06,534378.84,2346979.95,1189774.97,469803.72,348221.40,1713833.99,1713833.99,1073427.16,883264.29,5465462.55,4968197.96,3638081.90,2659051.23,6050506.32,4596915.07,1630314.92,844527.64,2918571.36,1682632.43,1242226.41,107717.90,3779277.59,2088823.28,719600.93,0,3433952.89,244457.90,0,0,0,0,30153.85,0,0.0
4,收到的其他与经营活动有关的现金,89451464.37,96041515.36,10069446.62,225198226.02,13753975.47,12000350.25,8953055.75,20875201.75,17570158.12,11782559.41,3877074.94,21565170.04,14862201.99,19061930.17,5827152.40,7417856.67,8811320.87,10091304.21,3587470.80,9960386.62,4981084.43,3354643.36,1781985.74,10568409.31,2539098.79,1534770.50,918385.31,8431739.76,5275169.76,1547471.03,470602.47,4353192.90,3975604.62,2492226.57,812327.18,9308822.00,6293187.96,5110112.35,2211782.72,15667473.38,13372929.87,9881396.13,8590513.10,2022296.80,1221057.38,1055121.85,1376744.60,1377289.02,976524.74,1361941.43,2545930.32,0.0
5,经营活动现金流入小计,719272622.02,456308622.01,304066224.57,1402053948.54,932490870.99,680828399.51,333082662.00,882212025.91,456014071.08,272098391.28,129407472.89,759424267.47,538823444.75,404566784.00,187527504.25,496313046.12,195089115.82,136056692.97,73242059.61,326492360.55,249371046.33,171570644.36,78806715.50,361181921.84,270804110.42,177796443.63,86698681.25,333090773.51,240337063.83,158780504.72,80096999.36,302558561.81,221109976.29,139755169.53,62349608.65,329210804.87,261984491.94,168533508.33,80150223.00,456349378.17,356227988.67,227457401.68,101495961.81,345940155.31,231332738.63,182043912.26,65393406.59,326436397.59,234742526.46,212182349.06,162488233.31,0.0
6,购买商品、接受劳务支付的现金,311015533.97,192207572.12,223172406.54,454809417.13,415472487.17,236657773.52,140167100.14,673017136.92,557349069.45,450860395.97,107791239.07,502699222.53,194495632.23,140424525.98,71013374.84,120663044.48,100676972.74,65465654.53,31711355.95,194729786.33,145930031.79,99846443.46,55044128.04,199155293.84,154677479.76,106141786.71,49006437.81,172924898.77,134010588.28,97357995.27,58298525.97,169944435.20,129790027.83,88336853.32,40888356.02,183204140.89,198701117.01,148068503.59,72610150.41,278537823.22,227710102.15,128043131.25,44168817.92,200928411.77,123774595.88,114313466.29,39661907.38,176464282.05,121681454.71,139637910.98,85638516.11,0.0
7,支付给职工以及为职工支付的现金,148904634.58,102350050.37,57898911.98,162814571.32,116489798.28,84028499.04,51927694.29,153488057.93,115936230.40,82010712.77,54185641.85,135958727.61,101980430.23,71124736.03,35081882.06,73686861.03,43850916.26,32494614.55,20880541.13,62216310.06,47236258.15,33411458.96,19776828.95,62762028.58,43160713.05,29859619.35,18257748.40,54562486.63,43138854.50,31374100.41,20512299.52,54293898.41,43133163.55,30557906.59,18350541.29,56202444.60,45224013.12,34477720.80,22799279.92,47284914.31,36789350.79,25462582.74,10941774.11,42390752.16,31726452.44,23272627.82,12211256.85,29849294.53,23197423.95,18799463.76,10646063.51,0.0
8,支付的各项税费,132118980.85,103328799.42,54872992.28,169222183.55,143598631.06,127188693.96,65842001.85,145961790.30,125751711.43,90250722.99,40285226.18,135899246.88,113504834.90,74364843.83,47120400.43,110055195.09,16512110.57,12723069.12,6278384.06,24051255.30,19858306.65,12710061.46,9100526.44,24688114.10,17862275.17,8668669.02,3240396.74,23250803.67,15818632.45,10195176.38,3961499.05,18837227.35,16371831.02,13044602.44,10387092.20,17096617.37,14667896.09,10367497.64,7268992.66,32411834.44,23996414.43,13973239.94,5861150.00,33503063.47,26343836.44,19721803.18,7402709.13,27227330.99,21397839.79,9886007.12,11972064.75,0.0
