,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,179908443.45,97703834.97,64463563.67,239958164.17,191468875.84,145225876.50,105939253.11,518094769.74,255519159.58,134314792.69,80736093.40,468909338.07,266342315.80,194981582.87,386909042.59,637152884.47,380703889.45,182020734.00,32193900.50,559202052.50,453285512.47,242312075.48,136440700.75,468155711.77,367808744.58,213260985.40,130226810.87,384060788.56,222457207.70,242026913.22,76597324.30,302159034.51,221556601.97,147651106.48,74510400.08,344736970.41,221105829.32,153359670.17,81165986.46,242425943.74,248184668.78,204506860.78,35252390.18,226388550.43,178529699.58,120700712.59,41754385.35,305598208.48,192303013.95,132019198.02,75858723.93,246475319.23,163651904.83,110409737.97,51110027.15,274780314.10,158441270.84,110060424.30,9251354.08,131364483.58,73250087.10,23173407.78,37949406.27,278067664.06,197378359.05,124550783.29,39765465.22,385390340.48,555544155.90,190959877.75,97174790.14,426983986.01,136816521.07,176096248.74,104248803.93,0.0
10,经营活动现金流出小计,1265323784.30,842125693.71,519940860.77,2776231498.26,2133785425.35,1549921414.33,817250996.28,5542276393.42,4734636886.78,3214080009.88,1673044134.57,7807241647.08,5903335532.63,4405239364.93,2527041343.61,9732031633.12,6166248948.51,3656331496.38,1698077630.62,9443762552.29,6101433927.12,4251525844.10,1856247287.77,7270046557.39,5201340036.84,3291385818.91,1770388824.23,6452019354.40,3822711144.55,2692587885.68,1223447270.67,5056665331.47,3668047033.62,2533102500.24,1419987865.74,4405275718.68,3051588255.19,2064775898.80,1089534017.07,3383581614.78,2704117705.99,1836494543.40,955141521.83,2842018669.20,1994531896.20,1346456107.88,597256898.33,2814547643.51,1929800068.54,1284217832.49,593587021.34,2393741560.50,1573116656.41,1005505572.88,414347732.54,2022463779.39,1501711831.49,1119238052.65,480339649.65,1927159742.47,1635844185.60,1068679218.69,474527813.53,2558743867.97,2009308872.08,1379590759.68,626388777.98,2645630307.50,1772095479.33,2993673195.70,1464904308.16,2217846608.25,624413098.05,1230989664.13,759023930.14,0.0
11,经营活动产生的现金流量净额,39937895.35,60329628.54,-86239280.14,194257470.54,437201683.53,225279826.00,-73607685.62,-39763217.15,-316924477.26,-204802772.83,-170303417.45,738600651.94,53454244.22,-104179010.59,-38858206.38,903569574.56,77437234.03,113146925.66,-254472767.58,-587050504.47,-940822830.40,-980397721.23,-469591190.16,-152053763.43,-504783735.32,-511487321.31,-434275818.34,-116522636.80,-559076836.34,-739659405.10,-393559907.79,-374915026.36,-713699148.21,-483644971.85,-399214648.93,-16992986.74,-414028211.82,-297909641.28,-203028409.63,266770869.98,17719979.37,-103633173.72,-106410079.30,267818805.22,-205499242.00,-199575994.65,-197341398.39,163940460.73,5841435.74,13838529.47,6895241.51,161434897.19,30722178.22,15835450.57,6487787.50,216978398.27,161335857.64,157741616.46,-58443410.29,453155632.54,509238643.42,577714297.20,260083217.10,-155444624.49,-454555923.20,-477391797.44,-263554070.20,-811796122.70,-508199128.83,-25935787.57,318840912.97,-311431613.53,106927505.09,-212476392.96,-134581240.43,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,137924400.00,11231200.00,11231200.00,1000000.00,59000000.00,188128800.00,188128800.00,0,65925000.00,15925000.00,0,0,325000000.00,0,0,0,0,0,0,0,7000000.00,0,0,0,82110350.00,72310350.00,36610350.00,36610350.00,0,0,0,0,16950483.47,2600000.00,2600000.00,0,19729819.65,18894017.59,18894017.59,13964017.59,15711919.05,14283023.64,14283023.64,14283023.64,124162676.26,124162676.26,0,0,0,0,0,0,0,0,0,0,12673074.15,95000000.00,0,0,32420000.00,420000.00,420000.00,0,103520000.00,1000000.00,135851298.00,123000000.00,0,0,0,0,0.0
14,取得投资收益所收到的现金,105615.38,0,0,10802644.33,10700789.64,173766.32,173766.32,478496.43,478496.43,0,0,4331638.98,4305972.32,631280.16,0,4556743.57,0,0,0,111731.12,111731.12,111731.12,0,0,0,0,0,220000.00,220000.00,0,0,2429401.00,0,0,0,0,0,0,0,2174197.94,0,0,0,0,0,0,0,0,0,0,0,0,1000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13413050.40,0,25460000.00,25460000.00,40000.00,40000.00,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,2027371.17,3513.97,26450.00,1077952892.91,183487.34,170639.84,10300.50,1092112.56,1070182.56,243503.00,7500.00,25026571.74,13982597.87,9100457.60,4039198.68,91964292.14,6996443.62,44412.80,2359.80,88997586.00,39830.00,14330.00,13130.00,44867.00,7960.00,7960.00,160.00,9859824.71,9859824.71,8937824.71,6087824.71,19348866.26,11482.00,9000.00,9000.00,5415715.31,1512361.54,1252143.40,393.50,1181355.60,762640.44,378609.64,40363.05,93746190.07,93436739.64,76345527.41,74999540.00,162544618.12,82276.12,82276.12,19260.00,2424490.46,2424490.46,2071852.56,2044183.33,998584.06,50243.99,31222.53,16293.14,957230.70,948954.17,449466.60,343320.60,70237.44,3337.44,460.00,0,180389.75,83000.17,582155.24,442150.00,199493.50,171157.20,2945500.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,274681404.42,274783259.11,0,0,188972889.81,0,0,0,17762358.96,17762358.96,-1237641.04,0,276281276.07,0,0,0,0,-10913.42,0,0,16204349.05,16268352.44,16268352.44,0,0,0,0,0,19808558.97,5630404.54,5630404.54,0,1896.61,0,0,0,74522193.93,0,0,4930000.00,-2137100.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,17000000.00,0,0,0,0,0,0,0,0,50000000.00,50000000.00,10000000.00,7235738.72,231586643.22,160000000.00,50000000.00,147651976.67,75004164.92,0,0,24500000.00,24500000.00,18376000.00,0,0,0,0,0,0,0,0,0,0,0,0,2600000.00,0,0,0,0,0,0,0,0,0,0,1900000.00,0,58304596.80,0,0,0,14200.00,0,0,0,223800.00,0,0,0,198700.00,0,0,0,0,0,190179.22,190179.22,10307914.38,0,37226212.58,0,0.0
18,投资活动现金流入小计,2132986.55,3513.97,26450.00,1518361341.66,296898736.09,11575606.16,1184066.82,249543498.80,189677478.99,188372303.00,7500.00,113045569.68,101975929.15,58494096.72,14039198.68,705038050.50,238583086.84,160044412.80,50002359.80,236761293.79,75144812.62,126061.12,13130.00,47749216.05,40776312.44,34652312.44,160.00,92190174.71,82390174.71,45548174.71,42698174.71,41586826.23,5641886.54,5639404.54,9000.00,22368095.39,4112361.54,3852143.40,2600393.50,97607567.12,19656658.03,19272627.23,18934380.64,107321008.97,107719763.28,90628551.05,89282563.64,286707294.38,124244952.38,1982276.12,19260.00,60729087.26,3424490.46,2071852.56,2044183.33,1012784.06,50243.99,31222.53,16293.14,13854104.85,95948954.17,449466.60,343320.60,32688937.44,423337.44,420460.00,0,117113440.15,1083000.17,162083632.46,149092329.22,10547407.88,211157.20,40171712.58,0,0.0
