,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,6638102620.98,4223140536.72,2554422841.45,1205839489.22,4773069149.06,3077873281.90,1884084446.82,853454872.34,5035716417.48,3196734562.17,1980467022.73,816004942.08,4227066693.02,2727831359.23,1648012216.33,662704426.97,4220766530.72,2674098260.89,1651672784.56,714706113.11,3294719788.30,2051055586.00,1155930098.94,490578464.25,3331473104.01,2129632797.40,1311663500.74,485590947.26,2682245556.18,1538371107.37,909233999.40,364201697.94,2196478129.28,1314306438.14,819508431.30,347546638.69,1979655280.17,1254180104.00,792645548.84,421828529.55,2006294977.65,1169178126.28,688305278.90,307806014.11,1600566196.47,935704850.56,511788257.18,210652290.94,1272481889.34,668139357.14,356041261.38,149707117.19,871772025.39,494717139.49,273939508.27,115071162.83,632001070.78,344308349.31,204718128.35,86014437.75,222122515.98,129244691.53,87250702.48,143118131.35,105467019.53,106428165.00,0.0
3,收到的税费返还,66649374.10,63537641.20,45005894.30,23106953.30,60623422.87,56489604.71,28779329.82,19093995.38,47635716.74,34914703.61,20654478.31,11315383.31,29952528.47,24263224.30,14278665.08,3329918.74,16041324.79,16896381.46,10910812.86,8006652.86,14764559.74,10286902.28,8687972.61,3503701.61,9214682.05,5168380.60,3473108.44,1219737.36,8225223.92,4806218.10,3678283.80,1836144.08,3441040.61,2680209.50,2656235.14,1417330.70,5637909.56,2790340.52,2316482.89,896342.12,5065726.57,675039.71,587019.00,106842.82,6267346.00,4811333.86,4609722.65,3132669.62,6637987.01,4654749.34,2583399.85,1256876.00,4313345.93,7570353.94,6023085.52,2182339.59,4426495.40,1070010.26,33000.00,0,1378787.70,509034.11,509034.11,0,0,705210.70,0.0
4,收到的其他与经营活动有关的现金,84888962.51,55186930.07,19182048.47,6136698.21,100152212.82,64176886.45,38079069.98,10051047.18,66604811.61,50808401.37,44558798.90,1669462.19,50513778.02,33805773.99,25355798.66,6568934.41,50643819.08,39328403.23,9795208.62,4277106.77,46937095.22,32709928.79,13254328.77,6056671.69,59076363.22,40457368.64,19906903.22,4097334.69,73703094.31,58893777.32,21570602.34,3735938.94,58601652.65,42222168.93,14873221.61,3219353.27,75041881.47,65561476.85,48372722.48,5413589.64,43149212.41,42964386.08,29589409.52,7642828.36,32745793.96,21096996.27,16330201.12,10114904.62,24900383.56,22282582.99,10923499.92,17715046.64,48423306.74,32642882.13,9613657.30,7733207.17,14432704.67,20839203.48,13357044.89,2644245.16,1382804.30,5298150.93,343424.51,3429195.45,4985853.19,2203084.87,0.0
5,经营活动现金流入小计,6789640957.59,4341865107.99,2618610784.22,1235083140.73,4933844784.75,3198539773.06,1950942846.62,882599914.90,5149956945.83,3282457667.15,2045680299.94,828989787.58,4307532999.51,2785900357.52,1687646680.07,672603280.12,4287451674.59,2730323045.58,1672378806.04,726989872.74,3356421443.26,2094052417.07,1177872400.32,500138837.55,3399764149.28,2175258546.64,1335043512.40,490908019.31,2764173874.41,1602071102.79,934482885.54,369773780.96,2258520822.54,1359208816.57,837037888.05,352183322.66,2060335071.20,1322531921.37,843334754.21,428138461.31,2054509916.63,1212817552.07,718481707.42,315555685.29,1639579336.43,961613180.69,532728180.95,223899865.18,1304020259.91,695076689.47,369548161.15,168679039.83,924508678.06,534930375.56,289576251.09,124986709.59,650860270.85,366217563.05,218108173.24,88658682.91,224884107.98,135051876.57,88103161.10,146547326.80,110452872.72,109336460.57,0.0
6,购买商品、接受劳务支付的现金,3823140159.00,2737889622.77,1726582868.22,833152224.83,2898799420.29,2151105241.82,1347084763.50,733597665.66,2883293205.79,1948677763.97,1208128376.98,603877448.31,2588532382.38,1984741913.11,1239526712.86,671510757.48,2294450983.02,1692635679.70,1112565729.63,599504316.63,1872859480.70,1471686022.21,954239976.40,510017892.07,1779185754.49,1376906388.98,920135843.86,504685578.09,1473845963.31,1227057616.79,819823915.46,436220415.07,1336293115.64,1007352310.46,683714700.08,341508205.84,1024623814.57,852900014.70,543579613.75,283850197.12,923242256.81,610400758.26,388246532.61,216587109.97,909930237.24,659569298.64,430191449.47,232726519.21,760213743.56,473271524.23,281578439.90,142648524.91,515618646.31,385276355.35,237893619.19,109189242.28,338462205.70,247128962.56,163277234.56,78902897.13,104438133.63,70558323.03,43550927.85,47727869.04,44757136.22,58578678.53,0.0
7,支付给职工以及为职工支付的现金,821424485.44,599993633.74,417253219.68,244990083.17,725940492.24,533515813.37,358764854.53,214124245.37,685082851.86,505770699.59,351100174.31,212508390.52,634648911.26,471713144.80,327348086.77,189105841.64,607999709.97,442355738.22,306877616.54,181039143.70,555358775.13,421505563.90,290970299.95,163867977.29,515956357.69,384727652.24,269571962.44,150265459.14,409156002.34,296538212.70,197538671.03,112399352.74,290498517.15,210064427.80,146030822.34,86638975.40,240538124.41,177256144.17,126603261.93,75891066.81,178179695.14,129864036.94,88717251.14,46882993.43,129031330.84,93907368.96,66561168.45,34639858.63,83965382.55,59502678.64,39650332.56,19410620.20,57198262.90,40424799.98,26107840.93,13600150.90,43394490.82,26528852.77,17625982.38,10027798.54,15628467.72,11988034.65,8461450.29,13038499.00,9353497.04,9277480.06,0.0
8,支付的各项税费,343129246.41,241554945.00,178924665.74,109608286.67,336216143.85,247721075.54,176584571.05,131172129.25,390514617.13,335050742.58,254511666.23,179594427.55,299404282.77,217412899.69,148522754.90,73060797.26,303805751.59,193559885.58,137214245.53,69252120.45,389430877.14,253395191.91,178223216.54,122735458.21,300777341.38,213130938.40,146437763.56,59114320.37,236003818.39,144251894.65,93639518.74,57362978.27,359097703.98,312525559.99,192056339.11,52660241.52,303626529.13,239297245.78,182022649.51,64183526.08,224147557.23,142990620.06,87916497.16,35203522.80,205489936.34,140488202.68,101367143.62,33991436.61,135930547.63,83447729.11,59671049.75,25607505.65,83129595.54,58189746.07,42434921.13,15857948.51,55155735.09,35275442.91,22925297.34,10229209.53,38855259.56,31615536.71,17168755.76,28287915.06,13938550.78,7079241.60,0.0
