,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,827247104.99,519793529.02,279350617.46,951843252.08,644853518.84,387141746.01,173099791.10,688114263.09,460550351.22,299477057.26,157919736.66,571989408.00,324122639.61,184107077.80,78297115.89,448817549.48,321824589.20,219087331.15,80452007.87,317900047.12,222807968.01,159644376.44,81403292.09,321651453.37,277448141.60,165271649.60,80563071.75,321243930.48,216773817.12,115202995.24,40479906.77,273293072.10,103756330.19,89279722.00,41169503.03,188996175.91,123122639.31,104504815.97,38742811.91,174649280.41,126775760.82,92778846.78,26995534.03,152192149.63,65644143.01,50083717.95,27372654.47,116071282.77,78396071.97,70202375.53,15103064.14,137004907.30,95700030.09,64877056.46,33565701.81,123802594.52,107257929.32,82278108.38,32580040.06,138054007.66,113896060.20,82479478.30,18381970.00,60693532.77,51682300.00,40051000.00,22820700.00,58545966.90,20507353.14,44668951.24,0.0
10,经营活动现金流出小计,2093116725.61,1387854412.35,735125857.78,2477593476.53,1905941017.72,1189346496.81,581721219.00,2055167013.10,1444708707.32,929651778.18,454081794.54,1699651831.48,1109114159.54,764961455.35,347309589.27,1627277053.46,1205013976.54,774203614.16,345047384.95,1383503901.38,1016235093.78,687802500.65,327115778.51,1343903978.46,1015973954.16,694450056.69,329503586.64,1024031535.34,768583419.32,438157371.90,204001476.78,1012450158.30,665682523.05,493793278.22,225995090.48,984874612.55,858673370.96,589941825.95,365501154.40,1016132505.52,865863502.86,709341054.67,238369579.91,848946353.55,910330002.09,582507724.37,308367529.74,761288774.49,716238862.22,469267635.59,192843347.34,877906491.63,585031144.02,360375576.76,180375079.78,793936685.62,489367426.37,381300563.22,119938885.44,663699389.66,455385696.79,276908584.64,150746540.00,418359682.65,275517500.00,137484000.00,59988600.00,215703100.51,95833946.14,155738011.64,0.0
11,经营活动产生的现金流量净额,218797638.56,139026193.62,28621204.44,426601444.77,365899379.43,319019170.03,71178039.06,161726197.37,88103671.57,29585464.19,-8853911.89,155954179.41,272561129.53,222027846.46,89738211.07,143466388.53,208517944.75,158329492.20,95693955.31,178626984.41,167465479.55,110876342.90,24979624.50,56801873.71,57550665.66,41440871.96,20728747.04,-96730916.17,-86737397.69,36753832.82,19364913.97,40726841.15,122288919.36,130054621.06,61316811.93,18565509.45,1037803.38,5733868.15,28338086.04,368564044.88,269095422.28,73840412.73,51206377.72,102899172.56,10188954.31,63323252.49,28196088.74,105685653.59,73489247.30,81551938.54,23853953.14,11590939.45,54092357.35,65490295.23,32080568.36,26396593.12,34235365.66,10918059.28,38845536.19,79725967.37,37141051.44,35315486.50,-5976200.00,-9620467.78,-5456300.00,8087000.00,7227500.00,24288234.95,8729133.20,23587029.19,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,1724930816.45,1279600160.89,748593410.04,2795349318.79,2018045267.56,1200524524.26,617143093.74,393138510.17,223867825.34,176823108.99,48888931.42,585765767.26,446162268.76,268166362.45,92461044.85,796393392.56,681656160.80,534056369.57,243627792.45,473735421.35,338079683.44,199410171.68,128904339.36,1375474560.31,1287880087.08,777496132.57,425957173.69,23309228.70,0,0,0,8000000.00,0,0,0,0,0,0,0,1000000.00,936400.00,0,0,0,0,0,0,0,0,0,0,2852920.40,6251673.25,6228728.33,2020000.00,200010.00,0,0,0,0,0,0,0,300000.00,1000000.00,0,0,1300.00,600.00,0,0.0
14,取得投资收益所收到的现金,7773830.35,7269854.11,4332571.14,3296703.03,988856.37,578185.30,0,698417.96,168716.47,156716.47,70266.47,834050.54,334973.11,334973.11,334973.11,2008622.98,2008622.98,1984645.35,702181.37,1415572.21,2187182.16,2187182.16,2110791.40,1223640.93,1473072.99,466647.56,152780.27,47263.69,0,0,0,377379.43,0,0,0,6111776.89,200000.00,200000.00,200000.00,51851.00,316151.10,0,0,0,0,0,0,100000.00,0,0,0,727919.17,852091.16,815950.96,120308.01,0,137650.00,137650.00,0,90000.00,0,505057.42,0,520000.00,0,0,0,0,0,3500.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,1202910.68,302954.18,108800.00,1171615.50,1082330.80,690085.80,573098.00,1309571.13,177410.62,160410.62,133826.00,92974944.13,68141780.13,66097335.87,23167921.41,169341.85,3196964.81,21483.73,12833.50,2447740.00,606000.00,430000.00,370000.00,32975092.00,29531606.00,29075674.00,439674.00,18207483.40,16614985.39,33893.89,23199.00,9823403.00,9815065.00,140000.00,60000.00,2769594.33,523582.00,452732.00,56232.00,3577637.21,3418799.20,187240.00,64500.00,683534.51,683334.51,990771.63,974471.63,253000.00,133000.00,31000.00,21000.00,737105.81,420954.59,282022.42,115437.24,2285934.00,895714.58,238448.40,534509.97,2672446.29,260546.68,5506.09,16950.00,673552.16,936700.00,0,0,0,0,104100.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8640375.58,6500000.00,6500000.00,6500000.00,0,0,0,0,0,0,0,0,-20000255.23,0,0,0,13659524.44,23090212.62,23090212.62,0,0,0,0,0,0,0,0,0,0,0,0,0,3708728.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65191.38,65297.99,65297.99,0,0,0,0,0,3545286.16,1952486.16,1952486.16,0,21764431.73,0,0,0,600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168456.99,0,0,0,1360000.00,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,1733907557.48,1287172969.18,753034781.18,2799817637.32,2020116454.73,1201792795.36,617716191.74,395146499.26,224213952.43,177140236.08,49093023.89,679574761.93,514639022.00,334598671.43,115963939.37,798636548.77,686927046.58,536127796.64,244342807.32,486239109.14,347372865.60,208527353.84,137885130.76,1413218579.40,1320837252.23,808990940.29,426549627.96,63328407.52,16614985.39,33893.89,23199.00,-1199472.80,9815065.00,140000.00,60000.00,22540895.66,23813794.62,23742944.62,256232.00,4629488.21,4671350.30,187240.00,64500.00,683534.51,683334.51,990771.63,974471.63,353000.00,133000.00,31000.00,21000.00,8026673.71,7524719.00,7326701.71,2255745.25,4654400.99,1033364.58,376098.40,534509.97,4122446.29,260546.68,510563.51,16950.00,1493552.16,1936700.00,0,0,1300.00,600.00,107600.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,56004220.03,38335525.13,24249503.24,68009071.93,62131285.54,33177638.40,20197493.62,99341316.32,81540238.81,70313860.49,9202978.66,84464453.32,74034778.48,54432678.81,33882762.94,101675948.15,88580947.99,66699098.24,27680942.36,173841143.15,141007969.01,75861594.34,25399010.14,99015141.75,64276399.34,51003602.75,22797532.83,105581043.13,53644828.54,33905645.80,25789609.34,119557118.37,89203294.49,53366748.69,24798809.75,187301102.75,130692529.25,100025438.65,54902224.71,269822023.94,203243924.31,161579808.46,60161224.38,147561077.60,63298465.15,35196337.73,15260414.37,31305534.45,11921789.10,10142473.63,3333443.99,43695052.89,19923142.01,16482777.93,5811661.72,108951629.66,76838261.42,52211379.13,33799140.90,202811568.08,196826841.18,106489205.49,58972480.00,83174481.54,55294900.00,50256000.00,36227000.00,27376871.03,8970616.85,23041829.77,0.0
20,投资所支付的现金,1807572371.83,1352368850.98,777047292.37,2811403261.52,2035138369.18,1217932394.54,634619142.95,416778624.59,265924862.35,200860425.41,91897200.14,572619295.46,458807752.93,268027574.62,111574104.60,779931475.17,678775531.12,524489367.12,263385434.92,516861730.10,392431539.16,253982418.55,183468257.71,1359875097.70,1276232038.58,796358919.58,454705432.07,33604998.29,5000000.00,5000000.00,0,12000000.00,6000000.00,0,0,2200000.00,2090000.00,2090000.00,2090000.00,22429700.00,22429700.00,12816800.00,0,2650000.00,1000000.00,1000000.00,0,4600000.00,4600000.00,4600000.00,0,500000.00,500000.00,500000.00,500000.00,152000.00,0,0,0,4870000.00,2020000.00,2020000.00,3670.00,16800010.00,40200000.00,48100000.00,44000000.00,0,0,2000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,679480.00,0,609922273.72,0,0,0,0,0,0,0,0,0,0,0,3888750.15,3888750.15,3888750.15,7044074.99,0,0,0,0,0,0,0,0,60805085.08,60788091.34,61114655.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,650000.00,0,0,0,0,0,0,0,0,0,0,6899080.85,0,0,50587.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391876.02,0,0,0,2107436.88,0,0,2020000.00,0,0,0,0,0,77125.51,0,0.0
23,投资活动现金流出小计,1863576591.86,1390704376.11,801296795.61,2879412333.45,2097269654.72,1251110032.94,654816636.57,516119940.91,347465101.16,271853765.90,101100178.80,1267006022.50,533492531.41,322460253.43,145456867.54,881607423.32,767356479.11,591188465.36,291066377.28,690702873.25,533439508.17,329844012.89,208867267.85,1469678070.45,1344397188.07,851251272.48,484597627.21,139186041.42,58644828.54,38905645.80,25789609.34,131557118.37,95203294.49,53366748.69,24798809.75,250306187.83,193570620.59,163230093.99,56992224.71,292251723.94,225673624.31,174396608.46,60161224.38,150211077.60,64298465.15,36196337.73,15260414.37,35905534.45,16521789.10,14742473.63,3333443.99,44195052.89,20423142.01,16982777.93,6311661.72,109495505.68,76838261.42,52211379.13,33799140.90,209789004.96,198846841.18,108509205.49,60996150.00,99974491.54,95494900.00,98356000.00,80227000.00,27376871.03,9047742.36,25041829.77,0.0
24,投资活动产生的现金流量净额,-129669034.38,-103531406.93,-48262014.43,-79594696.13,-77153199.99,-49317237.58,-37100444.83,-120973441.65,-123251148.73,-94713529.82,-52007154.91,-587431260.57,-18853509.41,12138418.00,-29492928.17,-82970874.55,-80429432.53,-55060668.72,-46723569.96,-204463764.11,-186066642.57,-121316659.05,-70982137.09,-56459491.05,-23559935.84,-42260332.19,-58047999.25,-75857633.90,-42029843.15,-38871751.91,-25766410.34,-132756591.17,-85388229.49,-53226748.69,-24738809.75,-227765292.17,-169756825.97,-139487149.37,-56735992.71,-287622235.73,-221002274.01,-174209368.46,-60096724.38,-149527543.09,-63615130.64,-35205566.10,-14285942.74,-35552534.45,-16388789.10,-14711473.63,-3312443.99,-36168379.18,-12898423.01,-9656076.22,-4055916.47,-104841104.69,-75804896.84,-51835280.73,-33264630.93,-205666558.67,-198586294.50,-107998641.98,-60979200.00,-98480939.38,-93558100.00,-98356000.00,-80227000.00,-27375571.03,-9047142.36,-24934229.77,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772340000.00,8044800.00,8044800.00,8044800.00,1111342.80,1111342.80,0,0,4500000.00,4500000.00,4500000.00,0,348783280.00,346783280.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359997557.00,359997557.00,347257557.00,0,4900000.00,4900000.00,4900000.00,0,400000.00,0,400000.00,0,0,0,0,0,23220000.00,9800000.00,0,0,5830885.00,7171900.00,632000.00,0,181833465.21,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,0,4900000.00,4900000.00,0,0,400000.00,0,0,0,0,0,0,0,0,0,0,0,5830885.00,0,632000.00,0,0,0,0,0.0
28,取得借款收到的现金,904612800.00,550000000.00,300000000.00,1020000000.00,740000000.00,200000000.00,100000000.00,950000000.00,800000000.00,480000000.00,200000000.00,810000000.00,600000000.00,100000000.00,0,1090000000.00,920000000.00,390000000.00,270000000.00,662000000.00,512000000.00,280000000.00,100000000.00,1011000000.00,810000000.00,500000000.00,200000000.00,871000000.00,870000000.00,590000000.00,350000000.00,526500000.00,525500000.00,376500000.00,89500000.00,396000000.00,396000000.00,307000000.00,60000000.00,665000000.00,509000000.00,270000000.00,90000000.00,510200000.00,410200000.00,166500000.00,111500000.00,355000000.00,344900000.00,182400000.00,85900000.00,342900000.00,384400000.00,244373268.85,146083268.85,499000000.00,490500000.00,323000000.00,142200000.00,444000000.00,460500000.00,303000000.00,36370000.00,319500000.00,244500000.00,79500000.00,29300000.00,116790000.00,30000000.00,89780000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437600.11,392050.67,315444.38,0,299880.90,0,0,0,21385000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722146.66,661500.00,0,0,0,0,1000000.00,0,0,0,0,0,0,0,0.0
