,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,经营活动现金流出小计,1763101333.86,1286110089.68,873452600.10,492801442.41,1663986424.71,1284428852.27,913142425.61,534553190.18,1407143415.66,1020309776.62,719450218.30,349735290.20,1040717127.81,792007022.88,551799059.88,255656665.36,890932267.67,698141868.35,491735998.68,225530048.72,947339935.54,809456731.14,561758179.80,275732094.49,833769707.71,614492171.04,394284303.32,179958060.31,649739342.18,482256178.59,301158898.14,128536663.45,670246762.57,476141881.66,309304186.63,132206402.32,557630838.34,408952382.09,262068711.55,120724638.69,427654785.15,305057295.18,466741575.52,484225516.34,0.0
11,经营活动产生的现金流量净额,516502463.03,441024716.71,227139911.97,4085991.89,559381764.69,482055012.17,191512863.07,-49273612.12,522782708.32,411549005.33,194696489.03,67626081.06,402829732.21,273608568.84,125178444.16,43094964.54,244643728.72,171047178.87,59010987.50,20720767.44,109211412.81,66491114.62,-13766642.85,-44054934.04,199725904.86,181310169.61,79168426.00,16540565.94,152382106.34,139224906.82,69844072.78,6943384.30,118197652.40,80821107.61,13305587.60,22811921.60,113904367.18,58023494.43,47623365.37,903402.33,145933820.52,88886389.07,14541635.27,42431946.20,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,2410000000.00,1750000000.00,820000000.00,400000000.00,3347000000.00,2035000000.00,1180000000.00,619000000.00,1498000000.00,1287000000.00,722000000.00,275000000.00,529500000.00,394500000.00,234500000.00,164500000.00,559500000.00,430000000.00,280000000.00,140000000.00,295000000.00,180000000.00,60131112.07,50174673.71,75288410.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,34290358.38,26741061.39,9575009.58,3383037.52,56588895.28,39548040.47,26158298.00,12985078.81,24100342.02,19694717.79,10562515.74,5064175.94,8349794.18,6455231.96,2997492.23,2089742.23,5080261.26,3928358.48,2734899.55,1570684.93,2285468.16,1184180.50,102630.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,874456.00,874456.00,874456.00,0,27651.75,23105.75,21105.75,0,121945.00,84460.00,83900.00,0,27040.75,0,0,0,47390.00,47390.00,14340.00,10000.00,7758383.81,7343473.00,7338703.00,7338703.00,68054.00,55000.00,55000.00,55000.00,38080.40,19460.40,2440.00,440.00,534205.84,492089.84,484989.84,1750.00,80946.50,84600.00,84600.00,0,204885.73,161717.69,211200.00,1000.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000.00,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,30000000.00,30000000.00,30000000.00,20000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,2445164814.38,1777615517.39,830449465.58,403383037.52,3403616547.03,2074571146.22,1206179403.75,631985078.81,1552222287.02,1336779177.79,762646415.74,300064175.94,537876834.93,400955231.96,237497492.23,166589742.23,564627651.26,433975748.48,282749239.55,141580684.93,305043851.97,188527653.50,67572445.11,57513376.71,75356464.57,55000.00,55000.00,55000.00,38080.40,19460.40,2440.00,440.00,534205.84,492089.84,484989.84,1750.00,80946.50,84600.00,84600.00,0,204885.73,161717.69,3211200.00,1000.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,647898457.06,621334642.98,501272085.34,61816814.76,291975570.40,214861687.84,145602054.94,78142562.63,85310139.75,58402073.28,32719520.86,17755681.99,48397080.81,44893559.67,32770125.59,18880538.39,102263791.28,67728340.56,53101577.10,37829532.14,111088781.44,82776739.80,62920761.79,50600728.30,97477126.71,63489620.41,41476936.93,26614099.43,92409790.75,81573307.01,47323439.66,28453165.51,106625374.54,71520792.44,49949567.76,8935244.44,46889787.54,27195459.73,24900203.29,5603565.08,12246284.44,11534152.94,55056083.71,47340612.21,0.0
