,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1842205380.23,1124051127.36,512319232.10,5178920659.45,3799093775.44,2157706171.31,738026511.64,6417400964.05,4133864067.58,2872798193.38,614798156.99,3550527938.96,2158684492.51,1409691193.30,596152234.65,2831661352.71,1445526015.62,892897941.41,419094776.08,2277008878.21,1441282486.12,902298806.61,293567376.39,1385014593.08,675601050.23,532260307.98,341759013.91,2702127420.88,2145037230.38,1262038861.66,115879808.45,928100819.76,482074234.40,281751127.88,51116589.24,632926791.95,195960696.25,74931344.73,35945470.93,464368493.72,331270040.63,259958593.82,138574408.55,505200121.76,346751926.61,562808945.23,465048547.60,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,9021865.77,0,0,0,0,0,0,0,0,0,0,0,0,0,317.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,229489626.09,250446654.81,137424233.54,2476138755.65,1225264693.09,1171820738.94,1139192517.64,877430164.24,353822351.15,205810356.79,50242254.23,1739610327.81,1418147280.33,1381044801.85,893146761.61,1872224991.47,176470587.92,39892024.26,1027590623.05,194319354.86,21192361.03,11861142.43,3549556.03,159859731.37,33006311.05,30215530.35,7135734.82,30568043.93,52677291.13,37689432.37,61355991.43,43919978.34,63886865.14,41398861.25,10974267.60,31642214.76,42872364.07,34510208.74,24404782.59,100836288.85,99560331.03,53665376.78,35691844.28,52582527.99,25687125.57,125206226.21,8388760.94,0.0
5,经营活动现金流入小计,2071695006.32,1374497782.17,649743465.64,7655059415.10,5024358468.53,3329526910.25,1877219029.28,7294831128.29,4487686418.73,3087630415.94,665040411.22,5290138266.77,3576831772.84,2790735995.15,1489298996.26,4703886344.18,1621996603.54,932789965.67,1446685399.13,2471328233.07,1462474847.15,914159949.04,297116932.42,1544874642.02,708607361.28,562475838.33,348894748.73,2732695464.81,2197714521.51,1299728294.03,177235799.88,972020798.10,545961099.54,323149989.13,62090856.84,664569006.71,238833060.32,109441553.47,60350253.52,565204782.57,430830371.66,313623970.60,174266252.83,557782649.75,372439052.18,688015171.44,473437308.54,0.0
6,购买商品、接受劳务支付的现金,1552201380.61,2741121736.17,676713906.22,2763559992.10,2093471748.02,1670575135.88,1435625396.75,3916382349.03,4212230502.65,1264131568.86,907509841.54,2614042007.39,2801268309.64,2438109233.48,1228037250.55,6486610076.33,2835381523.94,1959783287.07,1642834124.39,1703499708.03,1918147489.76,1283832916.20,453419012.71,2068104663.73,1469216325.66,1234404226.28,625936908.43,1667363681.23,1199199026.47,798807047.75,359123660.54,1498632367.60,774919749.69,517589021.34,284645282.71,873410419.48,563607700.44,169039205.81,90800166.90,502288066.31,249813539.32,167135507.66,89939366.81,375339833.71,246044786.66,537576007.85,388477073.57,0.0
7,支付给职工以及为职工支付的现金,143212720.61,103875520.60,64302595.15,187516178.34,147697841.16,100900134.31,41414913.95,188393116.29,151614747.16,105964462.25,51995831.61,174465050.80,137159977.46,96254947.14,56008020.13,139779732.55,99986688.65,61457575.18,30555716.34,84346667.68,59638316.72,45404335.50,34110116.86,67856568.00,41017449.33,28758579.42,16217479.71,34091647.69,25852842.22,15655039.21,6320071.65,24485543.98,23598231.56,15705178.26,8917834.81,19520341.39,13119095.88,8298975.01,3859389.65,15557458.80,9993622.13,6718282.21,2518086.00,13623516.14,8902534.56,13139053.61,5706989.18,0.0
8,支付的各项税费,355274522.34,246638517.92,154133604.22,800798927.59,686367090.00,521953664.32,343441484.97,666872218.23,544178963.84,434778581.74,160967415.28,444519299.14,370675500.56,279110986.28,134203632.24,772540396.78,639528276.34,537916508.34,83562644.04,605944549.26,474582003.03,267067650.81,100874661.54,260133527.94,230245676.92,215305599.34,120521131.11,454507786.70,294465994.36,191294555.56,16846618.70,224437397.69,164501960.63,93058223.03,35720076.82,87649984.78,72445438.11,48881854.98,7497493.33,156743383.03,104872361.65,103502904.36,2728447.84,134963939.47,131738045.52,51438847.89,36171869.76,0.0
9,支付的其他与经营活动有关的现金,193867942.52,202415480.74,48333042.72,1559160076.44,126973278.40,77430448.44,61994181.43,872963603.47,457273970.03,276435939.06,622575848.63,1586941703.53,251382096.99,190034051.75,122405132.98,2229445497.51,263363128.24,304211766.47,1215808044.56,759426729.88,382615601.88,357974314.02,21808025.62,103985229.28,41692607.88,31872310.22,62786014.02,135208318.52,99780483.27,59565248.04,42051198.03,58116742.77,74776869.84,47833035.28,19781619.35,203183415.00,102286892.62,100194337.16,35537614.29,41217050.05,43757925.85,22445598.55,6462746.60,49496693.66,45967380.36,48298347.42,80214181.84,0.0
10,经营活动现金流出小计,2244556566.08,3294051255.43,943483148.31,5311035174.47,3054509957.58,2370859382.95,1882475977.10,5644611287.02,5365298183.68,2081310551.91,1743048937.06,4819968060.86,3560485884.65,3003509218.65,1540654035.90,9628375703.17,3838259617.17,2863369137.06,2972760529.33,3153217654.85,2834983411.39,1954279216.53,610211816.73,2500079988.95,1782172059.79,1510340715.26,825461533.27,2291171434.14,1619298346.32,1065321890.56,424341548.92,1805672052.04,1037796811.72,674185457.91,349064813.69,1183764160.65,751459127.05,326414372.96,137694664.17,715805958.19,408437448.95,299802292.78,101648647.25,573423982.98,432652747.10,650452256.77,510570114.35,0.0
