,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,34761248.37,26599513.06,17752375.22,9212893.46,35511487.74,24312358.30,17628619.88,8462473.48,25489304.03,19061346.96,13554537.25,7760067.20,27773739.59,19050875.74,13675967.36,9089200.58,26553685.59,20057690.59,14079246.45,7257902.76,24386475.84,18751146.61,13269407.73,6799021.74,30228650.79,21819831.53,15126872.60,7802447.60,30242110.19,22151801.81,14780179.46,8824410.75,60262792.31,21596197.19,13035821.76,6165089.21,27429998.45,17025566.03,11567061.59,5310502.08,21523710.52,16138565.29,10231712.24,5053298.28,22127964.38,14931521.00,10445521.14,5516843.10,29511827.74,19348463.88,11393531.44,7272452.33,37390869.05,25745036.06,14853402.77,7521806.22,32355142.40,26766126.05,21641958.51,6878451.13,42387163.09,30113263.28,24541855.60,12834839.02,32094381.14,23595191.74,15240028.56,8533780.88,39379934.18,28006658.46,59089156.81,54245066.90,27063208.12,19549834.31,33871132.52,11117375.12,0.0
10,经营活动现金流出小计,837622803.47,584229189.14,412057990.71,236176662.33,706197995.20,517961890.43,356402744.08,166038588.83,650414444.29,462141248.58,305625906.28,150054966.38,453757004.21,305287073.14,190435615.72,104190527.84,634933660.74,401806860.75,284423409.00,175378317.25,716980392.06,549070422.79,380846988.24,203124739.99,1545391142.83,1092884481.07,691872714.39,404912154.83,1771393994.63,1465025136.17,1086202809.04,363376542.43,779371214.10,535819475.41,280885642.36,135363732.72,822051228.58,612345165.99,453225991.80,160625008.30,1310892543.91,708147772.45,420672006.46,141275473.75,831300840.94,478538567.74,316385882.12,139707512.83,681324515.59,495846781.94,324711030.70,98974251.85,406269266.83,307386118.25,198870522.75,82045110.54,439440029.15,314261723.87,136003550.33,53665456.43,383776303.14,275354198.62,211870885.16,113421766.20,289028987.90,198406979.78,116820595.71,69908068.11,241022570.76,125684634.23,344858120.69,151886492.33,218676368.45,84905664.97,146859678.63,81203630.71,0.0
11,经营活动产生的现金流量净额,76331628.91,-34954583.03,-73529744.11,-77386583.60,187504984.13,66812437.84,21272811.12,11736159.22,85532201.05,47375202.02,37409199.36,6569834.57,133875907.75,10921575.27,8080665.15,-24252929.90,-46390311.77,-51544810.57,-74944328.48,-84209571.66,92953144.79,12285688.78,-62564067.95,-74460496.19,-144713042.81,-128456586.41,-76362059.48,-137955766.60,-576963262.91,-619673532.18,-581084787.15,-149651923.56,582760447.95,292680207.92,183499897.30,74087740.97,331133111.46,186880497.19,12661877.21,56569804.43,-95514943.38,64818041.22,2001220.68,-8182675.32,294229666.01,286495455.40,179926667.70,71589660.16,410177094.18,251924567.93,104781103.64,65796916.56,262711537.05,141862753.23,60437379.06,5008686.64,67485588.09,28061988.11,80298272.49,20275958.61,-15336290.38,-26287823.71,-45231488.82,-41191338.45,31202520.05,-20929284.16,-17107118.49,-28246602.10,72341849.96,-12904900.46,62680087.36,-38357833.43,76549625.92,331690.74,66849262.24,71941852.29,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,600000000.00,300000000.00,0,0,400000000.00,100000000.00,0,0,800000000.00,400000000.00,100000000.00,0,580000000.00,0,0,0,260000000.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9196675.78,9196675.78,488968.46,488968.46,9579089.65,80000000.00,4836407.50,0,92821541.62,1903487611.89,1103349815.53,489814378.24,400842696.71,25556621.53,99152922.38,22292661.43,189679121.89,0,232267323.00,58982128.90,0.0
14,取得投资收益所收到的现金,11967760.76,7862281.30,0,0,8572191.77,2267671.23,0,0,10233424.67,5186027.41,961643.84,0,8707835.62,4036575.34,426712.33,0,3565808.22,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,119716.89,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3125170.21,0,3125170.21,262261.94,1525343.62,1296654.98,698872.55,99921.76,7019531.34,2141033.47,3600640.65,750981.88,3000000.00,3000000.00,1236929.03,40352.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,127237.31,78357.21,15359.92,4500.00,111851.16,33030.00,2500.00,0,257906.00,48370.58,42892.37,30592.37,88139.91,64139.91,57951.99,41510.00,74042.21,73391.44,68527.57,0,138915.54,71442.15,19142.15,19142.15,264184.25,52141.62,52750.23,46966.15,620130.42,263220.02,201676.09,0,564886.82,271165.74,32965.74,28073.43,1134815.38,14935.71,8644.45,0,275423.41,203584.67,9131.40,9131.40,6573388.38,52395.00,23175.00,0,219450.00,2300.00,2300.00,1500.00,113668.00,2000.00,0,0,158428.00,102428.00,46338.00,0,4858700.00,13700.00,13700.00,0,1919289.84,419289.84,311089.84,70509.02,340022.50,227969.87,0,0,7875.00,4450.00,446869.90,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,2185218.08,2185218.08,2175852.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6780.60,0,388500.00,0,8397804.98,0,0,2400000.00,0,0,0.0
18,投资活动现金流入小计,612094998.07,307940638.51,15359.92,4500.00,408684042.93,102300701.23,2500.00,0.00,810491330.67,405234397.99,101004536.21,30592.37,588795975.53,4100715.25,484664.32,41510.00,263639850.43,73391.44,68527.57,0.00,138915.54,71442.15,19142.15,19142.15,264184.25,52141.62,52750.23,46966.15,620130.42,263220.02,201676.09,119716.89,564886.82,271165.74,32965.74,28073.43,3320033.46,2200153.79,2184496.80,0,275423.41,203584.67,9131.40,9131.40,6573388.38,52395.00,23175.00,0,219450.00,2300.00,2300.00,1500.00,113668.00,2000.00,0,0,9355103.78,9299103.78,535306.46,488968.46,17562959.86,80013700.00,7975277.71,262261.94,96266175.08,1905203556.71,1104366558.52,489984809.02,408590750.55,27925624.87,111151368.01,23043643.31,192686996.89,5404450.00,233951121.93,59022480.90,0.0
