,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,43431081.91,5481172.56,26882963.56,3207313.19,62667138.12,44830854.57,37424118.46,9663547.48,2487764.89,4215970.04,1182048.57,840072.43,7290959.65,4559238.52,2389173.86,4767694.92,6038855.38,9217383.56,8108865.70,28995731.60,7392702.77,6136143.44,13938539.54,33257137.93,29749347.61,75002679.23,66988365.59,60388440.11,187275654.17,186504806.49,4118959.79,6264646.67,10851419.87,8280041.85,3410133.30,2612061.80,5412664.71,5834006.98,4846249.01,2307798.16,5324882.72,11450053.53,3459056.09,4478751.99,7379500.27,46137236.71,38374018.86,9908831.81,6935907.05,11114434.60,9004212.34,3180808.09,36104491.38,35013343.75,24688928.78,18852727.15,113786670.48,155844503.94,39262871.78,33110632.50,40069263.46,38459396.34,20369534.07,17802973.38,41439487.07,44705415.50,32400054.41,173098413.93,40365615.55,32277232.70,49812096.51,0.0
10,经营活动现金流出小计,1271462374.15,786501119.76,598502965.74,253876251.10,1281488978.43,883255116.71,659257719.00,223232298.86,1086292676.42,747275424.97,521540578.24,251750944.47,863298887.29,609459069.42,419861912.41,241210319.26,867984213.94,632288070.12,469561354.03,180214827.54,774095982.76,580125017.03,405976421.66,187827091.34,818435868.05,619442253.77,431380090.32,271865858.35,980672930.96,765114525.51,437888469.78,193261769.98,674340814.33,503858511.83,303327619.56,173661121.91,580439500.82,419139884.32,246213410.32,90332170.66,626664486.51,471132721.95,362412340.03,188514127.50,724728041.98,598008757.80,444817268.01,141296895.33,600301204.06,504588370.40,303705423.92,140526746.42,567443030.40,451786125.54,332407527.26,228400084.80,570804360.73,547936420.58,368805290.09,169977189.03,449379631.86,333054462.69,217052539.08,106073549.96,359074601.62,242389483.56,191087095.07,243236205.07,324720435.39,181847165.11,266872941.69,0.0
11,经营活动产生的现金流量净额,1822702104.07,1465563194.04,935505582.63,496154226.07,1807617059.70,1412533900.59,851049193.72,501582496.88,1882799767.78,1455690110.82,929728423.57,480197930.55,1752401524.95,1335568363.67,868455029.00,454962557.72,1520718342.55,1176917264.04,733239039.01,426580463.02,1595801803.64,1188373744.03,725899690.02,405235127.25,1493126682.05,1166916745.18,656857495.79,297545410.62,1309791902.29,930888350.61,712301679.59,414624499.27,1548407201.13,1178235927.25,849733614.99,414217394.06,1543382383.69,1140081120.80,791932209.90,395879642.01,1142736851.45,803554857.51,501380197.26,276569728.06,1033543383.51,729715474.90,398164095.00,284801192.01,1165648284.17,736368566.40,517834912.33,282389371.22,1088884762.75,791205864.63,503116912.85,188487547.94,1004516538.25,604713928.47,405047752.92,234012164.09,917544456.81,570393301.26,371040839.67,199380122.57,552905969.80,384876496.68,228008988.32,144141844.48,502611988.25,220860932.22,417054438.54,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000000.00,339000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4633313.82,0,0,0,0,0,0,0,0,0,0,0,0,9221035.67,0,0,0,0,0,0,47374956.19,0,46800000.00,0.0
14,取得投资收益所收到的现金,0.00,0.00,0,0,21335300.00,21335300.00,0,0,3464000.00,3464000.00,0,0,51128941.04,43019741.04,43019741.04,0,37589041.10,20000000.00,0,0,145800000.00,106800000.00,106800000.00,0,38999085.64,38999085.64,38999085.64,0,10298000.00,10298000.00,0,0,3990000.00,0,0,0,0,0,0,0,900000.00,900000.00,0,0,900000.00,900000.00,900000.00,0,900000.00,900000.00,900000.00,0,1080000.00,1080000.00,1080000.00,1080000.00,900000.00,900000.00,900000.00,900000.00,9221035.67,0,0,0,0,0,0,0,0,14956.19,560000.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,400311.83,301687.36,272789.49,172461.12,657088.15,431011.57,178852.23,1876.50,707509.31,159101.18,260503.61,84116.16,338821.30,301555.30,160492.30,12225.00,464403.90,443508.90,422891.90,229956.90,522207.81,319291.51,259499.51,0,55650.00,49629.90,0,0,636508.35,443072.12,269332.12,189580.00,3621253.60,3402469.85,525364.00,0,16837031.02,14073785.14,14062785.14,0,226727.00,136136.30,105470.00,0,284263.00,286664.55,286664.55,0,277600.34,0,0,0,357156.00,35464.94,35464.94,197922.62,66434.99,0,-151257.78,0,2615150.56,1035523.28,456255.14,0,38600.00,0,0,43233.73,93739.55,0,3490.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23208316.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,1237175443.12,816255188.47,552810791.12,88872857.02,436872534.21,50498743.18,346516223.28,74772606.22,167903602.96,153481238.02,26111048.56,18116703.70,112821153.20,117784388.20,7834111.22,4099761.12,5850068.35,3366761.83,2435236.35,42999.99,432146336.36,24926466.58,43735495.29,2352255.29,7531447.88,4493639.54,4195534.41,4120198.41,3830321.81,4659171.62,2561097.79,4613634.09,13011529.48,9569009.65,4410148.41,1836723.75,4761564.56,4519646.59,4158801.49,2373893.73,3607319.86,3376819.91,2059728.73,948256.64,5089869.02,2685122.29,2276881.91,1036848.10,3563545.58,51839982.69,1241742.67,0,2717279.22,1942729.82,1605455.75,0,2892599.41,2794034.92,1830768.46,662944.41,2009161.60,1144997.44,1089577.34,596189.42,50315631.66,1792210.65,1324634.79,0,4060672.69,2360535.54,12652359.17,0.0
18,投资活动现金流入小计,1237575754.95,816556875.83,553083580.61,89045318.14,458864922.36,72265054.75,346695075.51,74774482.72,172075112.27,157104339.20,26371552.17,18200819.86,164288915.54,161105684.54,51014344.56,4111986.12,43903513.35,23810270.73,2858128.25,272956.89,878468544.17,471045758.09,150794994.80,2352255.29,46586183.52,43542355.08,43194620.05,4120198.41,14764830.16,15400243.74,2830429.91,4803214.09,20622783.08,12971479.50,4935512.41,1836723.75,44806911.58,18593431.73,18221586.63,2373893.73,4734046.86,4412956.21,2165198.73,948256.64,6274132.02,3871786.84,3463546.46,1036848.10,9374459.74,52739982.69,2141742.67,0,4154435.22,3058194.76,2720920.69,1277922.62,3859034.40,3694034.92,2579510.68,1562944.41,13845347.83,11401556.39,1545832.48,596189.42,50354231.66,1792210.65,1324634.79,43233.73,51529368.43,2375491.73,60015849.17,0.0
