,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,6397850600.43,4837101731.37,3086867285.22,1483909513.48,6057226768.51,4346288231.76,2651145553.61,1204069607.15,4566315706.04,3492784639.31,2154691992.07,977309736.19,4256244295.78,2806926359.75,1805452661.66,963126171.56,3495512824.89,2603714739.95,1830851595.76,854619127.46,3643737570.81,2773115400.47,1696767573.82,999727051.71,3299402116.61,2764852873.42,1791994563.12,880570570.11,3134755386.47,2293538112.66,1375098730.46,649120771.59,3202844135.19,2265073409.16,1527938034.35,827479444.80,3225620678.01,2112658764.80,1377759600.08,684692940.78,2671431289.40,1936895266.02,1328608494.28,641061168.53,3210086033.96,2567488885.65,1589125211.05,627955667.66,2853818920.48,1884320208.87,1153949955.82,548939180.20,1650353784.24,1137646587.76,793960545.58,339863003.60,1485998070.54,1107879662.52,666328491.10,369164191.52,1234236965.24,897185468.47,591789839.83,217826079.52,1173907543.34,405201696.47,557737544.80,0.0
3,收到的税费返还,90127308.92,84093325.89,55150773.96,35028509.99,32457081.77,7699146.37,3402357.58,275648.44,5308800.45,4263996.90,2391534.01,557933.17,5892635.61,4246951.28,2524477.33,682658.36,2233109.09,1604755.90,739207.97,0,12709093.07,9563111.97,7425482.86,4647763.27,17552956.18,8206484.28,6639070.23,1894453.34,11464231.00,4544035.70,3071231.95,2166733.07,17570548.63,5423829.76,1000537.65,0,11207141.75,5696063.65,3534861.55,154178.03,33703177.86,30848211.40,30501809.31,30051809.31,16056288.98,12338171.44,8437662.76,62579.32,4711029.84,1784637.03,1784637.03,0,606325.35,606325.35,60000.00,0,823045.52,623045.52,0,0,1990045.03,283370.06,76177.43,30000.00,153736.98,153736.98,486754.87,0.0
4,收到的其他与经营活动有关的现金,278349711.75,230339325.41,185746019.89,66773707.76,111416705.50,62089210.57,62089210.57,53551231.86,136188634.48,102461078.53,67934937.52,54075621.16,81752720.33,73923762.02,37971726.67,12941231.43,54807960.96,78730391.26,52564223.41,58855276.43,31611934.25,37127530.45,31305133.15,29080128.90,72509769.08,92520526.24,29616506.40,1655533.78,63982572.25,72178431.35,40107355.48,40239796.99,60118605.57,293024631.15,13841655.53,4077980.68,85269351.34,116302999.37,64842614.41,18241007.61,41798382.55,27516905.88,24065868.41,14155529.81,26109762.10,16634411.38,5371364.93,4255497.13,7765182.98,5884634.65,5101002.85,11123118.42,33183763.49,25485269.84,21788957.47,24042829.73,46761010.69,23881356.14,12099563.66,5055215.25,7120711.02,53515708.15,30316881.48,30380865.54,38720165.65,30211742.41,4282759.50,0.0
5,经营活动现金流入小计,6766327621.10,5151534382.67,3327764079.07,1585711731.23,6201100555.78,4416076588.70,2716637121.76,1257896487.45,4707813140.97,3599509714.74,2225018463.60,1031943290.52,4343889651.72,2885097073.05,1845948865.66,976750061.35,3552553894.94,2684049887.11,1884155027.14,913474403.89,3688058598.13,2819806042.89,1735498189.83,1033454943.88,3389464841.87,2865579883.94,1828250139.75,884120557.23,3210202189.72,2370260579.71,1418277317.89,691527301.65,3280533289.39,2563521870.07,1542780227.53,831557425.48,3322097171.10,2234657827.82,1446137076.04,703088126.42,2746932849.81,1995260383.30,1383176172.00,685268507.65,3252252085.04,2596461468.47,1602934238.74,632273744.11,2866295133.30,1891989480.55,1160835595.70,560062298.62,1684143873.08,1163738182.95,815809503.05,363905833.33,1533582126.75,1132384064.18,678428054.76,374219406.77,1243347721.29,950984546.68,622182898.74,248236945.06,1212781445.97,435567175.86,562507059.17,0.0
6,购买商品、接受劳务支付的现金,5219695303.91,3937859203.50,2346786450.58,1215668485.53,4411369266.17,3145144669.38,1723757296.23,883377669.47,2815495492.18,2232554422.39,1477925140.71,833807156.87,2183143163.37,1631081620.51,1138547242.85,657620509.98,2592250401.75,2037128286.99,1305860310.18,730874248.18,3155136769.35,2570556359.66,1621121211.23,817373116.92,2548497190.75,2229020646.34,1368890246.88,635395551.38,2562409096.33,1887144861.59,1173641364.58,612266714.54,3026302060.16,2282945807.21,1596241873.99,644569291.42,2763256241.46,2022051132.39,1072001297.32,528354857.03,2103807951.20,1548639132.10,1036169511.29,577255220.63,2681979890.77,2164421434.96,1371929264.11,583687177.49,2103257747.42,1375676989.84,775544628.66,357137816.72,1439608497.82,1028993520.11,726514543.53,331019617.34,1236215244.89,925522939.55,549991202.19,306945860.99,1011358207.26,797212752.14,572787242.05,279651921.75,1006091970.77,275859557.47,389861279.82,0.0
7,支付给职工以及为职工支付的现金,589348309.40,433826837.14,276450782.67,164738922.22,528192203.06,386658026.05,264528471.84,145705371.50,474035822.06,351667752.65,238751524.34,142300976.61,458629138.65,357392895.96,248635854.56,141646339.44,451760755.24,354387886.04,242399532.13,132732370.13,465498603.03,349366230.03,226908835.85,119949011.01,408385692.62,292425620.75,198280107.83,105177690.47,352272126.76,258788314.71,162406662.97,78787026.46,304360090.94,230997868.03,156761100.48,86346797.95,240955172.39,176288634.60,114938086.40,65690633.49,201253326.84,149566936.02,101527241.91,54589385.53,181346446.26,143048564.19,91267974.14,52923547.60,155621981.66,118458786.41,77184180.40,39352772.06,113345393.56,84474431.64,54646965.66,30301196.03,86281807.71,65451031.72,43560255.45,22682837.79,69908745.15,48475456.83,28502631.89,15477325.53,65496653.21,32884685.49,32095198.56,0.0
8,支付的各项税费,346126145.21,274864227.52,167966794.56,108357149.50,300444041.35,229949862.98,134463872.63,92191976.25,278485804.13,225675316.34,175748769.69,46573434.08,186158344.46,150506411.08,111363094.71,51587355.81,221505575.25,151645750.09,110005715.50,66695188.40,151732916.14,111941419.49,79430446.66,40552544.54,180431592.87,130909096.41,86501073.52,47091258.38,219487393.67,163680130.83,121030472.12,51048319.95,134316999.93,91029906.62,62957217.35,32652185.71,134188720.43,104996823.75,74049802.77,44990605.20,143980367.27,109715566.81,73019666.28,31182704.91,109090660.19,74780634.45,56757290.66,32060526.76,97479530.28,58511440.62,38571756.86,21924862.02,65129749.49,50730802.42,32055786.63,16948363.80,56505791.55,41122274.33,29340104.92,14283414.59,50956651.03,37113680.63,22349865.76,9966928.87,45976670.69,21915114.20,25701598.05,0.0
