,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,7251279915.41,5096269970.35,3450151646.52,1881270652.44,6814904886.63,4843285776.84,3325216710.49,1837092793.52,6670744783.87,4646776086.15,3133462459.96,1704010150.47,5958058991.20,4257702584.21,2969801901.53,1607752496.02,6059125282.41,4459551279.44,3198956757.44,1799958823.23,6829860156.27,4831634703.88,909135534.18,521455040.97,2300245199.76,1429348518.20,1015837112.95,555461022.40,2512629025.15,1595028829.19,1124011880.98,641810584.73,2519693609.38,1723353306.47,1215856709.54,684432033.98,2210473530.55,1500342601.58,1042850686.54,589490701.95,1959713014.69,1313449911.86,951445721.15,521221317.69,1944265882.56,1343482305.12,978000907.49,606427422.78,1756811594.81,1133602016.79,776201317.88,450569033.44,1384824359.89,903138299.78,624813217.26,364895371.73,1416913409.01,948124482.65,656009420.12,362673069.32,1161248222.76,813608461.86,600047718.92,333893072.39,1238180947.21,826703572.72,551347749.79,340363670.79,1132522362.10,535772491.52,1122898679.42,562809440.55,1004524988.31,485007673.36,878355978.41,430488247.98,859576542.52,443113502.60,0.0
3,收到的税费返还,0,2626.87,0,0,0,150.49,150.49,0,0,7720721.95,0,0,5818145.82,535101.23,20214.46,0,3671088.64,633350.10,0,0,3182933.60,0,0,0,335105.28,415464.27,415464.27,415464.27,17832714.33,13093806.34,8553560.25,5572203.71,21430685.60,16639431.73,10832247.17,6102689.27,21338177.31,15207904.08,9254265.85,3878290.62,11831079.00,8698658.45,4233063.83,2053288.60,12148942.50,6369399.05,5632329.90,1543309.86,9766802.97,6545880.34,5061709.62,2172811.36,25112993.12,24061990.28,20537903.64,0,10554030.98,10633201.32,7126616.34,2961162.89,36593240.22,30201494.87,22596085.80,4694511.27,5577592.03,4592289.55,3071674.26,929909.22,1688330.59,1688330.59,4663572.21,1225798.73,0,0,0,0,0,76097683.63,0.0
4,收到的其他与经营活动有关的现金,67817515.98,412542930.95,173033392.85,54688420.21,82432362.04,289492710.74,302285012.01,49577675.67,29688913.07,152133118.02,112518703.56,35161292.33,22779836.52,123106656.58,86550932.41,47941901.60,33363801.31,117866571.92,46697420.84,36166039.19,19052782.18,775720121.41,17920833.26,10445937.55,47762869.70,51163069.74,39102059.26,9787982.43,72211060.47,41530975.31,33138710.42,8675869.65,56654959.52,27749627.38,19471702.45,3814300.43,93318934.39,29955851.90,17729825.35,4509587.72,82891018.52,33777341.54,23467861.57,2411819.16,77581808.80,36607404.22,28821714.16,11662567.94,70183719.21,36460102.48,28086938.66,21925557.37,60840326.17,55296906.88,41207741.89,28278995.75,46834975.90,35265659.45,24156159.39,15927947.35,67721167.70,22057717.70,15265189.82,5382935.68,31177899.52,25563480.18,12180280.90,6672912.25,8023285.08,4374670.78,10873465.08,3273927.96,11897140.24,15930119.31,38576370.76,1549644.69,12738663.95,208983.20,0.0
5,经营活动现金流入小计,7319097431.39,5508815528.17,3623185039.37,1935959072.65,6897337248.67,5132778638.07,3627501872.99,1886670469.19,6700433696.94,4806629926.12,3245981163.52,1739171442.80,5986656973.54,4381344342.02,3056373048.40,1655694397.62,6096160172.36,4578051201.46,3245654178.28,1836124862.42,6852095872.05,5607354825.29,927056367.44,531900978.52,2348343174.74,1480927052.21,1055354636.48,565664469.10,2602672799.95,1649653610.84,1165704151.65,656058658.09,2597779254.50,1767742365.58,1246160659.16,694349023.68,2325130642.25,1545506357.56,1069834777.74,597878580.29,2054435112.21,1355925911.85,979146646.55,525686425.45,2033996633.86,1386459108.39,1012454951.55,619633300.58,1836762116.99,1176607999.61,809349966.16,474667402.17,1470777679.18,982497196.94,686558862.79,393174367.48,1474302415.89,994023343.42,687292195.85,381562179.56,1265562630.68,865867674.43,637908994.54,343970519.34,1274936438.76,856859342.45,566599704.95,347966492.26,1142233977.77,541835492.89,1138435716.71,567309167.24,1016422128.55,500937792.67,916932349.17,432037892.67,872315206.47,519420169.43,0.0
6,购买商品、接受劳务支付的现金,5766757212.55,4270426372.27,2998357556.31,1636576308.29,5390933185.88,4040619824.05,2883666557.98,1614768018.78,5250442885.48,3884973509.61,2770660490.32,1546733993.20,4593584066.32,3468152102.73,2481189812.78,1360624271.05,4987989414.34,3841096133.95,2845416926.45,1602242922.34,5671611515.74,4043055616.42,828147176.18,483470507.83,2008740908.12,1297268588.17,930334219.53,537640315.71,2196378444.92,1444014327.83,1057796631.92,602297128.37,2095442463.73,1504720829.94,1107421553.82,644701121.52,1828308679.25,1290999370.49,925291291.70,533461625.49,1570392590.61,1122112586.77,825936485.22,473634286.62,1611878444.41,1154791270.17,871921974.13,518570245.49,1381056832.10,967384964.83,690946169.09,409535579.24,1096441419.77,778124337.13,571030447.28,338974742.17,1181369681.49,854562141.15,609161847.46,352989355.81,965664125.87,726912597.53,541204294.56,343266694.13,981723128.00,736357783.62,485924125.21,296467198.45,933782625.94,441655613.78,973550870.54,489612296.11,838294953.69,437730824.10,743924959.81,393243253.67,723150884.07,393593087.55,0.0
7,支付给职工以及为职工支付的现金,277163148.51,177223001.23,122000960.22,71766075.68,270661008.06,168719324.53,113239970.93,62642992.64,270269123.15,161354223.80,111570561.15,64563833.02,260879497.10,161807000.73,117175339.44,72648521.40,271808610.22,188381564.29,130685384.21,85116780.76,287369612.38,210860091.46,41001847.51,28182751.28,81641318.40,60727083.60,37454380.30,27003173.51,85663670.60,65183213.14,43398953.71,25020475.37,86058816.72,57949534.12,36879300.94,26188089.28,87792379.92,64337033.24,45270709.37,35396562.50,90003708.25,58105937.60,48443256.94,35963422.63,83627943.07,64388627.33,51284183.02,37456755.46,80722417.41,58830060.33,35280369.64,32324949.82,55893372.30,40745330.56,32276307.61,22924409.90,44825915.24,36990588.07,27799017.24,18245376.45,41347531.81,33158207.29,25564787.86,17486177.28,39562613.12,30267466.78,21195731.65,13238796.91,35362760.86,17083369.83,36135793.03,0,36925961.19,13180998.08,32497821.20,16823675.96,28755539.02,19293650.95,0.0
8,支付的各项税费,394854246.12,312951770.82,241030513.84,160797108.54,300259487.56,286643714.84,225115585.44,157248203.77,293895034.82,247906220.97,191162455.16,122324865.57,291876091.17,222561764.02,172361503.72,100243459.62,332999747.51,244321742.22,193989869.27,125213968.12,397411195.41,312210854.54,54356564.49,37094159.11,86097464.36,70837754.53,54237677.43,29647381.25,112111149.39,87834405.64,74770438.18,50562191.85,126665872.37,88223193.35,81552104.75,59808073.52,98842423.94,71574155.67,61441568.91,34010340.15,93955610.62,70564251.11,54720771.70,38352392.13,121658258.76,94754986.91,79639496.11,44359237.43,83010712.76,62759798.10,49159260.64,37826868.66,81739080.41,51768999.05,42364465.27,32488838.86,61566596.04,64401856.90,47833573.87,30536076.38,66327014.04,41361510.62,40191830.53,23569640.40,56588305.99,28625178.99,24594834.73,18085472.41,34582907.78,19639113.43,37236798.57,36200158.91,26562857.89,17589928.86,31138731.06,16717105.77,19700435.85,86775494.68,0.0
