,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2798978377.67,1887882296.59,1008286813.93,3774021070.26,2665584922.46,1738479268.00,796905692.60,3495544766.84,2432966553.20,1461311613.60,984363864.81,3233528607.59,2180555223.60,1375071663.80,559095786.99,4940682190.17,3764173998.06,3070150479.09,1038623884.88,8839759719.67,6934296119.52,4703016844.90,1685921472.40,13041927564.09,8987655973.17,6484362120.62,2890177088.47,12954619824.71,8810276266.08,5880069790.93,2800598965.24,1110174135.58,795785010.24,598224870.18,304262044.94,1023528055.42,716477828.80,409679769.92,195526641.84,750775225.00,524922733.01,323791933.07,133473530.92,917943814.14,719847308.77,492700911.13,264775819.80,1247112948.19,944805418.32,579140144.33,266753262.10,843580102.98,871105057.04,364734222.45,134040334.48,825958067.15,527078510.56,313361286.23,176972560.69,546502603.46,354862964.51,234024327.90,123218949.76,486014510.37,378466178.39,224845934.59,101455439.73,484467660.24,247269179.81,490455360.23,0,430932539.00,0.0
3,收到的税费返还,932000.75,518251.05,165441.39,535423.64,464251.16,375676.06,176432.38,295690.15,171924.31,171924.31,0,1367782.55,1137438.47,0,0,387791.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675547.63,582469.47,502415.31,502415.31,3887722.44,861729.20,861729.20,861729.20,26713757.33,14390000.00,14390000.00,0,30422197.44,23311731.73,22918977.22,7320855.34,34721308.64,20720023.34,10000000.00,0,10000000.00,51590000.00,41285991.59,0,10280000.00,10280000.00,10280000.00,0,11566501.11,4151219.00,4111780.21,0,13970608.11,50338.70,50338.70,0,3162856.24,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,1139852402.61,462896475.99,211253264.22,1058732659.29,821081537.71,480423635.18,151204782.69,1283796663.41,832512251.63,514676863.95,118256388.83,1493436493.51,933750902.29,545655794.17,176242869.68,1016677005.91,1236138005.87,1002333675.78,194333873.07,865259441.35,464099831.59,305967968.72,162798254.74,859001155.11,402441808.37,307279349.84,174417556.89,732733018.07,352892520.46,238949258.84,90299348.28,426725381.93,335066437.05,282919181.59,57455740.00,214373277.97,80857177.33,5788197.51,5663192.12,42646231.06,20349973.08,15316871.59,21125735.16,29644343.90,33573079.20,26121005.11,22786766.53,11205360.42,153013062.58,104888991.17,72071186.78,737698571.00,351038274.65,371429072.14,199075562.32,260812378.40,10405509.39,19736733.77,29701111.62,8511177.90,0,292420.41,10000000.00,7157164.10,0,0,0,10101066.61,1347003.21,16393530.67,0,17501709.00,0.0
5,经营活动现金流入小计,3939762781.03,2351297023.63,1219705519.54,4833289153.19,3487130711.33,2219278579.24,948286907.67,4779637120.40,3265650729.14,1976160401.86,1102620253.64,4728332883.65,3115443564.36,1920727457.97,735338656.67,5957746987.56,5000312003.93,4072484154.87,1232957757.95,9705019161.02,7398395951.11,5008984813.62,1848719727.14,13900928719.20,9390097781.54,6791641470.46,3064594645.36,13687352842.78,9163168786.54,6119019049.77,2890898313.52,1537575065.14,1131433916.76,881646467.08,362220200.25,1241789055.83,798196735.33,416329696.63,202051563.16,820135213.39,559662706.09,353498804.66,154599266.08,978010355.48,776732119.70,541740893.46,294883441.67,1293039617.25,1118538504.24,694029135.50,338824448.88,1591278673.98,1273733331.69,777449286.18,333115896.80,1097050445.55,547764019.95,343378020.00,206673672.31,566580282.47,359014183.51,238428528.52,133218949.76,507142282.58,378516517.09,224896273.29,101455439.73,497731583.09,248616183.02,506848890.90,0,448434248.00,0.0
6,购买商品、接受劳务支付的现金,2076599266.39,1173276682.64,748553286.24,2615674616.62,1948313335.17,1124831679.02,599822303.78,2270941283.75,1573692202.59,926430518.55,606065980.84,2548276096.96,1832705422.55,1077416711.98,504024266.98,3371608286.24,2873182318.16,2413202148.75,711292401.03,6217796691.98,4907457830.97,3387508441.35,1241713223.47,10827197665.28,7224024153.45,5288090664.25,2431878396.08,9446768630.41,5947219233.77,3695566816.82,1821706195.21,454004350.20,263140370.56,167894576.34,90389633.87,387531230.85,275586860.13,155792315.89,88009662.58,225309454.91,162269306.98,98491096.33,50967016.40,461344389.70,362384174.51,258165378.42,135418953.60,755293970.65,753317270.53,439705826.17,158686564.52,829654527.15,662541472.11,370050702.35,188321236.03,574004468.68,347071405.33,216375070.88,157439057.14,287768746.19,210169641.15,138942285.01,63109997.08,302404164.18,218550705.86,115735444.57,65608119.06,231384950.55,113943063.80,275414042.36,0,246143226.00,0.0
7,支付给职工以及为职工支付的现金,526605838.29,345186725.61,195678421.77,677149948.17,538516263.24,332311146.92,190800422.44,783200243.30,497794666.39,314346576.95,179854674.77,717937745.37,510319153.08,364987367.55,178194509.12,1079337970.41,824961110.82,556813280.09,280495250.04,1407295767.12,1120468328.95,737098328.24,379349032.39,1400135901.68,1004805272.58,654349834.15,339540685.36,1717356473.61,1366124465.97,931364330.60,479123500.69,288448355.25,209814002.46,127016209.52,62188618.14,236901976.71,167324624.42,105164478.55,55150913.98,197918584.47,131051072.38,87247602.18,48081411.12,189520236.82,139479288.37,92666358.80,48538090.13,178253254.89,131656222.02,82680923.21,40667635.20,84806273.72,79932829.93,62743516.85,14722304.06,59365638.36,39006157.05,25058348.77,11150370.75,74490375.06,57339069.91,35639270.64,22571153.54,80957634.70,55326127.93,39020422.38,21080246.36,79387214.13,49750099.66,72380187.46,0,64391415.00,0.0
8,支付的各项税费,181373105.65,152919042.87,88526836.62,191434126.61,153429689.03,113431377.76,57922345.68,258440183.38,192505450.31,132774921.39,66378813.83,235142507.65,158854961.03,113364438.15,55397909.52,344118145.17,250899104.13,182770314.96,106095672.03,553512018.99,384543543.46,289818205.26,110717605.48,661625114.65,446686529.56,339963916.02,142123010.72,1119309013.82,836110950.26,692926019.34,223913200.61,195482628.01,150414193.91,116903291.15,16693892.74,179853519.55,129461495.94,93669262.44,42039568.91,126422814.18,99032824.24,72325519.56,19794666.41,103901646.28,77580109.06,57945050.80,25450512.56,105231201.31,71568155.94,51704203.05,22337331.97,62777711.00,50178335.80,33798165.70,3701717.75,71996349.20,45568333.00,43802612.58,15293960.54,69422219.63,47462716.40,34255060.98,19364210.65,55772609.12,28871951.04,22149866.12,12118275.04,60380435.67,21968072.50,32243272.32,0,32369574.00,0.0
