,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,4145201401.09,2813381982.06,2023411415.69,956780601.61,3340900423.99,2460487148.06,1647733268.60,798984372.72,3011724257.40,2155221089.17,1354075476.43,716788177.48,3207940247.42,2146950729.24,1481590889.83,785034952.10,2617231115.70,1895917011.46,1270399328.30,630865106.76,2334593276.99,1659454821.72,1110198026.74,596907413.60,1996905367.99,1520946982.37,1148001949.11,598783610.06,2357940685.38,1634235587.18,1191778481.75,618812182.37,2406384217.23,1796703245.75,1307501333.06,701531031.41,2076824432.51,1669196922.91,1162923846.64,618700789.33,2416819056.51,1516578967.14,1134706530.82,609553404.46,2099736071.53,1453720554.99,938731142.24,323530311.55,1721903500.19,1158133719.63,732460222.52,399083460.74,1432394361.40,0,1231140888.99,940757964.06,0.0
3,收到的税费返还,11879060.17,6068762.16,3309726.03,1243542.19,6410573.67,4907229.96,3725863.86,1846300.05,6890853.08,4047634.58,2905784.54,2234300.05,4280420.02,3299255.98,878959.14,597476.09,15413009.21,15313454.02,14643407.83,238407.05,1236376.65,1032829.98,659093.32,589444.08,755753.25,755753.25,651326.31,0,887275.36,596569.49,338185.36,168493.14,1621169.88,519486.77,519486.77,454857.11,714038.24,1616927.60,575392.24,378600.00,0,153087.08,24173.21,0,1661291.67,2061291.67,1123211.67,0,489850.07,506421.24,468494.67,47.66,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,95687737.21,46069194.92,34383816.98,26435360.58,166837832.59,68302988.02,47360266.89,16130875.22,92532709.17,69399889.93,45950060.72,13841045.44,101559607.47,128434438.98,45120083.54,14673487.54,57616671.45,43378556.46,18215552.97,6824095.81,27681848.83,19403942.20,9077748.27,6352577.69,32432142.02,22906690.37,13511900.72,29279216.65,26867349.92,20777667.05,13696351.83,8104341.89,40249476.72,32755976.06,30111581.54,9497808.64,40326378.59,23988696.76,19976306.15,15194279.11,24979890.21,24907135.54,13179053.60,3406787.09,33999053.44,31662460.43,20675972.09,16297836.17,17619545.22,14059635.46,8397218.47,12363089.84,50416890.08,0,36135775.18,11568310.52,0.0
5,经营活动现金流入小计,4252768198.47,2865519939.14,2061104958.70,984459504.38,3514148830.25,2533697366.04,1698819399.35,816961547.99,3111147819.65,2228668613.68,1402931321.69,732863522.97,3313780274.91,2278684424.20,1527589932.51,800305915.73,2690260796.36,1954609021.94,1303258289.10,637927609.62,2363511502.47,1679891593.90,1119934868.33,603849435.37,2030093263.26,1544609425.99,1162165176.14,628062826.71,2385695310.66,1655609823.72,1205813018.94,627085017.40,2448254863.83,1829978708.58,1338132401.37,711483697.16,2117864849.34,1694802547.27,1183475545.03,634273668.44,2441798946.72,1541639189.76,1147909757.63,612960191.55,2135396416.64,1487444307.09,960530326.00,339828147.72,1740012895.48,1172699776.33,741325935.66,411446598.24,1482811251.48,0,1267276664.17,952326274.58,0.0
6,购买商品、接受劳务支付的现金,1688967326.25,1265862830.21,974829540.98,500952580.95,1465094513.34,1084627496.08,688780871.69,275250104.04,1335011025.88,919550179.25,560930933.96,351500654.58,1229722219.17,966794080.34,648875797.55,308025109.78,1054127749.65,768611006.24,508266513.14,209778613.55,908731674.79,683325382.01,476270087.06,223538461.24,894846000.43,674847178.47,437880122.65,240205571.60,1005159094.15,658683971.27,455653431.05,206873591.61,1126955929.10,885335188.08,623946724.56,318806133.40,1022856477.40,939688957.83,649405951.46,305237389.27,1467724447.94,946476381.23,650354821.61,364346348.01,1184358007.02,803461790.39,530100786.20,160366046.68,1224310513.12,807680431.06,483791016.01,249536506.88,856645501.91,0,854280722.70,596845792.32,0.0
7,支付给职工以及为职工支付的现金,556693138.34,402945502.05,266990944.85,154011689.62,465277016.93,326962863.04,232254020.19,129026042.59,402550285.07,273137625.67,186761172.33,113594220.86,401301355.53,294091959.12,208988751.11,123843310.34,264156767.02,182305073.52,125289886.07,70281628.28,215979093.35,148908026.48,102359828.43,60139852.61,201648507.70,150407992.20,103010020.85,57968945.57,192467034.40,145055958.84,101250537.98,59324396.16,190414894.43,151656308.54,102909652.15,58193737.39,218792534.15,147846359.50,105953740.78,70491477.18,174290641.95,130884390.58,94466728.45,60014951.47,148024950.36,104521101.39,69557220.19,40166342.47,115239238.31,87572610.95,63307470.85,31694079.02,68813897.99,0,55613618.26,37595407.89,0.0
8,支付的各项税费,495327655.41,395959534.56,322232022.13,168137161.98,384017115.93,293056053.64,222791687.26,104882912.78,346253823.52,263357536.22,184159045.79,100286243.77,440605836.95,346093005.56,234340381.33,123408588.86,344123599.36,270891768.44,209530938.37,100512756.56,303503712.41,240392629.16,184579567.09,98015046.99,245676358.22,192654182.97,145936108.83,66152315.12,314390931.35,249498864.04,198285944.20,118137683.18,256006181.41,205655439.15,140744632.82,78302834.83,273715232.51,214472863.22,139360295.99,69100692.52,268283820.89,182239831.77,156421023.54,58539598.97,212519815.26,148504084.60,97523279.42,40645010.59,132832776.82,111092443.49,66326153.62,29819736.21,96497343.65,0,86881989.45,58749511.38,0.0
