,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2218067353.65,1479341468.95,851205294.25,2657713759.00,1977248204.17,1316367311.08,634533232.40,2772444705.54,1964857775.69,1270180509.59,588886205.88,2368179081.69,1656750218.87,961221130.39,440312354.57,2253346513.51,1522785581.79,1064477055.81,608017853.97,2195593377.11,1493581473.29,1018013085.02,274610525.89,1923043775.98,1263994626.06,769649257.24,400230883.79,1644620734.77,1451178866.29,943035363.05,425105299.40,1403341400.77,906456350.37,464954363.43,180470504.75,1088645270.67,777147754.36,547525725.30,131652893.34,1044920505.04,726378626.40,501165719.12,247558239.84,889801779.50,641947852.01,440099547.27,174126798.34,514493119.74,369915800.01,239710899.70,114040561.68,274281616.22,174761507.69,110563257.52,55713175.14,185926212.01,264382829.85,165178196.53,0.0
3,收到的税费返还,38532513.09,8985937.45,5893278.81,51358902.32,46678552.11,32991506.22,19949711.74,64869875.35,63410270.57,8754903.22,6019357.98,48146408.30,39179872.46,17615614.33,3844812.50,45541025.01,45381129.01,36682462.98,4381229.41,95650558.18,84182085.70,64408902.85,47349339.19,142357329.56,103344091.98,60836626.68,20259064.35,76915660.68,68977100.81,48345486.41,36011695.60,39484485.97,11081611.31,13706091.06,1432923.31,67543402.37,46397242.98,38524706.52,11933642.41,38063514.20,24169175.59,7234343.85,5296788.98,80013789.17,55384104.18,19873880.80,4917205.20,38670603.15,35316212.74,26026656.10,0,12231049.44,7654749.83,4867338.27,1826571.52,7776284.05,16658824.06,6695169.67,0.0
4,收到的其他与经营活动有关的现金,381407908.71,185064109.25,157244946.28,399873705.73,319098365.93,270327988.53,179679399.52,210819950.58,200872219.10,158559381.32,132810169.10,293439847.20,247773913.44,231047355.20,41970675.23,383640821.95,383303763.98,363415842.52,113927069.46,438925045.81,425160722.77,329449663.38,306682893.21,433724946.93,384043893.49,272095928.92,92415896.13,117376880.02,-177923510.34,55678174.79,9315223.56,230237649.58,192357724.33,22049155.32,13086126.40,73844182.77,65456423.96,48654862.52,21525975.50,54326551.96,35397236.94,22920010.64,37546657.64,34150106.63,19694600.28,22217741.17,6125000.72,13443842.53,5482643.93,4610061.39,1437289.01,6287538.88,3935314.92,3344277.32,1685980.69,632795.27,3499278.00,1087101.07,0.0
5,经营活动现金流入小计,2638007775.45,1673391515.65,1014343519.34,3108946367.05,2343025122.21,1619686805.83,834162343.66,3048134531.47,2229140265.36,1437494794.13,727715732.96,2709765337.19,1943704004.77,1209884099.92,486127842.30,2682528360.47,1951470474.78,1464575361.31,726326152.84,2730168981.10,2002924281.76,1411871651.25,628642758.29,2499126052.47,1751382611.53,1102581812.84,512905844.27,1838913275.47,1342232456.76,1047059024.25,470432218.56,1673063536.32,1109895686.01,500709609.81,194989554.46,1230032855.81,889001421.30,634705294.34,165112511.25,1137310571.20,785945038.93,531320073.61,290401686.46,1003965675.30,717026556.47,482191169.24,185169004.26,566607565.42,410714656.68,270347617.19,115477850.69,292800204.54,186351572.44,118774873.11,59225727.35,194335291.33,284540931.91,172960467.27,0.0
6,购买商品、接受劳务支付的现金,1647804069.44,1057138025.26,624816691.73,2169881498.72,1756631435.31,1180473331.60,574174430.92,1802948407.22,1276490636.62,772264015.55,432751297.70,1767414131.51,1365499412.54,929114560.60,417356287.26,1570675598.84,1305294144.35,864765656.22,467175217.61,1873994713.77,1236559653.01,717108375.38,347091010.10,1057292693.64,792322401.00,561137362.10,274454283.89,994989024.06,608911497.12,504215728.21,245883698.17,1577471446.60,1097749770.37,664749256.36,376869137.81,701189326.20,450071684.49,303321302.35,189782943.43,661896558.50,529308273.73,329080870.78,185143748.19,702074270.48,447700448.41,306006004.68,169162513.03,319521292.25,268636404.96,166626509.87,72604095.22,163246662.83,99243925.53,39836608.30,42323139.96,94623942.10,198945710.51,100434101.34,0.0
7,支付给职工以及为职工支付的现金,255611437.72,182417281.42,108350558.95,348533871.23,270508503.19,187979701.91,107923487.15,426442346.30,326027084.03,225082447.68,121550502.67,491787547.77,339997673.56,230605479.32,120207528.29,472144373.86,381207225.82,264517200.54,151848186.71,403243805.63,295482714.50,194337222.84,99942730.70,342714300.77,239194175.72,159803193.89,90143903.71,0,215200320.44,147899697.18,78075541.34,228662032.81,158562841.71,105975377.20,56147482.09,157300570.84,113644338.78,70435309.31,35916962.39,99925915.25,67280699.92,47605110.67,22116124.59,86243545.08,64805931.34,42429018.12,21458622.71,51074040.53,37528533.61,23487375.81,11829703.69,32610468.50,23918157.44,15868598.85,9036245.40,20563521.42,14005742.83,10307411.84,0.0
8,支付的各项税费,108615073.07,76253063.86,39526615.61,127025610.71,93473591.39,72726268.48,30839244.38,93488926.19,59377814.32,37822404.18,22082754.68,121564515.64,91510199.02,60060355.04,23550688.54,167894521.16,149316013.39,107216386.52,42878222.56,272074213.98,238493182.69,182957766.78,92938052.07,237348317.76,188568298.96,123068007.59,45218668.23,197983458.05,170471966.50,147220074.45,57374665.22,204029286.03,137669589.79,100740352.15,44692025.48,164480066.26,109798128.02,84626714.49,37386654.66,104963932.58,97358618.03,60224055.82,33510912.15,132411955.58,118356596.71,47477988.38,8833973.32,99697514.04,71988820.76,36226687.17,16584395.55,46339042.84,40497978.88,22659987.12,7242100.01,32211511.06,30516975.80,23662225.56,0.0
