,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,经营活动现金流出小计,1601709872.24,1325748199.26,860370872.58,394277733.42,2272134200.61,1753991885.53,1197939475.78,629209984.45,3131055476.40,2452410290.15,1525077818.71,816818075.13,3044493639.84,2209205406.87,1523530617.04,724054290.98,4105287178.11,2343694894.42,932789901.92,498801461.41,1721544131.15,1272665412.20,870888373.75,501513753.56,1427996551.65,980186741.94,682168539.31,358713145.05,1034367506.17,714011523.11,452584487.09,271083265.87,759945358.78,560630342.95,323521684.93,156756160.78,445013177.97,286623242.99,190655927.09,110927403.55,293897286.83,188026797.27,126059057.47,61882407.53,223326912.62,153566242.89,154854041.74,86135658.17,0.0
11,经营活动产生的现金流量净额,38334502.86,-204502238.74,-85449917.56,-1898079.77,-149598512.90,-284368704.17,-211632708.47,-131923756.89,-148821401.01,-263590264.68,-119639086.91,-175396109.94,284291996.16,-221145278.04,-215327954.73,-130217831.48,61912998.11,-220072634.71,-163187008.03,-39005480.14,290912435.00,-85676284.51,-103222352.63,-122103119.76,218269102.31,-40111214.54,-141996986.94,-53948500.80,224676817.03,-45117816.35,-30470653.60,-60299027.37,129462696.11,-44154883.86,-43751622.38,-18383720.32,84075787.47,18884325.24,-14195421.48,-19078808.34,48678626.69,24905898.42,3440791.59,-7133680.43,32325695.32,2859224.90,2151923.07,6406113.71,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,96492857.68,97885108.64,97836925.67,76760159.86,645500000.00,575034831.43,515000000.00,5000000.00,2659870000.00,1979870000.00,1279870000.00,479870000.00,1209000000.00,1115006760.25,1090006760.25,1046006760.25,1728000000.00,100000000.00,50000000.00,50000000.00,411410000.00,290410000.00,160000000.00,80000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,6447588.43,0,0,0.09,6036561.64,6040922.15,5422087.32,36000.00,23333824.94,15744455.08,10340126.31,2714756.46,1204833.71,906178.18,829630.19,723182.20,899333.42,583201.15,403615.00,361905.00,2876487.61,1951066.56,1233041.46,579452.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,68179457.03,78869488.81,78852710.00,0,156846.70,7660.00,7660.00,7660.00,994705.41,551844.23,1350.00,150.00,73799.99,73799.99,33799.99,33269.99,27070.00,17420.00,15720.00,2720.00,146970.94,101690.00,9690.00,2890.00,132508.00,132508.00,131078.00,1050.00,20000.00,20000.00,20000.00,0,81000.00,75000.00,35000.00,35000.00,19000.00,19000.00,19000.00,19000.00,125000.00,22000.00,22000.00,0,14649713.01,14520348.12,31370.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,-3060725.53,-148690.44,0,4090223.97,5100000.00,3100000.00,0,6915183.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195110.21,0,0,0,0.0
17,收到的其他与投资活动有关的现金,6996475.49,0,0,0,0,0,0,0,0,0,0,0,8708954.99,9162262.46,12329262.46,0,0,2471676.00,2471676.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,178116378.63,173693871.92,176540945.23,76760159.95,655783632.31,586183413.58,523529747.32,5043660.00,2691113714.19,1996166299.31,1290211476.31,482584906.46,1218987588.69,1125149000.88,1103199452.89,1046763212.44,1728926403.42,103072297.15,52891011.00,50364625.00,414433458.55,292462756.56,161242731.46,80582342.26,132508.00,132508.00,131078.00,1050.00,20000.00,20000.00,20000.00,0.00,81000.00,75000.00,35000.00,35000.00,19000.00,19000.00,19000.00,19000.00,125000.00,22000.00,22000.00,0,15844823.22,14520348.12,31370.00,0,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,22615633.63,4835902.94,2994982.55,941496.57,27231241.33,23328689.58,15092044.22,12502086.94,29550906.21,17357844.75,9450550.08,2537076.00,47343302.30,37964176.07,28712173.76,12009468.07,28120469.08,2644285.35,3040533.53,689388.00,7963715.15,5928409.03,3365877.00,2061094.00,5029906.94,3746968.94,2484793.94,895847.53,10632922.83,7141669.37,5155827.57,3253466.23,132306832.07,34004797.89,19269024.88,9177140.41,98506493.92,83054400.17,69239948.29,62427300.29,8498372.12,4329105.56,3121496.49,365200.55,35082551.11,961064.00,1307989.00,5354192.00,0.0
20,投资所支付的现金,204230000.00,2939485.00,1409485.00,1409480.00,594035153.28,604073556.07,604073556.07,515000000.00,2124630000.00,2073100000.00,1263610000.00,589300227.60,1922049986.10,1172280000.00,1135280000.00,1104160000.00,1894300000.00,355824400.00,319882693.30,202147800.00,480754525.20,370754525.20,209344525.20,99344525.20,49159600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.00,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,8738954.22,18024694.22,21191694.22,9285740.00,214746625.11,100325838.29,0,0,12437869.25,12437869.25,12437869.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,5292291.11,0,0,0,0,957608.11,957608.11,0,0,1414815.83,1414815.83,0,23304324.51,5425074.14,0,0,1000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,0,0,0,1000000.00,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,232137924.74,7775387.94,4404467.55,2350976.57,621266394.61,628359853.76,620123208.40,527502086.94,2154180906.21,2091872660.58,1274475365.91,591837303.60,2001436567.13,1233693944.43,1185183867.98,1125455208.07,2138167094.19,458794523.64,322923226.83,202837188.00,501156109.60,389120803.48,225148271.45,101405619.20,54189506.94,3746968.94,2484793.94,895847.53,10632922.83,7141669.37,5155827.57,3253466.23,132306832.07,34004797.89,19269024.88,9177140.41,100506493.92,83054400.17,69239948.29,62427300.29,9498372.12,4329105.56,3121496.49,365200.55,35082551.11,1961064.00,1307989.00,5354192.00,0.0
24,投资活动产生的现金流量净额,-54021546.11,165918483.98,172136477.68,74409183.38,34517237.70,-42176440.18,-96593461.08,-522458426.94,536932807.98,-95706361.27,15736110.40,-109252397.14,-782448978.44,-108544943.55,-81984415.09,-78691995.63,-409240690.77,-355722226.49,-270032215.83,-152472563.00,-86722651.05,-96658046.92,-63905539.99,-20823276.94,-54056998.94,-3614460.94,-2353715.94,-894797.53,-10612922.83,-7121669.37,-5135827.57,-3253466.23,-132225832.07,-33929797.89,-19234024.88,-9142140.41,-100487493.92,-83035400.17,-69220948.29,-62408300.29,-9373372.12,-4307105.56,-3099496.49,-365200.55,-19237727.89,12559284.12,-1276619.00,-5354192.00,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,4421000.00,0,0,3363333.33,0,3363333.33,0,0,1309588721.90,1259588721.90,1259184584.02,1642204.66,23600469.68,20973506.15,19407647.81,11950876.67,44357692.92,32466262.76,15578223.35,15024441.70,32279248.02,23662384.84,19238880.00,19200000.00,35306675.36,34997782.86,17960255.36,0,2000000.00,0,0,0,1000000.00,0,0,0,326600000.00,326600000.00,0,0,45050000.00,45050000.00,0,600000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,4421000.00,0,0,3363333.33,0,3363333.33,0,0,50450000.00,450000.00,450000.00,0,16621429.00,0,8571429.00,8571429.00,25600000.00,0,0,0,0,19200000.00,19200000.00,19200000.00,0,0,5000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,14592871.50,29618466.94,27898466.94,8447896.16,4999610.77,0,0,0,21500000.00,0,0,0,51900346.03,51900346.06,51900346.06,0,350000000.00,241162245.03,162740587.96,0,0,634600.00,317300.00,317300.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15700000.00,0,10000000.00,14800000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,12779548.16,0,0,0,0,0,0,0,0,0,0,0,0,1345000.00,1345000.00,0,0,1500000.00,1500000.00,0,634600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500000.00,17500000.00,17500000.00,17500000.00,0,0,0,0,0.0
