,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,618655958.10,408309843.68,170477415.50,779674261.69,555483303.28,346626603.46,154825574.30,690798570.69,489385305.33,299620666.14,129128494.04,506887813.87,342698096.83,208522273.99,86842229.79,312341908.01,205613099.84,122491321.52,46098775.42,252130403.04,192561449.41,123926602.36,60724061.73,226002874.38,169095470.05,113954048.96,54569881.87,200792103.61,185635158.76,125015490.86,51671740.58,212451608.79,156822980.44,105879252.26,52846043.18,223532597.18,162928074.69,105771130.14,60511637.48,186752121.77,126682781.70,100206967.48,48520155.66,196281157.39,143633095.97,115476170.27,49972612.76,154429691.64,129556460.74,135436730.56,47034280.78,191004028.65,177267737.17,123192025.41,61203422.80,181605969.61,110188005.90,159794598.36,51089222.50,209214344.50,166582660.66,151356536.24,59856435.29,288673274.26,0,120365920.02,65854429.81,194174413.65,105682719.04,184479180.62,96042624.65,123517159.35,54373348.33,192340610.15,101061259.37,0.0
3,收到的税费返还,16434883.28,12153333.60,7013236.79,17660997.05,11199319.06,5755441.58,3546749.73,16482846.00,11863152.24,7282800.21,3549761.78,9854512.98,6262754.69,3121998.59,590187.97,12018403.77,13588362.64,10855823.28,4360274.33,12699751.60,9219358.18,5400364.86,3028780.08,6916445.30,5229228.07,4448024.73,142916.51,10529552.50,7513246.10,3306475.15,2213006.99,10947886.87,8126039.90,5111667.58,2521621.10,9755475.74,6855395.65,4521312.00,1810848.49,3580110.78,1151016.37,520421.79,345465.12,1991008.77,1582337.81,359704.12,140983.66,105970.11,15967.64,473779.72,401048.66,3211773.06,913478.52,574845.16,548817.50,5815947.30,4263671.65,4217340.64,1188066.70,2764759.96,2039157.43,2276212.69,2037257.43,211414.53,0,453755.09,62657.82,3395116.98,3395116.98,2332110.91,1770571.64,2856794.57,2271233.77,30452401.01,13222461.46,0.0
4,收到的其他与经营活动有关的现金,15527600.23,6883503.79,7989528.52,74385005.57,27830690.89,7127030.43,95026849.04,8408118.52,23188633.29,18904217.70,2980127.85,36300182.80,422157243.96,350653268.04,47333602.46,24884968.10,37087145.73,22250977.37,7110188.70,33444680.72,31963330.19,16955091.13,752352.50,26321746.99,33168866.35,33076779.13,81465.01,25047083.38,7085240.15,1009311.00,3185227.10,13301500.25,3510947.95,3184222.93,263877.68,5401555.57,370527.98,49160.45,29399162.92,1594014.58,569636.90,230584.13,53847.69,44878371.04,59820405.44,41356894.40,-26520230.97,102951405.96,94741370.91,23898969.51,5758508.79,3308511.16,36534101.84,3357074.10,516819.80,4450364.05,12801375.90,33088225.02,23102782.91,52144456.93,41351268.31,41001073.43,3029352.44,40196629.64,0,30020858.63,41551934.71,16979789.39,205902.08,30949326.21,930831.78,2096612.97,6609996.42,500000.00,6340538.89,0.0
5,经营活动现金流入小计,650618441.61,427346681.07,185480180.81,871720264.31,594513313.23,359509075.47,253399173.07,715689535.21,524437090.86,325807684.05,135658383.67,553042509.65,771118095.48,562297540.62,134766020.22,349245279.88,256288608.21,155598122.17,57569238.45,298274835.36,233744137.78,146282058.35,64505194.31,259241066.67,207493564.47,151478852.82,54794263.39,236368739.49,200233645.01,129331277.01,57069974.67,236700995.91,168459968.29,114175142.77,55631541.96,238689628.49,170153998.32,110341602.59,91721648.89,191926247.13,128403434.97,100957973.40,48919468.47,243150537.20,205035839.22,157192768.79,23593365.45,257487067.71,224313799.29,159809479.79,53193838.23,197524312.87,214715317.53,127123944.67,62269060.10,191872280.96,127253053.45,197100164.02,75380072.11,264123561.39,209973086.40,194633822.36,64923045.16,329081318.43,0,150840533.74,107469022.34,214549320.02,109283738.10,217760617.74,98744028.07,128470566.89,63254578.52,223293011.16,120624259.72,0.0
6,购买商品、接受劳务支付的现金,536660695.91,365265317.97,162107501.62,695333202.88,534963703.52,334096848.61,157569500.18,612308469.05,445823612.87,276277065.18,136653747.99,448389223.59,321244430.87,212303551.53,76030516.96,267766667.15,195127600.73,102695962.86,37515516.98,218780108.10,186028416.09,102283503.98,49961785.02,194839220.21,154425788.32,103710621.20,46067342.25,155983569.71,163029780.41,94409064.61,36333618.40,153395082.42,127459153.05,85966985.52,42787148.77,162187132.27,123330021.64,79483421.67,48465596.25,122716984.68,79830691.55,73652067.85,25851617.90,143461362.49,132082832.87,107423396.45,35635646.49,124740639.78,107749115.50,136462348.79,58492832.46,99387360.55,108194753.82,80780785.94,37587298.60,114619142.28,121996628.56,154854790.34,54459740.82,179549035.61,145945702.11,111022194.19,27058592.02,219770716.46,0,66596485.76,45510992.15,90038685.44,40508610.47,127647280.10,68863348.41,102624345.02,57343815.52,146676173.16,70182470.72,0.0
7,支付给职工以及为职工支付的现金,55354718.52,37605682.49,19699432.72,72332245.72,53852376.79,36789448.65,19961372.09,62823224.81,45769536.14,30145211.02,14966587.83,54148469.58,37121021.83,23475443.66,11636228.70,41622570.80,28227617.35,18408836.46,9064473.51,37243775.49,27363307.98,18558209.22,9090662.23,33427412.05,24566716.32,15418873.33,7974021.28,25169137.29,18253522.43,11279114.90,5698654.02,18542124.56,13552262.99,7929089.14,3657352.97,16496963.69,11122150.35,7412074.87,3994635.95,13637536.99,10079779.15,6729268.28,3332272.95,18182206.07,13550778.72,8815148.48,4625098.76,15972049.09,12108147.00,6772125.90,3546951.81,13015805.62,10013932.64,6709678.16,4122180.73,16063254.25,10592499.99,7817411.66,3401696.21,17181393.81,10204763.40,7165403.60,4073778.41,11722766.61,0,5492084.64,2599230.78,11201443.02,5473590.58,10877209.37,5662153.25,9392971.69,4868997.98,7861837.11,4623289.93,0.0
8,支付的各项税费,14406303.16,10265548.31,3319951.98,36432216.47,31373219.10,26762844.58,4714405.27,18065428.74,15329029.85,12971631.53,3714239.35,10960077.08,8455258.29,7162560.12,4930176.59,13606008.43,14655005.28,13446949.43,4878631.17,6802468.78,7960229.46,3587853.38,1803153.89,18987956.70,18069899.59,15547003.13,3700123.18,21222133.26,7018827.87,5448833.18,4524678.13,4134460.25,2482996.75,1646734.16,893114.37,4355836.48,4021661.59,2939626.97,1645328.71,4894411.56,2604073.86,1182026.47,770975.97,4497629.43,2967568.94,1860955.37,1005384.51,5340094.70,4389094.93,3250485.33,989475.42,4415262.86,3196190.98,2481799.04,1305027.20,5831246.02,4072468.45,2261146.59,903022.50,4057126.11,2794505.70,201507.07,287058.80,13160494.49,0,5246577.27,3046764.67,12752189.61,9472587.97,7947357.45,4618459.21,13114612.07,12936402.27,18900950.05,6564573.84,0.0
