,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,12607807.77,12184757.16,8349987.27,34180669.59,24393795.23,21527199.60,8642329.30,174517049.72,78360470.35,28894878.25,12258162.78,250306745.27,82939862.05,65878913.50,29416416.09,119135891.32,85716809.52,61373412.04,37424505.24,254831951.98,137146736.41,98224199.34,55575734.50,63612052.20,95736767.73,89135272.15,24789472.15,198549471.20,120019901.59,62234812.06,22430761.21,496396180.05,449592098.26,332848232.20,125991259.82,360579657.60,193009317.01,122785330.36,19495020.30,233858597.72,174394950.61,50784813.50,35217119.94,297841608.24,170810220.76,41627531.84,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,195652.94,0.00,0,0,100981.90,0,0,0,10968999.81,10629716.73,3838341.81,4167883.30,100951.06,0,0,206227.00,1494490.44,362010.92,40298.42,43624.29,10266786.12,6340136.33,6340136.33,1238988.70,0,197945.99,186728.21,0.0
4,收到的其他与经营活动有关的现金,376349.87,1019776.87,77718.05,34154350.25,23964602.07,24030046.77,6791519.75,50400090.79,7242112.04,6999825.01,53107.18,23830807.59,16567786.80,17059006.79,13043570.38,84051133.86,16460083.64,22712139.15,20894324.63,141126931.91,40884762.31,26922710.15,34940102.76,54580239.38,72024779.12,52645095.40,35290640.83,44894637.69,45945520.62,28921471.18,25803110.66,89736161.81,40592082.12,26175547.21,18078134.71,20473692.11,23710707.39,19644968.15,14280724.11,18368293.52,21887986.41,20489445.00,9989030.75,21496424.44,21223076.15,25967805.32,0.0
5,经营活动现金流入小计,12984157.64,13204534.03,8427705.32,68335019.84,48358397.30,45557246.37,15433849.05,224917140.51,85602582.39,35894703.26,12311269.96,274137552.86,99507648.85,82937920.29,42459986.47,203187025.18,102176893.16,84085551.19,58318829.87,396154536.83,178031498.72,125146909.49,90515837.26,118293273.48,167761546.85,141780367.55,60080112.98,254413108.70,176595138.94,94994625.05,52401755.17,586233292.92,490184180.38,359023779.41,144275621.53,382547840.15,217082035.32,142470596.93,33819368.70,262493677.36,202623073.35,77614394.83,46445139.39,319338032.68,192231242.90,67782065.37,0.0
6,购买商品、接受劳务支付的现金,6440402.11,9480542.64,3699139.18,16593528.89,17279712.12,17574642.44,9865830.01,113405200.55,58869768.32,31360795.06,14568805.67,113804501.84,58790373.86,46653755.48,10528803.49,90700087.57,95498556.07,81883255.85,49242996.54,142510669.71,77693410.52,57894765.75,40788125.63,71914178.91,117459646.08,122415123.76,57727098.62,244965890.53,190338077.16,99845866.18,37755328.83,442450365.51,392786767.37,324101726.32,158036878.44,243848459.41,166713051.12,94689461.10,30363914.32,152548690.71,114630996.36,93672407.15,68988976.90,252223865.31,141488719.85,19020317.92,0.0
7,支付给职工以及为职工支付的现金,12386904.95,10673762.34,5199964.74,26173821.28,21150218.65,16747687.11,11620036.99,36487413.97,30823471.68,21530323.13,15788599.89,39944484.53,30978381.11,23421535.22,13860076.71,36003731.34,28656642.61,19570013.33,13657709.10,42700222.96,33210708.10,24439645.94,15634683.87,48689468.14,45973820.20,33088321.20,19651864.55,68763066.08,52605641.41,37585757.85,22005904.00,57690772.24,40624143.45,25300676.56,13867584.87,21446707.19,15214012.54,9279707.96,6646704.15,11162479.22,8839230.94,7211180.22,5236139.62,7872536.58,3971050.52,2875956.72,0.0
8,支付的各项税费,2399379.80,2023577.85,1055855.44,10759228.90,8794185.79,8201339.25,6836192.62,12898290.88,8194184.40,4314649.33,1321644.00,8071351.11,7881633.46,7258869.09,4082629.56,8739203.14,3768592.88,3565909.25,2278352.86,3354320.53,2977875.11,1994726.12,830020.45,10720732.14,2556732.65,2260583.94,729819.84,7627572.98,6346105.34,5725829.62,2592281.62,78643839.30,77853636.56,46543239.18,15871906.60,26921446.56,19583802.23,11285665.43,2525616.66,34269378.39,21739540.14,7867004.32,950606.42,50279719.28,13123947.50,1750284.77,0.0
9,支付的其他与经营活动有关的现金,5139265.86,3090093.73,3544390.79,45270468.20,19911899.65,21100870.78,6080089.17,51375729.53,19322339.26,19894872.31,12421477.92,84848535.06,40440904.10,33203479.59,24336379.21,59739037.05,79210052.84,106869810.08,42179575.37,167074607.04,65069891.84,56955259.41,23252749.40,124897735.39,48159750.70,36278889.95,31160773.55,109239855.59,53645810.80,46095150.77,29287601.30,100343414.79,71901986.55,45793790.93,13184965.59,38084267.62,53470882.38,30202531.15,13859853.46,29182214.72,18722384.54,11059917.88,9250331.51,29761379.79,40749957.40,35661774.07,0.0
10,经营活动现金流出小计,26365952.72,25267976.56,13499350.15,98797047.27,67136016.21,63624539.58,34402148.79,214166634.93,117209763.66,77100639.83,44100527.48,246668872.54,138091292.53,110537639.38,52807888.97,195182059.10,207133844.40,211888988.51,107358633.87,355639820.24,178951885.57,141284397.22,80505579.35,256222114.58,214149949.63,194042918.85,109269556.56,430596385.18,302935634.71,189252604.42,91641115.75,679128391.84,583166533.93,441739432.99,200961335.50,330300880.78,254981748.27,145457365.64,53396088.59,227162763.04,163932151.98,119810509.57,84426054.45,340137500.96,199333675.27,59308333.48,0.0
