,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010930,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,894958471.64,623391915.61,336146819.46,434231964.16,170859083.82,18104053.66,24453766.52,870715897.45,558359062.15,73983380.46,79347256.57,342808193.97,291137883.00,56556628.00,51858785.00,278458159.00,352653163.00,199586675.00,136094193.00,117760704.00,88409563.00,63757051.00,157012570.00,115486855.00,345257289.00,72463285.00,115474622.00,98691137.00,194311721.00,104383902.00,51641814.00,1713253727.00,874297085.00,441601901.00,210354265.00,126151517.00,139043065.00,40749306.00,55988191.00,70434385.00,91664402.00,82263938.00,22896823.00,93234998.00,28213706.00,18695251.00,25806605.00,74385123.00,19321424.00,18769406.00,21399954.00,63015725.00,16993709.00,15444070.00,10599855.00,44992381.00,25416255.00,7793454.00,18773219.00,39199535.00,15236941.00,25211156.00,12062467.00,45978977.00,17697164.00,15606302.00,18609116.00,56686152.00,24793155.00,55959679.00,30643171.00,26626708.00,0.0
10,经营活动现金流出小计,3154793236.85,2094877088.03,1226092160.81,3875465273.12,2338658940.56,1593654402.02,669295492.89,4530821448.92,3311620656.22,2133683528.89,1204270323.20,3777005674.04,2911379080.00,2118916586.00,859418282.00,3837664682.00,3222677538.00,2188406195.00,1159436953.00,4240190317.00,5550463813.00,3803472304.00,1892531840.00,4856053340.00,3840265866.00,2310529336.00,1164925277.00,3813160214.00,2526780390.00,1759245395.00,860990106.00,5230361659.00,3464757146.00,1523676431.00,726954646.00,1948429335.00,1446931823.00,1005266028.00,514049864.00,1874721340.00,1500024298.00,1151914319.00,433609206.00,2093216105.00,1688727843.00,1280560276.00,560740621.00,1723984781.00,1346304858.00,925492821.00,480339611.00,1484972182.00,882089873.00,708175092.00,349544786.00,1570396295.00,1141892927.00,738989140.00,367214639.00,1163701435.00,797948055.00,454180196.00,226710795.00,883465194.00,694646762.00,413224236.00,170921339.00,751255378.00,160489147.00,259297024.00,156279625.00,178543461.00,0.0
11,经营活动产生的现金流量净额,3586672840.75,2510291929.30,1541058010.75,3890560274.02,1842916460.56,1350336305.82,398291052.31,3473775940.11,2396241116.84,1698601270.11,492840882.68,6693429850.86,3270949200.00,2051249341.00,1232812639.00,3306267465.00,1133207937.00,586423751.00,118274241.00,2693548081.00,221930817.00,234378609.00,149211787.00,1832487105.00,1242558897.00,799124098.00,11633790.00,1316983601.00,1578498706.00,1048537719.00,244945121.00,1061407636.00,1067495219.00,566879499.00,435227589.00,2207473133.00,1415764998.00,1033653616.00,417879208.00,1869626711.00,1207168774.00,655712512.00,244013441.00,1942998138.00,1149329391.00,594668648.00,366349681.00,1519689419.00,1073327851.00,429228154.00,216089278.00,1139616921.00,940685436.00,425422922.00,153173571.00,1110004823.00,741286491.00,422195978.00,175043015.00,985866698.00,649197984.00,428970320.00,146391603.00,787096183.00,466527611.00,353688292.00,176354619.00,715402989.00,303310099.00,581007421.00,472127603.00,595742913.00,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,1652400000.00,1650000000.00,1500000000.00,4125000000.00,0,0,0,600000000.00,0,0,0,295385063.78,0,0,0,680384400.00,0,0,0,0,0,0,0,143230000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,299475135.67,241975135.67,106927500.00,1564548329.90,512798286.73,95168012.31,46256056.61,171382881.80,0,0,0,145384993.03,63340404.00,63340404.00,0,27939191.00,48470170.00,27939192.00,0,135328458.00,8458.00,0,0,3501646.00,3443020.00,0,0,2875317.00,4329340.00,0,406562.00,4800000.00,7709507.00,4800000.00,0,4320000.00,4320000.00,4320000.00,0,8400000.00,8400000.00,8400000.00,0,3600000.00,3600000.00,3600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000.00,600000.00,0,0,201000.00,0,3702740.00,1893904.00,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,51806.34,27859.44,5499.00,187059.44,6373806.35,6373506.35,0,247812.00,30093.00,9550.00,1420.00,679165.55,24617.00,15460.00,0,1849493.00,46944.00,46944.00,46944.00,352917.00,188389.00,0,522.00,84368.00,3515.00,3515.00,3515.00,2784088.00,2073586.00,2017746.00,2546391.00,746583.00,1558206.00,182650.00,0,1282495.00,335741.00,334421.00,0,567922.00,0,0,0,184685.00,0,0,0,225685.00,0,0,0,0,0,0,0,216164.00,0,0,0,463491.00,0,0,0,419821.00,0,0,0,0,0,0,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,1608661421.28,3866054056.24,3468358562.71,0,557720531.58,386044413.44,0,0,1218208988.54,1298230000.00,0,0,0,698000000.00,698000000.00,698000000.00,0,0,0,0,0,143230000.00,143230000.00,143230000.00,0,0,0,0,22342999.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,106893399.43,69315846.07,0,1954027679.14,2439023485.00,2339023485.00,1164315277.29,1400361548.99,1744976626.20,944976626.20,900000000.00,3598375214.89,4217219931.00,908000000.00,288000000.00,665846151.00,719374059.00,362524559.00,113000000.00,684680000.00,20000000.00,20000000.00,0,545200000.00,491200000.00,492250707.00,1050707.00,7257423.00,0,1746765.00,0,4438488.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000.00,0,0,0,23369397.00,0,0,0,83633599.00,0,6727522.00,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,2058820341.44,1961318841.18,1606932999.00,9252424489.76,6824249634.32,5908923566.37,1210571333.90,2729712774.37,2131051132.64,944986176.20,900001420.00,5258033425.79,5578814952.00,971355864.00,288000000.00,1376019235.00,1465891173.00,1088510695.00,811046944.00,820361375.00,20196847.00,20000000.00,522.00,692016014.00,637876535.00,635484222.00,144284222.00,12916828.00,6402926.00,3764511.00,2952953.00,32328070.00,9267713.00,4982650.00,0,5602495.00,4655741.00,4654421.00,0,8967922.00,8400000.00,8400000.00,0,3784685.00,3600000.00,3600000.00,0,225685.00,0,0,0,25000000.00,0,0,0,23585561.00,0,0,0,84097090.00,0,6727522.00,0,1019821.00,600000.00,0,0,3813767.00,0,3702740.00,1893904.00,0,0.0
