,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,13948911553.48,8677119062.22,4012963162.29,13868801522.47,9786487447.53,5846212851.83,2579309871.02,9355077073.01,6512165582.45,3925475429.43,1409588975.58,6194338140.76,4361923734.79,2431092879.34,1105499695.80,3324960476.75,1652260243.04,783028277.44,443897814.70,1435269721.66,1118468709.15,682590899.70,368428824.12,949213009.54,556849979.99,382809407.39,183747201.83,1354222775.29,1148243861.09,510675263.85,199379142.39,977677906.03,663946298.56,451179788.46,198573770.26,1101273557.44,801476879.13,409181677.77,133829494.64,717206994.67,492594162.57,268284819.90,106914355.34,666756862.23,562540853.20,507882544.71,349923577.21,744952342.41,502295096.33,283727236.45,192687804.28,484771348.20,464316595.98,280426463.08,111701550.39,251595260.89,397548821.95,310493864.01,119222657.16,466669672.67,354347843.59,250044542.87,135407233.79,349798465.26,407617788.85,282280473.36,0.0
3,收到的税费返还,1272163.60,1245459.67,684260.06,2561000.00,3456947.56,548990.43,119415.14,621000.00,648169.82,546000.00,0,161000.00,367038.69,218369.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120970.00,1070970.00,0,320000.00,1064400.00,320000.00,0,63000.00,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,164299373.78,90890283.30,11866956.28,265757830.09,113900593.17,87111536.33,55748154.64,300629508.62,295055161.55,242007846.72,192857771.61,279552058.91,248958220.36,197955716.50,87582298.25,126403599.13,165764954.36,101609034.07,59458701.29,145315418.95,71954805.79,72861023.65,28144582.97,81425725.99,147676554.57,119119423.51,96650499.17,132608107.74,61482242.91,52604181.96,19108835.28,66726956.26,67868817.33,48707575.89,17267284.37,107256043.60,163660940.96,109923801.17,34200908.68,459010078.80,470000432.09,405121106.52,375541648.22,249108768.33,122516041.09,75544100.46,60515474.10,101223557.16,126274604.59,45122633.04,35040872.61,159867370.91,155582012.31,109571715.39,21124792.45,388157977.61,148223253.04,139850643.08,97546682.18,4346342.63,10891123.64,9866711.99,0,6499994.23,493196.99,15286685.65,0.0
5,经营活动现金流入小计,14114483090.86,8769254805.19,4025514378.63,14137120352.56,9903844988.26,5933873378.59,2635177440.80,9656327581.63,6807868913.82,4168029276.15,1602446747.19,6474051199.67,4611248993.84,2629266965.57,1193081994.05,3451364075.88,1818025197.40,884637311.51,503356515.99,1580585140.61,1190423514.94,755451923.35,396573407.09,1030638735.53,704526534.56,501928830.90,280397701.00,1486830883.03,1209726104.00,563279445.81,218487977.67,1044404862.29,731815115.90,499887364.35,215841054.63,1208529601.04,965137820.09,519105478.94,168030403.32,1176217073.47,962594594.66,673405926.42,482456003.56,915865630.56,685056894.29,583426645.17,410439051.31,846175899.57,628569700.92,328849869.49,227728676.89,644638719.11,621019578.29,391069148.47,132826342.84,640073238.50,546836474.99,450664507.09,216769339.34,471079015.30,365238967.23,259911254.86,140393900.50,356298459.49,408110985.84,315524015.17,0.0
6,购买商品、接受劳务支付的现金,13199933093.68,7915713043.35,3560871339.28,12880328698.79,9044146545.02,5565231685.36,2587944286.82,8270602372.94,5986043644.76,3608674064.14,1462350218.33,4955401556.13,3349026880.60,1980014298.88,1088720746.20,2351296801.15,1285098627.10,612860004.72,387153539.70,1247317770.84,811600581.66,637930032.27,302152727.77,1327669057.54,780731526.99,545652875.81,292080311.47,1250516119.69,1022511567.65,569400463.50,179193095.43,1356758370.65,644471527.99,406625487.67,140146544.77,895759225.75,697909811.98,394206697.62,81598817.51,453253291.92,398796273.48,251119877.63,228208974.78,316105247.10,452975987.43,355973448.89,263142251.29,516535132.25,393724536.02,222944982.26,139277157.08,409463159.50,396061087.55,240474314.85,130748638.46,387625747.29,494808629.59,448170966.08,152881323.38,239755637.91,278335240.05,181819348.70,100145560.92,281545146.59,195286693.10,159779009.26,0.0
7,支付给职工以及为职工支付的现金,334857395.16,234050227.99,124914537.30,466507604.15,343559470.23,231852466.00,120044750.88,306333936.27,216149441.05,137199682.21,68131646.87,235630251.77,200565172.19,121674330.16,56845855.99,118674673.68,60243920.32,29069452.44,12651063.61,67106464.76,57062726.73,26253839.29,11841263.81,52908848.70,37560448.29,27946732.03,9400623.69,54945962.46,25406098.27,18147213.05,10239738.51,36570494.68,21789977.03,15780185.26,12527818.66,28872987.89,18671788.37,11708897.39,16061305.98,37322307.18,40356570.59,25983315.18,13893863.31,61183766.73,39315711.57,25780794.47,14518612.67,65186926.98,46955522.89,25501892.79,14553128.62,58438734.15,39353069.28,27361258.84,19348967.86,64068212.50,36490571.75,29973528.58,11847424.55,50967051.95,23572903.69,20357451.14,12325764.65,44815058.58,29370022.04,18602426.48,0.0
8,支付的各项税费,180231425.62,144039245.06,72316182.65,240813221.38,183410277.77,121077380.55,54629397.94,242948538.00,190679117.42,136454482.73,65651324.72,252166798.11,194745474.32,123648902.84,48964229.87,146282966.56,86709583.26,55582096.65,11220716.88,69225849.23,50454247.07,35870944.74,9528953.38,21631622.57,49017332.55,25235026.19,14463311.53,25136176.96,48302931.71,38852210.77,4358867.00,82558712.78,66491856.78,61566534.06,18227162.55,52530045.22,19134571.34,11130228.70,15550314.27,18548773.55,24261763.99,12727768.27,4532866.69,20171112.73,31799561.34,13277903.23,5393680.82,13912692.05,16597418.75,10189650.13,4101233.24,24181549.52,32097438.11,10981724.38,1027329.01,25191133.62,16747966.41,11857814.44,7109932.65,51310744.76,16860323.55,14405654.98,9325654.98,22132955.62,36862847.85,65880478.93,0.0
