,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1560094092.85,1062959587.43,532894408.54,2673686586.45,1805663471.39,1170167207.94,510197990.92,2163753735.73,1541730844.73,919702794.35,327599746.77,1382205158.25,954553921.94,615576021.63,259391465.92,1399622987.71,1060313810.57,667666225.80,285403705.81,1822409226.54,1156495214.30,896113344.76,344618306.82,2104323067.78,1390188501.80,931340418.09,388518762.47,2115807655.73,1413541081.51,877927931.03,435577735.65,2134859973.79,1186658756.40,659131501.19,249063351.68,1724817838.15,1126606711.94,638123143.88,299942673.31,1034505696.92,615829648.96,288076981.78,117406319.29,852046879.70,648135792.08,407199261.15,186514819.27,862613933.53,621708254.07,402749410.25,162252343.59,572242819.14,473010837.51,0.0
3,收到的税费返还,30427689.95,17890449.71,9736118.44,45067163.12,32922601.92,17319514.75,3797227.29,56760772.08,39711193.89,20438349.39,6954712.16,44836653.26,15599476.00,9334081.11,841345.80,49952721.79,37952647.60,28663488.54,9862585.57,78655624.51,56225721.80,35034094.57,13221562.44,74851277.20,50758751.88,29303097.35,16061775.84,60365723.12,41314802.88,25183935.11,7450593.16,61629090.45,11578220.90,10212570.90,7211305.90,66883301.96,33341336.87,25610273.69,14386671.20,37539560.74,12219933.57,12219933.57,7534410.56,55588638.14,41739673.37,27319438.92,8276921.17,54073177.87,37571590.97,19429662.89,1270732.93,48581344.67,32875289.59,0.0
4,收到的其他与经营活动有关的现金,30732909.71,14131845.64,6900261.48,57206591.68,41836423.10,25748989.19,9802793.67,41938544.70,23928992.00,17662380.81,7699531.26,4192995.29,56526385.97,587896.99,45306997.75,3266239.62,8279769.76,6605600.73,52598737.61,8033819.62,21125083.28,1367232.16,39800461.16,14963040.39,48970460.51,12571997.77,24430206.41,27119062.49,103741890.11,66209960.72,26226142.42,8822572.57,97827659.78,35430127.29,43811493.48,30236713.60,88849276.42,28331148.05,15700650.36,207469137.17,25201504.08,23306575.15,10329365.90,120814679.74,44161972.43,14284383.95,53426506.64,42398624.55,31392884.13,9663463.59,139817166.55,13722538.74,2463630.61,0.0
5,经营活动现金流入小计,1621254692.51,1094981882.78,549530788.46,2775960341.25,1880422496.41,1213235711.88,523798011.88,2262453052.51,1605371030.62,957803524.55,342253990.19,1431234806.80,1026679783.91,625497999.73,305539809.47,1452841949.12,1106546227.93,702935315.07,347865028.99,1909098670.67,1233846019.38,932514671.49,397640330.42,2194137385.37,1489917714.19,973215513.21,429010744.72,2203292441.34,1558597774.50,969321826.86,469254471.23,2205311636.81,1296064637.08,704774199.38,300086151.06,1821937853.71,1248797325.23,692064565.62,330029994.87,1279514394.83,653251086.61,323603490.50,135270095.75,1028450197.58,734037437.88,448803084.02,248218247.08,959085735.95,690672729.17,431842536.73,303340243.07,634546702.55,508349757.71,0.0
6,购买商品、接受劳务支付的现金,1141110130.10,730025121.59,429912910.65,2349819196.04,1750530828.76,1222242386.25,608193595.19,1835794489.23,1271518081.55,735496553.15,311557557.47,1072601953.85,806737212.75,526954721.52,248344434.20,1034742674.60,870399687.68,568411912.73,256480591.40,1313770482.37,950950681.24,655140223.81,274343843.06,1679752679.98,1139211245.96,773871136.19,318477780.34,1480126409.19,955147966.39,721685318.57,247165678.13,1532827399.60,873976116.38,568656933.52,254512153.77,1551757206.89,984778302.43,629262307.16,309890299.90,930606051.40,543836411.82,262485395.09,88201569.41,680002550.78,569292124.34,341875604.99,146594932.82,617004108.84,451448174.58,305586069.10,134651798.92,341090107.84,323925037.43,0.0
7,支付给职工以及为职工支付的现金,128485330.10,80507402.26,41544120.41,155360208.86,110417995.07,64493764.46,34172475.93,113273575.61,82138648.53,53568082.97,28245903.98,103137632.74,71010124.34,40955920.51,21408683.76,107061232.89,69888636.63,46413042.56,24519016.96,116974329.53,82633271.13,56361541.04,28231447.10,114580289.34,81881864.43,59167979.22,37277773.01,117249752.23,80208648.55,55212118.73,32330097.01,112711710.14,73509183.78,49274275.67,26058839.63,93280003.64,61664431.25,39981688.00,18978529.28,69825745.65,52463979.74,32904902.51,17418863.44,73125430.80,55112631.97,45471105.97,23133515.15,56714919.85,35921814.15,27860238.91,13000883.41,35242923.97,30445054.81,0.0
8,支付的各项税费,82216476.09,58985249.43,33643574.88,171306747.57,128700128.09,86355593.64,28871171.18,153625119.69,107276088.91,72139786.51,13456338.75,87035588.66,54077143.34,38496123.81,12989468.48,92403445.67,75505120.80,52430672.53,15395071.37,117283268.96,89244176.54,58937019.89,17480377.88,114627479.43,81842085.29,52236846.28,20790943.11,136425874.43,96996209.29,55690601.40,25436932.50,107298382.96,76007479.16,48265602.04,18426530.31,91447108.09,61411777.54,34663743.49,19383228.51,60305363.28,58268209.06,40751259.20,14809273.89,77375645.05,61681420.53,43135510.37,20918489.65,64230603.73,49250179.27,26335898.08,6759704.31,54417855.87,34392571.40,0.0
