,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1921573283.17,1288356170.50,635313866.30,3192986928.17,2164701709.08,1307011348.72,671869066.96,1999229041.84,1093785142.14,656267504.44,300457902.50,1292168404.08,839547159.98,519698145.60,232518324.34,1313647474.21,635632021.37,328625497.58,135007866.95,1046822413.17,657458507.34,403289183.45,179846392.71,914130331.59,455675249.30,268764734.91,105345155.51,656761510.16,358500183.29,248788879.16,98264326.78,483248151.32,259803765.82,165625608.02,59056354.29,293108459.76,141486448.28,83818668.59,35463601.40,300230909.46,198695266.39,136065823.11,62373661.27,214667638.57,126090567.56,81518825.22,12869815.05,147941713.18,97317066.26,72204409.00,12614286.12,140801431.32,81477996.68,0,89976431.37,61617439.60,0.0
3,收到的税费返还,30815066.59,16743771.50,6766336.45,27681916.91,17417950.88,11709105.01,3365900.21,17099787.11,10247252.46,2185708.21,1740141.31,14270505.89,5654566.13,2682464.94,717907.72,11332123.79,11404907.15,8847634.97,8206160.54,6708845.27,5819305.29,2530930.33,1229449.35,3561807.39,3394571.49,1490975.68,941202.18,17457860.13,17875246.75,16334422.03,335462.27,1531139.12,987450.53,793212.33,113147.42,2462009.68,1988052.02,670772.29,346977.41,709780.85,466336.42,228515.90,193815.05,767965.79,685521.35,685521.35,685521.35,701170.21,494690.59,235810.25,235810.25,304483.25,110668.20,0,472348.04,106256.40,0.0
4,收到的其他与经营活动有关的现金,120357252.93,78291574.49,46715763.07,117922097.17,50812549.69,27004828.38,14744769.54,91448967.99,60152148.57,26629250.67,9804209.38,66544357.72,58270506.52,18295587.37,7630230.42,48923159.18,35875291.44,8980492.59,4916724.73,53865104.88,42946615.12,34686192.17,17869994.50,51000699.22,37524274.05,15169758.35,5524364.21,40667788.42,30489126.41,39114506.86,10487311.09,42203560.69,26462093.67,9401180.64,970862.82,6765671.76,2319172.01,1454155.98,1128463.12,23555823.76,12292771.52,1015866.66,845377.61,5324997.19,3244156.43,1315323.74,716501.01,12895799.32,537898.42,16559.20,20518.82,2971925.58,221622.88,0,9162592.82,3343213.92,0.0
5,经营活动现金流入小计,2072745602.69,1383391516.49,688795965.82,3338590942.25,2232932209.65,1345725282.11,689979736.71,2107777796.94,1164184543.17,685082463.32,312002253.19,1372983267.69,903472232.63,540676197.91,240866462.48,1373902757.18,682912219.96,346453625.14,148130752.22,1107396363.32,706224427.75,440506305.95,198945836.56,968692838.20,496594094.84,285425468.94,111810721.90,714887158.71,406864556.45,304237808.05,109087100.14,526982851.13,287253310.02,175820000.99,60140364.53,302336141.20,145793672.31,85943596.86,36939041.93,324496514.07,211454374.33,137310205.67,63412853.93,220760601.55,130020245.34,83519670.31,14271837.41,161538682.71,98349655.27,72456778.45,12870615.19,144077840.15,81810287.76,0,99611372.23,65066909.92,0.0
6,购买商品、接受劳务支付的现金,886398588.20,630820273.17,295227079.97,1662419503.72,1263213780.60,739646868.57,390534371.53,1365807800.76,893250290.89,532273392.23,236195105.34,896899310.09,679189203.09,416135951.98,226240996.28,885080216.79,525929949.23,301169746.85,150716604.45,778958164.25,522296124.49,316008418.23,159435128.37,621077603.57,407132518.39,278764953.11,123425941.72,437103109.59,284885365.59,199746685.80,95184069.30,387585250.29,276015098.96,162336207.89,86419121.63,240154212.34,159731713.46,97887031.47,34266315.82,149408453.96,124622986.49,99233287.64,42252139.02,157365924.36,126388837.53,65644159.03,33298785.69,88917707.94,69896553.03,45797523.97,25181269.72,70452265.41,46651973.54,0,68875722.01,43454978.29,0.0
7,支付给职工以及为职工支付的现金,820053734.08,559438764.40,306324631.54,1034836278.58,767733758.33,506048310.93,262287879.20,438890437.96,228454333.42,157832412.70,92744307.94,261938222.13,200348678.36,140645447.93,83490667.86,188478589.54,140538776.46,88299366.88,48808025.36,134473466.44,102626375.04,71640578.15,41575298.71,107832400.26,79557423.75,53364661.19,26762083.04,97142227.70,79345111.05,57507693.20,29017245.39,63810961.35,46710629.44,30220337.70,16330117.49,36436066.17,25962317.35,17424847.45,10791707.70,20878062.25,14507769.65,9153538.20,4116392.56,17703126.44,10868626.90,7691929.97,4311561.60,10049956.32,10706414.23,6628144.87,3902994.72,9103499.64,6818981.39,0,5118796.38,3767384.21,0.0
8,支付的各项税费,103273860.69,74027463.64,63540847.01,162326332.88,126788833.05,96356613.09,42442229.92,143826632.60,90327746.51,61349783.30,29853627.12,111091513.14,78653381.00,58591584.46,27425418.54,85301300.65,63245900.25,41066200.33,15661887.89,67869128.60,56691076.55,39453877.47,24263999.03,55989824.58,57445785.65,29143162.57,15125975.79,55862129.95,47976164.90,24646477.88,13860182.82,38953670.28,29765430.81,23757709.17,18788864.82,28508846.47,20593086.48,14583945.25,10051447.57,22472760.26,17700476.62,10697207.64,7499149.75,27114381.05,22500223.93,11422299.51,5806241.81,15770129.68,11757540.17,4257829.83,3591498.19,11635491.44,6927632.13,0,7080597.32,2239221.65,0.0
