,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,653584837.28,422226114.11,186974572.40,818590459.46,641437593.47,407246403.64,237317002.38,731426316.82,602428491.12,379640256.80,212120248.44,699311296.47,606764012.33,324702739.71,163248374.94,661539479.98,513534009.73,295629809.53,203076738.71,500240883.90,249084568.79,181860169.78,136616854.85,283380457.88,195744784.10,133165949.73,91293984.36,234444123.08,192803045.08,135546847.76,91475960.42,265173483.02,202376363.45,142532248.32,83227902.38,323554169.71,216666919.28,119869374.73,64429154.41,159484043.21,156301439.70,92364875.16,59788788.03,134502216.36,91628336.06,61486470.58,42545374.04,114369267.45,112068595.33,72194675.15,29732523.35,74020719.39,61967498.15,53686780.13,22129414.84,80772950.08,38896932.59,19793224.56,19960597.12,75330717.29,42491236.25,33608168.62,31211812.84,65029872.24,29080753.11,55587839.56,0.0
10,经营活动现金流出小计,2608967230.32,1842097551.59,1080735245.77,3093866152.94,2403320936.71,1696480877.09,987469075.59,2684424513.41,2003039798.31,1371753775.85,784765017.80,2428977174.83,1874798343.26,1231763527.74,659525869.42,2039396009.43,1478019376.86,983299779.23,533448215.10,1428974375.11,988691492.06,692495293.65,378214095.50,1117767379.04,806975513.88,553235770.33,283804611.70,968459039.19,699210161.62,490380758.14,291778916.56,918802080.13,651889815.18,422776986.44,237295248.31,1019061939.58,766479525.37,462297603.88,227596867.21,752573340.29,558163603.68,340250826.33,199719152.35,657396558.50,440340430.60,302878522.83,170377599.90,583074092.22,412597351.25,256374694.67,108395752.56,364770784.33,255924905.70,187271726.48,88668895.29,301956450.88,190481087.38,125851497.20,76062544.12,311398303.95,233702340.36,145000040.65,93814839.73,234456700.93,99658912.64,223029555.91,0.0
11,经营活动产生的现金流量净额,-66983863.52,-419293525.51,-624887547.82,937082661.39,-103273490.69,-351158363.83,-530144977.61,804877031.49,-58716588.97,-242625565.82,-414015505.32,439910131.33,-321794607.09,-350939651.05,-334150546.16,991663412.65,311104043.25,198375936.16,-7639580.99,613534744.47,-122082838.48,-198436410.04,-208253688.67,397944297.63,-79477450.49,-126881538.18,-139792054.16,339069106.61,-91607119.24,-137541928.04,-135299145.86,196093965.98,-130490127.75,-129466810.94,-109658133.19,173386671.93,-151947169.75,-105345220.56,-103516692.94,112881785.64,-128201701.88,-106478921.29,-98502225.89,144173040.61,-30262690.31,-67626056.16,-71063170.37,156612388.55,-24408994.11,-51700215.71,-55230963.34,64632257.97,-4880340.06,-32246349.04,-31916062.63,51084758.90,-16317123.45,-20004008.18,-26745646.16,-6565558.61,-62224859.24,-54607596.51,-56127635.69,23986960.24,-16831339.95,38019284.26,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,6076810212.02,3618318782.88,2113560639.28,7167115008.87,5487558726.99,4481895257.08,2950371027.02,6193067798.90,5312111887.24,3243907059.41,1545096028.76,5397899138.11,4392246516.88,3060914452.46,1744850008.59,3944345853.03,3147736541.85,2135080657.34,1022473318.80,2597846021.29,2025109621.38,1477398478.14,578455286.98,2541811457.12,2087302513.74,1389591012.34,617585911.76,1514148156.44,1133446477.10,696225351.68,493052498.38,1681457593.02,1309673903.85,1237682677.00,909382608.29,179574721.89,125393747.50,119216584.53,86312452.92,575607969.17,485734495.03,437604823.82,205060220.43,479049803.42,236309986.87,50253876.43,13882556.95,175128070.40,132857305.41,112663397.28,5351049.19,82974287.32,67716042.75,53299745.29,11196050.00,57894680.84,32775337.05,24575337.05,21553989.05,116725398.62,95623180.30,77161081.78,5000000.00,6210035.34,625221.87,1195753.34,0.0
14,取得投资收益所收到的现金,128931716.82,10344881.53,3820220.31,58233825.46,53407677.80,12988718.57,184409.93,94571926.75,58320871.50,27647674.79,1493864.69,32224935.97,26932451.10,22353167.88,-144525.73,76610576.37,19509786.91,19575597.79,279911.27,77137580.48,43594667.20,39994667.20,0,29883238.71,26054455.20,2524757.20,0,14945813.75,12336036.80,12336036.80,0,2272566.32,2230000.00,1680000.00,0,6028569.86,5201748.43,2100000.00,0,4319252.33,19255310.27,13366326.57,8889581.05,13593313.18,35648021.79,33915671.28,13374512.89,55647165.57,50273305.36,37408792.61,6886256.74,25385655.98,3801871.88,2775720.26,1156014.00,2103825.68,1320225.57,1199029.06,1115944.93,1875368.00,1578195.51,1341383.57,338250.00,819459.99,106584.95,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,309179.78,254889.44,184000.00,816843.70,16420.00,15920.00,3600.00,1726290.37,210070.00,43850.00,29200.00,151310.49,120877.85,80575.76,54350.00,916757.67,1160294.18,529736.27,244668.36,22888.99,1006214.75,135017.90,4870.00,371122.85,233742.85,150657.75,1102264.07,824243.97,124357.82,45000.00,0,460410.13,245060.00,100060.00,-1005415.30,35357323.54,4591786.02,4535193.46,4535193.46,4590296.34,4399571.65,2066320.00,85800.00,1250295.39,231763.00,41750.00,16000.00,344811.56,93536.10,67456.10,55089.48,337694.11,163227.15,10302.50,0,1786894.04,1692793.00,1690793.00,1375141.00,13657679.20,824950.40,827452.50,19000.00,14451.63,1300.00,516927.46,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,112639016.29,0,0,0,0,0,0,0,4606857.82,4606857.82,4606857.82,0,0,0,0,0,0,0,0,460.00,0,0,0,0,0,2647643.16,2647643.16,2647643.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,308000.00,308000.00,0,25341113.87,26770529.45,4000000.00,0,5031582.19,0,0,0,5001917.00,0,0,0,2400000.00,0,0,0,15461731.96,0,0,0,1500000.00,5770708.90,4170708.90,30200.00,0,0,0,0,0,0,0,0,30000000.00,0,0,0,4800000.00,4800000.00,0,0,0,0,0,50000.00,12600000.00,12000000.00,12000000.00,12000000.00,20000000.00,2305.06,0,0,0,-231750.00,125750.00,1148300.00,1725939.58,1725939.58,3885604.75,0.0
18,投资活动现金流入小计,6206051108.62,3628918553.85,2117564859.59,7226165678.03,5541290824.79,4495207895.65,2950559036.95,6427346146.18,5397413358.19,3275598584.20,1546619093.45,5435306966.76,4419299845.83,3083348196.10,1744759832.86,4031481961.89,3173013480.76,2159792849.22,1022997898.43,2677406490.76,2069710503.33,1517528163.24,578460156.98,2587527550.64,2113590711.79,1392266427.29,618688635.83,1531418214.16,1151677580.62,712777097.38,493082698.38,1684190569.47,1314796607.01,1242110380.16,911024836.15,220960615.29,135187281.95,125851777.99,90847646.38,614517517.84,509389376.95,453037470.39,214035601.48,498693411.99,276989771.66,84211297.71,27273069.84,231120047.53,183224146.87,150139645.99,12342395.41,121297637.41,83681141.78,68085768.05,24352064.00,81785400.56,35790660.68,27465159.11,24045074.98,132258445.82,97794576.21,79455667.85,6505550.00,8769886.54,2459046.40,5598285.55,0.0
