,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1833392521.22,1262846881.42,486469151.12,2129372026.72,1455530829.92,942893572.30,462119593.45,1676791894.47,1184305424.03,761065325.54,402138271.56,1669897193.56,1218036935.12,773417518.13,390998995.34,1396244857.24,1027963318.76,672100728.41,347413683.11,1372167567.90,994055412.59,658347285.46,357498731.52,1265272869.03,924155588.78,593120440.52,316532433.20,1192664552.22,867362074.74,531552910.52,260837689.75,994297488.51,684312039.44,424472704.43,211059858.24,885180669.03,648083724.68,359837525.00,168209339.08,727947321.13,514203881.46,309016023.88,145288789.11,555783794.72,396656508.25,262942055.50,113665639.19,451342188.35,324210714.41,204632075.53,99633314.06,382326676.04,269329864.25,168987104.16,79817743.55,338913096.74,230796740.70,145316534.80,66682717.67,279683483.78,194370036.98,128844200.73,263891810.76,212288629.52,0.0
3,收到的税费返还,3058918.05,1349686.70,978705.11,1882227.19,2008743.62,1520101.77,2484.71,4134927.07,3979067.94,3313904.18,2392398.23,5348523.46,2560775.52,2560775.52,2544461.61,3684426.01,2559426.01,2559426.01,470612.87,5284436.34,2678428.57,1372867.90,902264.98,6651809.60,3216937.62,524843.54,524843.54,7387352.94,4185984.56,834477.00,834477.00,6998377.17,5007356.83,1667524.59,0,7448438.97,2983767.40,1100119.84,983686.45,5938892.24,2878153.51,2515084.08,671602.81,2500620.39,0,0,54674.00,1108000.00,183360.18,183360.18,14114.87,177196.56,130578.80,109120.92,0,183618.46,126205.52,124280.91,32747.49,29495.73,0,0,2745539.23,3864900.00,0.0
4,收到的其他与经营活动有关的现金,29122739.13,20313417.44,9850943.86,27081333.54,18705201.96,9227410.92,4120486.15,33930289.70,24810600.96,10170052.60,1372884.23,30736303.39,23591941.96,16902477.86,20486994.10,18973301.70,13185279.37,7531802.02,1100935.38,32284695.87,12732137.82,9758486.15,2763106.74,28432318.23,17767317.54,9416208.88,3780193.74,36895896.13,19454461.64,11921301.59,6160095.46,28089034.64,24095683.78,12713113.67,12249832.71,44486830.44,27333918.37,20863442.19,22434389.71,22786635.05,13678121.55,9923124.88,3994650.77,15831386.99,10433381.93,7852154.21,4541202.65,11235821.60,11317788.90,5054039.19,3493284.33,4769022.73,6696580.02,2752813.97,1513075.87,7007325.33,8015204.74,2914113.17,763372.42,8272997.08,4906398.84,2500432.15,1896305.96,5389863.33,0.0
5,经营活动现金流入小计,1865574178.40,1284509985.56,497298800.09,2158335587.45,1476244775.50,953641084.99,466242564.31,1714857111.24,1213095092.93,774549282.32,405903554.02,1705982020.41,1244189652.60,792880771.51,414030451.05,1418902584.95,1043708024.14,682191956.44,348985231.36,1409736700.11,1009465978.98,669478639.51,361164103.24,1300356996.86,945139843.94,603061492.94,320837470.48,1236947801.29,891002520.94,544308689.11,267832262.21,1029384900.32,713415080.05,438853342.69,223309690.95,937115938.44,678401410.45,381801087.03,191627415.24,756672848.42,530760156.52,321454232.84,149955042.69,574115802.10,407089890.18,270794209.71,118261515.84,463686009.95,335711863.49,209869474.90,103140713.26,387272895.33,276157023.07,171849039.05,81330819.42,346104040.53,238938150.96,148354928.88,67478837.58,287985976.59,199276435.82,131344632.88,268533655.95,221543392.85,0.0
6,购买商品、接受劳务支付的现金,991740099.53,803556401.02,327113784.82,1388747518.10,976136461.37,646404134.82,338557058.64,1074049433.27,789234652.15,500978964.97,245070331.84,932557300.80,763181644.60,509780717.46,344584478.25,800968832.43,568790852.43,382884540.97,183844491.89,743604399.37,557484580.81,376890867.08,218479259.78,677703982.88,497906000.10,311287922.67,222679091.72,647903413.79,545160600.07,260979714.34,172263704.03,505459402.90,384844543.10,215083390.46,105546183.94,414616888.78,305705520.57,183198541.87,85237596.33,298032252.42,213721066.81,122876564.63,71211909.62,206196091.08,158862695.53,111336010.28,56882868.89,174376734.59,133506484.92,83938996.27,46608529.42,144267356.37,109527379.42,68501579.79,35484843.63,129476442.53,90628344.91,53065319.13,21218940.65,119768364.35,81005391.74,55406816.68,90699005.04,78799368.16,0.0
7,支付给职工以及为职工支付的现金,245876802.63,173503603.18,89282334.30,271403301.83,191869156.44,130464465.55,58944983.09,218643198.98,174135347.66,119699311.01,52182373.10,186501279.41,145044384.03,95426496.24,48123560.27,162500083.91,119528821.26,85381249.01,40078290.57,171630308.88,124984857.70,88811202.02,37941335.59,143809910.66,103214527.98,70115257.65,30421711.19,124642381.82,92962905.99,60436826.96,28042709.60,96212020.81,78807988.90,55694530.13,27636404.37,87851669.53,67305689.28,46656697.79,28089771.69,75714649.34,51809146.38,36397266.72,16887054.35,74790238.26,56007083.06,37761782.05,16105466.79,58916496.44,37991387.51,25033288.23,12626880.00,41991669.59,28088924.23,18824668.14,9427999.62,36642950.71,26609693.45,18003851.46,9739398.53,29973023.21,22053286.57,14326599.24,28085528.66,21887799.66,0.0
8,支付的各项税费,147954366.39,108075524.62,51111030.75,139861288.82,110040318.37,72770015.41,34275212.71,122184987.79,90990292.29,63753672.86,27766662.54,157842229.88,116212371.65,77952102.49,11357549.45,119761025.01,95144694.94,59358213.79,33936460.01,152777184.90,122329198.06,88267311.82,43265657.18,132325581.17,101408747.47,71223046.42,29735006.38,155392352.45,118540558.38,87368102.74,29560956.49,109576376.39,90126979.82,70492291.97,23426599.88,97142670.07,74568875.96,51294121.19,23063562.89,89116009.93,63832694.45,35645839.48,15525189.46,90099567.09,64576107.24,45067314.89,18957948.12,54542545.89,42791580.23,27778635.76,11847588.46,53755058.53,37084807.74,23674493.94,10087153.57,47349051.39,33722651.23,22020008.71,9237210.05,36967985.29,28527092.65,18756416.50,34776395.46,36875848.61,0.0
