,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,7119056890.18,3134671996.47,1445121628.37,1924919720.53,1662357257.74,1363258575.06,1050371567.07,1964480651.13,1801020406.13,1266083904.08,977051060.05,2912572598.38,1069101014.24,491959378.16,609459891.60,2698097831.89,1455240340.72,792325954.69,264755070.57,1595382111.26,1179469282.84,880808505.56,592348055.49,1800314137.21,900053157.35,581491755.25,378542416.31,1689967453.97,831381094.02,571143079.04,467303947.72,1448123900.00,800243464.56,598849654.70,372237278.97,521440744.11,316907057.86,235417531.18,175054788.77,357662407.02,279294382.25,84162849.27,47259563.29,212892393.60,90488902.02,76581940.77,39066746.09,130110948.39,83457721.51,68116376.00,69385268.89,138435936.74,90402396.56,0,143550722.44,108218088.95,0.0
10,经营活动现金流出小计,23170613547.09,14345892632.55,6996407476.43,22496693935.87,18844754471.80,13334660281.55,6221858694.72,21151238305.30,15764525024.21,10264474417.14,5517260320.30,19784738814.04,13817537115.94,8466806394.72,4430679545.43,19828342952.15,14079404100.01,8909413768.74,3726761779.27,17261497755.27,13264150992.95,8461168000.66,4299721305.98,17087472915.20,12105266713.03,7787051679.92,3917585035.73,14989336292.90,10961390599.35,6407805660.70,3118461319.83,12111139400.00,8239162535.93,4710268704.67,2017444551.13,7978942869.37,5036716930.60,3119541653.90,1481004924.86,4657678946.54,3427001266.77,1842648324.16,699201655.54,2667963465.83,1954536653.65,1137467506.25,524225638.23,1696472747.92,1112181513.03,637391919.41,368421211.94,1186643487.03,938894314.99,0,1133538297.46,724945259.73,0.0
11,经营活动产生的现金流量净额,44936722.44,33655302.77,-197189325.47,1330734874.23,144860430.88,-410038711.41,-501378763.19,911791580.31,202042662.60,-449790420.81,-381646884.97,1690945009.59,560655535.00,636400585.32,79484526.44,734968815.16,550826248.90,265140363.00,273962412.04,593959443.47,-14023513.32,87898600.26,-82987333.02,-57277273.96,2202978.69,5601620.45,-54012739.26,259921934.93,41539692.74,45790327.83,-3771870.45,315452111.86,403635363.60,205495947.23,53389578.94,-92141322.76,-62433505.02,-87029837.29,-56759466.77,-222721303.92,-150964766.99,-68895462.14,-78835388.07,133159865.84,114864986.57,75013271.34,-14886628.71,-36754821.16,-39538470.71,-40773181.21,-47167510.77,24812507.89,18388632.36,17704328.80,33055680.22,-19469799.29,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,8180000.00,8180000.00,4580000.00,0,0,0,0,0,0,0,0,1168848.50,0,0,0,620000.00,0,0,0,8230000.00,0,0,0,666000.00,0,0,0,10100000.00,0,0.00,0,4580000.00,0,0,0,19600000.00,0,0,0,1263085.00,1263085.00,0,0,0,0,0,0,0,0,0,0,1050000.00,750000.00,0,441651.09,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,6281186.84,0,0,0,9661000.00,4830500.00,4830500.00,0,0,0,0,0,1953460.05,549439.60,0,0,823526.65,0,0,0,3891600.00,0,0.00,0,34529388.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20060.00,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,7453352.36,4268774.10,4167910.10,4705793.57,4326975.59,411274.79,62918.00,34121654.59,18207903.88,17972705.39,4320874.74,22981941.25,4364930.74,3293906.42,3310242.74,77361292.04,11192062.53,7954385.60,3252702.97,64763985.51,20701837.22,15867358.92,0,47161239.00,10124488.45,6847933.85,3005666.58,26581550.72,7928748.43,1467470.46,601839.75,21854761.29,4326921.29,2773751.54,384311.63,14108264.99,3420884.69,907140.70,189847.74,8993475.64,3203776.38,2561247.67,963239.27,8244493.53,1369732.60,1983016.80,215295.20,1983566.74,595290.24,269413.44,125018.88,3389269.05,578426.45,0,743300.25,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,1953759.92,0,0,0,59291794.09,0,0,0,23913185.05,0,0,0,27673765.71,11907605.83,11886605.83,9000000.00,197797988.35,31176357.22,14000000.00,9811805.46,0,0,0,0,1127067.96,18259600.00,0.00,0,11508744.69,0,0,0,3312164.45,0,0,0,0,0,0,0,0,0,0,0,0,0,8644.40,0,1100311.94,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,5777184.00,0,0,0,9090439.07,4750479.99,4750479.99,0,14254656.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,14511244.98,0,0,0,0,0,0,0,0,0,61852.32,0,0,0,0,876204.34,3183523.61,0.0
18,投资活动现金流入小计,15633352.36,12448774.10,8747910.10,6659553.49,4326975.59,411274.79,62918.00,105471819.52,18207903.88,17972705.39,4320874.74,66815413.87,13945910.73,12874886.41,3310242.74,119909714.11,23099668.36,19840991.43,12252702.97,272745433.91,52427634.04,29867358.92,9811805.46,48650765.65,10124488.45,6847933.85,3005666.58,41700218.68,26188348.43,1467470.46,601839.75,72472894.21,4326921.29,2773751.54,384311.63,37020429.44,3420884.69,907140.70,189847.74,24767805.62,4466861.38,2561247.67,963239.27,8244493.53,1369732.60,1983016.80,215295.20,1983566.74,595290.24,339910.16,125018.88,5559640.99,1328426.45,0,2061155.68,3183523.61,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,2209455375.14,901680214.64,403836690.66,3154972126.66,2001052686.40,1120335369.59,329661242.88,4127794754.54,2588217590.82,1117635170.25,599658865.12,2109187286.31,726382701.50,551725598.97,170836960.11,940963114.10,276812685.46,189013824.19,106031652.14,1466654263.56,625053224.52,354622624.08,143247158.34,1227764255.11,753049675.60,491004042.94,297173637.06,936610922.41,390226814.04,278534213.09,53427424.51,261181714.67,91637217.46,72485864.37,37381162.86,293713190.86,164551813.59,124225528.80,76354885.00,342982062.61,224956684.08,132764908.22,34408536.95,164202473.77,128149534.17,99721708.26,22167834.04,109877677.16,45463624.47,37525038.33,3834965.95,31509591.60,4802768.36,0,54863302.25,10402300.91,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,146000000.00,0,0,0,22735100.00,74000000.00,14000000.00,0,2075044.00,594121900.00,0,0,33140000.00,115026099.28,81372341.85,0,42610000.00,0,0,0,25542900.00,0,0.00,300000.00,40660714.29,3825000.00,0,0,4320000.00,8843000.00,13850000.00,10800000.00,35936477.20,60377500.00,23377500.00,4740000.00,4342795.00,10000000.00,10000000.00,0,0,0,0,0,390000.00,7590000.00,0,150000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,11400000.00,0,0,0,0,0,0,0,598138664.48,0,0,0,176068031.68,0,0,0,0,0,0,0,104993600.00,104993600.00,0.00,0,0,0,0,0,6944385.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6406093.18,0,0,802427.16,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,4982.57,0,0,0,444523.78,444523.78,444523.78,2401300.00,1129856.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11624.00,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,2209455375.14,901680214.64,403836690.66,3154972126.66,2001052686.40,1120335369.59,329661242.88,4285199737.11,2588217590.82,1117635170.25,599658865.12,2132366910.09,800827225.28,566170122.75,173238260.11,1542306678.81,870934585.46,189013824.19,106031652.14,1675862295.24,740079323.80,435994965.93,143247158.34,1270374255.11,753049675.60,491004042.94,297173637.06,1067147422.41,495220414.04,278534213.09,53727424.51,301842428.96,95462217.46,72485864.37,37381162.86,304977576.67,173394813.59,138075528.80,87154885.00,378918539.81,285334184.08,156142408.22,39148536.95,168545268.77,138149534.17,109721708.26,22167834.04,109877677.16,45463624.47,37536662.33,3834965.95,38305684.78,12392768.36,0,55815729.41,10402300.91,0.0
24,投资活动产生的现金流量净额,-2193822022.78,-889231440.54,-395088780.56,-3148312573.17,-1996725710.81,-1119924094.80,-329598324.88,-4179727917.59,-2570009686.94,-1099662464.86,-595337990.38,-2065551496.22,-786881314.55,-553295236.34,-169928017.37,-1422396964.70,-847834917.10,-169172832.76,-93778949.17,-1403116861.33,-687651689.76,-406127607.01,-133435352.88,-1221723489.46,-742925187.15,-484156109.09,-294167970.48,-1025447203.73,-469032065.61,-277066742.63,-53125584.76,-229369534.75,-91135296.17,-69712112.83,-36996851.23,-267957147.23,-169973928.90,-137168388.10,-86965037.26,-354150734.19,-280867322.70,-153581160.55,-38185297.68,-160300775.24,-136779801.57,-107738691.46,-21952538.84,-107894110.42,-44868334.23,-37196752.17,-3709947.07,-32746043.79,-11064341.91,0,-53754573.73,-7218777.30,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,1085628065.06,1046013490.13,0,83719218.00,2243235.00,1800000.00,0,145347919.00,132515400.00,30000000.00,0,1692015874.83,13547400.00,13547400.00,0,1243043987.03,65728900.00,60025690.00,7000000.00,1015586600.00,1011532900.00,19030000.00,0,239953000.00,14203000.00,2000000.00,543125000.00,73396653.53,34494297.79,19584297.79,0,40887000.00,27432000.00,18980000.00,0,498013276.00,469201276.00,457901276.00,447741276.00,131768613.18,107141678.70,60249000.94,19240000.00,11440000.00,9401841.00,8501841.00,0,200017400.00,193338282.11,450000.00,450000.00,630000.00,300000.00,0,23290000.00,5548674.20,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,10835000.00,0,0,0,42832519.00,0,0,0,30837400.00,0,13547400.00,0,66681540.00,0,0,0,0,0,0,0,239953000.00,0,0,0,0,0,0,0,0,0,0,0,60072000.00,0,19960000.00,0,131768613.18,0,60249000.94,0,0,0,8501841.00,0,950000.00,0,0,0,630000.00,0,0,0,0,0.0
28,取得借款收到的现金,5319626388.29,3502458388.29,2117008388.29,6619480189.42,5435780189.42,4436898189.42,2255188460.42,4899591022.17,4280041022.17,3141341022.17,1883200000.00,2542100000.00,2207333174.90,1473300000.00,944200000.00,2466447600.00,1652383600.00,1095723600.00,490340000.00,2302838302.00,1881040000.00,1730080000.00,1125480000.00,3185117200.00,1922190000.00,1513880000.00,694200000.00,1652060000.00,1091010000.00,754800000.00,224750000.00,1010180000.00,619110000.00,451510000.00,293000000.00,710100000.00,514100000.00,402100000.00,293600000.00,725274009.52,636627892.70,354577884.09,282500000.00,327000000.00,257000000.00,225000000.00,185000000.00,211510000.00,189150000.00,131950000.00,62650000.00,131450000.00,66450000.00,0,112950000.00,83000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,530000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543125000.00,543125000.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,780000000.00,550000000.00,290000000.00,394102205.41,300000000.00,300000000.00,0,171153611.60,0,0,0,240225613.46,147696987.81,147696987.81,0,136579488.88,124344000.00,3344000.00,0,6114000.00,0,0,0,85640000.00,0,0,0,0,0,0.00,0,0,0,0,0,0,2382724.00,2382724.00,2382724.00,0,0,0,0,1841.00,0,0,0,0,140000.00,1195376.71,0,9767000.00,9533356.43,0,3585313.00,4320000.00,0.0
31,筹资活动现金流入小计,7185254453.35,5098471878.42,2407008388.29,7097301612.83,5738023424.42,4738698189.42,2255188460.42,5746092552.77,4412556422.17,3171341022.17,1883200000.00,4474341488.29,2368577562.71,1634544387.81,944200000.00,3846071075.91,1842456500.00,1159093290.00,497340000.00,3324538902.00,2892572900.00,1749110000.00,1125480000.00,3510710200.00,2479518000.00,2059005000.00,1237325000.00,1725456653.53,1125504297.79,774384297.79,224750000.00,1051067000.00,646542000.00,470490000.00,293000000.00,1208113276.00,985684000.00,862384000.00,743724000.00,857042622.70,743769571.40,414826885.03,301740000.00,338441841.00,266401841.00,233501841.00,185000000.00,411527400.00,382628282.11,133595376.71,63100000.00,141847000.00,76283356.43,0,139825313.00,92868674.20,0.0
