,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,经营活动现金流出小计,247152682.34,178694294.08,94010985.45,386479912.49,249618824.83,174174823.94,98630021.52,320317258.72,195436886.65,124192465.66,56098733.99,191563320.95,125653178.94,94292575.13,53008697.13,169958127.08,112186372.39,82096576.14,44011050.81,216888741.86,167700969.95,117476857.87,54008121.15,144907670.10,117549574.37,71793701.90,42986490.09,170081800.74,109866595.48,77895500.89,49453370.34,120908397.75,86241111.43,54565864.47,25302609.48,73028681.01,57495003.68,37339820.08,20081997.87,63066832.61,44052008.33,26349524.65,66496544.19,47639218.22,0.0
11,经营活动产生的现金流量净额,145631404.18,72028208.73,17596256.35,44816785.80,34236801.37,32909417.17,-48119223.89,69851205.04,47318686.26,19999193.23,-15393169.68,98308601.42,2601150.02,-6152264.99,-13938514.68,10073220.70,10980733.05,3139172.86,-1475318.99,-15475731.75,-19106399.91,-17718570.00,-6755397.32,43031250.37,29559657.21,33691252.42,9012311.58,39728460.89,36437852.47,22108173.37,6124508.39,42062156.84,19103980.84,11760100.71,4652474.32,40788669.10,14658938.48,14357291.37,2871373.97,40539303.18,18668078.66,20412266.18,10259002.79,-2918217.18,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,273690000.00,255590000.00,96067025.70,545540000.00,439943916.72,354940432.88,179000000.00,390600000.00,0,0,0,50000.00,0,0,0,157500000.00,6500000.00,5000000.00,5000000.00,214200000.00,211200000.00,130200000.00,96100000.00,265100000.00,242182418.63,135000000.00,60000000.00,180000000.00,180780821.92,120000000.00,60000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,6586819.69,5903529.34,1122507.45,4842269.26,4211781.69,3205233.75,1117904.70,3612849.86,2062295.34,930301.37,0,3.84,0,0,0,22447521.77,176340.62,0,131609.59,2544612.35,3978094.54,2137686.32,1791268.51,2612068.20,2271834.51,1379671.23,643232.88,2469493.14,1688671.22,1532506.84,718890.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,317000.00,242000.00,20000.00,627342.55,39177.50,18377.50,0,487017.91,486337.91,386117.91,150000.00,621330.00,273600.00,273600.00,172000.00,189394.00,0,0,0,334151.00,334151.00,334151.00,334151.00,38883.93,0,0,0,961069.00,323337.00,255632.00,0,255.56,2000.00,2000.00,0,176317.78,173370.78,173370.78,0,20000.00,0,0,0,28065.21,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,11080466.82,0,0,0,771065.76,585296.98,401547.43,217797.88,298288.40,-1419509.48,0,0,0,0,0,0,0,0,0,0,70000000.00,70000000.00,70000000.00,70000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,280593819.69,261735529.34,97209533.15,551009611.81,444194875.91,358164044.13,180117904.70,405780334.59,2548633.25,1316419.28,150000.00,1442399.60,858896.98,675147.43,389797.88,180435204.17,5256831.14,5000000.00,5131609.59,217078763.35,215512245.54,132671837.32,98225419.51,267750952.13,244454253.14,136379671.23,60643232.88,253430562.14,252792830.14,191788138.84,130718890.41,255.56,2000.00,2000.00,0,176317.78,173370.78,173370.78,0,20000.00,0,0,0,28065.21,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,8764994.64,6434242.18,3147196.42,16365672.63,5894295.27,2412053.39,1095580.28,9620300.80,7892065.94,5541443.20,4190477.88,13057139.10,9896498.82,6619748.85,5101722.12,20802764.83,7605606.28,4035713.68,1957588.60,23564780.19,17797958.32,12239636.48,8820444.89,31357694.61,19313733.79,24150503.02,5388006.50,43582923.91,34970371.64,26764769.04,20147759.60,73408209.68,46671999.90,32807626.56,23176026.33,24142265.33,9081775.07,4420472.39,2448298.15,29314944.48,10205267.22,9491815.75,19780113.14,7795990.87,0.0
20,投资所支付的现金,153890000.00,108690000.00,83897000.00,661440000.00,533340000.00,443562362.40,197500000.00,485200000.00,2000000.00,0,0,44930000.00,15990000.00,0,0,152500000.00,1500000.00,1500000.00,1500000.00,139200000.00,139200000.00,121200000.00,119758341.10,285100000.00,264100000.00,158500000.00,60000000.00,180000000.00,120000000.00,120000000.00,60000000.00,130000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,71857037.00,0,0,0,0,0,0,0,4915710.46,3233754.42,3233754.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10165757.52,10165757.52,10165757.52,0,185000.00,0,0,1530828.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,162654994.64,115124242.18,87044196.42,677805672.63,539234295.27,445974415.79,198595580.28,494820300.80,9892065.94,5541443.20,4190477.88,129844176.10,25886498.82,6619748.85,5101722.12,183468522.35,19271363.80,15701471.20,3457588.60,167865490.65,160231712.74,136673390.90,130109614.17,316457694.61,283413733.79,182650503.02,65388006.50,223582923.91,154970371.64,146764769.04,80147759.60,203408209.68,46671999.90,32807626.56,23176026.33,24142265.33,9081775.07,4420472.39,2448298.15,29314944.48,10205267.22,9491815.75,19780113.14,7795990.87,0.0
