,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,2714698573.35,2599034928.16,1087563675.61,533146123.04,3466533158.28,2632527392.90,1802283276.59,2067143286.28,3342811509.53,2093873342.55,1550685383.93,1048424686.15,4537877351.34,3526902514.33,2905672260.64,2671852637.09,2406652038.28,1672505682.95,892799141.48,456695707.36,4444197214.30,2923858338.28,2285044203.24,963131317.03,5287597368.34,5509234674.56,2787908010.30,759366880.36,4586173977.94,4256600467.44,2113250058.90,1492734787.41,4544742536.76,3702019047.17,2557165739.17,1432169923.79,3610529518.06,2896155929.07,2162576190.92,1744981946.48,6997052605.60,4486592566.85,3716299692.59,3664620811.76,8302835504.60,10870471105.10,5384973729.37,5246345320.99,4669646927.50,4244028793.70,1446178074.51,4040262235.77,7505916457.46,6031010138.41,1333768066.21,4724755947.83,2596357961.68,0.0
10,经营活动现金流出小计,30923681272.39,23554570028.90,15564521673.97,8450373591.50,32779302023.48,23573372051.86,14949313002.08,8169195289.31,30531241058.31,22367935390.53,14155633014.44,7788338669.55,29350151815.94,20225376407.45,13333051836.73,7924816616.55,23166406990.73,18093910286.01,11600079729.18,5790144636.67,24269900546.99,17714767828.04,11704764561.54,5223491738.39,26011587469.52,20482664851.49,12745901102.63,5355628882.52,25535170785.42,19610015149.31,11936077295.55,5205809252.03,17268167465.26,13402021456.60,8562314847.89,4580757711.92,15246600421.29,12237048559.30,7869770767.02,4851171167.82,18144451854.76,11296530089.60,8239452148.56,6368392343.62,19824513197.71,19021431720.79,10278722254.56,8646291297.52,14695802576.52,11474754870.70,5736950595.75,6204607540.20,15372577296.46,11434828609.38,3036308786.35,7741362829.33,5651377571.17,0.0
11,经营活动产生的现金流量净额,6173031012.32,3981428642.74,1588955922.48,-435638090.46,5710153688.29,4337156470.26,1521610188.76,59320247.94,9610730397.08,8415268174.55,3227414820.00,793607251.16,2035925813.74,2751996575.04,1596285607.99,-1020803648.79,9667366614.38,6928192931.44,4587046780.33,1977930769.47,10208842469.03,7359847834.68,4919266095.06,2204687832.12,8612678117.08,5680289446.74,4355557638.88,1326767131.68,6541665712.26,5570213175.45,4484035721.64,1523237347.74,7236378852.50,5480406020.89,3225386223.63,1061266648.50,8219321840.23,5125453215.41,2840845978.13,1295865106.51,1234491353.17,2219912436.20,528170518.26,-1193266964.88,3178933809.83,1237828402.86,993340447.46,-1162104846.87,5084483172.01,3720945279.45,2206728200.33,270376054.23,4782549206.22,3186099689.54,752970239.58,1857831156.53,1805970017.32,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,623003996.05,480423729.36,292323807.68,297185415.35,4461896952.28,3430533797.11,3289642712.46,365325079.71,1306737703.20,1151893708.58,1208764012.54,36691172.20,474811040.37,54721858.04,17698423.44,8578821.81,717747045.21,50273416.53,45042945.30,0,25623260.84,0,0,0,1500000000.00,1500000000.00,0,0,27953862.20,25905138.38,25926055.64,25902196.89,71195571.40,7871594.48,7074128.39,2968952.20,21755414.96,5267903.09,11189500.00,4689500.00,785115374.92,792741393.48,826719816.79,730650000.00,145666294.06,140720006.80,127130934.41,344017.83,493535038.79,670875680.09,431723402.20,40137056.83,523994270.57,379431024.05,30975503.84,99292638.12,199270815.95,0.0
14,取得投资收益所收到的现金,1205472744.04,1159564978.78,58028402.72,11783702.14,1114347154.78,1005558910.44,110557194.03,89744259.71,3354373830.49,2663329612.99,2066910458.33,2020320330.00,317153817.37,458074939.00,34842441.23,378830.00,491929361.90,443502599.65,144492413.60,148830.00,213173196.55,170037205.46,5106593.20,2109937.43,660932125.59,657485100.30,77816151.20,6454329.06,208310984.16,202314800.57,64831560.90,6659721.45,171215441.27,163438330.15,119626042.59,3184017.41,173485126.09,130755668.28,50414869.27,10715695.99,150075100.26,89822520.10,54019454.17,5840146.51,144564448.56,113488985.57,59453766.85,13786156.98,158497495.49,180942046.76,143100806.42,49075032.43,253796083.46,258663192.20,10947067.01,47669593.46,32901500.01,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,157067498.48,158708878.55,65780802.16,40237071.21,105258739.14,68331419.88,16171579.42,6240612.67,227571742.00,269175786.12,185675599.80,97813188.83,1141978309.62,349928636.04,184221751.18,129952573.37,183277307.57,101715288.86,76121557.74,26515815.35,240519908.71,175506135.71,42854970.36,5388612.15,47074348.37,27823133.25,22100603.07,18328493.33,30655308.51,451435335.25,15722973.24,11410501.70,635054297.81,630216764.20,611344517.19,594174464.04,470756301.77,160538316.83,156398419.29,13689873.78,587346492.05,75013582.08,60994274.24,40421822.58,942658044.31,883371187.00,843075012.71,10252236.28,60230866.77,31542031.77,13855424.41,6777209.20,41890952.08,36995937.27,5673424.67,30310433.21,30177180.91,0.0
16,处置子公司及其他营业单位收到的现金净额,105672898.23,105672898.23,105672898.23,0,12655138564.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446280886.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642131.31,0,1845940.16,3897505.80,1017871.76,0,0,0,0,0,0,0,0,0,7318389.16,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,1382361945.19,50000.00,0,0,1250877.95,18097804.79,18097804.79,1204352.88,59001958.92,0,0,0,72097730.24,0,0,0,0,0,0,611800.57,114467812.03,15191541.99,15121953.37,15000000.00,0,0,0,0,0,0,0,0,19831798.36,19831798.36,19831798.36,0,7500000.00,0,0,0,0,453460.00,0,0,60766804.57,55434174.71,55736240.50,0,689800335.02,568370232.96,568380419.80,624193786.31,441785997.77,552342912.77,166127717.41,17461008.00,65158.30,0.0
18,投资活动现金流入小计,3473579081.99,1904420484.92,521805910.79,349206188.70,18337892288.86,4522521932.22,3434469290.70,462514304.97,4947685234.61,4084399107.69,3461350070.67,2154824691.03,2006040897.60,862725433.08,236762615.85,138910225.18,1392953714.68,595491305.04,265656916.64,27276445.92,2040065065.01,360734883.16,63083516.93,22498549.58,2208006473.96,2185308233.55,99916754.27,24782822.39,266920154.87,679655274.20,106480589.78,43972420.04,897297108.84,821358487.19,757876486.53,600327433.65,673496842.82,296561888.20,218644919.87,29095069.77,1524382907.39,961928461.46,942751416.96,776911969.09,1293655591.50,1193014354.08,1085395954.47,24382411.09,1402063736.07,1451729991.58,1157060052.83,720183084.77,1268785693.04,1227433066.29,213723712.93,194733672.79,262414655.17,0.0
