,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,857758461.00,454535577.00,252897206.00,397412582.00,476008452.00,515975861.00,293332168.00,143329395.00,313704091.00,453729152.00,250203361.00,228595605.00,278121330.00,444123165.00,229272504.00,121184641.00,283936067.00,428077242.00,246671064.00,125977551.00,453458669.00,478918352.00,286619589.00,130708859.00,555671899.00,551634946.00,352016595.00,184306846.00,710966364.00,462691689.00,254607072.00,140777625.00,607073733.00,118207780.00,237227329.00,142496818.00,378249972.00,347882236.00,204567924.00,38266197.00,433949767.00,468514535.00,144580431.00,297983492.00,487140345.00,298799729.00,182967643.00,78318184.00,272021144.00,231489113.00,114304304.00,60057987.71,253743832.00,307604289.86,120404106.00,178332984.00,84040795.00,106899959.58,0.0
10,经营活动现金流出小计,31245788525.00,22482792392.00,13437776754.00,7911280784.00,33003251801.00,20815505887.00,14401896336.00,7956363498.00,30963495820.00,24674100969.00,16133570140.00,7876749249.00,32785713828.00,28254462773.00,17544997544.00,9182694973.00,30239113643.00,21348915038.00,11107062924.00,4478721049.00,28068221125.00,19739881049.00,13311962466.00,6857338758.00,29392624196.00,17112407368.00,11162846943.00,4046507218.00,23842370463.00,18731706103.00,11795836529.00,5543501596.00,25059303793.00,16959053813.00,12191990970.00,5925360586.00,18885460033.00,14402419991.00,9361674210.00,2162301222.00,18314968319.00,8624748411.00,5516615529.00,1932612309.00,14643637812.00,9609140523.00,6542031423.00,2245019820.00,8189754276.00,4589573807.00,2623714227.00,911492157.01,8111797918.00,5408023384.93,2935980852.00,5122339294.00,2238892038.00,905084812.67,0.0
11,经营活动产生的现金流量净额,3874963709.00,1783992821.00,2746266658.00,1610538302.00,585408780.00,-416873780.00,124493033.00,-504333203.00,1431510448.00,525715921.00,-65175724.00,-877099335.00,2671923283.00,-108826354.00,-134694624.00,-1542543871.00,2430071361.00,205947094.00,172319751.00,195793657.00,1627449334.00,-1847828127.00,-1958354726.00,-2137836249.00,1653549182.00,700956746.00,677264680.00,-487796575.00,1436324531.00,139839090.00,-7639469.00,-491182566.00,-1156145789.00,-177724891.00,-304203280.00,-1106595029.00,1771565001.00,1212465927.00,1097232860.00,122205922.00,417237729.00,-202510266.00,-319885936.00,151308169.00,184720322.00,1051424993.00,640203985.00,-20175211.00,2658464781.00,2197228990.00,1772471384.00,597244945.37,1091303474.00,286464685.68,952456324.00,786160193.00,304565742.00,253093475.42,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,216672.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,2000000.00,8941740.00,8390438.00,0,106206430.00,225820447.00,225820447.00,195570447.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496678116.10,4300000.00,20150000.00,0,0,0.0
14,取得投资收益所收到的现金,557285.00,0,0,0,127780921.00,0,0,0,101661488.00,1021783.00,1021783.00,1021783.00,4448327.00,0,0,0,16103572.00,0,0,0,509130.00,5000000.00,0.00,0.00,184768654.00,3918000.00,3918000.00,0,82235262.00,60000000.00,30000000.00,0,150005818.00,0,0,0,268223583.00,0,0,0,65092122.00,1959000.00,1959000.00,0,499953078.00,8568401.00,8568401.00,0,65527103.00,0,0,0,85680401.00,0,0,8487486.00,29402799.00,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,18984046.00,15088338.00,280000.00,280000.00,65468997.00,29955668.00,24131173.00,9895.00,55407179.00,4470751.00,10205126.00,6879718.00,93319576.00,16659795.00,16656795.00,0,5608074.00,212269.00,212269.00,88700.00,49997176.00,0.00,0.00,0.00,749022.00,360690.00,360690.00,0,46461730.00,0,0,0,247984482.00,1342825.00,0,0,7326676.00,866210.00,858210.00,400605.00,64448.00,0,0,0,3826142.00,503161.00,500.00,0,18591682.00,12069888.00,12069888.00,3390469.84,67945811.00,221850.00,209350.00,6314178.00,179304.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,5952599.00,0,0,0,291736842.00,282546999.00,4914700.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,245245508.00,0,0,0,42290394.00,0,0,0,211473812.00,0,0,0,0,0,0,0,0,0,0,0,183933285.00,0,0,0,0,0,0,0,261905000.00,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,5791546383.00,5676620447.00,4581989965.00,3339048907.00,6675510927.00,10669397593.00,9344469748.00,4983570113.00,6848000786.00,2766885262.00,1991505593.00,1226336252.00,901038763.00,0,0,0,552829509.00,0,0,0,648024540.00,0.00,0.00,0.00,115000000.00,0,0,0,83929227.00,0,0,0,50000000.00,0,0,0,19546000.00,0,0,1587190.00,470164161.00,0,0,0,0,0,0,37885250.00,35363912.00,0,0,40766796.76,289037000.00,0,0,12000000.00,0,0,0.0
18,投资活动现金流入小计,5910688645.00,5691708785.00,4582269965.00,3339328907.00,6949828944.00,10763448264.00,9368600921.00,4983580008.00,7856247228.00,3259660142.00,2007647202.00,1247044626.00,1404759381.00,63032941.00,136029941.00,119373146.00,1343349705.00,53880937.00,70380937.00,53757368.00,1427274401.00,519868403.00,334306262.00,0.00,1444276105.00,4278690.00,4278690.00,0.00,670571381.00,68941740.00,38390438.00,0.00,1168195589.00,227163272.00,225820447.00,195570447.00,360796514.00,866210.00,858210.00,1987795.00,693788709.00,1959000.00,1959000.00,0,816108548.00,9071562.00,8568901.00,37885250.00,515460334.00,12069888.00,12069888.00,44157266.60,1124327878.00,496899966.10,4509350.00,48241257.00,29582103.00,0,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,2786118919.00,1598658379.00,843702930.00,392749329.00,3892277317.00,2499928422.00,1806573512.00,750806612.00,1375514790.00,853327374.00,507155723.00,203792594.00,1452029046.00,627952570.00,462690111.00,343817872.00,1287857926.00,425740249.00,188711612.00,122003604.00,1105601938.00,620458180.00,386774341.00,241766692.00,1791283877.00,917542598.00,670212566.00,398272529.00,1820520758.00,646649114.00,399071932.00,190740243.00,1126369355.00,607172487.00,266189021.00,126620447.00,1342459654.00,554609105.00,439474625.00,192295971.00,1729460086.00,865109592.00,589858190.00,247064807.00,1272774624.00,952560190.00,531293274.00,185561641.00,1657393244.00,669698175.00,455872868.00,217620547.75,1378810170.00,1255881117.84,710789900.00,1299531146.00,745309912.00,204378446.93,0.0
20,投资所支付的现金,294000000.00,605548760.00,170500000.00,0,0,1775281613.00,565528164.00,562123414.00,745707487.00,250774920.00,0,0,0,0,0,0,0,0,0,0,54400000.00,0.00,0.00,0.00,355068789.00,85723564.00,45093503.00,0,295440000.00,256000000.00,256000000.00,0,132000000.00,64000000.00,0,0,20000000.00,0,0,0,796212274.00,497058759.00,497058759.00,653285970.00,1398141553.00,391161134.00,277910335.00,853958000.00,593630338.00,469553116.00,187648116.00,51755000.00,208848527.00,438152271.14,158091000.00,298065374.00,166672256.00,110839900.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,666387808.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,83672234.00,0,0,0,0,0,0,0,18410785.00,0,0,0,0,0,0,0,101227654.00,0,0,0,0,0,0,0,84097787.00,0,0,0,47540095.00,0,0,76249597.00,84383299.00,0,0.0
22,支付的其他与投资活动有关的现金,5627508716.00,5126901992.00,4396106425.00,3028559413.00,6352000000.00,10684251644.00,9255380520.00,5059302603.00,6953524109.00,2694009909.00,1803989909.00,910289909.00,2282131966.00,771633308.00,632149535.00,279941334.00,679040004.00,0,0,0,835642006.00,0.00,0.00,0.00,285267724.00,41765775.00,41711283.00,0,510002716.00,200000000.00,30000000.00,0,0,0,0,0,186036875.00,0,0,4271185.00,0,28716020.00,23973351.00,12361161.00,158467978.00,67544722.00,32702565.00,11611380.00,0,42838467.00,0,3817492.24,285480570.00,45634781.79,0,1619527.00,856069054.00,135086.00,0.0
23,投资活动现金流出小计,9333630231.00,7956165141.00,6126340035.00,3675666642.00,11891037962.00,14959461679.00,11628387193.00,6413137626.00,9664746309.00,3798112203.00,2466405835.00,1114082503.00,4260774180.00,1496109478.00,1094839646.00,623759206.00,2271287476.00,483716649.00,188711612.00,165503604.00,2240812612.00,680458180.00,446774341.00,241766692.00,3562384602.00,1045031937.00,757017352.00,398272529.00,2969053428.00,1102649114.00,685071932.00,190740243.00,1573807632.00,671172487.00,266189021.00,126620447.00,1951021576.00,554609105.00,439474625.00,196567156.00,2692600269.00,1480756225.00,1216731159.00,912711938.00,2829384155.00,1411266046.00,841906174.00,1051131021.00,2335121369.00,1182089758.00,643520984.00,273193039.99,2253957877.00,1739668170.77,868880900.00,1675465644.00,1926021475.00,315353432.93,0.0
