,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,426316516.42,324128725.44,158142458.08,578396142.59,411758005.00,288024583.86,111055295.48,494307012.89,358006981.97,265081244.16,132726781.38,340813130.70,336398821.65,240574018.32,125623968.72,319145310.65,339341900.17,211894955.37,75375495.46,420551926.57,338894949.55,236877520.57,140838539.59,419986226.60,277501792.25,204333937.96,97418365.94,435531147.12,302142261.57,207261591.48,86384139.62,494440962.72,309462454.82,220560571.27,107795588.32,387426697.12,260982886.58,167745458.48,86369961.96,286094905.67,192765246.13,112168760.61,47119095.35,263880272.99,204720514.11,126774253.92,79469227.32,243199216.29,182735340.59,287579790.32,178523668.55,0.0
3,收到的税费返还,1365996.82,1365996.82,333987.19,390977.40,389911.33,359596.58,311155.69,1532393.92,1277652.95,1277652.95,555212.62,75088.69,75088.69,0,0,1976064.85,1976064.85,493395.82,285952.63,271142.79,22744.60,22436.80,22436.80,3051807.29,2656943.99,2379.60,2379.60,8724046.14,7599801.11,1869107.27,0,0,0,0,0,0,50463.95,0,0,0,0,0,0,682903.90,504987.03,373736.88,822770.00,1171863.65,789289.28,1432895.12,436900.74,0.0
4,收到的其他与经营活动有关的现金,110914769.72,28067271.08,43024497.87,46272725.70,38823086.18,32313277.48,5945267.76,102905954.14,30272035.36,27247033.59,4499533.96,93252052.52,53692171.67,33383709.10,8310655.41,73317425.60,39896129.33,25765631.06,13985045.48,103258640.73,36758778.94,23468061.48,13573523.49,57588662.39,38541876.27,33935180.13,9351671.43,86513562.63,69481086.26,58280079.05,10149330.01,96336659.12,31320572.97,29530015.52,7766633.96,47418875.01,21657855.08,15200590.89,10026527.88,28665229.78,16750319.05,11802819.65,5867042.72,39814105.82,41449200.89,35228837.93,7670464.08,37912615.27,20110655.15,10575188.94,10390053.33,0.0
5,经营活动现金流入小计,538597282.96,353561993.34,201500943.14,625059845.69,450971002.51,320697457.92,117311718.93,598745360.95,389556670.28,293605930.70,137781527.96,434140271.91,390166082.01,273957727.42,133934624.13,394438801.10,381214094.35,238153982.25,89646493.57,524081710.09,375676473.09,260368018.85,154434499.88,480626696.28,318700612.51,238271497.69,106772416.97,530768755.89,379223148.94,267410777.80,96533469.63,590777621.84,340783027.79,250090586.79,115562222.28,434845572.13,282691205.61,182946049.37,96396489.84,314760135.45,209515565.18,123971580.26,52986138.07,304377282.71,246674702.03,162376828.73,87962461.40,282283695.21,203635285.02,299587874.38,189350622.62,0.0
6,购买商品、接受劳务支付的现金,349394478.26,273736078.47,141182277.77,376358620.17,251763854.38,139933372.00,80111386.99,341972849.30,265694554.16,193345649.39,85764565.19,225428776.27,291337914.71,198234966.09,82512782.33,151194798.36,197273247.46,128253935.24,52931957.14,334576286.53,279576878.44,195119163.05,103375828.95,335084475.04,277496145.37,158160783.83,53773094.42,302666876.59,257174074.02,167026121.78,66423113.60,380622413.23,227282907.12,143721874.71,61217416.53,255842610.23,186261935.42,126332645.99,56552517.87,183322535.77,144958280.65,100169769.23,42521868.28,192190614.53,153846802.35,92008969.01,49245938.27,152639636.97,141122480.99,181731904.64,115437375.27,0.0
7,支付给职工以及为职工支付的现金,77498475.09,51940316.63,28866377.23,107248625.74,72465936.47,49002917.87,27297169.32,100288408.15,76229638.20,50928753.09,28427651.28,87916250.28,61504280.94,38745889.00,20766026.28,107699382.48,86608101.90,57366939.98,32073541.26,108373477.09,78644382.64,53167607.88,27922834.47,102873450.25,75250952.92,48656564.20,24192794.05,90492292.39,66905515.21,49479489.34,22941561.07,81384537.18,58076550.85,38657818.42,16838886.34,58359989.71,43006177.55,28806304.33,14442587.43,42452620.27,29541203.46,17597847.45,8837149.91,41406941.72,33837574.95,24008158.83,11389510.38,29220452.88,23306525.28,22391457.97,19130549.43,0.0
8,支付的各项税费,47823082.70,46238394.10,11751802.07,28658776.64,23407886.43,15098739.41,6228034.31,33829847.23,23870216.06,17802077.01,6525181.23,45684146.38,35252526.12,26896394.76,11924446.68,45140768.12,25997831.98,20451982.00,8672164.93,31575149.98,14552388.01,9242922.07,5017916.35,34912922.07,23003917.42,17775279.77,7306132.01,60402132.83,48092847.70,37128005.21,20483350.51,46013783.37,37567331.24,26513595.28,11781420.60,24242589.92,18103995.95,12664271.06,5786758.10,30042954.66,23587769.43,18809584.63,13953749.08,34946180.05,25423840.58,19134901.02,14287347.60,40975425.68,34195674.86,21599718.12,19905539.38,0.0
