,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,3419400201.44,2008406910.85,1254983524.16,439580176.63,2342915330.48,1351774459.39,636747348.95,341426180.68,2936604355.87,1902652471.57,998615482.86,430798724.93,2104170260.05,1434513815.59,759409605.31,289220462.37,2021459093.45,1445098731.68,929857136.06,343574653.07,2673281795.02,1998083015.59,1217255747.59,521502642.22,2829607699.59,1997420313.12,1244727741.73,552686081.78,2256510438.86,1621193745.76,943199829.67,424552292.34,1913568588.30,1315815451.79,841412703.78,334483186.70,2294334531.25,1741250906.02,899304526.99,210112124.69,1948397421.28,1516787868.63,921621908.80,251860446.79,1469499888.27,1087349604.04,589422083.21,150758550.88,860625252.51,615921772.25,310845888.04,78090308.93,564389944.15,362608477.53,184553885.20,79784171.20,469221665.37,325478087.84,208091244.26,77210038.90,428802432.35,326173102.21,150439102.00,54850923.75,357183748.03,268559302.71,141213071.57,217747861.63,0.0
3,收到的税费返还,59778915.84,37194745.74,16264121.96,1637430.59,52090813.73,27221853.67,5259218.61,32444.67,107016299.93,75292625.70,35389426.18,800100.00,92766947.51,50553709.69,19670199.10,159907.28,122608543.76,95271877.85,37523655.98,20020651.81,173365284.29,114692099.05,16830486.26,0,199498089.45,79675532.40,9054410.06,0,169272339.37,85336274.71,38724520.67,16085011.48,97727148.60,49762098.14,19640733.41,8485990.05,123298070.55,25857170.97,11190973.44,2975944.19,115896149.48,63909577.48,25501729.72,9082688.79,111610572.66,54905332.40,22278902.87,11184226.63,68323546.34,33869126.66,12635820.24,3562694.25,49217691.34,33428249.27,6992400.46,4758866.03,42279143.64,27875764.20,15505298.92,9208384.29,23983524.18,17948932.39,4364007.77,0,19860362.15,17778599.89,8297276.38,14211435.91,0.0
4,收到的其他与经营活动有关的现金,134827750.44,61815743.27,28330008.83,19573293.53,134346871.00,20096438.88,40802110.35,35305920.97,74267369.76,61266467.03,14012612.13,6300975.62,21803540.64,17283205.59,14427728.44,3205347.82,49229304.63,33651640.72,18814501.58,6909567.69,36555593.32,42115678.10,30822495.22,35166290.74,37268327.33,79080324.40,22213217.63,57802758.40,45932894.73,62674518.45,35220751.99,13372768.67,75937118.95,59818403.39,18285499.60,8872644.32,46229191.15,47668144.16,20135271.32,13136504.53,230623032.50,35193251.37,18883754.85,9633850.16,128919328.93,21570132.84,9562737.40,14342025.11,46470966.37,10715825.43,2495929.94,11076257.38,3238287.92,43745477.12,40958790.42,3744656.86,20805706.87,35688085.83,26813119.43,8803196.72,14220281.98,3306298.11,2026038.57,176386.83,1487032.55,582661.74,424856.57,4858244.21,0.0
5,经营活动现金流入小计,3614006867.72,2107417399.86,1299577654.95,460790900.75,2529353015.21,1399092751.94,682808677.91,376764546.32,3117888025.56,2039211564.30,1048017521.17,437899800.55,2218740748.20,1502350730.87,793507532.85,292585717.47,2193296941.84,1574022250.25,986195293.62,370504872.57,2883202672.63,2154890792.74,1264908729.07,556668932.96,3066374116.37,2156176169.92,1275995369.42,610488840.18,2471715672.96,1769204538.92,1017145102.33,454010072.49,2087232855.85,1425395953.32,879338936.79,351841821.07,2463861792.95,1814776221.15,930630771.75,226224573.41,2294916603.26,1615890697.48,966007393.37,270576985.74,1710029789.86,1163825069.28,621263723.48,176284802.62,975419765.22,660506724.34,325977638.22,92729260.56,616845923.41,439782203.92,232505076.08,88287694.09,532306515.88,389041937.87,250409662.61,95221619.91,467006238.51,347428332.71,156829148.34,55027310.58,378531142.73,286920564.34,149935204.52,236817541.75,0.0
6,购买商品、接受劳务支付的现金,1662363191.16,671131432.69,466404836.97,142794596.49,1157504550.90,580614464.48,174373791.63,155624721.86,1267298556.04,496815687.32,101648706.42,91808777.51,777608656.68,552863663.89,310016955.08,117967207.10,1105535897.02,818970730.11,511233818.24,187599775.88,1408506235.89,1071917473.22,691560783.13,233820767.16,1590199992.76,1204265617.31,666678509.57,271675611.97,1642177690.27,1275560525.67,734409981.87,316300236.97,1822621360.27,1326285929.42,875535949.41,403535048.19,1299794802.57,959944280.24,495428574.12,152767211.29,922607511.73,761046548.15,351049061.18,145474848.78,918275006.16,684929504.73,382998678.14,114019823.70,426027523.08,309223652.93,156889235.71,59336721.35,342759493.85,227891907.94,122491584.51,43429430.57,335033530.72,255578932.89,159592337.33,67636479.85,303649775.02,217449145.72,108482534.55,51989947.02,214077829.34,168409215.11,88070761.66,138051689.63,0.0
7,支付给职工以及为职工支付的现金,386317141.05,294798394.33,180914982.42,90607976.77,373694028.59,269334523.54,175988862.68,84975465.65,375048680.15,268515619.45,169846621.02,72190659.86,363228058.87,225543730.91,142556245.95,61917005.61,358652576.80,244327641.45,161008178.42,82522764.51,353943268.51,251652275.68,161162266.31,79558839.59,319662538.10,202510553.10,119435702.37,52196665.84,255516933.69,174571330.93,110849567.57,46252785.98,227138324.08,146700129.00,105436087.02,46075929.14,184698637.08,123182988.12,77053712.35,33853342.65,147394452.28,102166562.88,64471822.38,29089567.89,116067856.51,85507189.08,50257698.39,22693783.61,87835968.50,62384455.64,38597178.27,19148863.22,68239526.39,48514116.19,30457317.98,15558637.57,65901045.37,49788432.85,33047679.03,18558730.21,43839852.37,29008938.50,16954531.48,8413304.98,31698496.60,23367960.40,15304611.12,24755763.33,0.0
8,支付的各项税费,519066429.43,336688121.21,177064663.74,42148691.27,380956810.95,214660298.52,82449370.72,15662255.80,456360723.88,333270967.67,163933968.29,32995836.08,402133086.02,264509303.60,139321428.53,30939304.66,349609376.42,249360471.91,124687725.87,36204947.37,533527381.38,383146388.14,173223749.12,70408772.31,500494434.54,324868040.07,141171595.78,41843968.13,350465533.32,231318565.26,145909402.76,51151024.32,381313216.05,263538889.30,178535965.94,59196501.36,317182070.30,220647633.30,126939682.09,39629010.11,246510829.68,187381672.47,104322293.71,21203773.95,215086619.93,162221732.79,81011209.80,27819847.96,129670129.61,70271265.22,27808128.78,11634980.93,86409940.43,54187110.76,25946637.31,13352003.00,64246864.60,42654246.16,18500112.09,7478724.46,54830912.66,36790895.98,15504313.62,5785514.82,32207773.25,28994799.51,18624603.31,28508321.14,0.0
