,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,107462922.22,186508455.47,38413293.47,19426675.56,103406073.26,52737638.04,29698223.48,7958307.11,81068886.27,56240960.27,37323815.17,13025333.85,206585531.90,57070640.14,49968847.81,5598380.20,211179777.23,72882595.08,71272445.57,30259036.82,121252031.27,121429497.98,96130355.86,13334271.79,169321050.28,46446428.17,33265712.01,19268988.92,76342238.18,46193995.16,32693989.28,18167547.30,57223348.16,26929709.03,12331919.15,5373511.98,28544080.71,19092319.09,13287819.11,7351093.50,19128469.90,17284507.61,11630115.67,5513790.69,24566123.31,19973615.11,16190287.22,8361229.84,34960507.70,23700490.82,16671184.10,11182551.70,22436026.97,119377173.31,12317826.20,13729154.52,44741090.99,35995492.11,28301981.03,23314490.41,27688535.40,13733044.08,16334819.79,8766655.41,17193076.86,15540936.14,12731795.59,6745962.42,16484643.03,6933201.27,10811122.29,3562557.48,2840448.28,0.0
10,经营活动现金流出小计,2540045935.34,2057309197.80,1209858003.13,563173880.19,1961555475.68,1194396177.62,679811065.91,295912353.49,2030125398.07,1553250716.41,1198440560.48,669015160.20,2777465850.47,1867189361.10,1088437016.82,438094955.76,2223370620.61,2170910798.86,1485533756.98,705283721.39,2652332586.86,1781243841.46,1176051897.54,577510051.07,2012064701.15,1200583273.84,643500793.34,291623311.47,2168665149.71,1225990940.48,953893878.71,351593516.65,1766587679.20,1410868695.62,1071755904.87,436289656.85,1178921319.48,831771337.98,551485598.29,319572713.42,924247595.94,685847853.69,560061126.60,264888127.83,1085144978.64,832192564.87,645277617.83,179453889.83,1364857031.55,830960413.58,593148180.34,380565556.89,1076615706.40,410718588.31,139647335.58,54259906.24,272867357.18,183150281.68,132067241.78,69599963.18,216981696.82,150269544.04,115778881.11,55045944.24,235181143.10,148941704.39,115447961.46,47833686.39,216775022.24,97528940.58,213340287.05,110304817.01,83200573.37,0.0
11,经营活动产生的现金流量净额,25129682.97,-241027099.09,49312953.61,289133936.39,52271484.01,302138045.67,187204901.20,26143250.33,209093904.17,-200629796.24,-310508879.59,-382382127.13,-646705855.33,-998703674.69,-619250400.24,-145247151.98,346995665.07,-589533531.36,-747860112.04,-480050838.72,-400610973.10,-620484723.86,-241221030.83,-164736953.85,-68237165.48,-166306790.92,213505295.06,-2006733.80,-385693055.70,-472794240.92,-601367615.80,-184330772.57,-273374384.45,-646595959.00,-432419437.25,-160342379.14,88942416.08,-319322028.28,-277640319.82,-270900504.71,422056331.86,219179768.69,53364022.12,-41270409.46,149082679.89,-93273241.16,-36061042.68,-80507306.98,265380876.11,-95640511.56,-138473015.42,-97982298.21,208158428.29,71499119.52,-10449961.26,-20747109.71,15942208.06,35349431.97,20362333.21,3019917.54,52442389.90,3109601.91,-29997853.03,-33508604.61,-46540140.03,-59791871.76,-77742949.40,-26425634.29,138494475.51,49879173.11,17580156.32,22632823.22,86326919.84,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,184622392.46,0,0,0,86344015.21,11418059.22,0,0,38940780.20,0,0,0,38375215.74,0,0,0,90392962.88,0,0,0,158000000.00,0,0.00,0,3730460.50,0,0,0,4674030.00,0,0,0,162620027.53,130267136.40,179922374.52,122152835.74,259572547.26,163249482.59,131197996.53,33775517.55,395445438.51,362520842.72,179471073.27,416443144.89,59154590.15,50400433.00,50400433.00,0,86623873.54,1200220.81,1190961.80,0,204065086.28,130867139.67,26386616.51,4018536.62,95640006.34,29545636.85,29545636.85,2162680.00,211117242.78,130634595.41,91234595.41,1324106.94,53579715.73,51434025.07,350000000.00,0,0,0.0
14,取得投资收益所收到的现金,1020000.00,1020000.00,1020000.00,0,1055007.60,1055007.60,0,0,3069374.70,2737653.83,3069374.70,0,2084239.32,976678.36,976678.36,0,4153292.79,39981625.64,39428508.53,0,3093840.92,17073627.34,856040.92,0,2482140.09,1664940.09,1664940.09,0,29442507.19,2354106.00,1536906.00,0,33233460.36,2753820.00,2753820.00,0,93429643.66,50793965.59,23196.00,32711083.13,74484289.89,56516860.02,23130784.01,759911.38,41339732.70,40658732.70,38799481.05,26853920.82,15389800.34,8952621.54,8214865.27,0,8830831.92,8639957.32,1135448.32,0,6911228.95,1280863.35,1280863.35,23153.67,6342610.06,5319914.38,5319914.38,533437.07,9217017.31,8914361.88,8316541.47,0,16203119.73,64330.10,18147222.22,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,106657787.29,42247172.31,0,0,132936420.47,0,0,0,660.00,660.00,660.00,660.00,8899042.41,199162.26,199162.26,0,76657.13,43842.00,242.00,0,1041205.78,50700.00,0,0,638678.58,35500.00,35500.00,0,1296808.76,0,0,0,744423.00,0,0,-94790.00,325435.00,57200.00,38651.86,1200.00,182915.00,42015.00,42015.00,0,337047.00,203050.00,203050.00,74150.00,76070.00,36470.00,32070.00,0,138970.00,138517.50,337.50,337.50,6016286.20,5691386.20,186842.00,6304.00,389724.72,85700.00,84500.00,61000.00,13345.67,13345.67,12545.67,-3940.45,115954.00,-8746.00,101.00,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20745876.42,20745876.21,20745876.21,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,54064184.55,1656832.20,0,0,65512524.38,65512524.38,65512524.38,65073200.00,147556657.86,10563857.86,10563857.86,10563857.86,92199086.20,7194586.00,7194586.00,7196638.06,120704790.60,0,0,0,0,0,0,0,48609630.00,48609630.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243685.99,11043685.99,0,3548937.24,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,161741971.84,44924004.51,1020000.00,0.00,384126344.91,66567531.98,65512524.38,65073200.00,236970707.77,24720230.91,13633892.56,10564517.86,142123148.13,8370426.62,8370426.62,7196638.06,184055832.68,60771343.85,60174626.74,0.00,94528009.58,17124327.34,856040.92,0.00,209730448.67,50310070.09,1700440.09,0.00,34469776.45,2354106.00,1536906.00,0.00,38651913.36,2753820.00,2753820.00,-94790.00,256375106.19,181118301.99,179984222.38,154865118.87,334239752.15,219808357.61,154370795.54,34535428.93,437122218.21,403382625.42,218473604.32,443371215.71,74620460.49,59389524.54,58647368.27,0,95593675.46,9978695.63,2326747.62,337.50,216992601.43,137839389.22,27854321.86,4047994.29,102372341.12,35194937.22,45993737.22,2757117.07,223896543.00,139562302.96,99563682.55,1320166.49,69898789.46,51489609.17,368147323.22,0,0,0.0
