,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付给职工以及为职工支付的现金,6207583508.64,5032741882.52,3630139320.78,1931562101.63,6650065674.49,5452996585.89,3592337554.57,2060052290.46,6212890009.58,5458301905.39,4060385326.31,1993503929.30,6606320362.04,5511923055.26,3870479089.20,2275335316.24,4788806226.78,3881610358.74,2247060361.85,1328781341.94,3190213738.39,2424053673.27,1762830883.94,1098162291.31,2521163761.71,1830263778.98,1290673040.40,767565490.49,2312491389.48,1733981346.36,1131983803.71,710284626.00,2357828740.03,1461800617.34,1057474593.27,652699285.38,2569404707.58,1633123749.82,1200656357.44,737048084.32,2087691000.96,1195930463.93,798443691.76,433285586.49,1560630840.41,1074622751.21,754039838.62,471375394.81,758210225.70,724521868.74,453441302.45,0.0
10,支付的各项税费,4403899381.92,3876518385.39,2855614600.66,1198269337.36,4319588735.88,3634937518.80,2711770614.42,1560272614.45,4167174833.38,3517115418.76,2632051454.21,1628930499.21,6125099254.41,5223166163.19,4602891271.67,1693640684.13,4138848212.64,3373499864.38,2204209580.84,845901501.04,2009361404.99,1152904052.92,1017070537.91,490954962.85,1443529301.23,937412548.94,524922293.27,143129931.90,1480827811.78,1230201504.33,866169957.37,457644753.62,1793799585.17,1292587879.18,1120161593.47,678643734.10,1389107389.72,1333152479.87,878315721.99,475454949.67,1650579965.95,1237431145.78,647709624.27,188520739.85,2584559250.36,2744810223.93,1325741386.57,277432349.90,530104291.72,397162118.93,228026892.57,0.0
11,支付其他与经营活动有关的现金,28914102074.90,20829744849.80,16752243375.32,7489908453.53,25362721093.57,20232134517.51,18109060378.73,9343215114.62,21815438471.78,15204561253.99,6560980396.20,8555324008.85,22724950360.10,16392303873.74,9127348360.31,5638475063.06,19228938771.17,37236851851.88,9261863244.51,26366169824.36,11530662835.41,9547192915.00,9017954107.67,2150152318.28,2405104226.76,16107770267.56,10233062054.36,4770192420.43,9762767474.63,8212368559.22,5879639973.40,594052416.48,28725396056.25,27476725855.85,19469258269.76,15227427849.04,10377059310.61,26404205327.10,12933106587.26,2158253616.70,2565644507.81,3411257036.59,1191209040.03,311800874.12,22237274261.51,20515135995.45,630325642.77,8958596994.02,4404793800.07,3038367890.85,2540087551.40,0.0
12,支付利息、手续费及佣金的现金,5509144087.67,6032018553.35,2736845502.22,2344259959.11,4058905335.96,4867067636.29,2310547894.47,1373123037.23,4893774963.91,4245173151.82,2347596012.67,1784634043.78,5952166489.32,6957604709.72,3828907967.13,2019255160.13,10261452765.44,7467629711.99,4570777097.57,1976074679.08,3561300817.22,2395313727.81,1141402150.83,565463069.70,1965207202.94,1471142457.02,950557372.79,410336920.06,1493757653.64,1137857383.29,792071245.62,400006691.13,1477514978.28,1099013433.41,711048823.42,341010739.68,1437431387.48,914426607.94,598474566.03,297288832.71,1237587195.96,1047047103.96,622187068.06,264500622.18,1171139441.70,918892886.11,637098725.38,345363273.10,2196744011.91,1535338189.77,785870240.42,0.0
13,经营活动现金流出小计,76814740055.42,72876295563.03,49864382094.87,37331727277.75,100160857482.73,75500256148.94,49764623826.80,30679872977.90,97771109770.88,68970176344.44,40332987578.60,36637649897.43,129861130959.31,66302190006.18,40146924125.66,28757946638.44,49879136754.49,56456848174.31,96145736363.62,55658659100.87,57823709207.22,32474622614.83,18985333310.30,8954435834.55,24462727248.75,20605512897.02,12999214760.82,6091224762.88,24882168594.31,13588896709.95,9123462775.57,2161988487.23,39287892804.49,35797673794.76,25331006368.89,16899781608.20,25392117478.15,36391808164.73,21616253232.72,7800245483.40,9891981650.17,6891665750.26,3259549424.12,1198107822.64,33766420272.46,25253461856.70,3347205593.34,10052768011.83,7889852329.40,5695390068.29,4007425986.84,0.0
14,经营活动产生的现金流量净额,22657777758.56,15010944255.30,12763169792.21,19403417058.10,-5015557534.07,-2859636319.94,-11592732605.41,-4842369589.88,-58816601545.90,-34668139712.64,-9271020494.55,-22577833626.12,-50177681468.50,-58362791405.49,-37376641733.23,-3531713823.98,15582998300.08,44071293564.86,58018405258.37,-7737764946.21,8783946303.12,2216611030.57,-1280851146.43,-1225823005.54,-14519579201.58,-3638822096.81,5894311356.09,2239921227.71,-9156847299.09,2094664168.95,1611987468.44,9625245666.27,-17751229786.80,-16071487056.69,-20037878310.48,-4937941544.54,-14476628026.60,-27151357121.76,-15916476211.27,1514137272.60,34753179542.48,23910229870.36,7344472356.06,12251069120.72,-23391276118.82,-22417808320.67,4642100904.74,-4763284375.50,36913947036.24,29757770880.30,29517797899.98,0.0
15,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,收回投资收到的现金,20212436934.99,16220936968.15,8961601553.74,5566096478.77,29887646640.14,29566355896.35,16461312381.74,10636996618.68,86350562286.29,63605371245.55,51774212722.04,27861418944.28,59258316495.96,44292941435.82,27751968216.14,9732433228.78,40294908883.79,28772911323.32,16560317384.17,6985633245.09,34229326694.53,14800935679.56,5927927160.39,1251549234.73,11131204297.85,9403624169.88,7133026329.77,4797118741.47,4809515240.71,3716303516.80,1010344689.40,543513271.30,3623797497.18,3188915717.45,2906928764.62,1963230074.84,4440309329.63,3129289905.12,2197693999.32,122669346.06,3102570429.26,2342336143.12,1394732768.21,1331398116.18,2007761459.99,1760317457.61,732464488.33,172856360.34,315574674.39,162374742.24,58937401.00,0.0
17,取得投资收益收到的现金,2000542605.56,1560474828.89,842236782.48,333845289.30,2155208768.88,583864099.31,465880375.29,195092692.52,1474961179.72,2956773162.08,1709810346.46,922527179.09,2212874665.29,2060448491.18,1280651755.59,492696119.99,1826667534.04,1243867211.23,856386410.83,283850330.73,1111928021.79,647999994.83,502570683.57,109825326.14,786530544.12,560059539.08,287433187.77,104741481.19,348917083.63,227543834.82,131221135.86,10984899.00,166294875.65,150697529.65,103573903.86,2524232.31,125693861.77,120648482.58,74791255.06,5067073.22,91627798.73,87124395.26,34660556.60,16744428.72,85048239.59,71691173.14,71475730.16,750999.93,69230013.63,140029199.26,240606047.27,0.0
18,处置固定资产、无形资产及其他长期资产收回的现金净额,45385108.77,7792898.14,2118828.17,2139215.85,11014934.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
