,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2025237679.49,1278167405.29,661508379.98,2384763955.06,1782014919.61,1160299467.26,577514206.16,2294487501.81,1766915441.26,1124545397.69,575257527.98,2224848803.67,1643843759.71,1052314010.03,528326322.16,1874625431.08,1436456109.63,958668189.19,506979555.05,1666996895.95,1360627189.89,846897987.71,418411837.23,1450696557.42,1109666953.73,718074800.50,388565926.27,1244665045.96,879930624.19,573449683.29,300971026.11,992878501.38,810486586.43,514685087.27,261288162.53,761165140.21,586507727.30,398729342.55,202560748.38,705289975.90,511710568.77,330176796.31,164832457.18,589260418.28,421140326.74,295478171.33,143550526.46,521137184.90,326032615.28,221347608.19,98823215.20,389083860.75,310250352.99,199321418.45,85357208.66,336838508.51,245766211.61,170388166.70,79443840.81,271831826.32,186537806.98,125050611.22,210198363.21,0.0
3,收到的税费返还,0,0,0,0,125337.68,164.42,164.42,74305.90,1404050.95,679064.41,76585.64,484393.22,353689.53,173498.75,69963.69,176131.99,20000.00,0,0,0,73055.71,73055.71,0,0,255003.04,254572.87,211454.89,0,164283.54,0,0,0,391751.75,391489.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,73965138.57,52326611.42,45657047.56,99468112.14,104230886.25,92561182.62,64858453.40,216399213.80,124043507.55,74551535.98,57579202.88,75499697.37,111682032.36,67988460.04,54785938.33,103928690.03,161943830.02,83256528.93,58938136.34,81394172.74,136527184.10,52894789.43,34164896.00,85995259.03,200796357.35,155405016.47,45314302.01,26326977.99,133903470.02,67316554.89,21953183.67,46683334.30,109891817.35,87042484.96,23954101.19,28392497.04,40472586.35,25301245.36,18392497.53,17218484.74,19668057.70,6863135.98,4705142.99,23565412.30,27094810.93,17674207.52,10228758.46,13362432.11,6949864.15,3466491.40,2151556.38,16409991.20,17785548.39,10628509.86,4562254.75,13953944.89,29930821.94,21697531.48,6814085.43,8875449.02,12772298.64,7556571.78,6043112.65,0.0
5,经营活动现金流入小计,2099202818.06,1330494016.71,707165427.54,2484232067.20,1886371143.54,1252860814.30,642372823.98,2510961021.51,1892362999.76,1199775998.08,632913316.50,2300832894.26,1755879481.60,1120475968.82,583182224.18,1978730253.10,1598419939.65,1041924718.12,565917691.39,1748391068.69,1497227429.70,899865832.85,452576733.23,1536691816.45,1310718314.12,873734389.84,434091683.17,1270992023.95,1013998377.75,640766238.18,322924209.78,1039561835.68,920770155.53,602119061.73,285242263.72,789557637.25,626980313.65,424030587.91,220953245.91,722508460.64,531378626.47,337039932.29,169537600.17,612825830.58,448235137.67,313152378.85,153779284.92,534499617.01,332982479.43,224814099.59,100974771.58,405493851.95,328035901.38,209949928.31,89919463.41,350792453.40,275697033.55,192085698.18,86257926.24,280707275.34,199310105.62,132607183.00,216241475.86,0.0
6,购买商品、接受劳务支付的现金,1293671845.63,811306322.65,485558868.49,1441793804.06,1072841249.43,711088129.59,416806038.27,1161621938.59,957970986.18,636283804.74,375474072.97,1169330236.69,883554211.18,582561851.34,324301758.53,909322373.88,782327524.22,552086878.97,313812488.24,881427398.75,775262904.97,511222962.69,273937304.13,777266570.40,609409918.11,400253272.27,225253874.24,668113027.38,443060807.80,319628579.68,185745171.14,536450836.40,454450486.52,295672052.42,169058995.16,376944171.47,299623112.74,212037468.16,118766941.11,339288987.59,250593122.44,169834237.12,85433573.70,288911840.97,218840400.28,163518929.97,92205656.80,251186348.12,169926184.05,114501899.42,60886978.59,176692976.15,133606459.01,80604902.54,39929971.09,145880125.43,101105752.83,72463183.68,32940892.16,142991466.60,100948967.26,84814090.91,100387654.03,0.0
7,支付给职工以及为职工支付的现金,273903154.37,183712611.14,117030754.30,293850100.14,201640995.60,141671754.51,88919513.41,269527301.94,189037173.46,134943695.95,73825522.52,239384748.09,180761135.59,124659208.80,79047547.21,236970663.03,172687828.46,117609023.46,72791405.76,205164072.10,154968314.39,103399651.45,59231732.50,182145125.27,134072096.37,82551569.99,45335618.60,169216315.48,115038204.39,72134080.71,44591724.48,124807480.74,93370850.66,66449149.29,36282675.80,110165905.34,78784472.20,54918340.58,31417852.18,99321089.02,72487996.47,40959010.75,19573712.22,88524688.93,62992886.41,37840356.05,21626023.49,74553521.36,43318305.97,25784339.61,12679727.55,39980258.95,31819671.95,20216978.69,10015195.67,32866288.90,25395180.28,16997626.30,7879090.74,32320266.09,20778117.49,14663681.43,21789574.37,0.0
8,支付的各项税费,136205837.48,86925341.88,36829450.82,171280021.08,137453757.42,103300278.71,45454142.76,181904902.48,147731986.19,109231113.95,35174767.45,158539853.51,135928518.17,107548492.37,39959867.85,144836364.74,118387451.77,87689258.84,27619536.91,134728895.03,114942700.37,79128499.74,29467210.54,99632708.76,86353438.51,64753693.69,22375937.16,91364010.43,80227509.01,45872077.30,23828918.33,76446800.57,65778342.50,47993342.23,21366728.25,66791954.49,54504590.15,36561753.80,18353463.65,54715590.19,41298765.42,30854211.02,16413534.80,50156508.00,44291446.46,37273586.82,19245632.12,44409038.85,35565015.05,28382012.25,13977922.96,37329293.20,30144874.22,20865819.17,9499238.76,37637609.50,32202375.54,23260735.87,11557591.18,28612067.19,20874684.57,14742401.21,22019364.15,0.0
