,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,798747015.26,464448121.20,210261275.66,411291604.06,282075772.48,183996840.67,91436608.38,423004126.56,484173266.58,143563330.64,69240848.24,420609971.42,315311427.35,228466481.23,247419464.37,571705008.03,469097121.51,270895888.40,152663580.86,717180893.02,658851358.15,385176043.75,141766014.81,1064191229.72,631366695.24,371566157.53,222883166.89,1340112149.35,1133257455.79,399377702.03,309548660.97,344622121.86,338488206.98,174831443.05,215206936.60,629319406.80,228184179.26,34205302.67,23316700.31,287285843.81,133436216.48,109853778.05,80372773.24,126509752.12,151677277.20,45824115.07,167418323.76,127071385.66,106884576.47,74087231.43,19594564.05,169283346.52,48131962.71,61699539.53,48174415.69,126784515.92,121543065.80,0,47843118.28,83375530.31,45561739.42,95725155.49,0,54342527.19,112758119.88,58635349.06,0,44927887.84,73664890.00,137851822.00,8623709.00,2844405.00,25749162.00,126118480.00,0.0
10,经营活动现金流出小计,6439672363.09,4462856789.98,2418613792.37,8044418623.32,5515048807.56,3658984374.87,2451441290.15,4507489732.35,2119090487.96,1355877774.02,582921288.12,2660142964.41,1664640049.44,1139468629.98,706888287.82,3672005633.79,3033624166.15,1890209296.42,993606090.70,4495965519.83,3364408873.06,1799906140.32,887634981.36,4090130400.53,2702295908.21,1752062066.88,909924562.86,4288693159.02,3478562621.84,2038681181.63,930251213.01,4046521082.67,2887331417.52,1638758938.42,760226107.73,3545302530.71,2436031596.76,1490159829.08,634804476.74,2874098175.85,1866842950.66,971204553.21,368461652.83,1906290010.64,1349201657.98,725878586.11,489953182.46,1443633876.58,1058097972.66,615300123.35,212409933.76,1965057523.75,1568213477.13,906830127.89,370820154.36,2041375530.53,1562409108.04,1043180930.65,419508071.46,1872211606.58,1702380016.48,1114661654.79,0,2507687238.36,1766088185.60,1087303232.07,0,2204985005.36,1067509647.00,2119469919.00,903034247.00,778796429.00,82755779.00,287505195.00,0.0
11,经营活动产生的现金流量净额,2478193182.14,1400137101.23,518076263.73,4140465720.71,3240747534.22,1548018491.92,950267336.78,2462247549.23,1327002609.60,578711242.17,76324488.69,1375112286.84,1201453973.55,722531083.67,241452531.27,690363484.92,663482811.05,928519750.01,541183300.45,543865972.59,511187421.79,492114630.14,174730994.96,-233468922.99,462706143.72,364145978.66,60135734.65,407492566.31,518969658.39,247654442.82,-166274500.64,541341815.55,167081868.80,282154852.40,13316949.76,519379159.88,635321640.55,351345629.41,91569140.34,820403955.64,719478306.32,750823402.58,253074817.06,406630669.59,184971524.99,99414451.13,20521669.04,495243634.63,273943651.22,42829908.68,2530218.63,22343777.98,1784777.80,75406628.39,71143932.16,316307961.04,306391870.91,230953977.77,35961579.33,392884556.56,162845608.50,97703489.91,62017261.00,428565355.60,439879084.70,357989501.69,69600726.00,407327224.88,337518679.00,202934746.00,214550006.00,-35091915.00,-8778843.00,72259958.00,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,18750000.00,5250000.00,5250000.00,495063100.00,48484741.54,0,23302228.64,803000000.00,3000000.00,0,0,152727.62,0,0,0,3200000.00,143200000.00,18200000.00,0,19000000.00,120600000.00,19000000.00,3735617.35,988340000.00,262837227.74,268000000.00,0,1960509877.95,24400000.00,5931927571.21,20200000.00,842880425.90,1307117990.70,1069022250.00,80000000.00,9000000.00,18000000.00,18000000.00,9000000.00,2997764.00,0,0,0,1500000.00,1500000.00,0,0,20616207.99,18000000.00,18000000.00,18000000.00,276480310.10,476947574.71,48510092.36,8000000.00,0,40961.11,0,0,68323764.91,59672938.06,0,0,19339687.00,19339687.00,19339687.00,0,4800.00,4800.00,320000000.00,370000000.00,986066188.00,180000000.00,0,0.0
14,取得投资收益所收到的现金,169726.03,21199684.94,169726.03,7482381.06,9012963.10,8422826.11,3007997.32,1880636.70,1314168.88,566912.39,327243.44,8009864.64,7950142.64,4161922.33,1107868.52,8000666.15,4570829.21,1729170.30,490041.51,6947165.42,5559002.47,3627268.95,1989493.27,1116397269.77,556803039.02,138917547.95,22912004.02,178578602.09,164393422.63,148333571.95,47776306.94,99234901.01,100511941.27,86926500.33,81525000.00,751037.67,751037.67,1787.67,1787.67,0,0,0,0,0,0,0,0,212716624.32,212716624.32,212716624.32,90000000.00,269509.86,-136377.26,232128.00,304242.06,40961.11,0,0,0,229366.85,101960.55,101960.55,0,1216108.79,1043340.00,1043340.00,0,0,0,2206107.00,2206108.00,0,2865547.00,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,12554187.18,6764305.97,6990.00,4032309.40,766575.69,106792.72,64220.00,10364294.76,1721268.79,878466.91,743887.06,7695428.20,6235156.50,3004596.20,365913.97,829942.75,509979.86,-283641.99,129807.46,16748366.23,11693289.28,6468090.47,300.00,16977205.53,582067.39,78647.39,822.39,57170052.77,50399571.28,50463259.62,21675.45,50661892.49,50668892.49,244332.49,444096.54,6987074.99,5782755.21,3860755.21,1393856.37,123544038.41,121861230.41,1970430.00,1014200.00,8928111.00,7837550.00,3142600.00,1221800.00,24503600.79,23851191.82,4766832.82,3865267.44,18597973.62,1121923.62,1033021.62,0,1131352.16,253214.00,252214.00,237714.00,20000000.00,19993745.60,20000000.00,0,101949.57,100927.08,40000.00,0,2832533.06,20990.00,0,0,160000.00,60000.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,48397716.41,0,46506649.79,0,0,-638516.28,-638516.28,0,0,0,0,0,0,0,0,0,0,0,0,0,156634533.27,156634533.27,73654433.27,0,27051633.44,365942193.20,0,0,0,0,0,0,9000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67322489.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,53001261.08,37719819.13,12423500.00,112898587.14,123322850.02,50818038.50,68477000.00,53228231.74,46983731.74,38539731.74,22396744.74,36696734.50,27428334.50,23257434.50,17104934.50,35468712.30,23782283.82,16254240.89,6476591.45,72129206.63,70573675.82,52943170.11,62414271.82,608466482.94,413376145.75,365899359.91,103410780.85,276604961.49,8904969631.71,84798232.94,2823871291.99,245372696.91,170056998.80,68725338.80,9746319.00,160485693.89,38585800.60,25940910.15,7613510.00,99645937.52,36570193.34,0,0,722032.53,718053.06,683611.32,0,0,0,0,0,0,88000.00,400000.00,0,35244011.75,40902.00,0,180043.45,2247853.34,0,0,0,2000000.00,0,0,0,0,1582930.00,0,0,0,0,0,0.0
18,投资活动现金流入小计,84475174.29,70933810.04,17850216.03,667874094.01,181587130.35,105854307.12,94851445.96,868473163.20,52380653.13,39346594.76,23467875.24,52554754.96,41613633.64,30423953.03,18578716.99,47499321.20,172063092.89,35899769.20,7096440.42,114824738.28,208425967.57,82038529.53,68139682.44,2886815491.51,1390233013.17,846549988.52,126323607.26,2499915127.74,9510104818.82,6215522635.72,2891869274.38,1238149916.31,1628355823.26,1224918421.62,171715415.54,186223806.55,63119593.48,47803453.03,18009154.04,226187739.93,158431423.75,1970430.00,1014200.00,11150143.53,10055603.06,3826211.32,1221800.00,257836433.10,254567816.14,235483457.14,111865267.44,362670282.67,478021121.07,50175241.98,8304242.06,36416325.02,335077.11,252214.00,417757.45,90800985.10,79768644.21,20101960.55,0,22657745.36,20483954.08,20423027.00,0,2837333.06,1608720.00,322206107.00,372206108.00,986226188.00,182925547.00,0,0.0
